"ID"	"buddy_16"	"buddy_17"	"ivy_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"franc_19"	"ivy_19"	"ginger_20"	"buddy_21"	"joans_21"	"franc_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"grogu_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"ophelia_43"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"goose_46"	"hamlet_46"	"iris_46"	"lambchop_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"lambchop_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"lambchop_51"	"goose_52"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"lambchop_55"	"ophelia_55"
"g__Phascolarctobacterium"	64	780	520	2	138	947	637	728	917	1474	639	486	609	416	1148	491	715	608	1217	458	756	1732	804	377	745	477	463	81	1214	529	559	189	317	571	913	628	654	575	987	1032	667	663	506	1033	678	924	327	609	693	1045	956	719	760	1209	1157	816	221	380	498	642	1119	581	1309	1113	790	415	692
"g__Megamonas"	74	601	508	1	966	1099	440	797	618	561	794	1638	745	61	411	1173	881	734	764	580	759	1263	113	751	1010	818	1099	43	839	418	410	378	495	1239	198	644	738	1177	501	473	965	439	689	751	871	342	1184	948	373	857	222	1073	405	699	626	1209	95	1570	1299	849	479	364	893	638	1017	665	724
"g__Megasphaera"	169	636	497	1	0	526	201	604	444	412	262	0	614	41	477	322	563	483	453	490	647	1168	95	301	154	1411	418	60	220	203	261	54	439	157	365	397	415	199	399	366	664	406	682	274	1198	154	346	1189	627	429	153	394	1314	405	555	411	27	396	1020	868	961	237	341	496	720	268	90
"g__Segatella"	1383	328	962	2	0	422	0	555	0	506	506	298	718	22	355	16	349	586	1006	532	325	0	11	275	8	68	48	1035	1062	85	56	12	829	24	709	80	63	1304	33	22	47	242	407	512	270	53	24	43	272	506	61	19	214	776	334	953	4	4	777	393	235	598	9	243	32	2077	20
"g__Phocaeicola"	135	160	147	1	21	143	835	93	425	304	138	49	150	132	310	603	22	297	110	24	184	759	159	332	333	17	272	86	52	1323	1250	162	208	382	259	856	331	133	724	690	166	111	83	507	43	919	331	107	144	315	900	369	100	48	280	65	160	155	34	81	93	93	270	328	126	129	348
"g__Anaerobiospirillum"	9	107	9	1	2415	0	0	3	0	0	408	945	6	3188	0	0	983	5	0	842	0	2	2399	0	0	101	1	835	36	0	0	0	5	0	210	0	0	38	1	1	0	166	2	0	252	0	0	0	117	0	0	0	145	1	0	41	0	0	24	340	39	0	1	0	0	14	0
"g__Oribacterium"	36	100	281	2	7	83	97	252	242	141	81	25	370	37	220	160	180	197	173	199	179	381	181	87	166	370	197	32	178	117	201	60	237	137	257	222	230	43	386	402	267	331	160	130	168	134	176	274	746	131	166	268	280	203	210	55	23	83	49	249	407	233	289	237	287	42	147
"g__Shigella"	0	122	170	247	180	0	1	115	0	2	0	1	29	0	190	403	0	57	0	293	180	1	0	507	74	64	0	18	2	1	5	32	232	31	1	4	113	4	1	22	0	671	370	0	4	11	802	1	109	0	117	255	54	44	18	3	1938	1026	0	1	17	761	27	44	0	10	375
"g__Enterobacter"	0	0	0	3381	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	381	0	1	0	0	4	11	2524	0	441	0	9	0	0	0	1	0	0	0	0	0	168	0	0	0	0	65	0	0	0	0	0	246	0	0	0	0	0	1	0	0	0	511
"g__Prevotellamassilia"	567	8	0	0	0	106	0	0	0	128	31	0	0	0	150	70	58	0	0	69	154	0	0	172	59	16	0	570	0	478	172	20	404	70	176	464	0	0	169	108	0	97	204	0	62	143	0	0	50	0	181	0	65	202	0	0	19	0	0	84	53	123	46	0	0	1	60
