"ID"	"subject"	"sampledate"	"bristol"	"studyday"	"subjectcode"	"sex"	"housing"	"group"	"Age"	"contraception"	"origin"	"previousexp"	"diet_trial"	"group_phase"	"room"
"iris_49"	"iris"	2023-04-27	"3"	"49"	"iri"	"female"	"pair"	"g1"	6.835616438	"estrumate"	"texas"	"abx-ctrl"	"intervention-2"	"control"	"room b"
"jarjarbinks_49"	"jarjarbinks"	2023-04-27	"3"	"49"	"jar"	"male"	"pair"	"g1"	3.123287671	""	"texas"	""	"intervention-2"	"control"	"room b"
"kubo_49"	"kubo"	2023-04-27	"2"	"49"	"kub"	"male"	"pair"	"g1"	4.101369863	""	"nebraska"	""	"intervention-2"	"control"	"room b"
"ophelia_49"	"ophelia"	2023-04-27	"2"	"49"	"oph"	"female"	"pair"	"g1"	5.594520548	"estrumate"	"nebraska"	""	"intervention-2"	"control"	"room b"
"wolverine_49"	"wolverine"	2023-04-27	"2"	"49"	"wol"	"male"	"pair"	"g1"	8.452054795	""	"nebraska"	"abx-ctrl"	"intervention-2"	"control"	"room b"
"jarjarbinks_50"	"jarjarbinks"	2023-04-28	"3"	"50"	"jar"	"male"	"pair"	"g1"	3.123287671	""	"texas"	""	"intervention-2"	"control"	"room b"
"korra_50"	"korra"	2023-04-28	"3"	"50"	"kor"	"female"	"pair"	"g1"	5.898630137	"estrumate"	"nebraska"	""	"intervention-2"	"control"	"room b"
"kubo_50"	"kubo"	2023-04-28	"2"	"50"	"kub"	"male"	"pair"	"g1"	4.101369863	""	"nebraska"	""	"intervention-2"	"control"	"room b"
"lambchop_50"	"lambchop"	2023-04-28	"3"	"50"	"lam"	"female"	"family"	"g1"	5.82739726	"estrumate"	"texas"	""	"intervention-2"	"control"	"room f"
"ophelia_50"	"ophelia"	2023-04-28	"1"	"50"	"oph"	"female"	"pair"	"g1"	5.594520548	"estrumate"	"nebraska"	""	"intervention-2"	"control"	"room b"
"wolverine_50"	"wolverine"	2023-04-28	"2"	"50"	"wol"	"male"	"pair"	"g1"	8.452054795	""	"nebraska"	"abx-ctrl"	"intervention-2"	"control"	"room b"
"lambchop_51"	"lambchop"	2023-04-29	"3"	"51"	"lam"	"female"	"family"	"g1"	5.82739726	"estrumate"	"texas"	""	"intervention-2"	"control"	"room f"
"goose_52"	"goose"	2023-04-30	"3"	"52"	"goo"	"male"	"family"	"g1"	6.712328767	""	"texas"	"abx-ctrl"	"intervention-2"	"control"	"room f"
"jarjarbinks_52"	"jarjarbinks"	2023-04-30	"2"	"52"	"jar"	"male"	"pair"	"g1"	3.123287671	""	"texas"	""	"intervention-2"	"control"	"room b"
"kubo_52"	"kubo"	2023-04-30	"2"	"52"	"kub"	"male"	"pair"	"g1"	4.101369863	""	"nebraska"	""	"intervention-2"	"control"	"room b"
"hera_53"	"hera"	2023-05-01	"3"	"53"	"her"	"female"	"pair"	"g1"	3.531506849	"estrumate"	"texas"	""	"intervention-2"	"control"	"room b"
"kubo_53"	"kubo"	2023-05-01	"2"	"53"	"kub"	"male"	"pair"	"g1"	4.101369863	""	"nebraska"	""	"intervention-2"	"control"	"room b"
"iris_55"	"iris"	2023-05-03	"3"	"55"	"iri"	"female"	"pair"	"g1"	6.835616438	"estrumate"	"texas"	"abx-ctrl"	"intervention-2"	"control"	"room b"
"lambchop_55"	"lambchop"	2023-05-03	"3"	"55"	"lam"	"female"	"family"	"g1"	5.82739726	"estrumate"	"texas"	""	"intervention-2"	"control"	"room f"
"ophelia_55"	"ophelia"	2023-05-03	"1"	"55"	"oph"	"female"	"pair"	"g1"	5.594520548	"estrumate"	"nebraska"	""	"intervention-2"	"control"	"room b"
