"Taxa"	"hera_1"	"wolverine_1"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"hera_2"	"jarjarbinks_2"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"hamlet_22"	"hera_22"	"iris_22"	"korra_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"jarjarbinks_29"	"korra_29"	"jarjarbinks_3"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"hera_37"	"kubo_37"	"ophelia_37"	"wolverine_37"	"hamlet_41"	"hera_41"	"ophelia_43"	"iris_44"	"jarjarbinks_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"hamlet_46"	"iris_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"ophelia_50"	"wolverine_50"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"ophelia_55"	"ophelia_57"	"wolverine_57"	"wolverine_58"	"hamlet_59"	"iris_59"	"ophelia_59"	"korra_6"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"	"hera_7"	"iris_7"	"korra_9"	"ophelia_9"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.18875	0.1305	0.15075	0.08675	0.16225	0.14025	0.47825	0.28975	0.0795	0.15275	0.15425	0.08425	0.23175	0.11225	0.19275	0.1845	0.24	0.3255	0.18475	0.18575	0.115	0.264	0.295	0.6365	0.4585	0.19375	0.22325	0.1505	0.16875	0.17475	0.14425	0.19175	0.15825	0.151	0.06425	0.19025	0.18375	0.131	0.12125	0.19925	0.2605	0.10775	0.3025	0.14325	0.30325	0.1175	0.15675	0.11875	0.04475	0.1145	0.042	0.19	0.16325	0.3285	0.13975	0.116	0.11125	0.14675	0.195	0.138	0.29925	0.502	0.5315	0.458	0.068	0.435	0.16725	0.39025	0.35625	0.30475	0.275	0.2395	0.14525	0.218	0.31425	0.41425	0.197	0.152	0.16925	0.24575	0.4275	0.186	0.13775	0.29025	0.21225	0.07	0.06075	0.143	0.261	0.0985	0.18025	0.1465	0.15625	0.4725	0.07575	0.05725	0.25925	0.279	0.29625	0.1705	0.4965	0.12425	0.77225	0.033	0.1825	0.126	0.13925	0.3755	0.16775
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales"	0.3675	0.39375	0.255	0.437	0.17475	0.4545	0.20575	0.14825	0.1055	0.33175	0.26275	0.3785	0.23125	0.3785	0.5155	0.19575	0.17625	0.19225	0.1555	0.33375	0.41875	0.19425	0.316	0.0195	0.06525	0.103	0.09825	0.3925	0.114	0.1495	0.251	0.12275	0.16225	0.22575	0.084	0.14	0.42825	0.15425	0.26425	0.20375	0.236	0.17325	0.164	0.26825	0.26675	0.6105	0.10525	0.2625	0.2855	0.226	0.133	0.3515	0.1165	0.1475	0.42675	0.05475	0.37425	0.253375	0.345	0.2525	0.27475	0.01075	0.1045	0.1025	0.0945	0.12375	0.30975	0.161	0.1845	0.12525	0.11825	0.24125	0.10975	0.17225	0.18775	0.0855	0.296	0.23725	0.09325	0.21425	0.0555	0.26825	0.10125	0.17475	0.1565	0.02375	0.39275	0.11975	0.091	0.22325	0.1595	0.25425	0.181	0.15675	0.25175	0.453	0.20425	0.101	0.05175	0.1305	0.04425	0.382	0.0175	0.43675	0.16525	0.34175	0.16625	0.15575	0.299
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales"	0.20225	0.1515	0.07075	0.0725	0.17275	0.15125	0.11375	0.20875	0.11575	0.1455	0.1435	0.12425	0.21925	0.077	0.0745	0.3315	0.25375	0.188	0.188	0.19175	0.15525	0.3075	0.12375	0.0695	0.01575	0.2635	0.33925	0.13025	0.1815	0.15275	0.259	0.1625	0.1775	0.25525	0.045	0.26075	0.11625	0.12975	0.209	0.28025	0.142	0.14275	0.241	0.11225	0.1525	0.08625	0.13325	0.16325	0.0975	0.18425	0.149	0.14175	0.16275	0.20225	0.176	0.094	0.20725	0.199125	0.172	0.18625	0.11575	0.02025	0.13225	0.13975	0.04725	0.07925	0.14275	0.157	0.1635	0.24675	0.258	0.16675	0.16575	0.1265	0.25825	0.231	0.08175	0.15225	0.17325	0.26125	0.239	0.17975	0.19	0.30225	0.28925	0.05525	0.095	0.27975	0.14525	0.32725	0.27825	0.1975	0.173	0.10875	0.0575	0.0955	0.1635	0.2385	0.12825	0.239	0.17825	0.112	0.039	0.13725	0.1515	0.17375	0.1935	0.09525	0.23025
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales"	0.1005	0.10675	0.08625	0.15125	0.1095	0.09125	0.061	0.20925	0.04525	0.21	0.29075	0.1415	0.13575	0.1655	0.07825	0.118	0.1195	0.08675	0.09425	0.08925	0.11275	0.08225	0.084	0.02775	0.02475	0.0855	0.17575	0.109	0.192	0.0895	0.09825	0.07825	0.1075	0.1135	0.053	0.07075	0.06075	0.09825	0.06125	0.093	0.09975	0.09575	0.11775	0.1535	0.17125	0.074	0.03175	0.12575	0.038	0.212	0.055	0.113	0.1365	0.1395	0.0805	0.05475	0.12225	0.207125	0.11025	0.17875	0.12	0.012	0.0555	0.096	0.09775	0.092	0.14125	0.087	0.101	0.158	0.17375	0.12425	0.11525	0.1075	0.0825	0.092	0.07325	0.10675	0.282	0.08	0.105	0.10375	0.11	0.07125	0.11075	0.024	0.03775	0.14875	0.0995	0.13525	0.13875	0.152	0.1175	0.1085	0.08375	0.081	0.1555	0.15725	0.069	0.131875	0.1295	0.05175	0.0285	0.09725	0.129	0.1095	0.206125	0.146	0.17975
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales"	0.08375	0.10625	0.01775	0.0385	0.0175	0.04125	0.0515	0.02725	0.02075	0.07975	0.03975	0.0595	0.1465	0.10875	0.11125	0.12075	0.161	0.13625	0.0945	0.106	0.14825	0.08475	0.113	0.01725	0.02125	0.03575	0.11075	0.15625	0.0635	0.03225	0.10125	0.323	0.15225	0.0995	0.02625	0.00225	0.17825	0.06775	0.082	0.117	0.22425	0.12625	0.12	0.14	0.039	0.06975	0.043	0.10825	0.06475	0.20075	0.069	0.1135	0.1525	0.07	0.064	0.01675	0.08625	0.04975	0.05475	0.0405	0.109	0.01575	0.053	0.06975	0.01375	0.12025	0.0405	0.104	0.10725	0.10725	0.09625	0.17	0.10675	0.1825	0.0735	0.0405	0.087	0.30525	0.16825	0.11375	0.03975	0.09925	0.36175	0.1135	0.15025	0.00725	0.0995	0.2565	0.0625	0.0905	0.13875	0.184	0.02325	0.0525	0.061	0.0715	0.07675	0.15	0.0685	0.048875	0.08325	0.1355	0.0105	0.243	0.14875	0.1845	0.224	0.11025	0.05375
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales"	0.00175	0	0.004	0.08575	0.1095	0.03725	0	0.014	0.53325	0	0.023	0.11075	0.00025	0.05325	0	0.00175	0.001	0	0.0185	0.00425	0	0.001	0	0.00025	0.00125	0.26775	0.00675	0	0.22375	0.3515	0.09075	0.02475	0.21325	0.058	0.70175	0	0	0.38225	0.04475	0.01225	0	0.3225	0.00075	0.15825	0.00375	5e-04	0.00125	0.07	0.457	0.004	0.0285	0.029	0.146625	0.00075	0.017	0.63675	0.00325	0.042625	0.039	0.125	0.00025	0.00625	0.00225	0.0075	0.64575	0.0965	0.12275	0.012	0.0295	0.00175	0.02125	0	0.26625	0.1485	0	0.04575	0.20225	0.00025	0.04075	0	0.059	0.0675	0.02125	0.0175	0.00475	0.797	0.26225	0.0065	0.30075	0.01225	0.011	0	0.27675	0.023	0.42475	0.201	0.062	0	0.33725	0.001875	0.0015	0.0635	0.00375	0.00025	0.053	0	0	0.0125	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales"	0.01025	0.019	0.005	0.0075	0.0165	0.0095	0.00575	0.008	0.03475	0.00575	0.00825	0.01575	0.00925	0.036	0.006	0.01125	0.0075	0.006	0.233	0.0235	0.00625	0.00875	0.0065	0.00475	0.0025	0.0255	0.0155	0.00575	0.01625	0.0065	0.01575	0.0775	0.0025	0.0555	0.002	0.298	0.004	0.01075	0.1855	0.0075	0.00125	0.00375	0.00725	0.0035	0.00925	0.0035	0.5055	0.126	0.00275	0.0265	0.4805	0.0155	0.082375	0.006	0.01125	0.0035	0.008	0.03225	0.0195	0.0125	0.00625	0.21475	0.004	0.005	0.00375	0.00125	0.01325	0.0065	0.00725	0.004	0.006	0.009	0.0455	0.00075	0.02125	0.00925	0.00325	0.00275	0.036	0.012	0.011	0.011	0.03675	0.00375	0.011	0.0015	0.004	0.0135	0.005	0.006	0.01325	0.005	0.011	0.0095	0.01375	0.00625	0.0055	0.0075	0.00525	0.20875	0.0065	0.00875	0.00375	0.00325	0.068	0.01075	0.008125	0.001	0.01375
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales"	0.0155	0.01675	0.0075	0.00625	0.01025	0.021	0.01575	0.01125	0.0075	0.0045	0.0075	0.0075	0.00775	0.01675	0.00625	0.01075	0.0195	0.01	0.01775	0.01825	0.00925	0.024	0.0085	0.1875	0.11575	0.006	0.01	0.01525	0.0335	0.01275	0.0085	0.01275	0.01175	0.00525	0.00475	0.03425	0.00575	0.0185	0.00975	0.01225	0.00675	0.02025	0.01175	0.0105	0.011	0.0105	0.009	0.01625	0.00725	0.02175	0.004	0.02425	0.02475	0.01725	0.01325	0.004	0.009	0.0235	0.02175	0.0195	0.023	0.1515	0.0415	0.01525	0.005	0.0355	0.0225	0.0455	0.0205	0.012	0.012	0.01675	0.02925	0.0205	0.01525	0.014	0.0235	0.019	0.023	0.02925	0.019	0.04275	0.032	0.02175	0.025	0.002	0.0285	0.01675	0.0195	0.00975	0.009	0.0195	0.0125	0.02275	0.009	0.00675	0.01075	0.03025	0.015	0.008375	0.02275	0.0505	0.086	0.00375	0.02875	0.0305	0.02175	0.05125	0.01075
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales"	0.01425	0.02375	0.0225	0.02525	0.0265	0.01325	0.0155	0.06775	0.01025	0.045	0.0495	0.02825	0.01475	0.04625	0.01275	0.02	0.01575	0.0275	0.01	0.03025	0.02875	0.021	0.0155	0.00825	0.006	0.01575	0.018	0.0145	0.00475	0.02425	0.01875	0.00675	0.006	0.02875	0.0055	0.00175	0.0065	0.006	0.01925	0.02075	0.0235	0.0055	0.009	0.0055	0.02625	0.022	0.0115	0.0065	0.002	0.00875	0.01375	0.01475	0.006875	0.0675	0.01925	0.0125	0.02375	0.0305	0.02375	0.03575	0.01375	0.00125	0.0175	0.02375	0.01925	0.00625	0.02625	0.0205	0.0105	0.034	0.036	0.019	0.01325	0.01	0.0175	0.04225	0.019	0.01625	0.012	0.0325	0.0385	0.0225	0.006	0.004	0.0205	0.013	0.00825	0.01125	0.0125	0.0235	0.03075	0.02675	0.0265	0.024	0.01225	0.01625	0.02525	0.0275	0.017	0.0255	0.03125	0.01325	0.0095	0.02175	0.008	0.015	0.02225	0.03575	0.03725
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales"	0.0065	0.02575	0.37525	0.0835	0.1975	0.03725	0.04775	0.00325	0.04575	0.014	0.00675	0.04625	0.00275	0.00025	0	0.00125	0	0.00575	0.00075	5e-04	0.00075	0	0.03025	0.0035	0.01325	0.00125	0	0.024	0	0	0.0025	0	0	0.00075	0.00075	0.00025	0.01275	0	5e-04	0.05075	0.00375	0	0.002	0	0	0.00025	0.00175	0	0	0	0.00325	0.00125	0	0.00675	0.045	0.003	0.0225	0.01225	0.01325	0.00675	0.0285	0	0.00925	0.0155	0.00125	0	0.00525	0.001	0.01775	0.00175	5e-04	0.01175	0.00175	0	0.028	0.00675	0.00525	0.004	0.00025	0.00425	0.001	0.00925	0	0	0.0035	0.00025	0.007	0	5e-04	0.00925	0.01425	0.012	0.00625	0.00175	0.0075	0.0045	0.02	0.00475	0.00025	0.024	0.0025	0.02	0.0045	0.00075	0.0135	0.00625	0.0175	5e-04	0.00375
