"ID"	"Buddy_11"	"Joans_11"	"Padme_11"	"Ginger_14"	"Buddy_16"	"Buddy_17"	"Ivy_17"	"Padme_17"	"Buddy_18"	"Ginger_18"	"Ivy_18"	"Franc_19"	"Ivy_19"	"Ginger_2"	"Ginger_20"	"Buddy_21"	"Joans_21"	"Franc_22"	"Grogu_22"	"Henry_22"	"Joans_22"	"Marshmallow_22"	"Franc_24"	"Ivy_24"	"Marshmallow_24"	"Henry_25"	"Ginger_29"	"Henry_29"	"Joans_29"	"Ginger_36"	"Grogu_36"	"Henry_36"	"Franc_37"	"Grogu_37"	"Grogu_41"	"Joans_41"	"Marshmallow_41"	"Ginger_42"	"Grogu_42"	"Henry_42"	"Ivy_42"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Ivy_44"	"Joans_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Ivy_45"	"Joans_45"	"Marshmallow_45"	"Buddy_46"	"Charles_46"	"Ivy_46"	"Joans_46"	"Franc_47"	"Ginger_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Ivy_48"	"Joans_48"	"Marshmallow_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Ivy_49"	"Padme_5"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"Joans_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Buddy_52"	"Ginger_52"	"Grogu_52"	"Marshmallow_52"	"Franc_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Ivy_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"	"Buddy_57"	"Joans_57"	"Ginger_58"	"Henry_59"	"Padme_6"	"Joans_60"	"Marshmallow_60"	"Joans_62"	"Henry_66"	"Franc_68"	"Ginger_7"	"Padme_7"	"Grogu_70"	"Charles_9"	"Franc_9"	"Grogu_9"	"Henry_9"	"Ivy_9"
"f__Selenomonadaceae"	1207	1488	1976	3200	103	826	698	1	1328	1511	604	1096	850	238	773	1090	2252	1024	84	566	1613	1211	1008	1737	156	1033	1761	1408	1341	1153	43	979	1119	15	68	574	31	559	184	1448	546	567	517	1861	2302	824	752	1139	781	1695	728	760	161	475	905	2017	975	1023	2168	400	516	1299	603	49	1138	554	786	850	538	2211	1626	2099	139	399	1205	1709	2051	321	1792	802	788	995	470	1186	1548	152	620	1016	89	216	3851	430	794	979	142	1849	752	676	1504	1366	94	1511	387	1672	400	1373	1208	138	276	1428	484	749	1739	490
"f__Succinivibrionaceae"	105	1070	31	48	14	194	27	1	3344	81	117	15	112	1224	80	591	1335	37	4401	40	19	1380	31	216	3327	13	47	25	1552	14	4724	64	130	4921	4715	329	1	33	3447	11	51	1841	135	3	393	1222	2269	1182	109	1111	56	1048	3949	1728	972	33	887	98	5	2031	3444	102	134	4852	42	396	1052	11	205	3	27	34	19	1096	26	116	6	3663	78	503	56	69	624	1615	14	4062	631	23	4799	52	60	30	1187	65	4324	473	2014	2007	25	28	4	307	804	177	25	519	34	12	3	16	6	98	86	955
"f__Acidaminococcaceae"	813	514	412	390	88	1073	714	2	189	1302	876	1001	1260	156	2027	879	668	838	573	1579	675	983	836	2381	1105	518	1041	868	1302	750	322	1598	978	216	362	1490	76	600	504	690	616	1187	624	440	2267	1228	688	1039	756	432	648	981	410	738	1291	458	1363	638	243	545	558	1204	912	157	1114	1274	724	230	819	487	1313	905	799	1164	542	971	906	716	835	1087	1011	808	985	880	1060	577	985	871	288	843	1729	961	361	981	419	1138	1145	285	1090	1056	547	1614	668	799	677	628	452	353	70	557	131	1101	964	565
"f__Veillonellaceae"	683	514	50	437	239	899	711	2	2	725	281	860	639	77	569	376	1	881	61	656	452	803	685	1617	146	414	1253	390	295	739	47	616	553	53	74	822	31	505	305	1106	284	375	202	1937	2227	337	782	367	1116	1203	616	291	287	244	280	1722	392	2087	1927	405	229	130	1163	107	517	1142	1175	35	1293	2010	1184	496	484	270	2101	685	1506	367	1332	216	1139	963	312	565	1252	161	569	1286	90	1924	2433	1109	327	627	79	477	389	390	1393	1389	386	580	463	1394	361	1121	1045	118	46	43	364	1247	452	485
"f__Prevotellaceae"	884	834	156	195	2685	466	1553	2	1	731	8	915	3	87	873	751	651	1129	32	697	131	559	983	3	17	619	472	668	316	646	43	385	937	42	30	390	3677	749	490	467	5	463	1	316	983	1172	296	1219	911	154	3	1685	118	1267	1524	3	1114	499	81	238	296	628	893	56	36	682	150	113	721	226	294	27	701	226	497	654	279	43	363	2015	1086	964	2187	414	503	105	630	920	27	876	725	32	164	25	50	888	461	201	540	763	729	428	505	1009	1116	472	722	394	3237	154	115	650	1077	245
"f__Enterobacteriaceae"	1122	447	495	3	1	252	641	5334	386	0	1	460	1	3294	7	0	2	78	1	570	752	0	228	3	0	1535	2	554	0	335	0	85	3	0	0	148	2	1495	39	0	1	0	2	0	172	1	34	1	182	21	58	0	0	0	4	2	0	4	441	1081	0	650	0	0	2	99	842	2803	0	2	15	144	2765	1580	549	0	2	0	0	0	243	1	0	4	3	0	733	0	1	13	0	1	2092	0	0	0	2	1499	0	21	2669	391	2085	41	9	427	6776	3014	635	2342	4123	129	3670	929
"f__Lachnospiraceae"	298	356	542	602	61	291	622	8	65	203	372	679	766	62	374	189	242	891	122	476	577	338	707	1734	434	233	577	492	338	809	102	744	1004	134	121	1206	66	371	354	552	387	321	496	250	1788	311	328	192	703	319	573	205	391	234	296	517	320	557	239	481	164	622	732	117	846	610	564	321	1050	362	390	407	259	276	246	611	445	252	572	240	470	602	187	344	643	178	484	530	92	383	1162	866	317	996	176	341	277	236	640	138	461	413	396	173	552	597	365	667	23	470	195	397	80	494
"f__Bacteroidaceae"	114	64	284	191	305	382	239	14	28	203	1913	163	901	168	440	256	86	263	196	483	919	40	495	1502	251	513	103	434	141	287	175	577	300	69	74	115	276	582	52	353	2982	376	1343	313	285	215	147	157	458	87	1552	280	75	388	53	302	247	268	142	71	56	492	460	87	1339	225	76	92	354	66	322	896	164	89	116	398	101	51	220	344	208	421	542	158	162	164	260	207	72	384	373	1530	98	1302	220	135	133	99	111	420	282	52	37	27	1023	103	45	390	392	102	14	780	962	1005
"f__Sutterellaceae"	110	91	53	155	717	221	111	0	129	333	118	71	86	109	56	125	155	153	5	108	38	76	203	182	4	221	91	180	69	268	14	100	68	12	17	255	385	264	44	274	184	35	491	85	285	121	61	132	220	44	193	186	8	104	54	86	136	100	112	90	100	24	154	17	148	205	31	12	170	31	88	287	43	59	83	150	70	11	120	160	174	186	60	50	147	21	229	93	5	52	166	181	60	162	8	122	97	50	70	185	40	95	47	175	166	140	137	56	567	29	38	82	203	151
"f__Tannerellaceae"	16	17	67	64	130	9	60	2	0	53	157	82	72	23	100	9	0	60	11	195	65	64	132	107	13	196	141	209	19	318	14	125	88	18	10	1	258	211	40	329	183	87	40	209	123	40	102	49	166	181	70	42	25	188	58	22	41	143	99	98	27	111	324	31	94	42	68	42	220	54	197	66	55	59	30	162	93	35	140	80	47	304	96	121	126	33	183	497	13	77	313	84	38	116	37	31	74	32	94	42	115	35	57	4	435	52	139	125	26	34	11	25	28	86
