"Taxa"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"lambchop_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"lambchop_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"goose_20"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"goose_22"	"hamlet_22"	"hera_22"	"iris_22"	"korra_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"goose_24"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"lambchop_25"	"buddy_44"	"franc_44"	"ginger_44"	"ivy_44"	"joans_44"	"marshmallow_44"	"buddy_45"	"franc_45"	"grogu_45"	"henry_45"	"ivy_45"	"joans_45"	"marshmallow_45"	"buddy_46"	"charles_46"	"ivy_46"	"joans_46"	"marshmallow_46"	"franc_47"	"ginger_47"	"ivy_47"	"marshmallow_47"	"buddy_48"	"charles_48"	"franc_48"	"grogu_48"	"henry_48"	"ivy_48"	"joans_48"	"marshmallow_48"	"charles_49"	"franc_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"marshmallow_49"	"buddy_50"	"charles_50"	"franc_50"	"ginger_50"	"grogu_50"	"ivy_50"	"joans_50"	"charles_51"	"franc_51"	"joans_51"	"buddy_52"	"charles_52"	"ginger_52"	"grogu_52"	"marshmallow_52"	"franc_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"buddy_56"	"franc_56"	"grogu_56"	"joans_56"
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales"	0.00675	0.04625	0.0025	0.00025	0	0	0.00125	0	0.00575	0.00075	5e-04	0	0.00075	0	0.03025	5e-04	0.00125	0	0.024	0	0	0.0025	0	0	0.00075	0.0015	0.00075	0.00025	0.013	0	5e-04	0.05075	0.00375	0	0.00325	0.002	0	0.00025	0.00025	0.00175	5e-04	0.01525	0.109	0.00025	0.000125	0	0	0	0.00025	0	0	5e-04	0	0	0.00375	0.001	0.005	0	0	0.001	0	0.04175	0	0.00725	0.0105	0	0	0.00175	0.004	0.01175	0	0.0035	0	0	0.0015	0.0055	0	0	0.00925	0.001	0	0	0	0	0	0.00575	0.0015	0	0.00425	0.00475	0.00025	0	0	0	0	0.007	0	0.00075	0.0025	0.00025	0	5e-04
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales"	0.00075	0.00025	0	0.00025	0.003	0	0	0	0	0	0.00025	0.00075	0.00025	0.00175	0	0.00025	0.00025	0	0	0	0.00125	0	0	0.001	0.00075	5e-04	0	0.00025	0	0	5e-04	0.00125	0	0.00025	0.00025	0.001	0.00075	0.00025	0.00025	0	0	0.00025	0.00925	0	0.00025	0.00025	0.00025	0.00075	0	0.002	0.00025	0	0	0	0	0.00025	0	0.00025	0.0035	0	5e-04	0.00075	0	0.00025	0.00025	0	0	0.004	0.0015	0.0025	0	0.1605	0.001	5e-04	0	5e-04	0.003	0.00075	0.00475	0.00075	0.002	0.00025	0	5e-04	0.00075	0.004	5e-04	0.00025	5e-04	0.00075	0.00025	0	0.004	0.00025	0	0.0035	0.00125	0.002	0.00075	5e-04	0	0.00225
"k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales"	5e-04	0	0	0	0	0	0	0	0	0	0	0	0.00025	0.00025	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	5e-04	0	0	0.00025	0	0.00025	0.00025	0.00025	0	0	0	0	0.02525	0	5e-04	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0.00025	0.00025	0	0	0	0	0.001	0	5e-04	0	0	0	0	0	0	0	0	0.001	0	0	0.00025	0	0	0	0.00025	0	0	5e-04	0	0	0	0	0	0	0.00025	0.000125	0	0	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales"	0	0	0	0	0.00025	0	0	0	0.00025	0	0	0.00125	0	0	0	5e-04	0.00025	0	0	0	5e-04	0	0	0.00025	0	0	0	0	0.00025	0	0	0.00125	0	0.00025	0	0	0.00025	0	0	0	0.001	0	5e-04	0	0	0	0	0	0	0	0.00025	0.00025	0	0	0	0	0	0	0.00075	0	0.00025	0.00025	0.00025	0	0	0	0	0	0.007	0.00625	0	0	0	0	0	0.00025	0	0.00075	0	0	0	0.00025	0	0	0	0.00025	0	0	0	0	0	0	0.0015	0	0	0	0	0.004	5e-04	0.00025	0	0
"k__Bacteria|p__Mycoplasmatota|c__Mollicutes|o__Anaeroplasmatales"	0.0035	5e-04	0	0	0	0	0	0	0.00025	0	5e-04	0	0	0	0.00025	0	0	0	0.00025	0	0.00275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00525	0	0	0	0	0	0	0.000125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00075	0	0	0.00125	0	0	0	0	0	0	0.00075	0	0	0	0	0.002	0	0	0.00125	0	0	0.0025	0	0	0	0	0	0	0	0	0	0	0.00025	0	0.00025	0	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales"	0	0	0	0	0	0	0.00225	0.00125	0.00025	0.002	0.004	5e-04	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0.00075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Neisseriales"	0	0	0	0	0.00025	0	0	0	0.00025	0	0	0.00025	0.00025	0.00025	0.00025	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	5e-04	0	0	0	5e-04	0	0.00075	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0.00075	0	0.00025	5e-04	0	0	0	0	0	0	5e-04	0.00125	0	0.00025	0	0	0	0	0.00025	0.00025	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0
"k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales"	0	0	0.00025	0	0.00025	0	0	0	0.00025	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5e-04	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales"	0	0	0	0	0	0	0	0	0.00025	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Peptostreptococcales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00125	0	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
