"ID"	"Buddy_11"	"Joans_11"	"Padme_11"	"Ginger_14"	"Buddy_16"	"Buddy_17"	"Ivy_17"	"Padme_17"	"Buddy_18"	"Ginger_18"	"Ivy_18"	"Franc_19"	"Ivy_19"	"Ginger_2"	"Ginger_20"	"Buddy_21"	"Joans_21"	"Franc_22"	"Grogu_22"	"Henry_22"	"Joans_22"	"Marshmallow_22"	"Franc_24"	"Ivy_24"	"Marshmallow_24"	"Henry_25"	"Ginger_29"	"Henry_29"	"Joans_29"	"Ginger_36"	"Grogu_36"	"Henry_36"	"Franc_37"	"Grogu_37"	"Grogu_41"	"Joans_41"	"Marshmallow_41"	"Ginger_42"	"Grogu_42"	"Henry_42"	"Ivy_42"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Ivy_44"	"Joans_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Ivy_45"	"Joans_45"	"Marshmallow_45"	"Buddy_46"	"Charles_46"	"Ivy_46"	"Joans_46"	"Franc_47"	"Ginger_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Ivy_48"	"Joans_48"	"Marshmallow_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Ivy_49"	"Padme_5"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"Joans_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Buddy_52"	"Ginger_52"	"Grogu_52"	"Marshmallow_52"	"Franc_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Ivy_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"	"Buddy_57"	"Joans_57"	"Ginger_58"	"Henry_59"	"Padme_6"	"Joans_60"	"Marshmallow_60"	"Joans_62"	"Henry_66"	"Franc_68"	"Ginger_7"	"Padme_7"	"Grogu_70"	"Charles_9"	"Franc_9"	"Grogu_9"	"Henry_9"	"Ivy_9"
"g__Xylanibacter"	6	48	0	0	1	1	202	0	0	0	0	140	0	0	0	9	163	109	0	0	0	0	151	0	0	0	0	0	28	0	0	0	50	0	0	18	0	0	0	0	0	50	0	0	209	163	1	165	168	0	0	252	0	94	53	0	129	130	1	0	16	1	184	0	0	26	0	0	181	0	1	0	1	10	1	438	0	0	200	165	1	416	287	91	0	0	0	539	1	0	0	0	22	0	0	125	31	44	0	2	0	81	0	95	0	50	0	0	1	0	0	1	0	0
"g__Enterobacter"	0	0	22	0	0	0	0	4646	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	33	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	55	1	1	0	0	0	0	0	0	0	0	1
"g__Blautia"	32	51	15	144	3	22	32	0	2	49	29	47	73	9	76	19	124	79	28	55	76	21	128	263	30	33	38	113	56	124	4	80	20	2	7	42	8	77	32	151	11	38	64	46	71	17	26	13	30	93	166	10	13	31	62	43	15	11	34	30	27	23	49	7	26	16	74	3	38	23	42	44	11	38	27	29	63	38	17	15	20	20	14	60	30	9	74	18	3	39	102	95	136	127	6	36	15	57	20	3	9	21	27	7	60	36	23	8	1	5	14	27	5	36
"g__Succinatimonas"	2	31	31	48	1	43	14	0	16	81	117	11	112	5	80	23	29	30	6	40	19	25	25	214	5	13	47	25	31	14	4	64	29	4	4	15	1	33	6	11	51	27	135	3	91	50	12	89	30	5	56	63	4	26	20	32	109	28	5	9	33	101	15	2	42	64	6	11	20	3	27	34	19	11	26	18	6	4	19	135	56	16	177	48	14	5	11	5	2	50	60	28	46	65	6	298	62	83	25	28	4	173	24	64	25	40	22	12	1	15	6	40	86	20
"g__Citrobacter"	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	643	0	0	0	0	0	2798	0	0	0	0	0	0	543	0	0	0	0	0	238	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"g__Collinsella"	20	15	8	11	64	15	26	0	1	76	32	16	29	4	36	71	3	12	1	27	16	5	6	112	5	121	3	185	5	88	1	18	71	1	0	3	26	52	9	93	25	61	83	70	31	7	13	3	24	184	41	1	16	50	8	167	4	23	11	14	1	11	28	2	3	6	9	3	13	25	6	11	3	131	7	5	16	2	4	20	45	111	4	52	13	3	61	9	3	513	114	14	12	21	16	3	36	1	5	4	3	2	2	12	333	8	13	1	8	4	1	26	158	24
"g__Clostridium"	54	21	32	24	3	11	53	2	6	86	51	59	59	5	24	12	19	48	1	8	33	13	45	194	14	7	2	7	10	10	7	24	105	12	22	72	7	2	20	3	18	43	59	1	73	8	11	12	23	20	33	15	45	18	24	72	19	31	1	20	55	57	45	17	54	117	14	12	51	1	4	29	18	26	30	1	5	26	16	10	43	24	13	54	2	31	16	22	15	30	12	45	16	70	16	15	51	13	9	18	18	63	14	7	4	20	5	15	5	118	3	39	7	13
"g__Lacrimispora"	31	15	37	34	0	10	11	0	1	16	79	12	114	5	23	4	5	21	5	15	23	0	29	260	33	10	6	22	1	17	4	48	42	2	6	45	1	11	4	7	98	20	102	3	43	10	3	2	23	4	37	6	9	10	18	106	14	17	0	6	10	207	17	0	135	57	10	12	21	3	5	61	3	7	15	2	2	3	12	6	65	19	11	16	2	5	9	9	0	47	15	95	5	147	8	10	9	4	7	3	3	27	5	2	12	12	4	8	2	27	3	12	0	18
"g__Mediterraneibacter"	48	1	360	0	0	43	5	6	1	0	1	23	3	0	0	6	6	9	0	0	171	1	43	31	0	0	0	0	9	0	0	1	10	0	0	4	1	0	0	0	5	6	5	0	8	1	0	0	8	0	39	0	0	1	3	23	0	1	0	0	2	174	3	0	5	6	0	237	2	0	0	31	73	1	29	0	0	0	1	0	3	2	0	1	0	0	0	0	0	15	0	5	1	25	0	1	2	1	0	0	336	1	1	1	0	5	0	523	2	317	0	36	0	0
"g__Duodenibacillus"	11	20	1	3	378	37	16	0	1	30	19	17	16	27	10	20	11	28	2	40	9	24	20	32	1	26	23	36	5	28	3	26	11	1	8	29	254	33	16	37	14	8	23	4	51	21	27	30	15	20	14	35	4	16	13	10	33	13	6	44	14	1	26	7	8	36	5	0	22	2	26	7	10	10	3	18	6	5	16	54	13	19	13	10	20	10	32	10	4	7	18	42	9	43	6	23	16	8	19	29	7	32	29	32	25	28	5	6	54	1	5	3	0	34
"g__Allisonella"	33	13	0	0	8	22	23	0	0	0	0	29	0	4	0	17	0	28	5	0	12	26	14	0	15	0	0	0	22	0	3	0	21	3	3	77	0	0	47	0	2	9	3	0	254	28	18	24	40	217	3	17	23	3	13	60	14	54	0	19	8	0	24	5	9	24	16	0	44	0	0	6	44	11	0	34	0	20	45	13	0	83	5	36	0	11	8	40	1	26	0	15	8	10	6	21	21	9	0	0	26	20	14	46	0	70	0	5	4	0	22	29	0	33
"g__Enterocloster"	22	14	18	15	1	13	28	0	20	7	1	30	13	4	7	8	22	36	0	16	17	15	32	45	0	13	21	15	12	12	2	30	49	6	8	18	3	14	13	9	6	28	20	12	67	14	4	14	18	19	26	18	12	13	27	39	21	25	2	12	10	35	47	10	21	11	20	12	56	13	31	8	7	10	12	11	22	10	24	18	24	53	15	30	42	12	11	24	2	14	45	21	11	64	10	15	22	12	23	7	7	14	6	4	15	21	5	5	0	29	2	28	0	1
"g__Bifidobacterium"	0	0	0	0	1031	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	568	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	197	0	0	0	0	0
"g__Proteus"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	32	0	0	541	0	10	0	0	0	0	0	850	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Streptococcus"	2	5	28	2	0	0	0	40	3	22	9	0	34	0	27	3	7	0	0	0	1	3	0	68	5	4	1	4	1	17	0	0	0	0	0	4	0	4	0	4	3	1	9	0	0	4	1	3	0	10	0	0	0	0	1	2	0	0	3	0	1	1	0	0	4	12	0	883	0	1	2	2	6	15	6	0	1	1	0	0	21	0	0	0	1	0	1	1	0	18	6	8	3	1	0	1	2	0	2	14	3	2	1	2	22	0	4	0	0	11	2	0	2	1
"g__Succinivibrio"	1	11	0	0	0	5	0	0	8	0	0	0	0	20	0	7	6	0	12	0	0	3	0	0	22	0	0	0	6	0	14	0	0	42	12	4	0	0	12	0	0	12	0	0	4	43	25	60	2	7	0	40	13	37	4	0	62	0	0	16	59	0	1	16	0	39	13	0	0	0	0	0	0	14	0	0	0	12	0	66	0	0	180	12	0	11	2	0	6	0	0	0	51	0	3	100	22	28	0	0	0	54	6	77	0	4	11	0	0	0	0	0	0	8
"g__Bilifractor"	2	8	2	26	1	14	17	0	0	1	4	8	16	2	6	10	0	22	2	3	25	2	8	28	14	2	7	3	6	26	2	11	21	1	3	29	0	5	3	12	8	6	11	6	42	8	11	3	15	7	10	3	9	9	7	19	8	16	4	13	3	1	19	4	11	7	11	0	33	10	9	5	5	10	1	19	14	9	27	7	3	15	4	3	11	4	15	29	1	1	42	8	3	7	6	14	4	3	7	15	2	18	9	6	9	9	14	2	1	0	8	9	1	17
"g__Prevotella"	3	6	0	0	3	1	19	0	0	1	0	10	0	0	0	2	57	24	0	0	1	0	15	0	0	0	0	0	3	0	0	1	4	0	0	4	5	0	0	0	0	10	0	0	55	77	1	20	37	0	0	41	0	43	20	0	19	4	0	0	5	0	53	0	0	3	0	1	39	0	1	0	8	4	1	36	0	0	28	27	4	52	107	14	0	0	0	26	0	0	0	0	19	0	0	17	3	2	0	3	4	8	1	29	0	16	0	0	2	0	0	0	0	0
"g__Paraprevotella"	2	1	8	0	0	2	0	0	1	2	8	0	3	0	0	2	0	0	1	1	11	0	1	3	2	1	0	1	0	0	2	1	3	2	0	0	1	3	0	1	5	6	1	0	0	0	0	1	0	0	3	1	4	7	1	3	2	0	0	1	1	455	0	3	36	14	1	20	0	0	2	27	4	0	39	0	0	1	0	3	108	1	2	3	0	4	1	0	1	59	2	31	0	25	3	0	1	0	0	2	2	0	0	0	3	0	0	1	0	3	0	1	2	2
