"ID"	"subject"	"sampledate"	"bristol"	"SampleTime"	"studyday"	"location"	"subjectcode"	"sex"	"housing"	"group"	"Age"	"contraception"	"origin"	"previousexp"	"diet_trial"	"group_phase"
"jarjarbinks_15"	"jarjarbinks"	2023-03-24	"1"	730	"15"	"b2"	"jar"	"male"	"pair"	"g1"	3.123287671	""	"texas"	""	"intervention-1"	"gum"
"kubo_15"	"kubo"	2023-03-24	"2"	730	"15"	"b3"	"kub"	"male"	"pair"	"g1"	4.101369863	""	"nebraska"	""	"intervention-1"	"gum"
"iris_17"	"iris"	2023-03-26	"3"	730	"17"	"b4"	"iri"	"female"	"pair"	"g1"	6.835616438	"estrumate"	"texas"	"abx-ctrl"	"intervention-1"	"gum"
"kubo_17"	"kubo"	2023-03-26	"1"	730	"17"	"b3"	"kub"	"male"	"pair"	"g1"	4.101369863	""	"nebraska"	""	"intervention-1"	"gum"
"lambchop_17"	"lambchop"	2023-03-26	"3"	800	"17"	"f1"	"lam"	"female"	"family"	"g1"	5.82739726	"estrumate"	"texas"	""	"intervention-1"	"gum"
"wolverine_17"	"wolverine"	2023-03-26	"2"	730	"17"	"b4"	"wol"	"male"	"pair"	"g1"	8.452054795	""	"nebraska"	"abx-ctrl"	"intervention-1"	"gum"
"hamlet_18"	"hamlet"	2023-03-27	"2"	800	"18"	"b1"	"ham"	"male"	"pair"	"g1"	6.016438356	""	"nebraska"	""	"intervention-1"	"gum"
"hera_18"	"hera"	2023-03-27	"3"	800	"18"	"b1"	"her"	"female"	"pair"	"g1"	3.531506849	"estrumate"	"texas"	""	"intervention-1"	"gum"
"iris_18"	"iris"	2023-03-27	"2"	800	"18"	"b4"	"iri"	"female"	"pair"	"g1"	6.835616438	"estrumate"	"texas"	"abx-ctrl"	"intervention-1"	"gum"
"jarjarbinks_18"	"jarjarbinks"	2023-03-27	"3"	800	"18"	"b2"	"jar"	"male"	"pair"	"g1"	3.123287671	""	"texas"	""	"intervention-1"	"gum"
"kubo_18"	"kubo"	2023-03-27	"2"	800	"18"	"b3"	"kub"	"male"	"pair"	"g1"	4.101369863	""	"nebraska"	""	"intervention-1"	"gum"
"lambchop_18"	"lambchop"	2023-03-27	"3"	730	"18"	"f1"	"lam"	"female"	"family"	"g1"	5.82739726	"estrumate"	"texas"	""	"intervention-1"	"gum"
"wolverine_18"	"wolverine"	2023-03-27	"2"	800	"18"	"b4"	"wol"	"male"	"pair"	"g1"	8.452054795	""	"nebraska"	"abx-ctrl"	"intervention-1"	"gum"
"ophelia_19"	"ophelia"	2023-03-28	"2"	800	"19"	"b2"	"oph"	"female"	"pair"	"g1"	5.594520548	"estrumate"	"nebraska"	""	"intervention-1"	"gum"
"wolverine_19"	"wolverine"	2023-03-28	"2"	800	"19"	"b4"	"wol"	"male"	"pair"	"g1"	8.452054795	""	"nebraska"	"abx-ctrl"	"intervention-1"	"gum"
"goose_20"	"goose"	2023-03-29	"2"	730	"20"	"f1"	"goo"	"male"	"family"	"g1"	6.712328767	""	"texas"	"abx-ctrl"	"intervention-1"	"gum"
"hamlet_20"	"hamlet"	2023-03-29	"1"	730	"20"	"b1"	"ham"	"male"	"pair"	"g1"	6.016438356	""	"nebraska"	""	"intervention-1"	"gum"
"hera_20"	"hera"	2023-03-29	"2"	730	"20"	"b1"	"her"	"female"	"pair"	"g1"	3.531506849	"estrumate"	"texas"	""	"intervention-1"	"gum"
"iris_20"	"iris"	2023-03-29	"2"	730	"20"	"b4"	"iri"	"female"	"pair"	"g1"	6.835616438	"estrumate"	"texas"	"abx-ctrl"	"intervention-1"	"gum"
"korra_20"	"korra"	2023-03-29	"3"	730	"20"	"b3"	"kor"	"female"	"pair"	"g1"	5.898630137	"estrumate"	"nebraska"	""	"intervention-1"	"gum"
"ophelia_20"	"ophelia"	2023-03-29	"1"	730	"20"	"b2"	"oph"	"female"	"pair"	"g1"	5.594520548	"estrumate"	"nebraska"	""	"intervention-1"	"gum"
"hamlet_21"	"hamlet"	2023-03-30	"2"	800	"21"	"b1"	"ham"	"male"	"pair"	"g1"	6.016438356	""	"nebraska"	""	"intervention-1"	"gum"
"jarjarbinks_21"	"jarjarbinks"	2023-03-30	"2"	800	"21"	"b2"	"jar"	"male"	"pair"	"g1"	3.123287671	""	"texas"	""	"intervention-1"	"gum"
"korra_21"	"korra"	2023-03-30	"2"	800	"21"	"b3"	"kor"	"female"	"pair"	"g1"	5.898630137	"estrumate"	"nebraska"	""	"intervention-1"	"gum"
"kubo_21"	"kubo"	2023-03-30	"2"	800	"21"	"b3"	"kub"	"male"	"pair"	"g1"	4.101369863	""	"nebraska"	""	"intervention-1"	"gum"
"goose_22"	"goose"	2023-03-31	"2"	730	"22"	"f1"	"goo"	"male"	"family"	"g1"	6.712328767	""	"texas"	"abx-ctrl"	"intervention-1"	"gum"
"hamlet_22"	"hamlet"	2023-03-31	"2"	800	"22"	"b1"	"ham"	"male"	"pair"	"g1"	6.016438356	""	"nebraska"	""	"intervention-1"	"gum"
"hera_22"	"hera"	2023-03-31	"2"	800	"22"	"b1"	"her"	"female"	"pair"	"g1"	3.531506849	"estrumate"	"texas"	""	"intervention-1"	"gum"
"iris_22"	"iris"	2023-03-31	"3"	800	"22"	"b4"	"iri"	"female"	"pair"	"g1"	6.835616438	"estrumate"	"texas"	"abx-ctrl"	"intervention-1"	"gum"
"kubo_22"	"kubo"	2023-03-31	"2"	800	"22"	"b3"	"kub"	"male"	"pair"	"g1"	4.101369863	""	"nebraska"	""	"intervention-1"	"gum"
"hamlet_23"	"hamlet"	2023-04-01	"5"	800	"23"	"b1"	"ham"	"male"	"pair"	"g1"	6.016438356	""	"nebraska"	""	"intervention-1"	"gum"
"iris_23"	"iris"	2023-04-01	"3"	800	"23"	"b4"	"iri"	"female"	"pair"	"g1"	6.835616438	"estrumate"	"texas"	"abx-ctrl"	"intervention-1"	"gum"
"korra_23"	"korra"	2023-04-01	"3"	800	"23"	"b3"	"kor"	"female"	"pair"	"g1"	5.898630137	"estrumate"	"nebraska"	""	"intervention-1"	"gum"
"hera_24"	"hera"	2023-04-02	"3"	800	"24"	"b1"	"her"	"female"	"pair"	"g1"	3.531506849	"estrumate"	"texas"	""	"intervention-1"	"gum"
"kubo_24"	"kubo"	2023-04-02	"3"	800	"24"	"b3"	"kub"	"male"	"pair"	"g1"	4.101369863	""	"nebraska"	""	"intervention-1"	"gum"
"ophelia_24"	"ophelia"	2023-04-02	"1"	800	"24"	"b2"	"oph"	"female"	"pair"	"g1"	5.594520548	"estrumate"	"nebraska"	""	"intervention-1"	"gum"
"wolverine_24"	"wolverine"	2023-04-02	"2"	800	"24"	"b4"	"wol"	"male"	"pair"	"g1"	8.452054795	""	"nebraska"	"abx-ctrl"	"intervention-1"	"gum"
"kubo_25"	"kubo"	2023-04-03	"2"	800	"25"	"b3"	"kub"	"male"	"pair"	"g1"	4.101369863	""	"nebraska"	""	"intervention-1"	"gum"
"buddy_44"	"buddy"	2023-04-22	"3"	800	"44"	"f5"	"bud"	"male"	"family"	"g2"	6.397260274	""	"texas"	""	"intervention-2"	"gum"
"franc_44"	"franc"	2023-04-22	"3"	800	"44"	"f2"	"fra"	"male"	"pair"	"g2"	6.342465753	""	"texas"	"abx"	"intervention-2"	"gum"
"ginger_44"	"ginger"	2023-04-22	"3"	800	"44"	"f6"	"gin"	"female"	"pair"	"g2"	6.117808219	"estrumate"	"nebraska"	"abx"	"intervention-2"	"gum"
"ivy_44"	"ivy"	2023-04-22	"3"	800	"44"	"f2"	"ivy"	"female"	"pair"	"g2"	4.202739726	"estrumate"	"nebraska"	""	"intervention-2"	"gum"
"joans_44"	"joans"	2023-04-22	"2"	800	"44"	"f5"	"joa"	"female"	"family"	"g2"	5.967123288	"estrumate"	"nebraska"	""	"intervention-2"	"gum"
"marshmallow_44"	"marshmallow"	2023-04-22	"3"	800	"44"	"f4"	"mar"	"female"	"pair"	"g2"	4.101369863	"estrumate"	"nebraska"	""	"intervention-2"	"gum"
"buddy_45"	"buddy"	2023-04-23	"3"	800	"45"	"f5"	"bud"	"male"	"family"	"g2"	6.397260274	""	"texas"	""	"intervention-2"	"gum"
"franc_45"	"franc"	2023-04-23	"3"	800	"45"	"f2"	"fra"	"male"	"pair"	"g2"	6.342465753	""	"texas"	"abx"	"intervention-2"	"gum"
"grogu_45"	"grogu"	2023-04-23	"3"	800	"45"	"f4"	"gro"	"male"	"pair"	"g2"	4.583561644	""	"texas"	""	"intervention-2"	"gum"
"henry_45"	"henry"	2023-04-23	"3"	800	"45"	"f6"	"hen"	"male"	"pair"	"g2"	4.208219178	""	"nebraska"	""	"intervention-2"	"gum"
"ivy_45"	"ivy"	2023-04-23	"3"	800	"45"	"f2"	"ivy"	"female"	"pair"	"g2"	4.202739726	"estrumate"	"nebraska"	""	"intervention-2"	"gum"
"joans_45"	"joans"	2023-04-23	"3"	800	"45"	"f5"	"joa"	"female"	"family"	"g2"	5.967123288	"estrumate"	"nebraska"	""	"intervention-2"	"gum"
"marshmallow_45"	"marshmallow"	2023-04-23	"3"	800	"45"	"f4"	"mar"	"female"	"pair"	"g2"	4.101369863	"estrumate"	"nebraska"	""	"intervention-2"	"gum"
"buddy_46"	"buddy"	2023-04-24	"3"	800	"46"	"f5"	"bud"	"male"	"family"	"g2"	6.397260274	""	"texas"	""	"intervention-2"	"gum"
"charles_46"	"charles"	2023-04-24	"2"	800	"46"	"f3"	"cha"	"male"	"pair"	"g2"	4.230136986	""	"nebraska"	""	"intervention-2"	"gum"
"ivy_46"	"ivy"	2023-04-24	"3"	800	"46"	"f2"	"ivy"	"female"	"pair"	"g2"	4.202739726	"estrumate"	"nebraska"	""	"intervention-2"	"gum"
"joans_46"	"joans"	2023-04-24	"3"	800	"46"	"f5"	"joa"	"female"	"family"	"g2"	5.967123288	"estrumate"	"nebraska"	""	"intervention-2"	"gum"
"marshmallow_46"	"marshmallow"	2023-04-24	"3"	800	"46"	"f4"	"mar"	"female"	"pair"	"g2"	4.101369863	"estrumate"	"nebraska"	""	"intervention-2"	"gum"
"franc_47"	"franc"	2023-04-25	"3"	730	"47"	"f2"	"fra"	"male"	"pair"	"g2"	6.342465753	""	"texas"	"abx"	"intervention-2"	"gum"
"ginger_47"	"ginger"	2023-04-25	"2"	730	"47"	"f6"	"gin"	"female"	"pair"	"g2"	6.117808219	"estrumate"	"nebraska"	"abx"	"intervention-2"	"gum"
"ivy_47"	"ivy"	2023-04-25	"2"	730	"47"	"f2"	"ivy"	"female"	"pair"	"g2"	4.202739726	"estrumate"	"nebraska"	""	"intervention-2"	"gum"
"marshmallow_47"	"marshmallow"	2023-04-25	"2"	730	"47"	"f4"	"mar"	"female"	"pair"	"g2"	4.101369863	"estrumate"	"nebraska"	""	"intervention-2"	"gum"
"buddy_48"	"buddy"	2023-04-26	"3"	800	"48"	"f5"	"bud"	"male"	"family"	"g2"	6.397260274	""	"texas"	""	"intervention-2"	"gum"
"charles_48"	"charles"	2023-04-26	"3"	800	"48"	"f3"	"cha"	"male"	"pair"	"g2"	4.230136986	""	"nebraska"	""	"intervention-2"	"gum"
"franc_48"	"franc"	2023-04-26	"3"	800	"48"	"f2"	"fra"	"male"	"pair"	"g2"	6.342465753	""	"texas"	"abx"	"intervention-2"	"gum"
"grogu_48"	"grogu"	2023-04-26	"3"	800	"48"	"f4"	"gro"	"male"	"pair"	"g2"	4.583561644	""	"texas"	""	"intervention-2"	"gum"
"ivy_48"	"ivy"	2023-04-26	"4"	800	"48"	"f2"	"ivy"	"female"	"pair"	"g2"	4.202739726	"estrumate"	"nebraska"	""	"intervention-2"	"gum"
"joans_48"	"joans"	2023-04-26	"3"	800	"48"	"f5"	"joa"	"female"	"family"	"g2"	5.967123288	"estrumate"	"nebraska"	""	"intervention-2"	"gum"
"marshmallow_48"	"marshmallow"	2023-04-26	"3"	800	"48"	"f4"	"mar"	"female"	"pair"	"g2"	4.101369863	"estrumate"	"nebraska"	""	"intervention-2"	"gum"
"charles_49"	"charles"	2023-04-27	"5"	800	"49"	"f3"	"cha"	"male"	"pair"	"g2"	4.230136986	""	"nebraska"	""	"intervention-2"	"gum"
"franc_49"	"franc"	2023-04-27	"3"	800	"49"	"f2"	"fra"	"male"	"pair"	"g2"	6.342465753	""	"texas"	"abx"	"intervention-2"	"gum"
"ginger_49"	"ginger"	2023-04-27	"2"	800	"49"	"f6"	"gin"	"female"	"pair"	"g2"	6.117808219	"estrumate"	"nebraska"	"abx"	"intervention-2"	"gum"
"henry_49"	"henry"	2023-04-27	"3"	800	"49"	"f6"	"hen"	"male"	"pair"	"g2"	4.208219178	""	"nebraska"	""	"intervention-2"	"gum"
"ivy_49"	"ivy"	2023-04-27	"3"	800	"49"	"f2"	"ivy"	"female"	"pair"	"g2"	4.202739726	"estrumate"	"nebraska"	""	"intervention-2"	"gum"
"joans_49"	"joans"	2023-04-27	"2"	800	"49"	"f5"	"joa"	"female"	"family"	"g2"	5.967123288	"estrumate"	"nebraska"	""	"intervention-2"	"gum"
"marshmallow_49"	"marshmallow"	2023-04-27	"2"	800	"49"	"f4"	"mar"	"female"	"pair"	"g2"	4.101369863	"estrumate"	"nebraska"	""	"intervention-2"	"gum"
"buddy_50"	"buddy"	2023-04-28	"2"	800	"50"	"f5"	"bud"	"male"	"family"	"g2"	6.397260274	""	"texas"	""	"intervention-2"	"gum"
"charles_50"	"charles"	2023-04-28	"3"	800	"50"	"f3"	"cha"	"male"	"pair"	"g2"	4.230136986	""	"nebraska"	""	"intervention-2"	"gum"
"franc_50"	"franc"	2023-04-28	"3"	800	"50"	"f2"	"fra"	"male"	"pair"	"g2"	6.342465753	""	"texas"	"abx"	"intervention-2"	"gum"
"ginger_50"	"ginger"	2023-04-28	"3"	800	"50"	"f6"	"gin"	"female"	"pair"	"g2"	6.117808219	"estrumate"	"nebraska"	"abx"	"intervention-2"	"gum"
"grogu_50"	"grogu"	2023-04-28	"3"	800	"50"	"f4"	"gro"	"male"	"pair"	"g2"	4.583561644	""	"texas"	""	"intervention-2"	"gum"
