tax	BUD-11-MGE-S206	BUD-44-MGE-S192	CHA-9-MGE-S204	CM-NTC-010	FRA-47-MGE-S195	GIN-46-MGE-S194	GIN-50-MGE-S202	GRO-22-MGE-S189	GRO-50-MGE-S201	HAM-11-MGE-S205	HAM-25-MGE-S190	HEN-48-MGE-S198	IRI-22-MGE-S188	IVY-47-MGE-S196	JAR-14-MGE-S207	JAR-21-MGE-S185	JOA-49-MGE-S200	KOR-21-MGE-S187	KOR-48-MGE-S197	KUB-21-MGE-S186	LAM-25-MGE-S191	MAR-49-MGE-S199	OPH-9-MGE-S203	WOL-17-MGE-S193	total
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella sonnei	6	0	16	0	0	0	0	0	0	0	0	0	0	0	2	18	0	304	4	71	0	2	0	0	423
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium perfoetens	3	2	5	0	0	0	0	0	0	387	3	0	0	2	0	0	0	0	0	0	0	0	1	0	403
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella faecalis	17	3	8	0	18	44	13	1	0	8	3	3	6	103	8	31	15	12	20	1	7	6	7	6	340
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei	5	4	47	0	3	10	4	7	3	8	5	7	26	121	13	5	5	6	6	19	0	2	3	24	333
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	14	32	35	0	0	0	0	2	1	35	14	0	10	2	127	0	0	0	0	3	0	0	40	14	329
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora celerecrescens	21	21	27	0	7	2	2	3	2	60	20	9	9	28	44	4	1	4	6	19	0	2	17	11	319
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	13	10	2	0	13	23	7	3	7	9	13	10	2	20	17	10	19	26	36	15	7	9	17	30	318
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	4	31	0	0	12	4	6	0	1	7	3	81	8	34	34	0	0	16	6	15	1	9	7	7	286
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	5	8	23	0	3	0	0	0	0	49	9	0	1	7	75	13	0	1	18	13	0	0	21	6	252
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;Oribacterium asaccharolyticum	3	5	3	0	14	18	17	1	12	8	7	12	13	6	6	25	5	26	17	9	0	19	11	13	250
