"ID"	"hera_1"	"wolverine_1"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"hera_2"	"jarjarbinks_2"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"hamlet_22"	"hera_22"	"iris_22"	"korra_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"jarjarbinks_29"	"korra_29"	"jarjarbinks_3"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"hera_37"	"kubo_37"	"ophelia_37"	"wolverine_37"	"hamlet_41"	"hera_41"	"ophelia_43"	"iris_44"	"jarjarbinks_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"hamlet_46"	"iris_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"ophelia_50"	"wolverine_50"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"ophelia_55"	"ophelia_57"	"wolverine_57"	"wolverine_58"	"hamlet_59"	"iris_59"	"ophelia_59"	"korra_6"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"	"hera_7"	"iris_7"	"korra_9"	"ophelia_9"
"c__Negativicutes"	2614	2606	1374	2192	1460	2588	1484	1537	968	2228	1784	2249	2387	2257	2805	2592	2364	2066	1752	2524	2889	2346	2210	425	409	1609	2193	2715	1436	1338	2445	2433	1968	2322	621	1612	2890	1407	2221	2403	2409	1768	2100	2082	1833	3066	1126	2136	1791	2444	1404	2427	3454	1679	2667	662	2671	4018	2287	1917	1998	187	1159	1248	622	1293	1972	1688	1821	1917	1890	2312	1529	1925	2078	1428	1859	2778	1739	2357	1337	2189	2612	2361	2384	345	2348	2624	1195	2564	2306	2543	1509	1272	1481	2480	1778	1958	994	3347	1223	2518	268	3268	1862	2800	4669	1445	2332
"c__Bacteroidia"	755	522	603	347	649	561	1912	1159	318	611	617	337	927	449	771	738	960	1301	738	743	460	1056	1180	2544	1826	775	893	601	675	699	577	767	633	604	257	761	735	524	485	797	1042	430	1210	573	1213	470	627	475	179	458	168	760	1306	1314	559	464	445	1174	780	552	1194	2007	2126	1832	272	1739	669	1560	1424	1219	1100	956	581	872	1257	1656	788	608	677	982	1710	743	550	1161	849	280	243	572	1044	394	721	586	625	1890	303	229	1037	1116	1182	1363	1986	497	3089	131	729	504	1114	1502	671
"c__Clostridia"	459	522	435	704	543	418	306	1107	222	1017	1361	679	602	847	364	551	541	456	417	477	566	413	398	141	122	405	775	493	785	454	467	339	453	568	234	290	268	416	322	453	493	405	507	636	786	383	173	529	160	883	271	511	1141	828	397	267	584	1898	536	856	534	53	292	477	466	393	670	430	446	768	838	573	514	470	398	537	369	491	1172	449	572	503	464	301	523	148	184	640	448	635	678	712	574	530	384	389	723	739	341	1257	643	267	152	476	546	497	1824	727	866
"c__Gammaproteobacteria"	72	111	36	373	504	187	23	88	2272	26	125	506	38	357	24	61	39	26	1014	127	29	39	27	20	15	1174	89	23	960	1433	426	409	864	453	2815	1192	16	1571	921	82	5	1304	32	648	52	16	2027	784	1839	122	2036	178	1832	27	112	2561	45	599	233	549	26	884	25	50	2596	391	544	74	147	23	109	36	1247	597	85	221	822	12	307	48	280	314	232	85	63	3190	1065	81	1223	73	97	21	1151	130	1754	829	270	30	1365	1702	32	292	39	14	616	44	65	54	56
"c__Betaproteobacteria"	62	67	30	25	41	84	64	45	30	18	30	30	31	67	25	43	78	41	71	73	37	98	34	750	463	24	40	61	134	51	34	51	47	21	19	138	23	73	39	49	27	81	47	43	44	42	36	65	29	87	16	97	197	69	53	16	36	188	87	78	92	605	166	61	20	142	90	182	82	48	48	68	117	82	61	57	94	76	92	117	76	171	128	87	100	8	114	67	78	39	36	78	50	91	36	27	43	121	60	66	91	205	344	15	115	123	177	205	43
"c__Fusobacteriia"	26	103	1500	332	790	149	191	13	183	56	27	185	11	1	0	5	0	23	3	2	3	0	121	14	53	5	0	96	0	0	10	0	0	3	3	1	51	0	2	202	15	0	8	0	0	1	7	0	0	0	13	5	0	27	180	12	90	98	52	27	114	0	37	62	5	0	21	4	71	7	2	47	7	0	112	27	21	16	1	17	4	37	0	0	14	1	28	0	2	37	57	48	25	7	30	18	80	19	1	192	10	79	18	3	54	25	140	2	15
"c__Coriobacteriia"	12	62	17	23	7	12	10	45	3	30	37	11	2	21	11	8	18	81	3	47	13	40	27	20	434	6	10	6	7	5	39	0	30	22	47	5	11	6	6	1	8	7	89	13	46	19	3	11	2	6	79	19	57	55	21	10	125	19	18	5	25	19	193	266	9	37	14	59	6	16	11	5	5	47	6	62	45	13	7	19	18	39	8	3	44	8	16	14	8	250	94	4	59	66	11	22	69	15	38	13	10	112	40	89	69	4	3	64	13
"c__Actinomycetes"	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	80	620	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	1	0	0	240	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	43	0	0	0	2	0	0
"c__Mollicutes"	0	3	0	0	3	0	8	0	2	3	14	2	0	0	0	0	0	1	0	3	0	0	1	0	28	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	3	6	1	0	0	11	12	2	0	0	3	0	12	0	2	0	0	0	0	0	0	7	0	2	0	5	0	1	0	0	0	10	0	0	0	0	9	4	1	12	0	0	0	2	6	12	4	0	5	0	0	0	0	0	0
"c__Bacilli"	0	4	4	0	2	0	0	4	2	3	5	1	0	1	0	0	0	0	0	1	3	7	0	0	0	1	0	0	0	5	0	0	3	2	0	1	0	0	4	5	0	1	5	4	1	1	0	0	0	0	8	2	0	0	4	0	3	2	3	1	0	0	0	1	1	2	3	1	0	0	1	0	0	4	0	1	1	0	0	4	0	0	5	0	17	5	1	1	1	7	1	0	1	2	1	6	0	0	1	26	0	25	0	1	1	2	1	1	2
