tax	BUD-46-MGE-S81	CM-NTC-005	FRA-9-MGE-S71	GIN-14-MGE-S75	GIN-7-DRS-S87	GIN-7-MGE-S88	GOO-42-MGE-S76	HER-11-MGE-S72	IRI-46-MGE-S80	IRI-7-DRS-S85	IRI-7-MGE-S86	IVY-24-DRS-S92	IVY-24-MGE-S90	JAR-49-DRS-S70	JOA-21-MGE-S89	KOR-6-DRS-S83	KOR-6-MGE-S84	KUB-14-MGE-S74	LAM-44-DRS-S77	MAR-24-DRS-S91	MAR-44-MGE-S78	OPH-45-MGE-S79	PAD-11-MGE-S73	PAD-5-MGE-S82	total
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera paucivorans	258	0	304	235	243	373	442	104	518	570	1072	470	431	638	0	262	136	47	127	94	398	113	32	248	7115
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium	80	0	0	373	0	0	0	3	238	250	196	663	1314	4	116	317	70	93	361	1	0	44	2948	9	7080
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera indica	354	1	242	179	206	321	352	64	169	248	483	368	357	537	0	198	88	39	115	67	316	90	32	170	4996
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola sartorii	1035	0	10	70	37	17	154	66	657	139	181	239	368	390	113	420	186	168	77	34	184	331	0	1	4877
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellamassilia;Prevotellamassilia timonensis	1215	0	7	0	0	0	238	57	0	0	0	0	1	211	0	773	369	156	0	0	139	246	111	953	4476
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	384	0	235	121	124	117	197	156	213	153	186	216	196	219	134	373	168	186	154	189	150	216	212	167	4466
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella boydii	0	0	1697	1	851	779	17	63	1	0	0	0	0	44	0	0	1	3	0	0	11	5	167	716	4356
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus	308	0	21	165	13	2	20	209	277	44	61	163	259	119	23	1193	389	279	57	16	50	214	233	239	4354
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Wansuia;Wansuia hejianensis	98	0	52	64	34	20	177	127	146	336	103	704	260	508	69	664	228	78	15	143	128	129	98	48	4229
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis	633	1	29	88	149	73	76	33	955	147	120	75	170	5	0	444	134	49	68	26	184	88	146	108	3801
