tax	BUD-46-MGE-S81	CM-NTC-005	FRA-9-MGE-S71	GIN-14-MGE-S75	GIN-7-DRS-S87	GIN-7-MGE-S88	GOO-42-MGE-S76	HER-11-MGE-S72	IRI-46-MGE-S80	IRI-7-DRS-S85	IRI-7-MGE-S86	IVY-24-DRS-S92	IVY-24-MGE-S90	JAR-49-DRS-S70	JOA-21-MGE-S89	KOR-6-DRS-S83	KOR-6-MGE-S84	KUB-14-MGE-S74	LAM-44-DRS-S77	MAR-24-DRS-S91	MAR-44-MGE-S78	OPH-45-MGE-S79	PAD-11-MGE-S73	PAD-5-MGE-S82	total
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia producta	5	0	0	0	2	1	5	4	5	10	7	23	7	16	3	26	9	7	1	3	1	8	11	1	155
Bacteria;Bacteria_none;Bacillota;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Clostridioides;Clostridioides difficile	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	155
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides eggerthii	0	0	0	0	0	0	0	2	6	1	2	50	71	0	0	9	0	0	0	0	0	2	11	0	154
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena absiana	5	0	2	0	0	0	1	22	6	8	18	1	0	3	0	17	3	5	0	7	2	50	1	1	152
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_Incertae_sedis;[Clostridium] leptum	2	0	0	0	0	0	0	0	0	0	4	17	14	0	0	13	25	13	1	2	5	24	27	1	148
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	36	0	1	0	4	0	1	0	26	1	7	3	4	22	0	18	10	4	0	0	1	5	0	0	143
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens	6	0	0	0	0	0	0	3	7	1	2	5	10	2	0	20	7	8	1	6	1	8	40	9	136
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia pseudococcoides	3	0	0	4	2	0	1	4	9	13	4	3	0	4	0	38	22	3	0	8	1	5	6	3	133
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides faecis	0	0	0	0	0	0	0	6	0	0	0	21	49	0	0	28	7	4	0	0	0	0	1	15	131
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora xylanisolvens	2	0	1	4	0	1	5	7	3	3	0	29	12	3	6	19	2	2	1	7	3	13	5	2	130
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella shahii	14	0	0	0	0	0	7	0	33	18	41	0	0	0	16	0	0	0	0	0	0	0	0	0	129
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus oricebi	0	0	2	0	3	4	0	0	1	3	0	60	5	0	2	33	4	1	4	2	0	1	0	2	127
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;Abiotrophia defectiva	0	0	2	0	6	3	0	0	0	0	0	56	2	0	2	49	3	0	0	0	0	0	1	2	126
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio proteoclasticus	6	0	6	11	1	0	9	3	4	9	5	11	3	20	1	10	3	2	6	2	2	5	0	3	122
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus	3	0	0	0	0	0	0	0	50	13	7	8	9	4	0	5	1	0	7	2	0	2	2	6	119
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter chengduensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	117	1	0	119
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	2	0	0	0	1	0	0	13	10	6	6	1	1	2	0	13	3	5	0	3	3	49	1	0	119
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia coccoides	4	0	3	1	3	0	5	1	4	12	3	19	8	11	1	18	5	1	0	6	1	5	6	2	119
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Gluceribacter;Gluceribacter canis	2	0	1	3	2	1	1	7	6	13	3	20	3	15	0	18	6	0	2	8	0	3	2	2	118
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella koreensis	19	0	0	0	0	0	6	0	36	16	26	0	0	0	13	0	0	0	0	0	0	0	0	0	116
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia argi	2	0	4	4	3	4	4	2	2	11	7	0	1	18	0	23	5	15	1	3	5	0	0	2	116
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Acutalibacteraceae;Anaeromassilibacillus;Anaeromassilibacillus senegalensis	3	0	0	0	0	1	0	0	0	1	3	19	15	0	0	10	19	12	1	1	1	14	12	3	115
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Qiania;Qiania dongpingensis	3	0	6	1	2	3	8	5	3	18	6	5	4	21	0	1	2	0	4	8	1	2	1	4	108
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella clara	17	0	0	0	0	0	0	1	10	3	3	2	4	1	0	18	6	3	0	5	0	4	30	0	107
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae	0	0	0	0	0	0	0	0	76	13	7	2	6	0	0	1	0	0	0	0	0	0	0	0	105
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena orotica	4	0	1	0	0	1	2	11	11	8	14	3	1	7	0	7	2	1	1	3	2	23	0	1	103
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pasteurianus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	91	0	99
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella dubosii	16	0	0	0	0	0	2	0	51	9	8	3	5	0	0	0	0	0	0	0	0	0	0	1	95
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter asburiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	86	7	0	94
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	0	0	29	0	18	15	0	1	0	0	0	0	0	0	0	0	0	12	6	0	0	0	3	10	94
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera sueciensis	3	0	3	3	1	1	5	1	12	10	28	5	6	4	0	1	1	0	2	1	1	1	0	4	93
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecigallinarum	0	0	0	0	0	0	2	0	28	8	6	1	2	7	0	5	1	1	0	0	0	27	0	0	88
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Caecibacter;Caecibacter massiliensis	1	0	4	0	4	6	12	1	0	12	8	4	3	9	0	6	2	1	2	1	7	1	2	2	88
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Drancourtella;Drancourtella massiliensis	2	1	2	2	2	0	1	4	4	5	3	4	1	10	2	28	6	2	1	1	3	2	2	0	88
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella tannerae	27	0	0	0	0	0	4	3	0	0	0	0	0	4	0	13	5	1	0	0	2	4	6	17	86
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora saccharolytica	2	0	1	1	0	0	0	8	4	3	1	22	5	4	1	12	6	1	2	2	1	1	5	1	83
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella illustrans	17	0	0	0	0	0	5	0	16	12	15	0	0	0	7	3	1	0	0	0	0	3	0	1	80
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Anaerocolumna;Anaerocolumna jejuensis	3	0	3	3	2	1	4	0	4	21	3	3	1	13	0	8	0	0	3	2	2	1	0	0	77
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis	0	0	0	1	1	0	0	0	0	0	0	40	5	0	2	9	2	6	1	0	0	0	1	8	76
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Marseilla;Marseilla massiliensis	22	0	0	0	0	0	4	1	2	0	1	0	0	4	2	11	6	4	0	0	4	2	1	12	76
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Sodaliphilus;Sodaliphilus pleomorphus	19	0	2	0	2	0	0	0	1	0	0	2	5	8	0	17	9	2	0	0	2	4	0	0	73
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;[Clostridium] polysaccharolyticum	6	0	3	4	1	3	9	1	2	8	7	3	0	13	1	2	0	1	0	3	2	1	0	2	72
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Jingyaoa;Jingyaoa shaoxingensis	2	0	1	4	0	1	3	3	1	11	1	6	2	7	2	15	6	0	0	0	2	3	1	0	71
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium transplantifaecale	0	0	1	1	0	0	1	4	3	7	2	6	2	11	1	8	3	1	2	2	0	0	15	0	70
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella enoeca	6	0	0	0	0	0	5	0	17	15	17	0	0	0	9	0	0	0	0	0	0	0	0	0	69
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera hexanoica	1	0	4	2	4	5	8	0	3	10	7	4	4	7	0	2	0	0	0	3	4	0	0	1	69
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia albertii	0	0	35	0	12	9	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	8	69
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella xylaniphila	21	0	1	0	0	0	5	0	0	0	0	0	0	8	0	10	5	3	0	0	0	4	1	10	68
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;Granulicatella elegans	1	0	0	1	0	1	0	0	0	0	0	35	0	0	0	20	3	0	1	0	0	3	0	2	67
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia caecimuris	4	0	0	9	0	0	2	6	1	1	2	11	8	0	4	5	1	2	0	0	1	9	0	0	66
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium perfringens	0	0	0	5	0	0	0	0	0	0	0	0	0	0	28	0	0	0	4	0	0	0	9	17	63
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Murimonas;Murimonas intestini	3	0	2	0	1	0	1	5	1	6	1	1	2	11	0	13	4	2	0	0	4	2	2	0	61
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalimonas;Faecalimonas umbilicata	2	0	0	1	0	0	2	9	4	3	3	7	2	5	0	9	4	1	1	0	0	5	0	1	59
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera vaginalis (ex Srinivasan et al. 2021)	1	0	3	4	1	1	8	2	5	2	6	3	3	2	0	3	2	0	3	0	2	3	1	3	58
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides johnsonii	9	0	0	1	2	3	1	0	16	4	1	0	0	1	0	9	1	0	5	0	4	1	0	0	58
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella viscericola	11	0	0	0	3	0	1	0	1	0	0	0	2	11	0	12	7	2	0	1	1	6	0	0	58
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Canicola;Canicola haemoglobinophilus	0	0	0	1	9	8	0	0	0	0	0	1	0	0	0	19	17	0	0	0	0	0	0	2	57
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Gemellaceae;Gemella;Gemella parahaemolysans	0	0	0	0	0	0	0	1	0	1	0	44	2	0	0	8	1	0	0	0	0	0	0	0	57
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia porci	2	0	1	3	1	2	1	2	3	11	4	0	0	9	1	5	0	0	2	2	1	2	1	3	56
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	8	0	0	0	0	0	0	1	3	8	4	0	0	0	0	5	0	1	0	1	0	19	3	2	55
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Hungatella;Hungatella effluvii	0	0	0	2	0	0	2	5	0	2	1	13	4	1	1	6	6	2	0	2	0	2	4	0	53
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster citroniae	0	0	0	2	0	0	1	4	1	2	2	7	4	2	2	16	4	1	0	0	0	1	3	0	52
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Leyella;Leyella lascolaii	14	0	0	0	0	0	3	0	12	7	12	0	0	0	4	0	0	0	0	0	0	0	0	0	52
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum gordoncarteri	6	0	0	0	0	0	1	0	24	4	4	6	5	0	0	0	0	0	0	0	0	0	0	0	50
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella marshii	12	0	0	0	0	0	2	0	8	15	8	0	0	0	4	0	0	0	0	0	0	0	0	0	49
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Caecibacteroides;Caecibacteroides pullorum	39	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	2	0	0	1	0	0	0	48
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus koreensis	0	0	0	0	0	1	0	1	1	0	1	18	1	0	3	3	6	0	3	4	2	2	0	2	48
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Hungatella;Hungatella hathewayi	0	0	1	1	0	0	0	2	1	0	2	12	3	4	1	5	3	2	0	4	0	3	3	0	47
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Eisenbergiella;Eisenbergiella tayi	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	27	3	5	0	0	0	1	0	0	46
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Gemellaceae;Gemella;Gemella haemolysans	0	0	0	0	1	1	0	0	0	1	1	27	0	0	2	10	0	0	0	1	0	0	0	2	46
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides koreensis	1	0	0	0	0	0	0	0	15	4	7	5	2	4	0	2	0	1	0	0	0	1	3	1	46
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster hominis (ex Hitch et al. 2024)	5	0	1	0	0	0	4	6	2	3	6	2	0	3	0	6	2	0	0	0	0	5	0	0	45
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola coprophilus	13	0	0	0	2	0	1	1	2	0	3	2	4	2	0	6	2	1	1	0	1	4	0	0	45
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium merdae	1	0	0	0	0	0	0	0	0	0	0	4	7	0	0	4	6	7	0	0	0	8	7	0	44
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella muris	7	0	0	0	0	0	0	0	22	2	2	2	4	1	0	0	0	0	0	0	1	0	1	1	43
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;Coprococcus eutactus	1	0	1	1	0	0	2	1	0	3	2	3	3	5	4	7	2	0	0	3	1	3	1	0	43
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella dentasini	15	0	0	0	0	0	1	1	2	4	0	0	0	1	0	4	3	0	0	0	1	2	0	9	43
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides clarus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	42
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella;Pasteurella multocida	0	0	0	0	5	2	0	0	0	0	0	0	1	0	0	18	14	0	0	0	0	1	0	1	42
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella lacticifex	2	0	0	0	0	0	3	0	12	13	6	0	0	0	6	0	0	0	0	0	0	0	0	0	42
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia faecis	1	0	1	2	2	0	2	3	2	5	1	3	4	2	0	7	0	0	1	3	0	2	1	0	42
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium equinum	1	0	0	0	0	0	0	21	0	0	0	0	2	0	0	0	0	1	0	0	0	0	15	0	40
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia schinkii	1	0	0	1	0	0	0	5	0	1	0	5	9	2	5	1	0	2	0	0	0	8	0	0	40
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum intestinale	11	0	0	0	0	0	1	0	12	5	1	1	6	0	0	2	1	0	0	0	0	0	0	0	40
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella pleuritidis	7	0	0	0	0	0	3	0	13	4	9	0	0	0	4	0	0	0	0	0	0	0	0	0	40
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter ludwigii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	36	2	0	39
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Gemellaceae;Gemella;Gemella morbillorum	1	0	0	0	3	1	0	1	0	1	0	22	1	0	1	5	1	0	0	0	0	1	0	0	38
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella stercoris	6	0	0	0	0	0	0	1	3	0	0	2	6	0	0	0	4	1	2	0	5	3	1	2	36
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella corporis	9	0	0	0	0	0	2	0	9	7	5	0	0	0	4	0	0	0	0	0	0	0	0	0	36
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella denticola	9	0	0	0	0	0	0	0	0	4	2	0	0	1	2	2	4	2	0	0	2	0	1	6	35
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena faecalis	2	0	1	0	0	0	0	4	3	1	5	0	0	0	0	0	0	2	0	3	1	12	0	0	34
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus ilei	1	0	1	0	1	0	0	0	0	1	0	15	2	0	0	8	1	0	2	0	0	0	1	1	34
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium vitabionis	0	0	0	0	0	0	0	1	1	5	1	7	2	5	0	5	1	0	0	1	0	1	0	1	31
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides gallinaceum	29	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	31
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Parolsenella;Parolsenella catena	8	0	0	2	2	1	0	1	0	0	0	3	1	1	1	2	1	2	0	0	3	1	0	1	30
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia hydrogenotrophica	1	0	0	0	0	0	2	5	3	1	3	0	1	2	0	3	6	1	0	0	0	1	0	1	30
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Catenibacillus;Catenibacillus scindens	2	0	0	0	0	0	0	0	1	0	2	0	7	1	0	0	4	0	0	0	0	9	4	0	30
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Sellimonas;Sellimonas intestinalis	0	0	0	0	1	0	1	0	1	3	0	0	0	0	0	14	3	1	0	1	1	2	1	1	30
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Thermophilibacter;Thermophilibacter mediterraneus	2	0	0	0	1	1	2	5	0	0	1	3	3	1	0	5	1	0	0	0	2	1	0	2	30
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;[Clostridium] symbiosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	3	29
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus parasanguinis	0	0	1	1	0	0	0	0	0	0	0	16	1	0	1	4	0	0	0	0	1	0	2	2	29
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Cuneatibacter;Cuneatibacter caecimuris	0	0	1	0	0	0	1	2	3	3	6	1	0	5	0	2	2	0	1	0	1	0	0	1	29
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Diplocloster;Diplocloster agilis	2	0	1	1	0	0	0	0	0	2	2	5	2	4	0	3	0	0	0	0	1	3	1	1	28
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Syntrophococcus;Syntrophococcus sucromutans	1	0	0	1	0	0	9	0	2	1	0	1	0	4	0	5	0	0	0	0	1	2	1	0	28
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola faecalis	8	0	0	1	0	0	0	1	8	2	1	0	1	0	0	1	1	1	0	0	1	1	0	0	27
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella paludivivens	8	0	0	0	0	0	2	0	5	2	4	0	0	0	1	1	0	0	0	0	0	2	0	2	27
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella provencensis	4	0	1	1	1	0	0	2	0	0	0	2	6	1	0	1	2	0	1	1	2	0	1	0	26
Bacteria;Bacteria_none;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Parvimonas;Parvimonas micra	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	19	1	1	0	0	0	0	0	0	26
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella hominis	9	0	0	0	0	4	0	0	3	1	0	0	0	2	1	0	0	1	1	0	0	0	1	3	26
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella rava	4	0	0	0	0	0	3	0	0	0	0	0	0	3	0	8	1	0	0	0	0	0	1	4	24
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus vulneris	2	0	2	1	0	0	0	1	0	1	1	10	1	1	0	2	0	0	0	1	0	1	0	0	24
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter sichuanensis	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19	3	0	23
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Bariatricus;Bariatricus massiliensis	0	0	0	0	0	0	1	1	1	1	2	0	0	3	0	7	2	0	0	2	0	2	0	1	23
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster lavalensis	1	0	0	0	0	0	3	3	1	2	1	3	0	2	0	4	0	0	0	1	0	1	1	0	23
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides finegoldii	1	0	1	0	0	0	0	1	1	0	0	1	4	0	0	7	2	2	2	0	0	1	0	0	23
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora aerotolerans	1	0	0	0	1	0	1	1	1	1	0	2	1	4	1	2	3	0	0	1	0	2	0	1	23
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Merdimonas;Merdimonas faecis	0	0	0	0	0	0	1	0	0	1	0	4	4	2	0	5	1	0	1	0	0	3	0	0	22
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia stercoris	0	0	0	0	0	0	1	0	1	2	1	3	1	3	0	2	2	0	1	0	0	1	0	4	22
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus oralis	0	0	0	0	1	0	0	0	0	0	0	10	0	0	3	0	0	1	1	4	0	0	0	1	21
