"Taxa"	"Hera_2"	"JarJarBinks_2"	"Lambchop_2"	"Goose_4"	"Buddy_16"	"Marshmallow_41"	"JarJarBinks_44"	"Hamlet_67"	"Grogu_70"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.636	0.458	0.27	0.001	0.571	0.778333333333333	0.502	0.7715	0.666333333333333
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales"	0.187333333333333	0.1155	0.0645	5e-04	0.130333333333333	0.0701666666666667	0.151333333333333	0.0863333333333333	0.103
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales"	0.00466666666666667	0.00233333333333333	0.592666666666667	0.000166666666666667	0.0025	0.000166666666666667	0.214833333333333	0.00383333333333333	5e-04
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales"	0.02	0.157666666666667	0.0055	0.212	0.19	0.104	0.0601666666666667	0.0108333333333333	0.0358333333333333
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales"	0.000333333333333333	0.00166666666666667	0.00433333333333333	0.647333333333333	0.000166666666666667	0.000333333333333333	0.006	0.00383333333333333	0.115333333333333
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales"	0.0695	0.0156666666666667	0.0508333333333333	0	0.016	0.0138333333333333	0.0201666666666667	0.039	0.0126666666666667
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales"	0.0196666666666667	0.0651666666666667	0.00333333333333333	0	0.0186666666666667	0.00583333333333333	0.0108333333333333	0.0176666666666667	0.0501666666666667
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales"	0.00483333333333333	0.111166666666667	0.00133333333333333	0	0.0131666666666667	0.007	0.0045	0.00966666666666667	0.00183333333333333
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales"	0.0178333333333333	0.0215	0.002	0.00266666666666667	0.0438333333333333	0.00566666666666667	0.0158333333333333	0.0106666666666667	0.00866666666666667
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales"	0.028	0.0248333333333333	0.00366666666666667	0.000166666666666667	0.0113333333333333	0.0123333333333333	0.0121666666666667	0.0288333333333333	0.0045
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales"	0.000166666666666667	0	0	0.110833333333333	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales"	0.008	0.00633333333333333	0.00183333333333333	0.00133333333333333	5e-04	0.00166666666666667	0.0015	0.00933333333333333	0.00116666666666667
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales"	0.0035	0.0131666666666667	0	0.00116666666666667	0	0	0	0.0045	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales"	0	0	0	0.0146666666666667	0	0	0	0	0
"k__Bacteria|p__Mycoplasmatota|c__Mollicutes|o__Anaeroplasmatales"	0	0.007	0	0	0	5e-04	5e-04	0.00133333333333333	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales"	0	0	0	0.000333333333333333	0.0025	0	0	0.0025	0
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Neisseriales"	0	0	0	0.0045	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales"	0	0	0	0.00316666666666667	0	0	0	0	0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Eggerthellales"	0.000166666666666667	0	0	0	0	0.000166666666666667	0.000166666666666667	0	0
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales"	0	0	0	0.000166666666666667	0	0	0	0	0
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales"	0	0	0	0	0	0	0	0.000166666666666667	0
