"Taxa"	"Hera_2"	"JarJarBinks_2"	"Lambchop_2"	"Goose_4"	"Buddy_16"	"Marshmallow_41"	"JarJarBinks_44"	"Hamlet_67"	"Grogu_70"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Segatella"	0.246	0.0285	0.00333333333333333	0.000166666666666667	0.345666666666667	0.383666666666667	0.259	0.00133333333333333	0.5615
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.2125	0.152666666666667	0.197333333333333	0.000333333333333333	0.034	0.0238333333333333	0.0216666666666667	0.501833333333333	0.0611666666666667
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia"	0.129166666666667	0	0.045	0	0.141666666666667	0.2835	0.142333333333333	0.130666666666667	0.0266666666666667
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium"	0.02	0.157666666666667	0.0055	0.212	0.19	0.104	0.0601666666666667	0.0108333333333333	0.0358333333333333
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum"	0	5e-04	0.582166666666667	0.000166666666666667	0.00233333333333333	0	0.208666666666667	0.000166666666666667	0.000333333333333333
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus"	0.115166666666667	0.102666666666667	0.0253333333333333	0	0.0686666666666667	0.0463333333333333	0.117833333333333	0.0793333333333333	0.00983333333333333
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella"	0.000333333333333333	0.000666666666666667	0.00166666666666667	0.447666666666667	0.000166666666666667	0.000333333333333333	0.00433333333333333	0.00183333333333333	0.0755
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella"	0.0721666666666667	0.0128333333333333	0.0391666666666667	0.000333333333333333	0.0616666666666667	0.0238333333333333	0.0333333333333333	0.007	0.0931666666666667
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides"	0.0303333333333333	0.130333333333333	0.0115	0	0.0201666666666667	0.0245	0.0148333333333333	0.0825	0.00966666666666667
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"	0.011	0.097	0.0095	0	0.024	0.047	0.0491666666666667	0.046	0.00466666666666667
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia"	0	0.000166666666666667	0.00216666666666667	0.199333333333333	0	0	0.0015	0.002	0.0396666666666667
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.0695	0.0156666666666667	0.0508333333333333	0	0.016	0.0138333333333333	0.0201666666666667	0.039	0.0126666666666667
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.0196666666666667	0.0651666666666667	0.00333333333333333	0	0.0186666666666667	0.00583333333333333	0.0108333333333333	0.0176666666666667	0.0501666666666667
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella"	0.0045	0.0958333333333333	0.001	0	0.0121666666666667	0.00466666666666667	0.00333333333333333	0.00783333333333333	0.0015
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.0163333333333333	0.0213333333333333	0.002	0	0.0421666666666667	0.00566666666666667	0.0153333333333333	0.0101666666666667	0.00783333333333333
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Oribacterium"	0.0198333333333333	0.008	0.003	0.000166666666666667	0.00933333333333333	0.00833333333333333	0.008	0.0183333333333333	0.00216666666666667
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc"	0.000166666666666667	0	0	0.0525	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus"	0	0	0	0.0516666666666667	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium"	0.00616666666666667	0.00383333333333333	0.00166666666666667	0.00133333333333333	5e-04	0.00133333333333333	0.000833333333333333	0.005	0.000833333333333333
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium"	0.0035	0.0131666666666667	0	0.000333333333333333	0	0	0	0.0045	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0.000333333333333333	0.0176666666666667	0.000166666666666667	0	5e-04	0.00116666666666667	0.000666666666666667	0.000333333333333333	0.000333333333333333
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella"	0.00183333333333333	0.005	0.000333333333333333	0	0.00216666666666667	0.00416666666666667	0.00483333333333333	0.00116666666666667	0.001
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia"	0.001	0.01	0.000166666666666667	0	5e-04	0.00166666666666667	0.001	0.00216666666666667	0.000166666666666667
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter"	0.000166666666666667	0.00733333333333333	0.0015	0	0	5e-04	0.0035	0.003	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinivibrio"	0	0	0.01	0	0	0	0.00533333333333333	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Xylanibacter"	0.000333333333333333	0.0118333333333333	0	0	0.000166666666666667	0	0	0	0.000166666666666667
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas"	0.00466666666666667	0.00183333333333333	5e-04	0	0.000166666666666667	0.000166666666666667	0.000833333333333333	0.00366666666666667	0.000166666666666667
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella"	0.001	0.003	0	0	0.000166666666666667	0.00466666666666667	5e-04	0.001	0.000166666666666667
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Thermophilibacter"	0.000166666666666667	0.008	0.000166666666666667	0	0	0.000833333333333333	0.000333333333333333	5e-04	0.000166666666666667
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Wansuia"	0.00116666666666667	0.00116666666666667	5e-04	0	5e-04	0.000833333333333333	0.00266666666666667	0.0025	5e-04
"k__Bacteria|p__Mycoplasmatota|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae|g__Asteroleplasma"	0	0.007	0	0	0	5e-04	5e-04	0.00133333333333333	0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Parolsenella"	0	0.00416666666666667	0	0	5e-04	0.000666666666666667	0.000333333333333333	0.00116666666666667	0.000166666666666667
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor"	0.000666666666666667	0.00133333333333333	0	0	0	0.000166666666666667	0	0.00383333333333333	0
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus"	0	0	0	0.00583333333333333	0	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum"	5e-04	0	0.000166666666666667	0	0.000666666666666667	0.00133333333333333	0.002	5e-04	0.000166666666666667
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas"	0	0	0	0.000333333333333333	0.0025	0	0	0.0025	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella"	0.000666666666666667	0.000833333333333333	0.001	0	0	0.000166666666666667	0.000333333333333333	0.00216666666666667	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Canicola"	0	0	0	0.00516666666666667	0	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Mediterranea"	0.00116666666666667	0.000166666666666667	0	0	0.001	0.00133333333333333	0.000833333333333333	0.000333333333333333	0.000166666666666667
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus"	0.000166666666666667	0	0.000166666666666667	0	0.000666666666666667	0.0015	0.00116666666666667	0.000333333333333333	5e-04
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella"	0.000166666666666667	0.00266666666666667	0	0	0.000166666666666667	0.000666666666666667	0.000333333333333333	0.000166666666666667	0
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella"	0.001	0	0	0	0.0015	0	0.000333333333333333	0.000333333333333333	0.000833333333333333
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria"	0	0	0	0.00383333333333333	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lacrimispora"	0.00116666666666667	5e-04	0	0	0	0.000166666666666667	0	0.0015	0.000333333333333333
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Caecibacteroides"	0.000833333333333333	5e-04	0	0	0.000166666666666667	0.000833333333333333	0.000666666666666667	0.000166666666666667	0.000166666666666667
"k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Gemellaceae|g__Gemella"	0	0	0	0.00316666666666667	0	0	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter"	0	0	0	0.00316666666666667	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Enterocloster"	0.000833333333333333	5e-04	0	0	0.000166666666666667	0.000666666666666667	0.000333333333333333	5e-04	0
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella"	0	0	0	0.00266666666666667	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Butyricicoccaceae|g__Butyricicoccus"	0.00116666666666667	0.000166666666666667	0.000166666666666667	0	0	0	5e-04	0.000166666666666667	0.000333333333333333
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Butyrivibrio"	0.000333333333333333	0.001	0	0	0	0.000166666666666667	0.000166666666666667	5e-04	0.000166666666666667
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Mediterraneibacter"	0.000166666666666667	0.000666666666666667	0	0	0	0.000166666666666667	0	0.001	0.000333333333333333
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum"	0	0.00166666666666667	0	0	0	0.000166666666666667	5e-04	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Waltera"	0.000333333333333333	0.000833333333333333	0	0	0	0	0	5e-04	0.000166666666666667
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__"	0	0	0	0.00183333333333333	0	0	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Actinobacillus"	0	0	0	0.00183333333333333	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Bilifractor"	5e-04	0.000333333333333333	0	0	0.000166666666666667	0	0	0.000333333333333333	0.000166666666666667
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Hominisplanchenecus"	0.000166666666666667	0.000333333333333333	0	0	0.000166666666666667	0	0	5e-04	0.000166666666666667
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Marvinbryantia"	0.000833333333333333	0.000166666666666667	0	0	0	0	0	0.000166666666666667	0.000166666666666667
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Faecalicatena"	0	0.001	0	0	0	0.000166666666666667	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter"	0	0.000833333333333333	0.000333333333333333	0	0	0	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus"	0	0	0	0.00116666666666667	0	0	0	0	0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma"	0	0.000166666666666667	0.000166666666666667	0	0.000333333333333333	0.000166666666666667	0.000166666666666667	0	0
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Colibacter"	0.000333333333333333	0.000166666666666667	0	0	0.000166666666666667	0	0.000166666666666667	0.000166666666666667	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Hoylesella"	0	0.000666666666666667	0	0.000333333333333333	0	0	0	0	0
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia"	0	0	0	0.000833333333333333	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnoclostridium"	5e-04	0	0	0	0.000166666666666667	0	0	0.000166666666666667	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__"	0	0.000333333333333333	0	0	0	0	0.000166666666666667	0.000166666666666667	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerocolumna"	0.000166666666666667	0	0	0	0.000166666666666667	0.000166666666666667	0	0.000166666666666667	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Porcincola"	0.000333333333333333	0	0	0	0.000166666666666667	0	0	0.000166666666666667	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Salmonella"	0	0	0.000166666666666667	0.000166666666666667	0	0	0.000166666666666667	0	0.000166666666666667
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia"	0	0	0	5e-04	0	0	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Mannheimia"	0	0	0	5e-04	0	0	0	0	0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Paraeggerthella"	0.000166666666666667	0	0	0	0	0.000166666666666667	0.000166666666666667	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes"	0	0.000333333333333333	0	0	0	0	0	0.000166666666666667	0
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella"	0	0	0	0.000333333333333333	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium"	0	0.000333333333333333	0	0	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Hungatella"	0.000166666666666667	0	0	0	0	0	0	0.000166666666666667	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Tyzzerella"	0.000333333333333333	0	0	0	0	0	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Eikenella"	0	0	0	0.000333333333333333	0	0	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Kingella"	0	0	0	0.000333333333333333	0	0	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Bibersteinia"	0	0	0	0.000333333333333333	0	0	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Pasteurella"	0	0	0	0.000333333333333333	0	0	0	0	0
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces"	0	0	0	0.000166666666666667	0	0	0	0	0
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Arachnia"	0	0	0	0	0	0	0	0.000166666666666667	0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Parafannyhessea"	0	0.000166666666666667	0	0	0	0	0	0	0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Paratractidigestivibacter"	0	0.000166666666666667	0	0	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Acutalibacteraceae|g__Anaeromassilibacillus"	0	0.000166666666666667	0	0	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Acutalibacteraceae|g__Caproiciproducens"	0	0.000166666666666667	0	0	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Pseudoflavonifractor"	0	0	0	0	0	0	0	0.000166666666666667	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Peptococcus"	0	0	0	0	0	0.000166666666666667	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Catenibacillus"	0	0.000166666666666667	0	0	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Fusicatenibacter"	0.000166666666666667	0	0	0	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Jingyaoa"	0	0	0	0	0	0	0	0.000166666666666667	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Kineothrix"	0	0	0	0	0	0	0	0	0.000166666666666667
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Merdimonas"	0	0.000166666666666667	0	0	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Caecibacter"	0.000166666666666667	0	0	0	0	0	0	0	0
