"ID"	"hera_1"	"wolverine_1"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"lambchop_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"lambchop_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"goose_20"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"goose_22"	"hamlet_22"	"hera_22"	"iris_22"	"korra_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"goose_24"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"lambchop_25"	"jarjarbinks_29"	"korra_29"	"jarjarbinks_3"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"goose_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"goose_4"	"hamlet_41"	"hera_41"	"goose_42"	"lambchop_42"	"ophelia_43"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"goose_46"	"hamlet_46"	"iris_46"	"lambchop_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"lambchop_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"lambchop_51"	"goose_52"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"lambchop_55"	"ophelia_55"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"korra_6"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"	"hera_7"	"iris_7"	"korra_9"	"ophelia_9"
"c__Negativicutes"	2614	2606	1374	2192	1460	2588	1484	1537	968	2228	1784	2249	2387	2257	1189	2805	2592	2364	2066	1752	2524	2645	2889	2347	2209	425	409	225	2356	1609	2193	2715	1436	1338	2446	2433	1968	2322	1736	621	1614	2890	1407	2221	2403	2409	1769	2148	2100	2081	1833	3066	1126	2861	2135	1791	2444	1404	2427	3454	2040	1678	2667	1765	661	2671	17	4019	2287	2209	1995	1917	2802	1998	187	2301	1159	1248	622	1292	1972	1493	1688	1821	1966	1917	1890	2312	1529	1925	2078	2819	1427	1859	2778	1740	2356	1338	2189	2614	2362	2384	2475	346	2348	2890	2469	2624	1195	2564	2306	2544	1368	1509	1272	1481	2436	2480	2289	1778	1958	994	3347	1222	2518	269	3268	1862	2800	4670	1445	2332
"c__Bacteroidia"	755	522	603	347	649	561	1911	1158	318	611	617	337	927	449	0	770	739	960	1301	738	743	0	461	1057	1181	2544	1825	1080	573	775	893	601	675	699	577	768	633	603	661	257	759	736	524	485	798	1041	432	721	1210	574	1215	470	627	885	475	179	458	170	760	1306	747	1318	559	642	462	445	2	1177	779	583	1548	551	140	1191	2007	1145	2126	1832	272	1741	669	1379	1560	1424	1510	1218	1099	955	581	874	1259	466	1658	789	610	677	982	1710	745	550	1161	848	1036	280	242	828	667	572	1044	394	720	586	2272	624	1890	303	357	230	544	1037	1116	1181	1363	1985	497	3085	131	730	503	1114	1503	671
"c__Gammaproteobacteria"	72	111	36	373	504	187	23	88	2272	26	125	506	38	357	2746	24	60	39	26	1014	127	1162	29	39	27	20	15	2388	261	1174	89	23	960	1433	426	407	864	452	883	2815	1192	16	1571	921	83	5	1305	433	32	648	52	16	2027	173	784	1839	122	2035	178	1832	581	27	113	864	2562	45	5544	600	233	615	70	550	320	27	884	164	25	50	2597	389	546	384	74	147	120	23	109	36	1247	597	86	392	222	822	12	306	48	280	314	232	85	64	167	3190	1065	66	423	81	1223	73	98	21	107	1152	130	1754	906	829	626	270	30	1366	1710	32	292	40	15	617	44	65	54	56
"c__Clostridia"	459	522	435	705	543	418	306	1107	222	1017	1361	679	602	847	38	364	551	541	456	417	477	81	566	412	399	141	122	22	670	406	775	494	784	454	467	340	453	569	648	234	288	269	416	321	452	493	406	592	508	636	783	383	173	4	530	160	883	270	511	1144	512	823	396	598	266	584	20	1893	537	469	127	858	603	532	53	225	292	478	465	396	670	391	430	446	81	767	839	573	514	467	397	240	537	369	490	1175	453	571	504	463	301	522	136	146	184	84	317	640	448	635	678	710	87	572	530	385	143	389	425	723	739	340	1257	644	267	150	475	545	499	1822	724	866
"c__Betaproteobacteria"	62	67	30	25	41	84	64	45	30	18	30	30	31	67	14	25	43	78	41	71	73	103	37	97	34	750	463	255	127	24	40	61	134	51	34	51	47	21	64	19	138	23	73	39	49	27	81	85	47	43	44	42	36	53	65	29	87	16	97	197	99	69	53	113	16	36	40	188	87	119	96	78	44	92	605	46	166	61	20	142	90	240	182	82	187	48	48	68	117	82	61	75	56	94	76	92	117	76	171	128	87	100	103	8	114	77	107	67	78	39	36	78	104	50	91	36	120	27	101	43	121	60	66	91	206	344	15	115	123	177	205	43
"c__Fusobacteriia"	26	103	1500	332	790	149	191	13	183	56	27	185	11	1	0	0	5	0	23	3	2	0	3	0	121	14	53	0	2	5	0	96	0	0	10	0	0	3	6	3	0	52	0	2	202	15	0	13	8	0	1	1	7	1	0	0	0	13	5	0	12	27	180	3	12	90	0	98	52	0	149	27	0	114	0	94	37	62	5	0	21	57	4	71	115	7	2	48	7	0	112	1	27	21	16	1	17	3	37	0	0	14	21	3	28	11	0	0	2	37	57	48	22	25	7	30	1	18	8	80	19	0	192	11	79	18	3	54	25	140	2	15
"c__Coriobacteriia"	12	62	17	23	7	12	10	45	3	30	37	11	2	21	1	12	8	18	81	3	47	3	13	40	27	20	434	6	9	5	10	6	7	5	39	0	30	22	0	47	6	11	6	6	1	9	5	5	88	13	47	19	3	21	11	2	6	79	19	57	9	55	21	15	10	125	0	19	18	5	13	5	83	24	19	19	193	266	9	37	14	54	59	6	6	17	11	5	5	47	5	5	61	45	13	7	19	18	38	7	3	44	8	8	16	12	12	14	8	250	94	5	33	62	66	11	11	23	4	69	15	39	13	10	112	41	89	68	3	3	65	13
"c__Actinomycetes"	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	79	618	23	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	849	1	1	0	0	0	2	1	240	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	2	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	41	0	0	0	2	0	0
"c__Bacilli"	0	4	4	0	2	0	0	4	2	3	5	1	0	1	1	0	0	0	0	0	1	4	2	7	0	1	0	0	1	1	0	0	0	6	0	0	4	2	2	0	3	0	0	4	7	0	0	1	5	4	0	1	0	0	0	0	0	7	3	2	0	0	5	0	0	3	1480	2	3	0	1	2	2	1	0	5	0	1	1	2	3	0	1	0	13	2	1	0	0	4	1	0	0	1	0	0	2	1	0	5	0	17	50	5	1	27	5	1	1	7	1	0	6	1	2	0	21	4	2	0	0	4	27	0	26	0	1	1	2	1	1	2
"c__Mollicutes"	0	3	0	0	3	0	8	0	2	3	14	2	0	0	0	0	0	0	1	0	3	0	0	0	1	0	28	0	0	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	3	0	6	1	0	0	0	0	0	11	0	12	2	0	0	0	3	0	12	0	0	2	0	0	0	0	0	0	0	0	7	0	2	0	5	0	0	0	0	0	0	10	0	0	0	0	0	0	9	4	0	1	12	0	0	0	0	0	2	6	12	4	0	5	0	0	0	0	0	0
