"Taxa"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"lambchop_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"lambchop_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"goose_20"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"goose_22"	"hamlet_22"	"hera_22"	"iris_22"	"korra_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"goose_24"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"lambchop_25"	"buddy_44"	"franc_44"	"ginger_44"	"ivy_44"	"joans_44"	"marshmallow_44"	"buddy_45"	"franc_45"	"grogu_45"	"henry_45"	"ivy_45"	"joans_45"	"marshmallow_45"	"buddy_46"	"charles_46"	"ivy_46"	"joans_46"	"marshmallow_46"	"franc_47"	"ginger_47"	"ivy_47"	"marshmallow_47"	"buddy_48"	"charles_48"	"franc_48"	"grogu_48"	"henry_48"	"ivy_48"	"joans_48"	"marshmallow_48"	"charles_49"	"franc_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"marshmallow_49"	"buddy_50"	"charles_50"	"franc_50"	"ginger_50"	"grogu_50"	"ivy_50"	"joans_50"	"charles_51"	"franc_51"	"joans_51"	"buddy_52"	"charles_52"	"ginger_52"	"grogu_52"	"marshmallow_52"	"franc_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"buddy_56"	"franc_56"	"grogu_56"	"joans_56"
"k__Bacteria|p__Bacillota|c__Negativicutes"	0.446	0.56225	0.59725	0.56425	0.29675	0.701	0.648	0.591	0.5165	0.438	0.6315	0.66125	0.722	0.58675	0.5525	0.58875	0.40225	0.54825	0.6785	0.359	0.3345	0.61125	0.6085	0.492	0.5805	0.43425	0.15525	0.4035	0.72275	0.35175	0.5555	0.601	0.60225	0.442	0.537	0.52525	0.5205	0.458	0.7665	0.2815	0.71525	0.387	0.244	0.77075	0.618375	0.43525	0.404	0.46225	0.4815	0.6055	0.8175	0.36225	0.3695	0.15625	0.26475	0.45025	0.7635	0.49625	0.34175	0.6815	0.789	0.53325	0.24625	0.237	0.479	0.4865	0.05725	0.61625	0.504	0.54075	0.4875	0.20275	0.482	0.85625	0.75025	0.636	0.50925	0.39525	0.3335	0.7	0.61175	0.81125	0.255	0.72025	0.3825	0.53425	0.5035	0.32225	0.47825	0.431	0.70175	0.162	0.39575	0.5765	0.08525	0.54275	0.728375	0.4545	0.27	0.47	0.11625	0.63
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria"	0.03125	0.1265	0.00925	0.08925	0.6865	0.006	0.01525	0.00975	0.0065	0.2535	0.03175	0.291	0.00725	0.01	0.0065	0.0655	0.2935	0.02225	0.00575	0.24	0.3585	0.1065	0.102	0.216	0.11325	0.2205	0.70475	0.298	0.00425	0.393	0.23025	0.02125	0.00125	0.326	0.10825	0.00825	0.162	0.013	0.004	0.50675	0.04325	0.33525	0.1465	5e-04	0.05225	0.22225	0.4185	0.21525	0.05375	0.206	0.0015	0.17775	0.1905	0.71775	0.31425	0.1775	0.007	0.16125	0.5175	0.0185	0.08175	0.0055	0.5665	0.62625	0.13725	0.0245	0.8825	0.00675	0.015	0.09675	0.3435	0.5125	0.0375	0.001	0.008	0.03275	0.12375	0.42425	0.487	0.1045	0.021	0.00175	0.666	0.01425	0.09125	0.05475	0.01275	0.1135	0.2945	0.01075	0.0035	0.73875	0.252	0.004	0.8725	0.0115	0.0055	0.00975	0.597	0.01225	0.78625	0.086
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.15425	0.08425	0.232	0.11225	0.00025	0.19275	0.184	0.24	0.3255	0.18475	0.18575	0	0.115	0.264	0.2955	0.1435	0.19375	0.22325	0.151	0.16875	0.17475	0.14425	0.19225	0.15825	0.15125	0.16525	0.06425	0.1895	0.184	0.131	0.12125	0.1995	0.2605	0.108	0.18025	0.30225	0.1435	0.3035	0.1175	0.15675	0.22125	0.17125	0.25275	0.15375	0.12825	0.2615	0.1	0.25925	0.283	0.07775	0.109	0.29975	0.366	0.04075	0.34175	0.29825	0.06	0.25475	0.063	0.16775	0.06075	0.26275	0.07625	0.06925	0.22725	0.31175	0.03225	0.12725	0.2755	0.1725	0.05375	0.04625	0.2415	0.065	0.15	0.18225	0.309	0.056	0.06825	0.118	0.223	0.08825	0.02475	0.1345	0.446	0.24525	0.30975	0.51675	0.1275	0.35225	0.1475	0.056	0.2005	0.29875	0.021	0.2505	0.131	0.31125	0.05525	0.26825	0.05725	0.1935
"k__Bacteria|p__Bacillota|c__Clostridia"	0.34025	0.16975	0.15075	0.21175	0.0095	0.091	0.13825	0.135	0.11425	0.10425	0.11975	0.0205	0.14175	0.10275	0.09925	0.1675	0.1015	0.19375	0.12375	0.19675	0.11375	0.11675	0.0845	0.1135	0.1425	0.162	0.0585	0.0725	0.0675	0.10425	0.08025	0.1135	0.12325	0.10125	0.14825	0.12675	0.15875	0.1965	0.096	0.04325	0.001	0.07275	0.1065	0.04525	0.170875	0.0575	0.06325	0.0375	0.1355	0.06425	0.05325	0.11675	0.04	0.08075	0.04725	0.06075	0.116	0.06225	0.0585	0.10875	0.04425	0.05075	0.092	0.04125	0.139	0.14275	0.025	0.1855	0.17025	0.13575	0.1075	0.0705	0.2045	0.06625	0.073	0.0875	0.0355	0.10625	0.06075	0.05925	0.11175	0.082	0.052	0.10625	0.04625	0.11475	0.11475	0.0355	0.0755	0.15775	0.117	0.03925	0.0945	0.10125	0.02	0.079	0.1075	0.18325	0.06075	0.2145	0.03575	0.06475
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria"	0.0075	0.0075	0.0075	0.01675	0.0035	0.00625	0.01075	0.01975	0.01025	0.01775	0.01825	0.02575	0.0095	0.0245	0.00875	0.03175	0.006	0.01	0.01525	0.03375	0.01275	0.00875	0.01275	0.01175	0.005	0.016	0.00475	0.03425	0.006	0.0185	0.00975	0.01225	0.00675	0.02025	0.02125	0.01175	0.011	0.011	0.0105	0.009	0.0135	0.0065	0.09	0.01575	0.026	0.022	0.011	0.02425	0.04025	0.008	0.016	0.035	0.03375	0.0015	0.01875	0.01	0.016	0.0245	0.0105	0.018	0.0205	0.09375	0.01625	0.01825	0.0045	0.028	0.003	0.00825	0.0275	0.03825	0.0055	0.0025	0.031	0.0055	0.016	0.052	0.01875	0.0095	0.0105	0.015	0.02725	0.013	0.002	0.022	0.02925	0.032	0.034	0.011	0.009	0.042	0.02675	0.004	0.0415	0.01725	0.001	0.0095	0.01525	0.0335	0.01125	0.0295	0.0015	0.02225
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia"	0.00925	0.00275	5e-04	0.00525	0.00025	0.003	0.0025	0.0045	0.02025	0.00075	0.01175	0.00075	0.00325	0.01	0.00675	0.00225	0.00125	0.0025	0.0015	0.00175	0.0015	0.00975	0	0.0075	0.00575	0	0.01175	0.00175	0.0025	0.0015	0.0015	0.00025	0.00225	0.002	0.00125	0.02225	0.00325	0.012	0.005	0.00075	0.00525	0.01175	0.01625	0.01375	0.003125	0.00125	0.003	5e-04	0.00525	0.0365	0.00225	0.008	0.00025	0.003	0.0095	0.002	0.0325	0.00075	0.005	0.0045	0.00275	0.01125	0.0025	5e-04	0.002	0.0055	0	0.04925	0.001	0.00125	0.002	0.00075	0.0025	0.0055	0.00125	0.00275	0.00075	0.008	0.02475	0.0015	0.001	0.00325	0	0.001	0.004	0.009	0.02075	0.00075	0.00975	0.00075	0.00275	0	0.01175	0.002	0.00025	0.096	0.011	0.00475	0.00225	0.0045	0.003	0.00075
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia"	0.00675	0.04625	0.0025	0.00025	0	0	0.00125	0	0.00575	0.00075	5e-04	0	0.00075	0	0.03025	5e-04	0.00125	0	0.024	0	0	0.0025	0	0	0.00075	0.0015	0.00075	0.00025	0.013	0	5e-04	0.05075	0.00375	0	0.00325	0.002	0	0.00025	0.00025	0.00175	5e-04	0.01525	0.109	0.00025	0.000125	0	0	0	0.00025	0	0	5e-04	0	0	0.00375	0.001	0.005	0	0	0.001	0	0.04175	0	0.00725	0.0105	0	0	0.00175	0.004	0.01175	0	0.0035	0	0	0.0015	0.0055	0	0	0.00925	0.001	0	0	0	0	0	0.00575	0.0015	0	0.00425	0.00475	0.00025	0	0	0	0	0.007	0	0.00075	0.0025	0.00025	0	5e-04
"k__Bacteria|p__Bacillota|c__Bacilli"	0.00125	0.00025	0	0.00025	0.003	0	0	0	0	0	0.00025	0.00075	5e-04	0.002	0	0.00025	0.00025	0	0	0	0.0015	0	0	0.001	0.00075	5e-04	0	0.00025	0	0	0.001	0.00125	0	5e-04	0.00025	0.00125	0.001	5e-04	0.00025	0	0	0.00025	0.0345	0	0.00075	0.00025	0.00025	0.001	0	0.002	0.00025	0	0	0	0	0.00025	0	0.00025	0.0035	0	0.00075	0.001	0.00025	0.00025	0.00025	0	0	0.005	0.0015	0.003	0	0.1605	0.001	5e-04	0	5e-04	0.003	0.00075	0.00575	0.00075	0.002	5e-04	0	5e-04	0.00075	0.00425	5e-04	0.00025	0.001	0.00075	0.00025	0	0.004	0.00025	0	0.00375	0.001375	0.002	0.00075	5e-04	0	0.00225
"k__Bacteria|p__Mycoplasmatota|c__Mollicutes"	0.0035	5e-04	0	0	0	0	0	0	0.00025	0	5e-04	0	0	0	0.00025	0	0	0	0.00025	0	0.00275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00525	0	0	0	0	0	0	0.000125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00075	0	0	0.00125	0	0	0	0	0	0	0.00075	0	0	0	0	0.002	0	0	0.00125	0	0	0.0025	0	0	0	0	0	0	0	0	0	0	0.00025	0	0.00025	0	0
"k__Bacteria|p__Actinomycetota|c__Actinomycetes"	0	0	0	0	0	0	0	0	0.00025	0.00025	0	0	0	0	0	0	0.00025	0	0	0	0	0.00025	0	0	0.00025	0	0	0	0	0	0	0.00025	0	0	0.00025	0.00025	0	0	0	0.00025	0	0	0	0	0.000125	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0.00025	0.00025	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0
