"","JarJarBinks_15","Kubo_15","Buddy_17","Iris_17","Ivy_17","Kubo_17","Lambchop_17","Padme_17","Wolverine_17","Buddy_18","Ginger_18","Hamlet_18","Hera_18","Iris_18","Ivy_18","JarJarBinks_18","Kubo_18","Lambchop_18","Wolverine_18","Franc_19","Ivy_19","Ophelia_19","Wolverine_19","Ginger_20","Goose_20","Hamlet_20","Hera_20","Iris_20","Korra_20","Ophelia_20","Buddy_21","Hamlet_21","JarJarBinks_21","Joans_21","Korra_21","Kubo_21","Franc_22","Goose_22","Grogu_22","Hamlet_22","Henry_22","Hera_22","Iris_22","Joans_22","Kubo_22","Marshmallow_22","Hamlet_23","Iris_23","Korra_23","Franc_24","Ginger_24","Henry_24","Hera_24","Ivy_24","Kubo_24","Marshmallow_24","Ophelia_24","Wolverine_24","Henry_25","Kubo_25","Ophelia_43","Buddy_44","Franc_44","Ginger_44","Goose_44","Iris_44","Ivy_44","Joans_44","Lambchop_44","Marshmallow_44","Buddy_45","Franc_45","Grogu_45","Hamlet_45","Henry_45","Hera_45","Ivy_45","JarJarBinks_45","Joans_45","Korra_45","Marshmallow_45","Ophelia_45","Buddy_46","Charles_46","Goose_46","Hamlet_46","Iris_46","Ivy_46","Joans_46","Lambchop_46","Marshmallow_46","Franc_47","Ginger_47","Ivy_47","Marshmallow_47","Buddy_48","Charles_48","Franc_48","Grogu_48","Hamlet_48","Hera_48","Iris_48","Ivy_48","JarJarBinks_48","Joans_48","Korra_48","Kubo_48","Lambchop_48","Marshmallow_48","Ophelia_48","Wolverine_48","Charles_49","Franc_49","Ginger_49","Henry_49","Iris_49","Ivy_49","JarJarBinks_49","Joans_49","Kubo_49","Marshmallow_49","Ophelia_49","Wolverine_49","Buddy_50","Charles_50","Franc_50","Ginger_50","Grogu_50","Ivy_50","JarJarBinks_50","Joans_50","Korra_50","Kubo_50","Lambchop_50","Ophelia_50","Wolverine_50","Charles_51","Franc_51","Joans_51","Lambchop_51","Buddy_52","Charles_52","Ginger_52","Goose_52","Grogu_52","JarJarBinks_52","Kubo_52","Marshmallow_52","Franc_53","Hera_53","Kubo_53","Marshmallow_53","Charles_55","Ginger_55","Iris_55","Ivy_55","Lambchop_55","Ophelia_55","Buddy_56","Franc_56","Grogu_56","Joans_56"
"JarJarBinks_15",0,0.154929577464789,0.462962962962963,0.418181818181818,0.56390977443609,0.307692307692308,0.606299212598425,0.566433566433566,0.189189189189189,0.450704225352113,0.444444444444444,0.217948717948718,0.285714285714286,0.453703703703704,0.410714285714286,0.30379746835443,0.25,0.577235772357724,0.422018348623853,0.515625,0.444444444444444,0.164383561643836,0.41,0.25974025974026,0.4,0.0606060606060606,0.298701298701299,0.473214285714286,0.562043795620438,0.333333333333333,0.130434782608696,0.337078651685393,0.342105263157895,0.548672566371681,0.287671232876712,0.166666666666667,0.454545454545455,0.461538461538462,0.263888888888889,0.371794871794872,0.413461538461538,0.367088607594937,0.458715596330275,0.346938775510204,0.383177570093458,0.171428571428571,0.0909090909090909,0.385542168674699,0.481818181818182,0.503875968992248,0.305555555555556,0.448598130841121,0.0857142857142857,0.453781512605042,0.487179487179487,0.336842105263158,0.247058823529412,0.407407407407407,0.34375,0.151515151515151,0.39047619047619,0.4,0.488372093023256,0.378787878787879,0.25974025974026,0.464912280701754,0.457943925233645,0.424528301886792,0.549295774647887,0.217948717948718,0.432098765432099,0.482758620689655,0.259259259259259,0.411111111111111,0.371794871794872,0.3125,0.427272727272727,0.283950617283951,0.348484848484849,0.307692307692308,0.121212121212121,0.329787234042553,0.421052631578947,0.352941176470588,0.378048780487805,0.157142857142857,0.473684210526316,0.253012048192771,0.393258426966292,0.471074380165289,0.260869565217391,0.445454545454545,0.472222222222222,0.407766990291262,0.441176470588235,0.424528301886792,0.475,0.468468468468469,0.257575757575758,0.311827956989247,0.284090909090909,0.47787610619469,0.443396226415094,0.397727272727273,0.445454545454545,0.528455284552846,0.442477876106195,0.462962962962963,0.481818181818182,0.38,0.420560747663551,0.5,0.482456140350877,0.320512820512821,0.223684210526316,0.4,0.496062992125984,0.44,0.376344086021505,0.423423423423423,0.214285714285714,0.275862068965517,0.315217391304348,0.270588235294118,0.434782608695652,0.367088607594937,0.328571428571429,0.180555555555556,0.345679012345679,0.436170212765957,0.420454545454545,0.3625,0.439655172413793,0.474576271186441,0.39047619047619,0.215189873417722,0.514925373134328,0.433962264150943,0.329268292682927,0.303370786516854,0.284090909090909,0.507692307692308,0.381578947368421,0.283783783783784,0.106060606060606,0.425531914893617,0.548148148148148,0.457142857142857,0.386363636363636,0.161764705882353,0.434782608695652,0.318181818181818,0.336842105263158,0.367816091954023,0.458715596330275,0.315217391304348,0.522727272727273,0.421052631578947,0.258823529411765,0.37,0.166666666666667,0.418604651162791
"Kubo_15",0.154929577464789,0,0.513513513513513,0.469026548672566,0.560606060606061,0.280898876404494,0.625,0.583333333333333,0.202702702702703,0.464788732394366,0.422680412371134,0.275,0.320512820512821,0.504504504504504,0.433628318584071,0.358024691358025,0.33695652173913,0.608,0.473214285714286,0.557251908396946,0.466101694915254,0.226666666666667,0.466019417475728,0.226666666666667,0.459183673469388,0.132352941176471,0.333333333333333,0.468468468468469,0.558823529411765,0.393939393939394,0.144927536231884,0.366666666666667,0.333333333333333,0.531531531531532,0.228571428571429,0.0447761194029851,0.44954128440367,0.5,0.253521126760563,0.40506329113924,0.452830188679245,0.419753086419753,0.508928571428572,0.405940594059406,0.464285714285714,0.159420289855072,0.188405797101449,0.435294117647059,0.462962962962963,0.545454545454545,0.295774647887324,0.5,0.178082191780822,0.475,0.482758620689655,0.329787234042553,0.238095238095238,0.459459459459459,0.387755102040816,0.138461538461538,0.444444444444444,0.453703703703704,0.507692307692308,0.369230769230769,0.358024691358025,0.473684210526316,0.438095238095238,0.490909090909091,0.576388888888889,0.253164556962025,0.363636363636364,0.478260869565217,0.227848101265823,0.456521739130435,0.384615384615385,0.34020618556701,0.47787610619469,0.253164556962025,0.338461538461538,0.320512820512821,0.107692307692308,0.285714285714286,0.397849462365591,0.325301204819277,0.37037037037037,0.293333333333333,0.469026548672566,0.222222222222222,0.43956043956044,0.53968253968254,0.3,0.495575221238938,0.481481481481481,0.41747572815534,0.480769230769231,0.403846153846154,0.483333333333333,0.463636363636364,0.246153846153846,0.375,0.333333333333333,0.473214285714286,0.438095238095238,0.444444444444444,0.39622641509434,0.5,0.4375,0.443396226415094,0.462962962962963,0.357142857142857,0.486486486486487,0.508064516129032,0.47787610619469,0.354430379746835,0.213333333333333,0.456310679611651,0.538461538461538,0.418367346938775,0.469387755102041,0.48695652173913,0.301369863013699,0.247058823529412,0.361702127659574,0.302325581395349,0.456896551724138,0.358974358974359,0.215384615384615,0.169014084507042,0.378048780487805,0.41304347826087,0.466666666666667,0.354430379746835,0.448275862068966,0.483050847457627,0.444444444444444,0.25,0.533333333333333,0.486238532110092,0.380952380952381,0.404255319148936,0.333333333333333,0.515384615384615,0.373333333333333,0.342105263157895,0.0923076923076923,0.402173913043478,0.544776119402985,0.481132075471698,0.433333333333333,0.253521126760563,0.443478260869565,0.307692307692308,0.43,0.341176470588235,0.508928571428572,0.378947368421053,0.552238805970149,0.429824561403509,0.228915662650602,0.363636363636364,0.153846153846154,0.465909090909091
"Buddy_17",0.462962962962963,0.513513513513513,0,0.0740740740740741,0.2421875,0.306306306306306,0.620915032679738,0.417218543046358,0.458715596330275,0.654205607476635,0.53125,0.336538461538462,0.403846153846154,0.0294117647058824,0.107142857142857,0.352941176470588,0.290909090909091,0.615894039735099,0.0747663551401869,0.276923076923077,0.153846153846154,0.472727272727273,0.107843137254902,0.539130434782609,0.558139534883721,0.471698113207547,0.398058252427184,0.0660377358490566,0.263157894736842,0.422764227642276,0.518181818181818,0.330275229357798,0.4,0.533333333333333,0.554545454545455,0.490909090909091,0.0934579439252336,0.46031746031746,0.471153846153846,0.451923076923077,0.4453125,0.504587155963303,0.0388349514563107,0.40650406504065,0.151785714285714,0.485981308411215,0.476190476190476,0.32,0.465648854961832,0.253846153846154,0.470588235294118,0.461538461538462,0.458715596330275,0.168067226890756,0.482014388489209,0.315789473684211,0.394736842105263,0.0566037735849057,0.515384615384615,0.5,0.349593495934959,0.0943396226415094,0.251908396946565,0.59,0.415094339622642,0.1,0.4453125,0.0857142857142857,0.441558441558442,0.383177570093458,0.587719298245614,0.125,0.409090909090909,0.247524752475248,0.451923076923077,0.295652173913043,0.118181818181818,0.383177570093458,0.598039215686274,0.448598130841121,0.509433962264151,0.294642857142857,0.327272727272727,0.432432432432432,0.424528301886792,0.462264150943396,0.0740740740740741,0.429824561403509,0.281553398058252,0.389705882352941,0.547169811320755,0.101851851851852,0.492424242424242,0.216216216216216,0.468253968253968,0.453846153846154,0.317829457364341,0.111111111111111,0.53921568627451,0.279279279279279,0.271028037383178,0.0747663551401869,0.122641509433962,0.284313725490196,0.458646616541353,0.517241379310345,0.108108108108108,0.496240601503759,0.465648854961832,0.295652173913043,0.102803738317757,0.320610687022901,0.0833333333333333,0.398058252427184,0.405660377358491,0.0980392156862745,0.269230769230769,0.303571428571429,0.302752293577982,0.1,0.514018691588785,0.371681415929204,0.233644859813084,0.383928571428571,0.186440677966102,0.432692307692308,0.575471698113208,0.443396226415094,0.384615384615385,0.308411214953271,0.303921568627451,0.428571428571429,0.130434782608696,0.471428571428571,0.438461538461538,0.364485981308411,0.311594202898551,0.058252427184466,0.386792452830189,0.36283185840708,0.271028037383178,0.285714285714286,0.445544554455446,0.495327102803738,0.5,0.330275229357798,0.270676691729323,0.456692913385827,0.274509803921569,0.5,0.12280701754386,0.55,0.27027027027027,0.456140350877193,0.0388349514563107,0.26605504587156,0.493421052631579,0.378787878787879,0.403508771929825,0.271929824561404,0.509615384615385,0.380952380952381
"Iris_17",0.418181818181818,0.469026548672566,0.0740740740740741,0,0.274074074074074,0.265486725663717,0.605095541401274,0.38562091503268,0.414414414414414,0.654867256637168,0.526315789473684,0.324074074074074,0.403669724770642,0.0648148148148148,0.0701754385964912,0.37037037037037,0.25,0.6,0.036697247706422,0.229007633587786,0.0854700854700855,0.414414414414414,0.138888888888889,0.521008403361345,0.53030303030303,0.425925925925926,0.412844036697248,0.0982142857142857,0.255474452554744,0.370967741935484,0.473214285714286,0.333333333333333,0.444444444444444,0.528571428571429,0.547826086956522,0.446428571428571,0.123893805309734,0.458015267175573,0.453703703703704,0.477477477477477,0.419847328244275,0.486725663716814,0.073394495412844,0.354838709677419,0.114035087719298,0.425925925925926,0.458715596330275,0.37037037037037,0.463235294117647,0.206106870229008,0.481481481481481,0.447761194029851,0.414414414414414,0.132231404958678,0.457746478873239,0.275862068965517,0.353448275862069,0.0185185185185185,0.465648854961832,0.481481481481481,0.298387096774194,0.0555555555555556,0.204545454545455,0.62037037037037,0.414414414414414,0.0964912280701754,0.395348837209302,0.1,0.41025641025641,0.339449541284404,0.591666666666667,0.120689655172414,0.394736842105263,0.302752293577982,0.477477477477477,0.256410256410256,0.0803571428571429,0.339449541284404,0.601851851851852,0.432432432432432,0.462962962962963,0.254385964912281,0.330434782608696,0.431034482758621,0.423423423423423,0.445454545454545,0.0884955752212389,0.387931034482759,0.302752293577982,0.366906474820144,0.540540540540541,0.0982142857142857,0.489051094890511,0.208695652173913,0.465648854961832,0.428571428571429,0.282442748091603,0.140350877192982,0.546296296296296,0.238938053097345,0.229357798165138,0.106194690265487,0.151785714285714,0.305555555555556,0.422222222222222,0.503355704697987,0.0707964601769911,0.481751824817518,0.463235294117647,0.256410256410256,0.0990990990990991,0.298507462686567,0.0973451327433628,0.412844036697248,0.361111111111111,0.12962962962963,0.221374045801527,0.293103448275862,0.321739130434783,0.045045045045045,0.508928571428572,0.315789473684211,0.192660550458716,0.342105263157895,0.15,0.416666666666667,0.580357142857143,0.398148148148148,0.385321100917431,0.327433628318584,0.354545454545455,0.441441441441441,0.0775862068965517,0.447552447552448,0.389312977099237,0.321100917431193,0.278571428571429,0.0917431192660551,0.387387387387387,0.35042735042735,0.229357798165138,0.251851851851852,0.472222222222222,0.491071428571429,0.453703703703704,0.333333333333333,0.262773722627737,0.454545454545455,0.296296296296296,0.495495495495495,0.0695652173913043,0.583333333333333,0.260869565217391,0.440677966101695,0.0555555555555556,0.225225225225225,0.470967741935484,0.318181818181818,0.333333333333333,0.232758620689655,0.490740740740741,0.410714285714286
"Ivy_17",0.56390977443609,0.560606060606061,0.2421875,0.274074074074074,0,0.386363636363636,0.457516339869281,0.419161676646707,0.559701492537313,0.709923664122137,0.570469798657718,0.465116279069767,0.51937984496124,0.261538461538462,0.257352941176471,0.480314960629921,0.422222222222222,0.44,0.276119402985075,0.099236641221374,0.278571428571429,0.559701492537313,0.323076923076923,0.57037037037037,0.376923076923077,0.572519083969466,0.515625,0.230769230769231,0.0458015267175573,0.479166666666667,0.607407407407407,0.407692307692308,0.52,0.551948051948052,0.595419847328244,0.541984732824427,0.2109375,0.275590551181102,0.573643410852713,0.558139534883721,0.263565891472868,0.597014925373134,0.267175572519084,0.465277777777778,0.294117647058824,0.593984962406015,0.576923076923077,0.4921875,0.234375,0.0763358778625954,0.574803149606299,0.282442748091603,0.559701492537313,0.288732394366197,0.277372262773723,0.392592592592593,0.447761194029851,0.276119402985075,0.33587786259542,0.596899224806202,0.405594405594406,0.267175572519084,0.272108843537415,0.672,0.526717557251908,0.253731343283582,0.455172413793103,0.261538461538462,0.279220779220779,0.5,0.611940298507463,0.206106870229008,0.473282442748092,0.396825396825397,0.558139534883721,0.375,0.26865671641791,0.511278195488722,0.677165354330709,0.553030303030303,0.603053435114504,0.37593984962406,0.404580152671756,0.492424242424242,0.534351145038168,0.575757575757576,0.234848484848485,0.488888888888889,0.421875,0.231884057971015,0.633587786259542,0.257575757575758,0.263565891472868,0.310606060606061,0.283464566929134,0.493333333333333,0.375838926174497,0.224806201550388,0.62992125984252,0.411764705882353,0.409090909090909,0.236641221374046,0.236220472440945,0.425196850393701,0.486842105263158,0.309859154929577,0.259259259259259,0.269230769230769,0.234375,0.362962962962963,0.311111111111111,0.366666666666667,0.242424242424242,0.515625,0.519083969465649,0.315384615384615,0.0916030534351145,0.395522388059702,0.432835820895522,0.304347826086957,0.606060606060606,0.451851851851852,0.414814814814815,0.528571428571429,0.268115942028986,0.53125,0.614173228346457,0.549618320610687,0.515384615384615,0.390625,0.440944881889764,0.527131782945736,0.273381294964029,0.268115942028986,0.259541984732824,0.518518518518518,0.367088607594937,0.2421875,0.50381679389313,0.467153284671533,0.409090909090909,0.34640522875817,0.555555555555556,0.590909090909091,0.595419847328244,0.407692307692308,0.0384615384615385,0.2734375,0.417322834645669,0.595419847328244,0.268115942028986,0.64,0.392592592592593,0.511111111111111,0.267175572519084,0.402985074626866,0.328947368421053,0.385135135135135,0.466666666666667,0.391304347826087,0.604651162790698,0.488372093023256
"Kubo_17",0.307692307692308,0.280898876404494,0.306306306306306,0.265486725663717,0.386363636363636,0,0.618055555555556,0.486666666666667,0.285714285714286,0.595744680851064,0.495726495726496,0.230769230769231,0.269662921348315,0.297297297297297,0.230088495575221,0.227272727272727,0.0869565217391304,0.602836879432624,0.267857142857143,0.393939393939394,0.256410256410256,0.391752577319588,0.339449541284404,0.391752577319588,0.5,0.295454545454545,0.3,0.261261261261261,0.377777777777778,0.314814814814815,0.358695652173913,0.152173913043478,0.355555555555556,0.5,0.384615384615385,0.269662921348315,0.222222222222222,0.431034482758621,0.329545454545455,0.344444444444444,0.387931034482759,0.427083333333333,0.288288288288288,0.311926605504587,0.243243243243243,0.351648351648352,0.337078651685393,0.304347826086957,0.384615384615385,0.371212121212121,0.363636363636364,0.420168067226891,0.304347826086957,0.26890756302521,0.395161290322581,0.0645161290322581,0.2,0.252252252252252,0.426086956521739,0.363636363636364,0.247706422018349,0.240740740740741,0.317829457364341,0.534090909090909,0.32258064516129,0.256637168141593,0.345132743362832,0.26605504587156,0.405594405594406,0.211111111111111,0.479591836734694,0.263157894736842,0.208791208791209,0.186813186813187,0.397849462365591,0.0833333333333333,0.258928571428571,0.287234042553192,0.511363636363636,0.344086021505376,0.340909090909091,0.032967032967033,0.130434782608696,0.276595744680851,0.351063829787234,0.393617021276596,0.25,0.204301075268817,0.186813186813187,0.344,0.43956043956044,0.292035398230089,0.415254237288136,0.293577981651376,0.439655172413793,0.384615384615385,0.373015873015873,0.238532110091743,0.443181818181818,0.135416666666667,0.0561797752808989,0.252252252252252,0.235849056603774,0.188888888888889,0.378151260504202,0.450381679389313,0.216216216216216,0.393162393162393,0.370689655172414,0.122448979591837,0.294642857142857,0.4,0.258928571428571,0.3,0.255555555555556,0.330275229357798,0.374045801526718,0.164948453608247,0.23469387755102,0.28695652173913,0.419354838709677,0.208333333333333,0.0967741935483871,0.292929292929293,0.243478260869565,0.358695652173913,0.420454545454545,0.261363636363636,0.32258064516129,0.142857142857143,0.191011235955056,0.372340425531915,0.234782608695652,0.396825396825397,0.339130434782609,0.208791208791209,0.350746268656716,0.259259259259259,0.252747252747253,0.27,0.0561797752808989,0.338461538461538,0.388888888888889,0.397849462365591,0.329545454545455,0.152173913043478,0.373134328358209,0.427350427350427,0.177777777777778,0.384615384615385,0.243478260869565,0.488636363636364,0.2,0.291666666666667,0.303571428571429,0.117021276595745,0.471830985915493,0.228070175438596,0.247422680412371,0.131313131313131,0.375,0.319148936170213
"Lambchop_17",0.606299212598425,0.625,0.620915032679738,0.605095541401274,0.457516339869281,0.618055555555556,0,0.4375,0.633587786259542,0.640350877192982,0.355371900826446,0.626865671641791,0.67910447761194,0.632258064516129,0.59748427672956,0.664179104477612,0.618055555555556,0.0701754385964912,0.608974358974359,0.443708609271523,0.590062111801242,0.6015625,0.621621621621622,0.623076923076923,0.330508474576271,0.626984126984127,0.676691729323308,0.624203821656051,0.468354430379747,0.546099290780142,0.608,0.65034965034965,0.684615384615385,0.341269841269841,0.629032258064516,0.627906976744186,0.621794871794872,0.446969696969697,0.661417322834646,0.676923076923077,0.396946564885496,0.67175572519084,0.634615384615385,0.552447552447552,0.602564102564103,0.637795275590551,0.609756097560976,0.664179104477612,0.441176470588235,0.454545454545455,0.715384615384615,0.413533834586466,0.6015625,0.577639751552795,0.391304347826087,0.6,0.60431654676259,0.608974358974359,0.380952380952381,0.631147540983607,0.534246575342466,0.616883116883117,0.52760736196319,0.700854700854701,0.664179104477612,0.616352201257862,0.590604026845638,0.623376623376623,0.232394366197183,0.637037037037037,0.566666666666667,0.592356687898089,0.601503759398496,0.666666666666667,0.666666666666667,0.601351351351351,0.593548387096774,0.637037037037037,0.737704918032787,0.659090909090909,0.637096774193548,0.616438356164384,0.655172413793103,0.64963503649635,0.700729927007299,0.651162790697674,0.622641509433962,0.602941176470588,0.666666666666667,0.391608391608392,0.647540983606557,0.588235294117647,0.396946564885496,0.568493150684932,0.442748091603053,0.441176470588235,0.529032258064516,0.630573248407643,0.709677419354839,0.597222222222222,0.629370629370629,0.626582278481013,0.627450980392157,0.671428571428571,0.423357664233577,0.472972972972973,0.610062893081761,0.425373134328358,0.441176470588235,0.582191780821918,0.582781456953642,0.490196078431373,0.628930817610063,0.686567164179104,0.646616541353383,0.614864864864865,0.447368421052632,0.651006711409396,0.6,0.598726114649682,0.64,0.617021276595745,0.620689655172414,0.598540145985402,0.56687898089172,0.701492537313433,0.693548387096774,0.656488549618321,0.683823529411765,0.666666666666667,0.666666666666667,0.666666666666667,0.5875,0.357664233576642,0.414814814814815,0.632352941176471,0.465408805031447,0.62987012987013,0.651851851851852,0.526315789473684,0.629370629370629,0.467948717948718,0.6875,0.676923076923077,0.64,0.65034965034965,0.455128205128205,0.443609022556391,0.673758865248227,0.64,0.584905660377358,0.710743801652893,0.570422535211268,0.635036496350365,0.634615384615385,0.63013698630137,0.195488721804511,0.538961038961039,0.611510791366906,0.604026845637584,0.628099173553719,0.618320610687023
"Padme_17",0.566433566433566,0.583333333333333,0.417218543046358,0.38562091503268,0.419161676646707,0.486666666666667,0.4375,0,0.582191780821918,0.702127659574468,0.390070921985816,0.567567567567568,0.614864864864865,0.410596026490066,0.37012987012987,0.542253521126761,0.476510067114094,0.440251572327044,0.377483443708609,0.386503067484663,0.375796178343949,0.572413793103448,0.4,0.582191780821918,0.575949367088608,0.574468085106383,0.630872483221476,0.405228758169935,0.421052631578947,0.515923566878981,0.577464788732394,0.516778523489933,0.655405405405405,0.461038961038961,0.625,0.576388888888889,0.390728476821192,0.587878787878788,0.625,0.639455782312925,0.557575757575758,0.635135135135135,0.414473684210526,0.503184713375796,0.36,0.604166666666667,0.578571428571429,0.5625,0.571428571428572,0.387878787878788,0.664383561643836,0.551515151515152,0.542253521126761,0.352564102564103,0.538011695906433,0.470198675496689,0.529801324503311,0.377483443708609,0.540880503144654,0.607142857142857,0.428571428571429,0.371621621621622,0.335403726708075,0.723404255319149,0.62,0.4,0.521739130434783,0.389261744966443,0.339285714285714,0.577181208053691,0.63013698630137,0.403846153846154,0.582781456953642,0.550335570469799,0.648648648648649,0.464052287581699,0.381578947368421,0.586666666666667,0.71830985915493,0.614864864864865,0.612676056338028,0.47682119205298,0.532894736842105,0.589403973509934,0.626666666666667,0.606896551724138,0.406451612903226,0.556291390728477,0.540540540540541,0.473372781065089,0.640845070422535,0.394736842105263,0.583333333333333,0.342657342657343,0.576687116564417,0.410596026490066,0.293333333333333,0.401315789473684,0.666666666666667,0.456375838926175,0.486486486486487,0.409090909090909,0.391891891891892,0.554054054054054,0.373333333333333,0.479041916167665,0.383116883116883,0.560240963855422,0.571428571428572,0.483870967741936,0.364864864864865,0.30718954248366,0.412903225806452,0.630872483221476,0.594594594594595,0.393103448275862,0.380368098159509,0.52258064516129,0.496644295302013,0.368421052631579,0.615384615384615,0.542483660130719,0.5,0.552631578947368,0.357142857142857,0.653333333333333,0.680555555555556,0.602739726027397,0.629139072847682,0.543046357615894,0.557823129251701,0.649006622516556,0.361290322580645,0.52046783625731,0.477987421383648,0.582781456953642,0.222222222222222,0.395973154362416,0.531468531468531,0.455172413793103,0.486486486486487,0.22,0.675675675675676,0.639455782312925,0.605633802816901,0.536423841059603,0.398809523809524,0.575757575757576,0.547297297297297,0.605633802816901,0.357142857142857,0.685714285714286,0.480263157894737,0.576158940397351,0.414473684210526,0.48,0.414201183431953,0.428571428571429,0.564935064935065,0.467532467532468,0.624113475177305,0.548611111111111
"Wolverine_17",0.189189189189189,0.202702702702703,0.458715596330275,0.414414414414414,0.559701492537313,0.285714285714286,0.633587786259542,0.582191780821918,0,0.465753424657534,0.424242424242424,0.192307692307692,0.236842105263158,0.435185185185185,0.421052631578947,0.380952380952381,0.266666666666667,0.627906976744186,0.403669724770642,0.511627906976744,0.413793103448276,0.256410256410256,0.466666666666667,0.3,0.475247524752475,0.194444444444444,0.25,0.455357142857143,0.557971014492754,0.3125,0.128571428571429,0.351648351648352,0.246575342465753,0.477064220183486,0.306666666666667,0.213333333333333,0.45045045045045,0.442307692307692,0.132352941176471,0.324675324675325,0.394230769230769,0.276315789473684,0.440366972477064,0.326530612244898,0.394495412844037,0.194444444444444,0.222222222222222,0.436781609195402,0.463636363636364,0.5,0.176470588235294,0.4,0.162162162162162,0.423728813559322,0.443478260869565,0.260869565217391,0.223529411764706,0.403669724770642,0.42156862745098,0.202898550724638,0.371428571428571,0.380952380952381,0.484615384615385,0.397058823529412,0.256410256410256,0.447368421052632,0.424528301886792,0.405660377358491,0.535211267605634,0.168831168831169,0.407407407407407,0.478632478632479,0.2125,0.388888888888889,0.208333333333333,0.326530612244898,0.409090909090909,0.192307692307692,0.367647058823529,0.164383561643836,0.147058823529412,0.308510638297872,0.382978723404255,0.246913580246914,0.269230769230769,0.320512820512821,0.469565217391304,0.139240506329114,0.352272727272727,0.454545454545455,0.257142857142857,0.427272727272727,0.467889908256881,0.433962264150943,0.42156862745098,0.375,0.495934959349594,0.45045045045045,0.279411764705882,0.252747252747253,0.261363636363636,0.460176991150442,0.424528301886792,0.375,0.352380952380952,0.5,0.424778761061947,0.444444444444444,0.463636363636364,0.36,0.386792452830189,0.519685039370079,0.464912280701754,0.272727272727273,0.123287671232877,0.471698113207547,0.4921875,0.42,0.354838709677419,0.376146788990826,0.26027397260274,0.252873563218391,0.293478260869565,0.160493827160494,0.403508771929825,0.253333333333333,0.347222222222222,0.0441176470588235,0.278481012658228,0.414893617021277,0.379310344827586,0.272727272727273,0.408695652173913,0.444444444444444,0.459459459459459,0.166666666666667,0.488721804511278,0.429906542056075,0.383720930232558,0.354838709677419,0.261363636363636,0.46875,0.263888888888889,0.157142857142857,0.132352941176471,0.404255319148936,0.544117647058824,0.438095238095238,0.344827586206897,0.236111111111111,0.403508771929825,0.338235294117647,0.297872340425532,0.265060240963855,0.440366972477064,0.274725274725275,0.518796992481203,0.417391304347826,0.214285714285714,0.298969072164948,0.191176470588235,0.466666666666667
"Buddy_18",0.450704225352113,0.464788732394366,0.654205607476635,0.654867256637168,0.709923664122137,0.595744680851064,0.640350877192982,0.702127659574468,0.465753424657534,0,0.533333333333333,0.518987341772152,0.493150684931507,0.669724770642202,0.655172413793103,0.526315789473684,0.580645161290323,0.621621621621622,0.648648648648649,0.6875,0.666666666666667,0.422535211267606,0.643564356435644,0.376811594202899,0.571428571428572,0.463768115942029,0.506849315068493,0.68141592920354,0.722627737226277,0.577319587628866,0.378787878787879,0.568181818181818,0.470588235294118,0.607843137254902,0.390625,0.472222222222222,0.666666666666667,0.647058823529412,0.485294117647059,0.478260869565217,0.625,0.426470588235294,0.672727272727273,0.585858585858586,0.614678899082569,0.463768115942029,0.424242424242424,0.545454545454545,0.644859813084112,0.694656488549618,0.484848484848485,0.615384615384615,0.444444444444444,0.638655462184874,0.616071428571429,0.597938144329897,0.505882352941176,0.648648648648649,0.602040816326531,0.412698412698413,0.586538461538462,0.648148148148148,0.65891472868217,0.39622641509434,0.486486486486487,0.669565217391304,0.598039215686274,0.644859813084112,0.695035460992908,0.518987341772152,0.409090909090909,0.683760683760684,0.5125,0.576470588235294,0.455882352941176,0.6,0.663716814159292,0.518987341772152,0.446428571428571,0.428571428571429,0.430769230769231,0.608247422680412,0.593406593406593,0.525,0.5,0.449275362318841,0.678260869565217,0.535714285714286,0.593023255813954,0.630252100840336,0.366666666666667,0.657657657657658,0.625,0.607843137254902,0.616161616161616,0.632075471698113,0.658333333333333,0.678571428571428,0.45,0.563829787234043,0.582417582417582,0.684210526315789,0.663551401869159,0.566265060240964,0.594339622641509,0.68595041322314,0.672413793103448,0.628571428571429,0.657407407407407,0.613861386138614,0.613207547169811,0.655737704918033,0.68695652173913,0.506849315068493,0.493333333333333,0.633663366336634,0.689922480620155,0.604166666666667,0.517241379310345,0.646017699115044,0.390625,0.561797752808989,0.6,0.511904761904762,0.661016949152542,0.513888888888889,0.442622950819672,0.486111111111111,0.545454545454545,0.595505617977528,0.573170731707317,0.506849315068493,0.652542372881356,0.614035087719298,0.638888888888889,0.530864197530864,0.688888888888889,0.654205607476635,0.525641025641026,0.534090909090909,0.582417582417582,0.687022900763359,0.46969696969697,0.432835820895522,0.439393939393939,0.568181818181818,0.701492537313433,0.640776699029126,0.588235294117647,0.390625,0.64957264957265,0.43859649122807,0.597938144329897,0.481012658227848,0.672727272727273,0.6,0.689393939393939,0.637931034482759,0.551724137931034,0.617647058823529,0.403225806451613,0.575
