"ID"	"buddy_11"	"joans_11"	"padme_11"	"ginger_14"	"buddy_16"	"buddy_17"	"ivy_17"	"lambchop_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"lambchop_18"	"franc_19"	"ivy_19"	"ginger_2"	"lambchop_2"	"ginger_20"	"goose_20"	"buddy_21"	"joans_21"	"franc_22"	"goose_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"franc_37"	"goose_37"	"grogu_37"	"lambchop_37"	"goose_4"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"goose_42"	"grogu_42"	"henry_42"	"ivy_42"	"lambchop_42"	"buddy_44"	"franc_44"	"ginger_44"	"goose_44"	"ivy_44"	"joans_44"	"lambchop_44"	"marshmallow_44"	"buddy_45"	"franc_45"	"grogu_45"	"henry_45"	"ivy_45"	"joans_45"	"marshmallow_45"	"buddy_46"	"charles_46"	"goose_46"	"ivy_46"	"joans_46"	"lambchop_46"	"marshmallow_46"	"franc_47"	"ginger_47"	"ivy_47"	"marshmallow_47"	"buddy_48"	"charles_48"	"franc_48"	"grogu_48"	"ivy_48"	"joans_48"	"lambchop_48"	"marshmallow_48"	"charles_49"	"franc_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"marshmallow_49"	"padme_5"	"buddy_50"	"charles_50"	"franc_50"	"ginger_50"	"grogu_50"	"ivy_50"	"joans_50"	"lambchop_50"	"charles_51"	"franc_51"	"joans_51"	"lambchop_51"	"buddy_52"	"charles_52"	"ginger_52"	"goose_52"	"grogu_52"	"marshmallow_52"	"franc_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"lambchop_55"	"buddy_56"	"franc_56"	"grogu_56"	"joans_56"	"buddy_57"	"joans_57"	"ginger_58"	"goose_58"	"goose_59"	"henry_59"	"padme_6"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"ginger_7"	"padme_7"	"grogu_70"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"
"fpt1"	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.01	0	0.02	0	0.04	0	0	0
"fpt2"	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.01	0	0.02	0	0.04	0	0	0
"fpt3"	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.01	0	0.02	0	0.04	0	0	0
"fpt4"	0	0	0.09	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0	0	0	0	0.96	0	0	0.02	0
"fpt5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0
"fpt6"	0	0	0.11	0	0	0	0	0	65.45	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt7"	0	0	0.13	0	0	0	0.04	1.38	65.45	0	0	0	0.78	0.02	0	0.04	0.02	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0.09	0	0	0.09	0	0.02	0	0.02	0	0	0	0.02	0	0.02	0.04	0	0	0	0.07	0	0	0	0	0.13	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0.02	0	0.02	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0.02	0	0	0.07	0.02	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0.49	0.02	0	0	0	0	0	0	0.47	0.02	0.04	0.11	0	0.02	0	0	0.11	0	0.12	0.07	0.02	0.04	0.13	0	0.09	0.02
"fpt8"	0	0	0.13	0	0	0	0.04	1.38	65.45	0	0	0	0.78	0.02	0	0.04	0.02	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0.09	0	0	0.09	0	0.02	0	0.02	0	0	0	0.02	0	0.02	0.04	0	0	0	0.07	0	0	0	0	0.13	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0.02	0	0.02	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0.02	0	0	0.07	0.02	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0.49	0.02	0	0	0	0	0	0	0.47	0.02	0.04	0.11	0	0.02	0	0	0.11	0	0.12	0.07	0.02	0.04	0.13	0	0.09	0.02
"fpt9"	0	0	0.02	0.18	0.02	0.02	0.02	0	0	0	0	0.02	0	0	0.11	0	0	0.02	0	0.02	0.04	0.11	0.04	0	0.09	0.07	0.02	0.04	0	0.04	0.29	0.09	0	0.04	0.02	0	0.04	0	0.11	0.07	0.2	0.02	0.13	0	0	0.18	0	0	0.2	0.02	0.09	0	0	0.02	0.09	0.02	0.11	0.18	0.09	0.07	0.09	0	0.18	0.09	0.02	0.09	0	0	0.09	0.02	0.09	0.04	0.02	0.04	0	0.04	0.02	0	0.02	0.02	0	0.13	0	0.02	0.04	0.02	0.16	0	0.11	0.13	0.07	0	0.02	0	0.04	0.04	0.02	0.04	0.04	0	0.16	0.02	0.02	0.04	0.04	0	0	0.02	0	0.04	0.07	0.02	0.02	0.02	0	0.02	0.18	0.04	0.04	0.04	0.13	0	0	0.02	0	0.11	0.04	0.09	0.02	0.02	0.04	0.09	0.02	0.04	0.16	0.13	0.02	0.02	0	0.02	0.07	0.02	0	0.16
"fpt10"	0.18	0.94	0.71	0.18	0.07	0.29	3.76	0	0.11	0	0.04	2.47	0	2.8	0.78	0	0.02	0.02	1.93	0.2	3.02	2.14	1.11	0	0.11	0.16	0.07	3.33	0	0.07	0.85	0.16	0.07	0.04	0.07	0.58	0.04	0	0.2	1.31	1.09	0.04	1.07	0	0	0.4	0	0.07	1.56	0.02	0.11	5.14	0.04	1.05	0.54	0.02	0.38	2.07	3.09	0.11	0.09	3.04	3.25	0.09	0.02	0.27	4.62	0.02	1.91	1.02	1.76	0.07	2.4	0.11	0	2.58	0.04	0.18	0.04	0.36	2.23	3.6	0.02	0.67	0.53	0.71	0.18	0.33	3.45	0.13	0.11	0.42	5.83	0	0.69	0.27	0.31	8.01	0.04	0	3.8	3.07	0.02	0.31	7.76	5.25	0.02	1.76	0.36	0.04	1.18	0.04	0.07	9.84	0.07	0.18	0.18	0.18	0.07	0.44	0.29	0	2.31	0.58	0.78	0.11	0.67	0.84	0.13	0.78	1.53	0.11	1.73	0.36	0.29	1.07	0.02	1.71	0.13	0.36	0.07	0.16	0.03	0.64
