"Taxa"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"franc_37"	"grogu_37"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"grogu_42"	"henry_42"	"ivy_42"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"
"Metabolism|Global and overview maps"	0.404623664109331	0.373333195717054	0.394433933587646	0.383403445762183	0.389067992636428	0.383809615645165	0.382108618883916	0.383242526565852	0.38686200309825	0.374059343426779	0.378402571502107	0.36598656967668	0.389893415567563	0.397142784213296	0.37716857963411	0.37566969957073	0.362330134585797	0.388229553901752	0.365636713687582	0.397080157169823	0.374557423048105	0.375953419828033	0.355133549339363	0.368290878014492	0.38264797152908	0.378684783989953	0.397982069134858	0.379086986680126
"Metabolism|Carbohydrate metabolism"	0.116062823545344	0.120732420370633	0.119947092592212	0.119525099837459	0.118465935012807	0.120578322805618	0.115831051538866	0.116687607319785	0.118582819240199	0.121351845863825	0.117273883494295	0.12126033727778	0.117507398934445	0.118027871286924	0.118687420240407	0.115082522230467	0.120701919628702	0.118112142470256	0.119808192312678	0.11653799500766	0.118797149059073	0.115448133423018	0.116171214961957	0.1164974252503	0.118168339256939	0.115365894014604	0.118585010884088	0.114312820530195
"Environmental Information Processing|Membrane transport"	0.0654828768835497	0.0760754835161427	0.0680550707183459	0.0682378673585892	0.0610198189960971	0.0738558758228884	0.0747856753495729	0.0691741447138906	0.0733732862609079	0.0826452701879183	0.0524785501244327	0.0801726053374125	0.0711157876454885	0.0620790162567114	0.0422513045431527	0.0620049766219918	0.0816730670712401	0.0731539513572853	0.0810151316839223	0.0700003498298718	0.0754759360113341	0.0711132248210193	0.0829785948172659	0.060639913905316	0.0717852210742082	0.0398814117022409	0.075156096073876	0.0736119101830595
"Metabolism|Amino acid metabolism"	0.0727955522313534	0.0607497012828207	0.0670280456524647	0.0641257478014831	0.0655637299860499	0.0647060659933112	0.0654834112011015	0.0653208710840388	0.0660625445784187	0.0617433159547123	0.0603409408879697	0.0586280805182933	0.0677409925085343	0.0682135465911264	0.058146326753525	0.0623088886149442	0.0597954017785423	0.0669701051957641	0.0610531166565539	0.0705676414396665	0.0619673757760271	0.0642607072345062	0.0601734108820569	0.0592356088995799	0.0658260026710192	0.0592287585755463	0.0690740467721565	0.0666664374632164
"Environmental Information Processing|Signal transduction"	0.0318926391375669	0.0448105666217411	0.0372856951796606	0.0432763975757869	0.0447019060815317	0.0419843870709148	0.0487239136669657	0.0477073926569505	0.042180156599375	0.0416163468515359	0.0583061603846756	0.0457484288177966	0.0392323082689062	0.0386238871284057	0.0597826041811816	0.0567125193846633	0.0465983705586558	0.0360397300180773	0.0466629812947549	0.0341263485693976	0.0478562353795652	0.0531376567900093	0.0509721922475225	0.0644787051611098	0.0409295085672506	0.0606081640202443	0.0338575494886494	0.0442348181291808
"Cellular Processes|Cellular community - prokaryotes"	0.0323551796960512	0.0406057051343935	0.0365769876872476	0.0382787014773974	0.0354785334187463	0.0386573014105623	0.0411927821433966	0.0401422957125585	0.0380553705096434	0.0402708120274326	0.0407280747723457	0.0420789017425246	0.0367014692084784	0.0351333115698532	0.0374518202006594	0.0422749462634812	0.0435843769697725	0.0354858093958269	0.0429444473011834	0.033683610345928	0.0411356836930896	0.0421433232246887	0.049104456826051	0.0454653045042364	0.0389661949427857	0.0392273413016036	0.0362630437484556	0.0412278944293614
"Metabolism|Energy metabolism"	0.0358992310558122	0.0368718660958187	0.035862319070933	0.036280549911061	0.0351308614382294	0.0360895375029065	0.0359413929931739	0.0357301342703575	0.0355103314314419	0.0373231633138106	0.0348609099931786	0.0376900937052379	0.0363185113718108	0.0357239442374932	0.0349884226620336	0.0358996584947803	0.0375773221382473	0.0368880875976354	0.0372921263150161	0.0364461881652991	0.0364571816416941	0.0360476303030267	0.0363777851870866	0.0355906420486643	0.0361583167994135	0.0349153209813176	0.0353739194642446	0.0359522096456653
"Metabolism|Metabolism of cofactors and vitamins"	0.0388094933196251	0.035742577639226	0.0388814977612317	0.0367379365069555	0.0371855689789299	0.0366261710620502	0.0342626371506481	0.0346930265101418	0.0358917495512267	0.0356918101585144	0.0338287776391551	0.0350697421596229	0.0364179373920924	0.0388531161030738	0.0362549039518747	0.034346821744459	0.0344363709119859	0.0374197865330363	0.0342680262488184	0.0380899928176001	0.0348866963004047	0.0327731417361231	0.0343000988584169	0.03222903080534	0.0370083680876777	0.0363338711782003	0.0386430179496077	0.0362333801742905
"Metabolism|Nucleotide metabolism"	0.0272314299111297	0.0256578969542375	0.0272493814166181	0.0260511004439487	0.0259536757187432	0.0261905940637637	0.0253694692681287	0.0254337728834542	0.025952817747021	0.0259223929813131	0.0254252304228321	0.0253113450633423	0.02613959479417	0.0270442920213553	0.0250129136967333	0.0247263217304623	0.0253071383305911	0.0266722825562601	0.0253012226077919	0.0270216348908965	0.0254242696523874	0.0248339113524423	0.0238860827836649	0.0240276924593021	0.0263330179164349	0.0255034711526561	0.0272858656362229	0.0251581890589064
"Metabolism|Lipid metabolism"	0.018488193309693	0.0214406655678584	0.0195808111315204	0.0210300720667337	0.0220829088555703	0.0202403598806941	0.0211614937282534	0.0210664296616913	0.0203604763792827	0.020206462154538	0.0238804018091548	0.0219251428602275	0.0198905829029127	0.019907799731182	0.0276225169596226	0.0238773997186434	0.0220191455938279	0.0196751806992384	0.0217400240316869	0.0186596388429618	0.0219891525372142	0.0219108739451238	0.0225917956747369	0.0244291904575206	0.0205646726093195	0.0272825970559086	0.0180521742754477	0.0215822015144641
