"Taxa"	"jarjarbinks_29"	"korra_29"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"goose_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"hamlet_41"	"hera_41"	"goose_42"	"lambchop_42"	"buddy_57"	"joans_57"	"ginger_58"	"henry_59"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"grogu_70"
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.2625	0.2855	0.133	0.3515	0.1165	0.1385	0.1475	0.42675	0.09125	0.05475	0.37425	0.253375	0.345	0.15175	0.1355	0.13675	0.123	0.2735	0.2485	0.27475	0.0705	0.304	0.07275	0.259	0.24975	0.05
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.16325	0.0975	0.149	0.14175	0.16275	0.25675	0.20225	0.176	0.19175	0.094	0.20725	0.199125	0.172	0.198	0.263	0.20825	0.05175	0.19825	0.192	0.2935	0.1215	0.14525	0.123	0.10525	0.11425	0.01275
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.104	0.061	0.06275	0.10925	0.148125	0.1105	0.0685	0.0605	0.14325	0.01625	0.08625	0.04675	0.05275	0.182	0.08525	0.06725	0.069	0.25	0.25075	0.101	0.08125	0.24275	0.066	0.15575	0.189	0.008
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Segatella"	0.034	0.009	0.007	0.013	0.064125	0.12	0.01075	0.06075	0.0915	0.0035	0.00275	0.0085	0.00675	0.08	0.339	0.05425	0.01925	0.09825	0.0875	0.056	0.085	0.157	0.14325	0.00025	0.0725	0.5615
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum"	0.1225	0	0.47375	0	0.07575	0.0775	0	0	0.10375	0	0	0.000125	0	0.0755	0.0035	0.351	0.3445	0	0	0.0145	0.141	0.00675	0	0	0.0865	0.00025
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella"	0.047	0.28725	0.017	0.00775	0.099	0.02425	0.00075	0.01025	0.04225	0.42075	0.00325	0.00925	0.00675	0.0085	0.00075	0	0.266	0	0.00025	0.05775	0.094	0.00425	0.00075	0.09175	0.04775	0.07525
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Oribacterium"	0.0945	0.02675	0.027	0.04	0.089	0.0855	0.078	0.03525	0.1	0.01575	0.06475	0.12225	0.0635	0.0735	0.02675	0.0285	0.021	0.0875	0.01775	0.042	0.0475	0.025	0.0665	0.0315	0.06825	0.00225
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.038	0.01675	0.0115	0.10175	0.034875	0.0165	0.23125	0.05525	0.0165	0.0645	0.0445	0.098125	0.12375	0.014	0.0315	0.02025	0.01525	0.017	0.0655	0.0065	0.005	0.00375	0.168	0.05825	0.01475	0.061
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia"	0.023	0.16975	0.00925	0.00125	0.0475	0.01675	0	0.0065	0.02275	0.215	0	0.025625	0.0205	0.00475	0.00175	0.00025	0.0065	0	0.00025	0.0135	0.27325	0.00275	0.00075	0.06175	0.02975	0.04
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella"	0.01275	0.006	0.00175	0.01725	0.017375	0.01975	0.011	0.007	0.0215	0.00225	0.00275	0.013875	0.01575	0.0245	0.024	0.0145	0.00775	0.00925	0.0285	0.01125	0.0035	0.026	0.02575	0.01925	0.0205	0.09325
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia"	0.01625	0.008	0.0085	0.0295	0.019125	0.0175	0.034	0	0.01775	0.0075	0	0.01775	0.0335	0.0165	0	0.023	0.009	0	0.0485	0.0055	0.00625	0.00275	0.059	0	0	0.02675
