"Taxa"	"jarjarbinks_29"	"korra_29"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"goose_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"hamlet_41"	"hera_41"	"goose_42"	"lambchop_42"	"buddy_57"	"joans_57"	"ginger_58"	"henry_59"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"grogu_70"
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera massiliensis"	0.014	0.01375	0.00725	0.012	0.013375	0.00875	0.011	0.00825	0.0145	0.002	0.0115	0.00475	0.0085	0.01225	0.0095	0.01475	0.016	0.0325	0.031	0.023	0.01	0.031	0.01525	0.0245	0.02425	0.001
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola sartorii"	0.0295	0.0135	0.00425	0.02475	0.017	0.012	0.0435	0.0065	0.01175	0.01225	0.01275	0.011125	0.01275	0.0105	0.01175	0.0125	0.0115	0.00925	0.029	0.004	0.0025	0.00125	0.04625	0.01175	0.007	0.004
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella seckii"	0.01	0.00475	0.0015	0.015	0.01425	0.0175	0.00875	0.00625	0.01975	0.00175	0.002	0.012375	0.013	0.0215	0.0205	0.0125	0.0065	0.0085	0.02425	0.0095	0.00325	0.02325	0.02125	0.01675	0.01775	0.0405
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella dysenteriae"	0.00025	0.0115	0	0.00575	0.0045	0.00025	5e-04	0	0.00025	0.033	0.00325	0.000875	0.00275	0	0	0	0.225	0	0	0.034	0.0155	0	0	0.00575	0.00275	0.002
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia marmotae"	0.00325	0.04825	0.00125	0	0.008625	0.003	0	0.00125	0.00475	0.083	0	0.00025	0	0.001	0	0	0.00025	0	0	0	0.083	0	0.00025	0.0165	0.00825	0.0065
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas|s__Succinatimonas hippei"	0.00325	0.00275	0.00325	0.0155	0.00625	0.006	0.006	0.01125	0.012	0.0035	0.008	0.032125	0.0195	0.01725	0.0035	0.0115	0.015	0.0045	0.005	0.0315	0.00425	0.0115	0.0045	0.01175	0.00725	0.00025
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Wansuia|s__Wansuia hejianensis"	0.012	0.0025	0.00425	0.0045	0.014125	0.00825	0.00725	0.00525	0.01525	0.0065	0.0145	0.012625	0.00425	0.012	0	0.0095	0.00525	0.0085	0.00025	0.0145	0.008	0.00075	0.01275	0.01125	0.0125	5e-04
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides distasonis"	0.001	0.00375	0.005	0.011	0.002125	0.007	0.01475	0.0025	0.00925	0.00625	0.014	0.0045	0.006	0.00525	0.0115	0.00725	0.0035	0.00825	0.00525	0.0035	0.0055	0.00025	0.04725	0.005	0.004	0.00375
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella sonnei"	0.00475	0.09875	0.00225	0.00075	0.01	5e-04	0.00025	0.00025	0.001	0.00975	0	0.00275	0.001	5e-04	0	0	0.0195	0	0	0.01125	0.0025	0.00175	0	0.017	0.00925	0.00025
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera stantonii"	0.009	0.006	0.0045	0.00925	0.011625	0.00475	0.0075	0.0035	0.0055	0.00125	0.00275	0.0035	0.006	0.0055	0.00275	0.00425	0.0045	0.023	0.01875	0.00775	0.00525	0.0165	0.006	0.00975	0.012	0.002
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia|s__Blautia glucerasea"	0.0065	0.00275	0.003	0.02075	0.00625	0.00475	0.0075	0.009	0.00375	0.011	0.02	0.01225	0.0135	0.0045	0.00025	0.0025	0.01025	0.003	5e-04	0.00375	0.0035	0.001	0.0105	0.016	0.005	0.00025
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides merdae"	0.0205	0.00375	0.003	0.01075	0.023375	0.0045	0.0065	0.0025	0.0055	0.0065	0.00725	0.002375	0.00325	0.00475	0.001	0.00625	0.002	0.00825	0.00225	0.00275	0.005	5e-04	0.032	0.00425	0.00525	0.001
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas rupellensis"	0.003	0.0015	0.004	0.01025	0.00475	0.0035	0.0025	0.038	0.00375	0.00225	0.0015	0.00725	0.00375	0.00425	0.00175	0.0015	0.0015	0.01075	0.0075	0.0015	0.00175	0.0095	0.00075	0.01225	0.006	0.00925
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinivibrio|s__Succinivibrio dextrinosolvens"	0.00025	0	0.0035	0	0.000375	0.02075	0	0	0.03525	0	0	0	0	0.04775	0.008	0.004	0.005	0	0	0.01	0.00125	0.014	0	0	0.00075	0
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium varium"	0	0	0.00125	0	0	0.003	0	0.0095	0.00075	0.00175	0.02075	0	0	0	0.03725	0.0065	0.00025	0	0.00775	0	0	0	0.02625	0.03125	0.00075	0
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus|s__Duodenibacillus massiliensis"	0.0035	0.00125	0.00225	0.007	0.00725	0.005	0.00625	0.00625	0.00675	0.00175	0.00625	0.009625	0.006	0.00525	0	0.003	0.0015	0.0035	0.00525	0.00575	0.00525	0.00575	0.0045	0.00225	0.00525	0.00975
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella|s__Allisonella histaminiformans"	0.004	0.00375	0.006	0.004	0.00375	0.0035	0.0015	0.003	0.0135	0.00025	0	0.002375	0.002	0.01775	0.01475	0.00375	0.00175	0	0	0.00375	0.0025	0.0085	0	0.00375	0.01275	0.00075
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium porci"	0.004	0.00125	0.00525	0.0055	0.003875	0.00275	0.02575	0.00275	0.004	0.00225	0.0085	0.01225	0.01125	0.002	0	0.004	0.002	0.00125	0	0.00725	0.002	0	0.00025	0.00125	0.00275	0.00025
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides mediterraneensis"	0.00575	0.0035	0.002	0.0085	0.006625	0.00325	0.011	0.00275	0.00325	0.00425	0.0025	0.003375	0.0035	0.00325	0.00175	0.003	0.00225	0.00325	0.00975	0.00125	0.00125	0.0015	0.008	0.0045	0.00375	0.007
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella faecalis"	0.00275	0.00125	0.00025	0.00225	0.003125	0.00225	0.00225	0.00075	0.00175	5e-04	0.00075	0.0015	0.00275	0.003	0.0035	0.002	0.00125	0.00075	0.00425	0.00175	0.00025	0.00275	0.0045	0.0025	0.00275	0.0525
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Xylanibacter|s__Xylanibacter rarus"	0	0	0	0	0	0.0075	0	0	0.00775	0	0.02425	0	0	0.01125	0	0.0055	0.00775	0	0	0.014	0	0.01575	0	0	0.0085	0.00025
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium asaccharolyticum"	0.0025	5e-04	0.00275	0.0045	0.008375	0.0085	0.0045	0.00275	0.00975	0.002	0.002	0.010125	0.0035	0.00875	5e-04	0.001	0.00075	0.00625	0.00125	0.00125	0.00425	0.0025	0.00225	0.0025	0.00525	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster bolteae"	0.00475	0.0025	0.00475	0.005	0.0035	0.00325	0.012	0.00325	0.0045	0.003	0.0055	0.009	0.007	0.0035	0	0.0035	0.002	0.00425	0.00125	0.00225	0.001	5e-04	0.0025	0.00275	0.00325	0
