"","Shannon","Simpson","InvSimpson","Pielou","Coverage"
"ginger_29",1.38084229651995,0.708042754055279,3.42515903917431,0.538350705639872,1
"henry_29",2.01000413931284,0.830897748156729,5.91358180686338,0.670955865134192,1
"joans_29",1.23371332581604,0.683228708104746,3.1568517273676,0.535794889652417,0.994632313472893
"ginger_36",1.85863931231084,0.794685570978807,4.87057828700767,0.592773956612151,1
"grogu_36",1.14655066937395,0.671786739378205,3.04679950500938,0.521817697289715,1
"henry_36",1.5416194046785,0.73476871758052,3.77029432907705,0.584155329775744,1
"franc_37",1.47267123853958,0.723068819975907,3.61100544876529,0.558029271290699,1
"grogu_37",1.14371348754717,0.671453034308091,3.04370487152129,0.47696557081596,1
"grogu_41",1.12907352439241,0.669653266908733,3.02712241359967,0.513863505823891,1
"joans_41",1.87674031765368,0.79868183273359,4.96726159182977,0.693022720513017,1
"marshmallow_41",1.75580176660482,0.800691022694628,5.01733546335871,0.684536621160619,1
"ginger_42",2.20501319958013,0.872557570030399,7.84668026369659,0.736051488661304,1
"grogu_42",1.24637325659387,0.684235258953918,3.16691469949162,0.472279719961816,1
"henry_42",1.64958011545836,0.751759692025343,4.02835465424128,0.582229403556568,1
"ivy_42",1.78365421946567,0.790350610781947,4.76986841569053,0.743841584617715,1
"ophelia_57",1.9365565537546,0.8232321090287,5.65713600193579,0.715111024517344,1
"wolverine_57",2.0209557102497,0.858312973385642,7.05780920028612,0.765786967782291,1
"goose_58",1.92232366392928,0.79986994750939,4.99675080056715,0.641687403410294,1
"wolverine_58",1.98114183587442,0.845162890101933,6.45840006093066,0.772390234571769,0.995388730056257
"goose_59",1.484780718254,0.720987544578306,3.58406938675414,0.495631979987492,1
"hamlet_59",1.8914489361006,0.805979586078332,5.15409682820145,0.573890338933454,1
"iris_59",1.56237113708526,0.74414427402223,3.9084526882423,0.628744398594833,1
"ophelia_59",2.19667448884685,0.874159792702417,7.94658576519371,0.700583173678701,1
"iris_60",1.85170803050797,0.807603429038516,5.19759783140934,0.683779063532242,1
"wolverine_60",1.92208853308324,0.807287235371868,5.18906986742498,0.641608914805651,1
"hamlet_67",1.91782161899907,0.827627705903361,5.80139636268553,0.708192786905684,1
"hera_67",1.30987443721381,0.696012565323645,3.28960965463807,0.546260069016764,1
"jarjarbinks_68",1.87567957320024,0.796632716984837,4.91721178143212,0.626117223410966,1
