"ID"	"Ivy_17"	"Ophelia_20"	"Franc_22"	"Grogu_22"	"Hamlet_23"	"Franc_24"	"Hera_24"	"Ivy_24"	"Kubo_24"	"Ophelia_24"	"Henry_25"	"Kubo_25"	"Ginger_44"	"Iris_44"	"Korra_45"	"Hamlet_46"	"Joans_46"	"Ginger_47"	"Marshmallow_47"	"Charles_48"	"Grogu_48"	"Hera_48"	"Kubo_48"	"Kubo_49"	"Franc_50"	"Kubo_52"	"Kubo_53"	"Marshmallow_53"	"Ginger_55"	"Ophelia_55"	"Buddy_56"
"p__Bacillota"	2815	2471	3731	845	3935	3355	3594	3601	3741	3604	2218	1789	4490	3479	2321	2916	3070	4581	1856	3400	451	3753	3406	3868	3987	2260	4104	576	4423	2864	1824
"p__Pseudomonadota"	779	2041	268	4407	181	463	109	184	953	132	1772	2837	88	165	734	351	1023	565	3205	777	4869	219	201	229	266	1790	186	4805	158	1652	3341
"p__Bacteroidota"	1865	964	1469	247	1097	1645	1662	1053	789	1668	1344	857	846	1638	2393	2146	1401	335	423	1248	178	1509	1726	1346	1230	1436	985	116	815	856	304
"p__Fusobacteriota"	5	0	15	0	279	24	12	571	0	1	38	8	1	157	0	6	0	0	0	58	0	3	155	23	0	3	78	0	0	33	12
"p__Actinomycetota"	28	8	12	1	3	10	122	81	17	65	126	6	74	36	52	80	4	15	14	11	2	15	10	25	5	11	132	3	104	86	13
"p__Mycoplasmatota"	2	15	0	0	0	1	0	6	0	29	0	0	0	16	0	0	0	0	0	0	0	0	0	7	11	0	12	0	0	2	0
"p__Campylobacterota"	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
