"ID"	"hera_1"	"buddy_11"	"hera_11"	"jarjarbinks_11"	"padme_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"jarjarbinks_15"	"buddy_16"	"buddy_17"	"iris_17"	"lambchop_17"	"padme_17"	"buddy_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"lambchop_18"	"franc_19"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"goose_20"	"hera_20"	"iris_20"	"buddy_21"	"jarjarbinks_21"	"franc_22"	"goose_22"	"grogu_22"	"hera_22"	"iris_22"	"iris_23"	"franc_24"	"hera_24"	"jarjarbinks_29"	"jarjarbinks_3"	"jarjarbinks_32"	"grogu_36"	"franc_37"	"goose_37"	"grogu_37"	"hera_37"	"lambchop_37"	"goose_4"	"grogu_41"	"hera_41"	"goose_42"	"grogu_42"	"lambchop_42"	"buddy_44"	"franc_44"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"buddy_45"	"franc_45"	"grogu_45"	"hera_45"	"jarjarbinks_45"	"buddy_46"	"goose_46"	"iris_46"	"lambchop_46"	"franc_47"	"buddy_48"	"franc_48"	"grogu_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"lambchop_48"	"franc_49"	"iris_49"	"jarjarbinks_49"	"padme_5"	"buddy_50"	"franc_50"	"grogu_50"	"jarjarbinks_50"	"lambchop_50"	"franc_51"	"lambchop_51"	"buddy_52"	"goose_52"	"grogu_52"	"jarjarbinks_52"	"franc_53"	"hera_53"	"iris_55"	"lambchop_55"	"buddy_56"	"franc_56"	"grogu_56"	"buddy_57"	"goose_58"	"goose_59"	"iris_59"	"padme_6"	"iris_60"	"hera_67"	"franc_68"	"jarjarbinks_68"	"hera_7"	"iris_7"	"padme_7"	"grogu_70"	"franc_9"	"grogu_9"
"njc1"	0	0	0	0	0	0	0	0	0	0	0	0	0	1.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"njc2"	0	0	0	0	0.11	0	0	0	0	0	0	0	0	67.36	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"njc3"	0	0.07	0	0	0.38	0	0.98	0	0	0	0.16	0.31	0	0.09	0	0	0.33	0	0	0.24	0	0.16	0	0	0	0.42	0	0	0.04	0	0	0	0.24	0	0.4	0	0	0	0.01	0	0.27	0	0	0	0	0	0	0	0	0	0	0.02	0.36	0	0.69	0	0	0	0.02	0	0	0	0	0	0.51	0	0.13	0	0.09	0	0	0.38	0	0	0.04	0.04	0	0.44	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0.22	0	0	0	0	0	0	0	0.07	0.6	1.09	0	0.02	0	0	0.08	1	0.07	0	0.09
"njc4"	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0.04	0
"njc5"	0	0.07	0	0	0.38	0	0.98	0	0	0	0.16	0.31	0	0.09	0	0	0.33	0	0	0.24	0	0.16	0	0	0	0.42	0	0	0.04	0	0	0	0.24	0	0.4	0	0	0	0.01	0	0.27	0	0	0	0	0	0	0	0	0	0	0.02	0.36	0	0.69	0	0	0	0.02	0	0	0	0	0	0.51	0	0.13	0	0.09	0	0	0.38	0	0	0.04	0.04	0	0.44	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0.22	0	0	0	0	0	0	0	0.07	0.6	1.09	0	0.02	0	0	0.08	1	0.07	0	0.09
"njc6"	0	0	0	0	0	0	0	0	0	0	0	0	0	1.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"njc7"	0	0	0.02	0	0.85	0	0	0	0	0	0	0	1.38	0	0	0	0	0	0.78	0.02	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0.02	0.04	0	0	0	0	0.13	0	0	0	0	0	0.04	0	0	0	0.02	0	0	0	0	0.09	0	0	0	0	0	0	0	0.02	0	0	0	0.07	0.02	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0.49	0	0	0	0	0.49	0.02	0	0.11	0	0	0	0.04	0	0	0.07	0.02	0.13	0
"njc8"	0	0	0	0	0.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0
"njc9"	0	0	0.02	0	0.02	0	0	0	0	0	0	0	1.38	0	0	0	0	0	0.78	0.02	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0.02	0.04	0	0	0	0	0.13	0	0	0	0	0	0.04	0	0	0	0.02	0	0	0	0	0.09	0	0	0	0	0	0	0	0.02	0	0	0	0.07	0.02	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0.49	0	0	0	0	0.47	0.02	0	0.11	0	0	0	0.04	0	0	0.07	0.02	0.13	0
"njc10"	0	0	0.02	0	0.02	0	0	0	0	0	0	0	1.38	0	0	0	0	0	0.78	0.02	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0.02	0.04	0	0	0	0	0.13	0	0	0	0	0	0.04	0	0	0	0.02	0	0	0	0	0.09	0	0	0	0	0	0	0	0.02	0	0	0	0.07	0.02	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0.49	0	0	0	0	0.47	0.02	0	0.11	0	0	0	0.04	0	0	0.07	0.02	0.13	0
