"ID"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"joans_36"	"franc_37"	"grogu_37"	"ginger_41"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"grogu_42"	"henry_42"	"ivy_42"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"
"o__Bacteroidales"	525	977	352	918	173	821	338	985	95	433	84	640	3113	1145	426	867	2325	1890	303	355	228	545	1037	1116	1182	1985	497	3088	131	731
"o__Selenomonadales"	1280	1024	975	838	31	712	891	814	11	535	50	903	23	406	134	1054	397	627	1007	674	1812	584	817	404	207	177	1528	70	1747	661
"o__Aeromonadales"	34	18	1129	10	3436	47	1556	95	3579	38	3429	484	1	24	2508	8	37	38	55	540	25	546	22	30	21	26	35	16	13	272
"o__Acidaminococcales"	757	631	947	545	234	1162	443	711	157	948	263	1725	55	436	366	502	448	435	230	724	382	908	654	954	513	713	448	156	549	606
"o__Veillonellales"	911	284	214	537	34	449	412	401	38	598	53	1518	22	369	222	805	204	210	244	1038	286	797	307	600	274	333	542	43	972	595
"o__Lachnospirales"	417	358	246	590	75	540	198	731	98	333	89	1371	48	267	258	402	282	434	336	136	324	411	622	629	270	518	207	114	391	513
"o__Enterobacterales"	2	403	0	244	0	62	0	2	0	871	0	780	1	1088	28	23	1	92	1699	365	804	80	248	0	1346	6	254	16	1	210
"o__Burkholderiales"	66	131	51	195	10	73	146	50	9	156	13	362	280	193	32	199	134	91	36	120	27	101	43	121	60	91	202	344	15	115
"o__Eubacteriales"	2	8	29	7	7	23	10	133	12	11	19	90	6	2	19	2	49	96	49	8	65	12	101	110	67	125	53	36	87	32
"o__Coriobacteriales"	3	139	5	70	0	13	1	53	1	3	0	5	27	40	7	77	24	65	11	10	24	4	69	15	38	10	112	40	88	70
"o__Fusobacteriales"	1	19	49	30	0	95	0	24	0	69	0	113	0	25	0	55	91	7	30	1	19	8	80	19	0	11	79	18	2	54
"o__Bifidobacteriales"	0	0	0	0	0	0	0	0	0	0	0	0	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0
"o__Pseudomonadales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	133
"o__Lactobacillales"	1	5	0	15	0	0	2	0	0	1	0	2	0	1	0	2	2	1	0	21	3	2	0	0	2	0	25	0	0	2
"o__Anaeroplasmatales"	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	12	0	0	0	0	0	2	6	4	0	5	0	0
"o__Bacillales"	0	1	0	1	0	0	2	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0
"o__Peptostreptococcales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
"o__Pasteurellales"	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0
"o__Eggerthellales"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"o__Neisseriales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
