"ID"	"buddy_11"	"joans_11"	"padme_11"	"ginger_14"	"buddy_16"	"buddy_17"	"ivy_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"franc_19"	"ivy_19"	"ginger_2"	"ginger_20"	"buddy_21"	"joans_21"	"franc_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"franc_37"	"grogu_37"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"grogu_42"	"henry_42"	"ivy_42"	"buddy_44"	"franc_44"	"ginger_44"	"ivy_44"	"joans_44"	"marshmallow_44"	"buddy_45"	"franc_45"	"grogu_45"	"henry_45"	"ivy_45"	"joans_45"	"marshmallow_45"	"buddy_46"	"charles_46"	"ivy_46"	"joans_46"	"marshmallow_46"	"franc_47"	"ginger_47"	"ivy_47"	"marshmallow_47"	"buddy_48"	"charles_48"	"franc_48"	"grogu_48"	"ivy_48"	"joans_48"	"marshmallow_48"	"charles_49"	"franc_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"marshmallow_49"	"padme_5"	"buddy_50"	"charles_50"	"franc_50"	"ginger_50"	"grogu_50"	"ivy_50"	"joans_50"	"charles_51"	"franc_51"	"joans_51"	"buddy_52"	"charles_52"	"ginger_52"	"grogu_52"	"marshmallow_52"	"franc_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"buddy_56"	"franc_56"	"grogu_56"	"joans_56"	"buddy_57"	"joans_57"	"ginger_58"	"henry_59"	"padme_6"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"ginger_7"	"padme_7"	"grogu_70"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"
"fpt22"	23.03	9.73	12.7	0.73	16.64	7.98	12.32	97.39	7.33	3.56	7.02	9.27	5.83	61.05	5.03	2.14	1.69	2.33	0.56	16.18	16.93	2.49	6.16	0.47	17.71	3.22	1.11	34.43	1.67	16.58	1	7.8	1.09	6.16	2.44	1.2	0.56	10.67	31.31	34.02	2.11	3	7.02	3.76	11.98	1.91	2.71	3.51	2.65	4.51	4.88	3.93	1.36	17.29	4	1	6.71	2.18	0.51	2.56	1.87	0.93	8.87	0.98	22.03	1.56	19.51	2.56	1.04	2.45	6.7	16.73	53.46	2.07	0.44	4.54	3.56	3.18	5.98	59.09	30.49	14.57	1.09	0.93	0.73	0.98	4.44	13.42	2.11	6.43	2.65	12.57	1.33	1.44	18.28	1.96	0.47	6.09	1.18	2.87	39.83	2.69	1.24	2.69	3.22	28.44	1.02	5.76	53.98	8.09	39.39	1.76	10.16	16.69	8.8	62.34	61.57	14.58	47.56	75.11	3.11	34.04	22.95
"fpt23"	0	0	0	0	0	0	0	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.27	0.02	0	0	0	0	0	0	0	0	0	0	0
"fpt24"	0	0	0.13	0	0	0.02	0.04	65.4	0	0.04	0.11	0	0.22	0.04	0.02	0	0	0	0	0.02	0	0	0	0	0.09	0	0	0.09	0	0.02	0	0.02	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.04	0	0	0	0	0.09	0.07	0.02	0	0	0	0	0.02	0	0	0.07	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0.02	0	0	0	0	0	0	0	0.04	0.16	0	0.02	0.02	0	0.11	0	0.16	0.07	0.02	0.04	0.13	0	0.09	0.02
"fpt25"	12.47	5.1	6.01	0.09	0.02	3.14	4.29	93.6	4.53	0.04	0.4	2.91	1.23	36.99	0.07	0.02	0.04	0.76	0	4.78	10.17	0.04	1.47	0	4.6	0.02	0.02	12.78	0.04	4.2	0	2.6	0	0.69	0.04	0	0	5.83	0.02	11.61	0.47	0.04	0.04	0	0.07	0.02	0.76	0.02	0.4	0.04	1.43	0.2	0	0.78	0	0	0.02	0	0.07	0	0.18	0.09	3.89	0.04	12.09	0	0.07	0.04	0	0.44	1.4	9.57	0.07	0.02	0.04	0.13	0.96	0.02	2.47	32.28	27.73	0.09	0	0.07	0	0.04	0	0.04	0	0	0.07	0.02	0.02	0.02	8.7	0	0	0.04	0.02	0.42	35.76	0.02	0	0	0	26.6	0.04	0.38	30.76	5.76	10.46	0.53	0.11	9.33	4.78	39.28	33.56	7.58	26.05	48.47	1.18	21.52	11.03
"fpt26"	0	0	0.13	0	0	0.02	0.04	65.4	0	0.04	0.11	0	0.22	0.04	0.02	0	0	0	0	0.02	0	0	0	0	0.09	0	0	0.09	0	0.02	0	0.02	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.04	0	0	0	0	0.09	0.07	0.02	0	0	0	0	0.02	0	0	0.07	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0.02	0	0	0	0	0	0	0	0.04	0.16	0	0.02	0.02	0	0.11	0	0.16	0.07	0.02	0.04	0.13	0	0.09	0.02
"fpt27"	0	0	0.02	0	0	0.02	0.04	0.04	0	0.04	0.11	0	0.22	0.04	0.02	0	0	0	0	0.02	0	0	0	0	0.09	0	0	0.09	0	0.02	0	0.02	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0.09	0.07	0.02	0	0	0	0	0.02	0	0	0.07	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.16	0	0.02	0.02	0	0.11	0	0.16	0.07	0.02	0.04	0.13	0	0.09	0.02
"fpt28"	0	0	0	0	0	0.02	0	0.02	0	0.04	0.09	0	0.18	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0
"fpt29"	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.58	0	0	12	0	0.14	0	0	0	0	0	0	15.51	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt30"	0.02	0.04	0	0.07	0	0	0	0	0	0	0.09	0	0.13	0	0.02	0.02	0	0.04	0	0	0.07	0.07	0.04	0.04	0.09	0.09	0.07	0.07	0	0.02	0.02	0.07	0	0.07	0.13	0.02	0.02	0.1	0	0.07	0.07	0.02	0.09	0.02	0.02	0	0.1	0.02	0.07	0	0.02	0	0	0.02	0.02	0.07	0.04	0.02	0.07	0.07	0.11	0	0	0	0.09	0.02	0.04	0.04	0.02	0.22	0.11	0.07	0	0.16	0.04	0.04	0.02	0	0.16	0.02	0.02	0.04	0.09	0.02	0.04	0.18	0	0.04	0.11	0.02	0.04	0.04	0	0.04	0.04	0.02	0	0	0.03	0.18	0.04	0.11	0	0	0	0	0.09	0.02	0.07	0.02	0.02	0	0.02	0.02	0.07	0.01	0.02	0	0.02	0.04	0.02	0	0.09
"fpt31"	47.78	48.5	46.63	22.96	42.95	56.93	46.14	99.47	73.82	43.3	55.09	47.42	52.75	89.53	51.19	56.36	44.97	39.65	92.22	58.39	40.3	56.14	40.05	42.9	51.02	48.06	87.11	55.08	41.16	46.07	61.36	49.03	94.22	51.27	41.58	96.22	94.6	59.98	28.32	58.19	81.07	40.66	44.37	67.44	55.28	31.91	48.8	57.45	66.59	50.91	46.43	45.97	34.01	47.84	50.51	87.42	59.52	49.01	31.3	51.98	71.34	41.87	31.52	38.49	78.75	79.01	54.98	48.14	94.51	41.95	54.08	64.09	75.21	51.09	28.63	42.75	36.58	49.98	66.1	75.86	80.7	46.1	47.93	36.93	86.19	42.51	40.58	49.29	49.6	42.34	58.44	53.29	44.93	89.31	61.69	55.33	95.04	57.74	35.86	48.73	72.8	42.59	90.31	37.36	67.47	74.84	39.11	37.16	69.2	50.91	74.07	31.97	46.97	49.21	46.74	73.69	74.17	29.13	60.87	82.78	41.36	62.45	62.91
"fpt32"	45.78	46.85	45.65	20.12	29.63	52.68	44.05	96.72	71.3	34.91	47.4	46.13	48.75	87.44	50.17	54.07	42.1	36.87	92.11	56.37	39.59	54.74	36.38	41.41	48.11	46.4	87.04	50.9	39.51	42.76	60.09	44.12	93.98	49.44	40.33	95.98	94.29	55.45	21.31	53.3	80.29	35.68	40.99	66.8	46.22	30.38	46.19	55.25	65.45	48.49	42.42	45.17	32.38	44.31	47.16	87.29	57.63	47.97	29.76	49.51	70.32	40.07	29.45	29.13	77.08	77.17	42.81	45.32	94.2	39.03	50.1	63.52	23.99	48	28.1	41.15	31.36	48.11	65.18	75.01	79.61	34.73	45.24	35.64	85.99	40.33	37.67	41.74	46.2	41.25	57.53	48.71	42.24	88.91	57.35	53.62	94.98	56.71	34.36	45.3	71.69	39.63	90.16	35.12	65.73	73.93	37.85	33.79	68.24	49.2	73.2	28.77	42.14	44.22	44.12	72.21	73.08	18.8	60.29	81.89	39.85	60.49	60.13
