"ID"	"jarjarbinks_29"	"korra_29"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"goose_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"hamlet_41"	"hera_41"	"goose_42"	"lambchop_42"	"buddy_57"	"joans_57"	"ginger_58"	"henry_59"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"grogu_70"
"njc87"	0	0	0	0	0.03	0.03	0	0	0	0.1	0	0	0	0	0.13	0.05	0	0	0	0	0.03	0	0	0.1	0	0.03
"njc88"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0
"njc89"	0	0	0	0	0.03	0.03	0	0	0	0.1	0	0	0	0	0.13	0	0	0	0	0	0.03	0	0	0.1	0	0.03
"njc90"	0.03	0.05	0.03	0.13	0.13	0.12	0.1	0.1	0.1	0	0.05	0.05	0.03	0.23	0.08	0.03	0.03	0.5	0.5	0.08	0.13	0.45	0.08	0.25	0.32	0
"njc91"	28.32	40.73	16.07	35.93	16.16	15.5	16.38	44.61	11.28	20.14	40.55	28.63	37.24	15.88	13.88	13.97	12.93	27.62	25.06	28.93	26.29	30.79	10.68	32.5	27.42	8.46
"njc92"	0	0	0	0	0.01	0	0	0.15	0	0	0.05	0	0	0	0	0.05	0	0	0	0	0	0	0	0.03	0.03	0.08
"njc93"	0	0	0	0	0.03	0.03	0	0	0	0.1	0	0.01	0	0	0.13	0	0	0	0	0	0.03	0.03	0	0.1	0	0.03
"njc94"	0.1	0.38	0.5	1.1	0.23	0.7	1.48	0.4	0.93	0.63	1.45	0.45	0.6	0.53	1.15	0.72	0.35	0.83	0.53	0.35	0.55	0.03	4.73	0.53	0.42	0.45
"njc95"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0
"njc96"	0	0	0	0	0.01	0	0	0.15	0	0	0.05	0	0	0	0	0.05	0	0	0	0	0	0	0	0.03	0.03	0.08
"njc97"	2.45	0.9	1.35	3.75	3.19	1.62	3.08	5.43	1.93	2.8	2.95	1.86	1.85	1.55	1.53	1.52	0.7	2.83	1.65	0.88	1.35	1.05	8.75	2.5	1.68	1.6
"njc98"	0	0	0.2	0.08	0	0	0	0.23	0	0.08	0.15	0.03	0.03	0	0.05	0	0	0	0	0	0	0	0	0.35	0.03	0
"njc99"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0
"njc100"	0	0	0	0	0.03	0.03	0	0	0	0.1	0	0	0	0	0.13	0	0	0	0	0	0.03	0	0	0.1	0	0.03
"njc101"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0
"njc102"	0	0	0	0	0.01	0	0	0.15	0	0	0.05	0	0	0	0	0.05	0	0	0	0	0	0	0	0.03	0.03	0.08
"njc103"	0	0	0	0	0.01	0	0	0.15	0	0	0.05	0	0	0	0	0.05	0	0	0	0	0	0	0	0.03	0.03	0.08
"njc104"	28.45	29.3	14.86	37.96	14.52	15.22	17.75	44.28	10.93	7.96	40.88	26.69	35.92	16.5	14.83	15.03	12.85	29.29	25.86	28.21	8.28	30.57	16.5	27.35	26.12	5.6
"njc105"	0	0	0.05	0.1	0.05	0.1	0	0.05	0.05	0.05	0	0.13	0.05	0.1	0	0	0	0.05	0.03	0.05	0.1	0.03	0.03	0.13	0.07	0
"njc106"	0	0	0.2	0.08	0.01	0	0	0.38	0	0.08	0.2	0.03	0.03	0	0.05	0.05	0	0	0	0	0	0	0	0.38	0.05	0.08
"njc107"	28.45	29.3	14.76	37.93	14.54	15.25	17.75	44.26	10.93	8.06	40.88	26.69	35.92	16.5	14.95	15.03	12.85	29.27	25.81	28.21	8.3	30.57	16.4	27.42	26.12	5.63
"njc108"	2.15	0.75	0.8	2.33	2.63	1.15	2.45	0.9	1.48	1.75	2.33	1.23	1.48	1	1.3	1.35	0.55	1.7	0.8	0.65	1.05	0.08	8.25	1.28	0.98	0.6
"njc109"	7.47	6.82	5.88	16.8	7.49	5.78	4.3	6.58	3.68	2.35	2.22	10.39	9.25	6.25	3.58	3.38	2.55	12.12	10.58	5.2	3.5	12.96	4.88	6.65	10.47	0.73
"njc110"	0	0	0	0	0.08	0.03	0	0.18	0	0.13	0.07	0.04	0.03	0	0.18	0	0	0	0.03	0.03	0.03	0	0.1	0.18	0.03	0.1
"njc111"	0	0	0	0	0.04	0.03	0	0.15	0	0.1	0.05	0	0	0	0.13	0	0	0	0	0	0.03	0	0	0.13	0.03	0.1
"njc112"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0
"njc113"	2.15	0.75	0.98	2.63	2.67	1.18	2.88	1.68	1.48	2.53	2.95	1	1.43	1	1.35	1.43	0.55	1.68	0.88	0.65	1.1	0.1	8.7	1.15	0.98	0.7
"njc114"	0.05	0	0.03	0.13	0.14	0.07	0.15	0.28	0.13	0.03	0.12	0.21	0.08	0.08	0.05	0	0	0.08	0.08	0.05	0.03	0	0.35	0.13	0.07	0.13
"njc115"	0	0	0	0	0	0	0	0.05	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"njc116"	0	0	0	0	0.05	0	0	0.18	0	0.03	0.07	0.04	0.03	0	0.05	0	0	0	0.03	0.03	0	0	0.1	0.08	0.03	0.08
"njc117"	0	0	0	0	0.01	0	0	0.15	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.03	0.08
"njc118"	0	0	0.1	0.55	0.14	0.05	1.07	1.35	0	1.8	0.82	0.76	1.05	0	0.23	0.03	0	0	0.1	0.03	0.05	0	0.73	0.9	0.05	0.23
"njc119"	0	0	0.33	0.48	0.13	0.07	0	0.48	0.03	0.23	0.22	0.14	0.08	0.05	0.23	0.05	0	0.05	0.13	0.05	0.03	0.05	0.28	0.63	0.07	0.1
"njc120"	0.58	11.03	0.45	0.65	2.14	0.58	0.07	0.15	0.73	7.96	0.32	0.5	0.4	0.18	0.13	0	24.46	0	0	4.53	3.38	0.18	0.03	2.38	1.2	0.65
"njc121"	0	0	0	0	0.03	0.03	0	0	0	0.1	0	0	0	0	0.13	0	0	0	0	0	0.03	0	0	0.1	0	0.03
"njc122"	26.25	28.55	13.34	35.16	11.75	13.9	14.75	42.78	9.23	5.6	37.42	25.39	34.54	15.23	13.68	13.68	12.3	27.42	24.88	27.48	7.13	30.42	7.28	26.02	25	5.03
"njc123"	0.3	0.15	0.4	1.03	0.48	0.35	0.25	3.8	0.38	0.23	0.15	0.73	0.38	0.43	0.18	0.15	0.15	1.08	0.75	0.15	0.18	0.95	0.08	1.23	0.6	0.93
"njc124"	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0
"njc125"	0	0	0.28	0.08	0.01	0	0	0.25	0	0.08	0.15	0.04	0.03	0	0.05	0.05	0	0.03	0.05	0	0	0.05	0.13	0.35	0.03	0
