"ID"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"lambchop_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"lambchop_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"goose_20"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"goose_22"	"hamlet_22"	"hera_22"	"iris_22"	"korra_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"goose_24"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"lambchop_25"	"buddy_44"	"franc_44"	"ginger_44"	"ivy_44"	"joans_44"	"marshmallow_44"	"buddy_45"	"franc_45"	"grogu_45"	"henry_45"	"ivy_45"	"joans_45"	"marshmallow_45"	"buddy_46"	"charles_46"	"ivy_46"	"joans_46"	"marshmallow_46"	"franc_47"	"ginger_47"	"ivy_47"	"marshmallow_47"	"buddy_48"	"charles_48"	"franc_48"	"grogu_48"	"henry_48"	"ivy_48"	"joans_48"	"marshmallow_48"	"charles_49"	"franc_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"marshmallow_49"	"buddy_50"	"charles_50"	"franc_50"	"ginger_50"	"grogu_50"	"ivy_50"	"joans_50"	"charles_51"	"franc_51"	"joans_51"	"buddy_52"	"charles_52"	"ginger_52"	"grogu_52"	"marshmallow_52"	"franc_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"buddy_56"	"franc_56"	"grogu_56"	"joans_56"
"c__Negativicutes"	1784	2249	2388	2257	1187	2804	2592	2364	2066	1752	2524	2645	2888	2347	2209	2355	1609	2193	2714	1436	1338	2445	2434	1968	2322	1737	621	1614	2890	1407	2222	2404	2409	1768	2148	2101	2082	1832	3066	1126	2861	1548	976	3083	4947	1741	1616	1849	1925	2422	3269	1448	1478	625	1059	1801	3054	1985	1367	2726	3156	2133	985	948	1916	1946	229	2465	2016	2162	1950	811	1928	3425	3001	2544	2037	1581	1334	2800	2447	3245	1020	2881	1530	2137	2014	1289	1913	1724	2807	648	1583	2306	341	2171	5827	1817	1080	1880	465	2520
"c__Gammaproteobacteria"	125	506	37	357	2745	24	61	39	26	1013	127	1163	29	40	26	262	1174	89	23	960	1434	426	408	864	451	882	2819	1192	16	1571	921	84	5	1304	433	32	648	52	16	2027	173	1340	568	2	418	889	1674	861	213	824	6	705	762	2871	1257	710	27	645	2069	74	327	21	2265	2505	548	98	3530	27	58	383	1374	2047	150	4	32	131	495	1697	1948	418	84	7	2664	57	365	219	51	454	1178	43	14	2955	992	16	3490	46	44	35	2387	49	3145	344
"c__Bacteroidia"	617	337	928	449	1	771	736	960	1302	738	742	0	460	1056	1181	574	775	893	603	675	698	576	768	632	604	661	257	758	736	524	484	798	1040	431	721	1209	574	1213	470	627	885	685	1011	614	1026	1045	399	1037	1132	311	436	1197	1464	163	1366	1193	240	1019	252	671	243	1051	305	277	907	1246	129	508	1102	690	215	185	966	260	600	729	1233	224	273	472	892	352	99	538	1784	981	1238	2066	510	1408	590	224	801	1195	84	1000	1048	1243	220	1073	229	774
"c__Clostridia"	1361	679	603	847	38	364	552	538	456	416	478	81	567	411	395	670	406	774	494	778	453	465	338	453	568	647	233	289	269	416	319	453	493	405	591	507	635	783	383	173	4	288	423	180	1363	230	252	150	539	254	213	463	160	323	189	238	463	249	232	435	176	203	368	163	548	571	100	742	679	541	426	277	815	264	292	350	141	425	239	237	446	327	208	425	185	453	458	141	300	626	468	157	378	405	80	315	854	732	242	855	143	259
"c__Betaproteobacteria"	30	30	30	67	14	25	43	79	41	71	73	103	38	97	35	127	24	40	61	134	51	35	51	47	20	64	19	137	23	73	39	49	27	81	85	47	43	44	42	36	53	26	358	63	208	88	44	97	160	32	64	140	135	6	75	40	64	98	42	72	82	375	65	73	18	112	12	33	109	153	22	10	124	22	64	208	75	37	42	60	109	52	8	88	116	128	136	44	36	168	107	16	166	69	4	38	122	133	45	118	6	89
"c__Coriobacteriia"	37	11	2	20	1	12	9	18	81	3	47	3	13	40	27	9	5	10	6	7	5	39	0	30	22	0	47	7	10	6	6	1	8	8	5	89	13	46	19	3	20	46	65	53	25	5	12	2	21	143	9	31	1	12	38	8	129	3	20	18	11	45	10	2	8	22	0	196	4	5	7	3	10	22	5	11	3	30	98	6	4	13	0	4	16	36	83	3	39	3	11	0	47	8	1	383	88	19	9	18	12	3
"c__Fusobacteriia"	27	185	10	1	0	0	5	0	23	3	2	0	3	0	121	2	5	0	96	0	0	10	0	0	3	6	3	1	52	0	2	202	15	0	13	8	0	1	1	7	1	61	434	1	1	0	0	0	1	0	0	2	0	0	15	4	20	0	0	4	0	167	0	29	42	0	0	7	15	46	0	14	0	0	6	22	0	0	37	4	0	0	0	0	0	23	6	0	16	19	0	0	0	0	0	28	0	2	9	1	0	0
"c__Bacilli"	4	1	0	1	7	0	0	0	0	0	1	3	2	8	0	1	1	0	0	0	6	0	0	4	2	2	0	1	0	0	3	5	0	2	1	5	4	1	1	0	0	1	125	0	5	1	1	4	0	7	1	0	0	0	0	1	0	1	14	0	2	3	1	1	1	0	0	19	5	12	0	642	4	1	0	2	10	3	21	3	6	2	0	2	3	16	2	1	3	3	1	0	14	1	0	15	7	8	3	1	0	8
"c__Mollicutes"	14	2	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	3	0	0	0	0	8	0	0	5	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
"c__Actinomycetes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
