"Taxa"	"Hera_1"	"Wolverine_1"	"Buddy_11"	"Hamlet_11"	"Hera_11"	"JarJarBinks_11"	"Joans_11"	"Padme_11"	"Ginger_14"	"Hera_14"	"Iris_14"	"JarJarBinks_14"	"Kubo_14"	"Wolverine_14"	"JarJarBinks_15"	"Kubo_15"	"Buddy_17"	"Iris_17"	"Ivy_17"	"Kubo_17"	"Lambchop_17"	"Padme_17"	"Wolverine_17"	"Buddy_18"	"Ginger_18"	"Hamlet_18"	"Hera_18"	"Iris_18"	"Ivy_18"	"JarJarBinks_18"	"Kubo_18"	"Lambchop_18"	"Wolverine_18"	"Franc_19"	"Ivy_19"	"Ophelia_19"	"Wolverine_19"	"Ginger_2"	"Ginger_20"	"Goose_20"	"Hamlet_20"	"Hera_20"	"Iris_20"	"Korra_20"	"Ophelia_20"	"Buddy_21"	"Hamlet_21"	"JarJarBinks_21"	"Joans_21"	"Korra_21"	"Kubo_21"	"Franc_22"	"Goose_22"	"Grogu_22"	"Hamlet_22"	"Henry_22"	"Hera_22"	"Iris_22"	"Joans_22"	"Kubo_22"	"Marshmallow_22"	"Hamlet_23"	"Iris_23"	"Korra_23"	"Franc_24"	"Ginger_24"	"Henry_24"	"Hera_24"	"Ivy_24"	"Kubo_24"	"Marshmallow_24"	"Ophelia_24"	"Wolverine_24"	"Henry_25"	"Kubo_25"	"Ginger_29"	"Henry_29"	"JarJarBinks_29"	"Joans_29"	"Korra_29"	"JarJarBinks_3"	"Kubo_30"	"Hamlet_31"	"JarJarBinks_32"	"Ginger_36"	"Grogu_36"	"Henry_36"	"Franc_37"	"Goose_37"	"Grogu_37"	"Hera_37"	"Kubo_37"	"Lambchop_37"	"Ophelia_37"	"Wolverine_37"	"Goose_4"	"Grogu_41"	"Hamlet_41"	"Hera_41"	"Joans_41"	"Ginger_42"	"Goose_42"	"Grogu_42"	"Henry_42"	"Ivy_42"	"Lambchop_42"	"Ophelia_43"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Goose_44"	"Iris_44"	"Ivy_44"	"Joans_44"	"Lambchop_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Hamlet_45"	"Henry_45"	"Hera_45"	"Ivy_45"	"JarJarBinks_45"	"Joans_45"	"Korra_45"	"Marshmallow_45"	"Ophelia_45"	"Buddy_46"	"Charles_46"	"Goose_46"	"Hamlet_46"	"Iris_46"	"Ivy_46"	"Joans_46"	"Lambchop_46"	"Marshmallow_46"	"Franc_47"	"Ginger_47"	"Ivy_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Hamlet_48"	"Hera_48"	"Iris_48"	"Ivy_48"	"JarJarBinks_48"	"Joans_48"	"Korra_48"	"Kubo_48"	"Lambchop_48"	"Marshmallow_48"	"Ophelia_48"	"Wolverine_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Iris_49"	"Ivy_49"	"JarJarBinks_49"	"Joans_49"	"Kubo_49"	"Marshmallow_49"	"Ophelia_49"	"Wolverine_49"	"Padme_5"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"JarJarBinks_50"	"Joans_50"	"Korra_50"	"Kubo_50"	"Lambchop_50"	"Ophelia_50"	"Wolverine_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Lambchop_51"	"Buddy_52"	"Charles_52"	"Ginger_52"	"Goose_52"	"Grogu_52"	"JarJarBinks_52"	"Kubo_52"	"Marshmallow_52"	"Franc_53"	"Hera_53"	"Kubo_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Iris_55"	"Ivy_55"	"Lambchop_55"	"Ophelia_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"	"Buddy_57"	"Joans_57"	"Ophelia_57"	"Wolverine_57"	"Ginger_58"	"Goose_58"	"Wolverine_58"	"Goose_59"	"Hamlet_59"	"Henry_59"	"Iris_59"	"Ophelia_59"	"Korra_6"	"Padme_6"	"Iris_60"	"Joans_60"	"Marshmallow_60"	"Wolverine_60"	"Joans_62"	"Henry_66"	"Hera_67"	"Ivy_67"	"Franc_68"	"JarJarBinks_68"	"Ginger_7"	"Hera_7"	"Iris_7"	"Padme_7"	"Charles_9"	"Franc_9"	"Grogu_9"	"Henry_9"	"Ivy_9"	"Korra_9"
"Metabolism|Global and overview maps"	0.385103775283538	0.381452730303821	0.367437861863426	0.352296657852744	0.365976035106033	0.361547238228532	0.379197241186361	0.355606854377951	0.395635459263746	0.376408730453951	0.370297056318218	0.365467791372666	0.360513459260848	0.367420719997242	0.367777406182175	0.369924229967615	0.373316871071446	0.377480272215563	0.374817406921077	0.376943662519762	0.362315112567662	0.34095655307542	0.390184879870864	0.356459403582919	0.39237110754947	0.384301845918247	0.393517201694472	0.375621211269867	0.36627161978029	0.389208316823891	0.382525852167183	0.380392366847197	0.386802420490133	0.378856066208558	0.371758255960671	0.387483861582352	0.376999084661895	0.35865959587215	0.393303248104963	0.403622769737191	0.361654176879613	0.38168331576965	0.38441150742074	0.36630995951934	0.362290702966523	0.36739979694458	0.375539181888051	0.400834379537838	0.373313769605339	0.371425927044148	0.377597643907806	0.391825169769076	0.373895834969005	0.391976245002493	0.359914977395019	0.37458547023395	0.370815324622119	0.394356324167936	0.374875543503253	0.381571697008335	0.405119920308796	0.381102492043571	0.39523444482806	0.367438197711989	0.381031043310871	0.396151979998847	0.37792036296991	0.391300184365451	0.373302563447457	0.376565061910026	0.380048687660617	0.380108949413016	0.383020767971582	0.366810116318214	0.385667601659324	0.404623664109331	0.373290937968843	0.382253154473384	0.394402711878425	0.364205993841374	0.401762214187756	0.381816424349882	0.391258122458306	0.376230264472468	0.383403445762183	0.389067992636428	0.383809615645165	0.382108618883916	0.386526542440658	0.384263153603199	0.371833292888077	0.38045829410845	0.382370194078524	0.359038274629327	0.379523988627138	0.359644835591955	0.38686200309825	0.377543579726293	0.380003676187873	0.374062423925441	0.366081688424171	0.397997548561823	0.389735427754617	0.397185637060401	0.377167354941316	0.390842573858744	0.357044433064946	0.383343395660977	0.368412233541118	0.406330363333966	0.40027742941312	0.377497777223603	0.393282762782117	0.397778988192296	0.396488691507226	0.401255603832022	0.400858809036195	0.388724340854927	0.402123344402009	0.379958154240667	0.408424465696587	0.378368839855793	0.381208912848942	0.341316657582424	0.396064823024785	0.375923071190844	0.395114611157646	0.36476309240757	0.388669292211735	0.390460002951143	0.389529359546341	0.385706702085652	0.377933373269022	0.394575905559987	0.396178270363401	0.394329805810276	0.40277205189719	0.402718236367954	0.395781571277428	0.384259023887266	0.367144585399278	0.390586738107853	0.358306495035634	0.391372965158465	0.389481640842089	0.380619832406981	0.376494778700334	0.383706163257026	0.379795485429095	0.366621022197728	0.386025456775604	0.375611800247035	0.378505356766945	0.40849875949689	0.379430523874664	0.364774595527118	0.36845964131227	0.363962134922819	0.392406584990863	0.406953404414464	0.4001075336172	0.393641989268147	0.384733273597659	0.383838605568738	0.400530446904494	0.380520929523401	0.38869702658763	0.363681984448301	0.377238702323456	0.361268928270547	0.364035254501127	0.389156402375724	0.399476778643422	0.405368588060847	0.402109822407498	0.40144756811855	0.400029613731375	0.392875771882984	0.392993848479119	0.38195624253048	0.401220734452261	0.356726357757417	0.369008222010675	0.380887343882222	0.389968499545011	0.39444450924786	0.408368861777131	0.390832832923486	0.366931984969149	0.401052330404301	0.407470117482638	0.391828564412262	0.398799060878721	0.363822893401968	0.370892932085462	0.395691814357868	0.380015550434223	0.376293176205054	0.39820132704012	0.397000062914784	0.40127398437491	0.384439431185435	0.384634275576794	0.393807386989325	0.357887986657032	0.365197624017671	0.376533210957765	0.379261309945779	0.400014365171286	0.389990780862815	0.365496941128227	0.37566969957073	0.362349314756677	0.404050582272055	0.388220190783824	0.365691004185196	0.397228361661356	0.374570072647613	0.403064451015052	0.375940115239122	0.355088597025896	0.374577958604112	0.361252760358021	0.368288756731831	0.381387190152833	0.362930269032134	0.38267989107822	0.406146941214809	0.375399227820475	0.397982069134858	0.371287249266625	0.387374070097443	0.379108506983465	0.362876865140306	0.397832852365145	0.388718613991607	0.359672925470923	0.357622524972729	0.360831669960156	0.390054559703965	0.359686669131131	0.369022484685513	0.378701651191036
"Metabolism|Carbohydrate metabolism"	0.117838256588308	0.115584371986688	0.121508036947729	0.140176961258474	0.124723933462113	0.128455616651707	0.121413960641035	0.128567942865081	0.122661386692378	0.122815469352128	0.120533516493666	0.114313777132486	0.1246797475655	0.119947320948604	0.115752579410485	0.122046862489346	0.125148395166189	0.117661694534812	0.120010052537088	0.118452716787886	0.123360417043784	0.118814248839755	0.116581588553657	0.122266687050844	0.112337173329875	0.115127031511233	0.115963472419685	0.114795623481786	0.114094702890593	0.117267883616157	0.118893535484772	0.120072800297148	0.112732943837798	0.119010943204888	0.116250781910995	0.1167860139487	0.118451708327243	0.123411901444681	0.119031954437531	0.113618594633451	0.121064456944547	0.11755112421714	0.117595153188734	0.122539867183399	0.120579596355909	0.13041125384064	0.119206553081695	0.114583267672383	0.122648089061022	0.121160040433413	0.118378554757154	0.118031970371281	0.120256847967525	0.117904947140547	0.12189083146724	0.119934751898656	0.119398205930288	0.116130008635031	0.121023852668452	0.11933713486789	0.116619202200511	0.121416692546396	0.113872765275602	0.122332714230746	0.118620365192842	0.116985067841023	0.11971074880789	0.116689845126238	0.120200433796944	0.121414565806606	0.120756672774821	0.11676618500333	0.115263854532468	0.121758922321284	0.118060731297143	0.116062823545344	0.120749020182357	0.120190772234123	0.119963324973766	0.123366438785484	0.116887722029456	0.118793216008011	0.119023617772139	0.120432038382498	0.119525099837459	0.118465935012807	0.120578322805618	0.115831051538866	0.119122510337014	0.115844776609398	0.113139546140663	0.123890733329481	0.118523754649818	0.122827325092287	0.116523731566208	0.121652025458304	0.118582819240199	0.119702517378721	0.119688902190735	0.121354028814393	0.121243320369821	0.116512693424886	0.117501857598284	0.11799312480375	0.118685178186452	0.120223400583076	0.114333320107501	0.118825134034389	0.116793075515598	0.115904727163667	0.116075091465284	0.119251891246145	0.117885322225887	0.119156851870929	0.121976672989333	0.117570559219572	0.118459040616518	0.117317717673489	0.118541081316668	0.117816125221114	0.114638887832611	0.117280636837307	0.10717171102803	0.110182743237833	0.118200828322001	0.120045609059417	0.116632368585429	0.115292899470698	0.11851777649383	0.118769644895752	0.117730915192959	0.116666166489622	0.11867876707276	0.118803560802819	0.118334286979154	0.122242333001629	0.116192972251086	0.114249272888624	0.118456938946997	0.119593768145101	0.121921328162867	0.12021995433122	0.119829238581981	0.115833546953785	0.115616744275698	0.116078700456019	0.117663340059637	0.116703707572129	0.118832446556609	0.121763202938355	0.118888387325959	0.119831764844521	0.12049262855113	0.115187848428734	0.120043897071377	0.112883361419657	0.119184835498305	0.117470361813586	0.115348354634561	0.117134922256854	0.116968358249191	0.115293298022314	0.119952793013078	0.117947446397503	0.116440376629403	0.118564230822866	0.118712809507125	0.116109202995431	0.117902690621687	0.122632216074374	0.121370850607077	0.113371538877359	0.118286855473253	0.116272761677445	0.116038433838786	0.116772669417556	0.115157243068603	0.11938964499508	0.118232411400052	0.118106404911616	0.119685126349993	0.122242664544638	0.120664881288562	0.114131655628825	0.11714469147635	0.117971161556761	0.115897923006279	0.117139401654487	0.118312239460879	0.115137927431329	0.114811328928316	0.117278901010725	0.11464037758374	0.122050909276941	0.119899355970923	0.115519281259233	0.120031656819006	0.11933932635963	0.115005527312583	0.114448603655436	0.118204552102719	0.116575559804499	0.115743016560613	0.118332309099339	0.119905528481837	0.121705810915435	0.118155211230882	0.119078816768799	0.118753550418807	0.11840681317775	0.120950585464517	0.115082522230467	0.120687189977604	0.117222990918886	0.118128810147467	0.119825643020207	0.116480732448677	0.118806775004239	0.117403178266621	0.115447836325175	0.1161866668103	0.120775428026646	0.122371291581612	0.116491196263697	0.120263385707559	0.120738174510497	0.118106768998465	0.117566055691613	0.115450424878648	0.118585010884088	0.118650524945457	0.11957882891383	0.114371984173878	0.122824062182827	0.116756758247137	0.116734442903172	0.123240459481315	0.123478770372051	0.123118601701834	0.117116403085225	0.125048955322345	0.121255329410668	0.115960671522318
"Environmental Information Processing|Membrane transport"	0.0801815821462328	0.0685807227708624	0.0831068550091937	0.0998344311774301	0.089506964934038	0.0849731675498493	0.0799718168265652	0.0851521770178329	0.0750563256595605	0.0813898551941702	0.059813832153699	0.0822355543920342	0.0861878172291791	0.0891865922691183	0.0840763784733908	0.0835961654755441	0.0770868779165408	0.0761741054640953	0.077669980594126	0.0816080541861145	0.0859532125184896	0.095912900725509	0.062885479646316	0.0887900234348357	0.0692662112290009	0.0768916673835524	0.0692948216178529	0.0713822536057191	0.0594307807475571	0.0714088833663062	0.0783575826482364	0.0773816692146982	0.0670276081916917	0.0752946901892683	0.0714808366060895	0.0743824883124404	0.0657213900360252	0.0868096366651771	0.0691007234878414	0.0659839938053917	0.0828962236222416	0.0764002128986771	0.0701337326080913	0.0835352510787294	0.0822344408483639	0.0808065750270794	0.078575875339699	0.0642594852938093	0.0885477227548563	0.0807740853560263	0.0757701192385161	0.0713772717240745	0.0803240544405325	0.0647739569455288	0.0841917838936242	0.0763511746750321	0.0918964687593556	0.060311124205514	0.0771467755305603	0.0749997014848791	0.066847229744009	0.0737837797976537	0.0673879072706987	0.0835592568645258	0.0692266623304568	0.0666902283252595	0.0762523983814533	0.0683341077444026	0.077330098899159	0.0806182633608556	0.0845562610939961	0.072027945748276	0.0678784047054859	0.0811431334813552	0.0696595319005378	0.0654828768835497	0.0761311404612965	0.077807520433725	0.0681199333922762	0.0849982183387662	0.0686556889965711	0.0781113592583056	0.0721587569844088	0.0784521896367065	0.0682378673585892	0.0610198189960971	0.0738558758228884	0.0747856753495729	0.0754807455551058	0.066947340912237	0.0753873811513627	0.0753889902091258	0.0759390558344271	0.085956698378278	0.071603959525627	0.0905402048370766	0.0733732862609079	0.0796487427977282	0.0758285777333744	0.0826464011168943	0.0800557385187709	0.0700376190295362	0.0711781369353828	0.061986682119922	0.0422749671912035	0.0643955847786086	0.0866008944858008	0.0669753611668681	0.0717867070606968	0.0618350478642144	0.0699834174413554	0.0663280027820725	0.0731931280067511	0.0725083647617259	0.0708434413990308	0.0642111700923633	0.0694578479839721	0.0680836488842089	0.0700096439361733	0.0622449070124744	0.0619620788952286	0.0662779927693183	0.0648836006462011	0.0915635324499378	0.071017047940647	0.0749457399430052	0.0688707772837189	0.0843281778053324	0.0622433777971818	0.0768848186542149	0.0701588072151648	0.0692497602644958	0.0589684401101105	0.0751348736856967	0.0719330011151102	0.0689656305301081	0.0681821957866318	0.0607611881882958	0.0701592528103647	0.0564124282974627	0.0815147128999114	0.0755033673782878	0.0893232669773392	0.060912504026887	0.0620879257819533	0.0693026537337506	0.0741525264592259	0.0657704589818011	0.0601254030146198	0.083768430844947	0.0775599008295992	0.0786155781142411	0.0667704573035227	0.063863882151995	0.0775871162449464	0.0761003323121718	0.0758486818709721	0.0928075700605989	0.0654360257051239	0.0665078677681764	0.0644272165114933	0.0694935943424198	0.0632236019619056	0.0776701395958079	0.0657974288435412	0.0760146901602509	0.0734591849183269	0.0800108036148291	0.072352331430349	0.0836184474751633	0.08159972912975	0.0717063044473623	0.0616888368479951	0.0657933535197959	0.0636066417935493	0.0647118711106045	0.0676656222845376	0.0700019441648249	0.06945240821633	0.0741818392673885	0.0701388694308781	0.0869347955864156	0.0796442663017784	0.0745244164113783	0.0628534063391997	0.064840341229296	0.0644635946768238	0.0694709525676098	0.0837349236754644	0.0669972396244179	0.0639668352349221	0.0671674736928792	0.0697925050593895	0.0823920138277327	0.0783612767028645	0.0543442290391858	0.0835590458700104	0.0791941419424294	0.0552871761333705	0.061616278969066	0.067808253396945	0.071673502575634	0.0629399872853276	0.0645006034982753	0.0875457474103125	0.0825522250040127	0.0757338218492436	0.0692965526009303	0.0721601381127593	0.0712053870420595	0.0819097633577624	0.0620049766219917	0.0816815886536076	0.0673595242006107	0.0731599296845446	0.0811302052414587	0.0697860894424449	0.0754634375172634	0.0653557399821754	0.0710627920000388	0.0829839249956964	0.0784637744617327	0.081883218020711	0.0606463048271973	0.0788344655873741	0.0842851417245425	0.0717713911344591	0.0679148334555342	0.0560467009297335	0.075156096073876	0.0779751657302675	0.0752539127034358	0.0736627187381408	0.0848017235002654	0.0704207148601145	0.0731032190567895	0.0822632207926803	0.0873226898943706	0.0859948603209421	0.0611933385912852	0.0845263585497561	0.0751457304711868	0.0710121923260411
"Metabolism|Amino acid metabolism"	0.0673327100560861	0.0672196041295245	0.0594164007526927	0.0544314400746024	0.0585702622458323	0.0564775111715062	0.0626856266749566	0.0577888327570441	0.065952751869872	0.0619238386732076	0.060468792570807	0.0607196732835473	0.0555684102394417	0.060601907557264	0.0616119900459759	0.0592221937530656	0.0628315336706115	0.0653815199595244	0.0617584489437386	0.0623690255865326	0.0565085975590118	0.0595355451342939	0.0666547731829661	0.0553083893798081	0.0722029106317098	0.067528155255498	0.0692698756783696	0.0644431389188531	0.0630914351173588	0.0669613949226752	0.0642148710681231	0.0636818214969204	0.0686223052462267	0.0636335076417794	0.0643623916153426	0.0667420504256204	0.0636655297948211	0.0555916389043549	0.0686062779237767	0.0747313004925259	0.0591711079961248	0.0656903133482768	0.0669578876643135	0.0577383469383518	0.0593952762820876	0.0618525862385267	0.06333382712802	0.0728230644433215	0.0604132832247964	0.0602429095676436	0.0624548131477977	0.0674150721103517	0.0619092129738237	0.0673394462356625	0.0583704513971479	0.0623536596168748	0.0594460570083866	0.069707110638759	0.0613897783109919	0.0633188973979565	0.0724136581426961	0.0640947929976859	0.0721452029793425	0.0585489901704488	0.0632034067956602	0.0696917338083554	0.0633696541680801	0.0684107760505652	0.0635284564831903	0.0611912301218896	0.0640435473613912	0.0628086627961951	0.0649524200757815	0.0585281591170127	0.0645089821065618	0.0727955522313534	0.0607442689395683	0.0636994005429713	0.0670100390361218	0.0570616665728268	0.071423253826977	0.0638010242078337	0.0659437293055439	0.061851555849088	0.0641257478014831	0.0655637299860499	0.0647060659933112	0.0654834112011015	0.0658406920374714	0.0653662766723572	0.0627294222928733	0.0621418138304252	0.0651270834710516	0.0559480236975488	0.0658272219526926	0.0557433987226341	0.0660625445784187	0.0618820673641468	0.0625269503675792	0.0617448430309817	0.0586527752038313	0.0705981900097787	0.0677012579580609	0.0682155667957715	0.0581456798114297	0.0684840994657779	0.0612676605750234	0.0643361422958792	0.0605015737121955	0.0730513287514106	0.0719536828241708	0.0626680612049875	0.0679916933181641	0.0678083523973519	0.0674273986353702	0.0699275008791726	0.0692215352451848	0.0668013431470329	0.0696285921218161	0.0615773340764111	0.0750629156538536	0.0617443376677227	0.0629091322890213	0.0615807233623978	0.0681254857160984	0.0616568191175535	0.070070352817009	0.0623053980367967	0.0646678142646962	0.0660053529254412	0.0687518043778833	0.0654084237331667	0.0620386435722527	0.068944602354062	0.0683690528579505	0.0660070214862145	0.072059931773619	0.073303438225194	0.0683347963781947	0.0627798556195331	0.0586185358419328	0.066459763517457	0.056168020165711	0.0675967270244496	0.0674197586920999	0.0639641332174687	0.0625530469613629	0.0652484858333695	0.0609987277960832	0.0587721893366157	0.0675684782302065	0.0622106806563466	0.0613611709898745	0.0744737843131468	0.0633049503705424	0.0615396231023824	0.0613845908170662	0.055974778818341	0.0687115268708004	0.0723129895193821	0.0703405161152793	0.0705533377137866	0.0623340221569305	0.0655222577126379	0.07098770402951	0.0639687653473072	0.0666223280859088	0.0596607043007999	0.0632597420272004	0.0565287246501475	0.0596557262264455	0.0685724775273865	0.0681566856758136	0.0726209927805592	0.071928630261286	0.0709603843538435	0.0723203035814025	0.0659966581949632	0.0674829708227067	0.0640553660323222	0.0685377989430179	0.0558587521331008	0.0615306704911876	0.0661749385886005	0.0667765474905244	0.0668786468726527	0.0740026258342916	0.0677828231690661	0.0612704422859281	0.0723074500925051	0.0747375223721533	0.06789874414679	0.0725914022334405	0.0574388828459311	0.061045522049432	0.0695019723378878	0.0643927906424473	0.0629482986658195	0.0702781554722695	0.0716538723088447	0.0694449974853487	0.0671420227130226	0.0652678126110559	0.0679174923009395	0.0589026437499401	0.0596502125026319	0.0621130335424534	0.061978362275404	0.069444313461633	0.0676190314220762	0.0604680107773678	0.0623088886149442	0.0598062551692211	0.0714209921601825	0.0669732251189929	0.0610468264627183	0.0706252390360143	0.061959044050933	0.0712727130852137	0.0642562242508758	0.0601602532622013	0.0607998146325243	0.056437946129073	0.0592385695973216	0.0644845535987145	0.0583538524218117	0.0658417973771512	0.0717661006823976	0.0641350829779924	0.0690740467721565	0.0624204992717238	0.065496080336296	0.0666384628141279	0.0569816075724004	0.0710282044210249	0.0688403356070316	0.0556789140435509	0.0555650013898882	0.0562916595716104	0.0667160175321653	0.0569665185817735	0.0586303501084995	0.0637002587432255
"Environmental Information Processing|Signal transduction"	0.0398493431659659	0.0468985905249693	0.0441249554294578	0.0438670828938297	0.0453618456872956	0.0479067536740761	0.0391333358931476	0.0516865186907387	0.0342843414196614	0.042633159807052	0.0587533764097667	0.0610432253975586	0.0457975649703132	0.0528019522046464	0.0563201866532885	0.0476015800205684	0.0424288660197288	0.0482737573324011	0.0426215414049217	0.0473763602212904	0.0442194690508376	0.0497060090759312	0.0442433228341077	0.0485579195085335	0.037558661600852	0.0435342959108996	0.0389850177707519	0.0549243223967022	0.0591215606870965	0.0396910296604737	0.0445176763098445	0.0379539143793804	0.0472717681744393	0.0421641335991515	0.0513346802627176	0.0416005427549776	0.0525979781154071	0.046074519975828	0.036704184951176	0.0319111218053936	0.0473324767892607	0.0448433906230643	0.0448788623803535	0.0454121018352509	0.0473159592408746	0.0449507477188593	0.0433819459517708	0.0335627214071861	0.0446063298877534	0.0431030793111257	0.0471911469218881	0.0386194276854896	0.0417604696732436	0.0419393046916645	0.0461028867142807	0.0434868355480016	0.0481730921229304	0.0413206146327202	0.0438503657880381	0.0434393780103148	0.0310996125491377	0.0428057539176885	0.0380997294448469	0.0438685750508249	0.0458334499785348	0.0380162857286708	0.0413854354323955	0.0407187310779546	0.0494872584339787	0.0415353880240552	0.0426674946923917	0.051379157920643	0.0510673288245643	0.0448495406409979	0.0462588142052583	0.0318926391375669	0.0448199037544987	0.0389374988112771	0.0372735795162582	0.0441024280734454	0.0328413274279509	0.0429024883078339	0.0379987756688509	0.0416893085012146	0.0432763975757869	0.0447019060815317	0.0419843870709148	0.0487239136669657	0.0382259898969451	0.048697641141109	0.05966156771751	0.041872138364367	0.0401550283782947	0.0470564174036162	0.0492400948878421	0.0431829617433772	0.042180156599375	0.045230425918851	0.044042781248538	0.0416177773592438	0.045716182826578	0.0341100170226457	0.0392731488813509	0.0386643354214102	0.0597666254872269	0.0398418162771075	0.0532403136676095	0.0462702243497905	0.0494988746150727	0.032175276505047	0.0320861748050036	0.0526713416467971	0.0365002682597199	0.034542904602235	0.0341821268080347	0.0347282647083717	0.0335538796705166	0.0405958753927676	0.0319735133916603	0.05139689407617	0.0302607719312998	0.0519823412902331	0.0448522379840375	0.0534364716286913	0.0367108810418123	0.0445417790750747	0.0375919336665637	0.0494614683330571	0.0459130069170546	0.0401415363071201	0.0405513151131644	0.0438000561194478	0.0534814674860279	0.0349482789060206	0.0359584077755263	0.0365137880196264	0.0312499534590751	0.0349910587243293	0.0337697661996597	0.0482284677720858	0.0444056366595549	0.0383874792646142	0.0526937721967249	0.0449872446866613	0.0459863212170828	0.0499624892663074	0.0491998719536588	0.048678637080737	0.0513506359322497	0.0442253791481763	0.0373633879934566	0.0428105487168623	0.0501439303930951	0.0291789224451449	0.0396842150888672	0.0598545006949347	0.0476131800294859	0.0433114014292829	0.0426267373909826	0.0297100903833557	0.0359826633334908	0.0389177899465189	0.0448931668644728	0.0404207425900413	0.0347452493879955	0.0462886406810462	0.0373466724511226	0.0573346160972163	0.0475043672087667	0.0462080043969485	0.0454417293449743	0.0374364324306722	0.0374641286068723	0.0313219133581678	0.0348058366396646	0.0347945180223783	0.0330790325970115	0.0393895582771616	0.0376012443998534	0.0459727686116728	0.0310094541592618	0.0475715686399349	0.0434520988117836	0.0455509407095651	0.0449599427371117	0.0399676586238641	0.0285490865392724	0.0410767137219064	0.053746526737637	0.0343788291167936	0.0298901545322011	0.0412706387874118	0.0341270681426693	0.0468792997234273	0.0438770010040598	0.0444323541484229	0.0417892921151811	0.0475032173737634	0.0409919948568338	0.0370681552290568	0.0338974719515107	0.0448091295609248	0.047837847620522	0.0377099741664881	0.0491261301436151	0.0442129920922533	0.0505694576133523	0.0496941573567621	0.0325276808778924	0.0400852510057553	0.0442448948462285	0.0567125193846633	0.0465678507283812	0.0319326059868294	0.0360613872175989	0.046596965034613	0.034069117231134	0.0478634339869766	0.0321546513309434	0.0531772305058018	0.0509512373217357	0.0494337453185671	0.04723655232764	0.0644766967980299	0.038472470921504	0.0448757201288625	0.0409041288626157	0.0291020648001811	0.054942508564105	0.0338575494886494	0.0457417855040549	0.0371862275051674	0.0442229378915991	0.0447238754595063	0.0347917628659498	0.040640881774086	0.0480602126911236	0.0476026285196174	0.0452279528055744	0.0418629589895092	0.0467240397990092	0.0463329872865961	0.0523273482649809
