tax	GOO-4-DRS-S20	GOO-4-MGE-S21	GRO-36-MGE-S13	GRO-41-MGE-S7	HAM-17-MGE-S5	IRI-16-MGE-S1	JAR-2-MGE-S4	JAR-3-MGE-S19	KOR-58-MGE-S14	KUB-58-MGE-S11	LAM-2-DRS-S16	LAM-2-MGE-S17	MAR-37-MGE-S22	total
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium callanderi	0	0	0	0	0	0	0	5	0	0	0	0	0	5
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides koreensis	0	0	1	0	0	0	0	4	0	0	0	0	0	5
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens	0	0	1	1	0	0	0	2	0	0	0	0	0	4
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia producta	0	0	0	0	0	0	0	4	0	0	0	0	0	4
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus lactarius	0	4	0	0	0	0	0	0	0	0	0	0	0	4
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella maculosa	0	0	2	0	0	0	0	2	0	0	0	0	0	4
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium tertium	0	4	0	0	0	0	0	0	0	0	0	0	0	4
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;[Clostridium] polysaccharolyticum	0	0	1	1	0	0	0	2	0	0	0	0	0	4
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecigallinarum	0	0	0	0	0	0	0	4	0	0	0	0	0	4
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;Kingella bonacorsii	0	4	0	0	0	0	0	0	0	0	0	0	0	4
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	0	0	0	1	0	0	0	3	0	0	0	0	0	4
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Leptotrichia trevisanii	0	4	0	0	0	0	0	0	0	0	0	0	0	4
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Qiania;Qiania dongpingensis	0	0	0	1	0	0	0	3	0	0	0	0	0	4
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus lactis	0	4	0	0	0	0	0	0	0	0	0	0	0	4
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia porci	0	0	0	1	0	0	0	3	0	0	0	0	0	4
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella xylaniphila	0	0	1	0	0	0	0	2	0	0	0	0	0	3
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella oris	0	0	1	0	0	0	0	2	0	0	0	0	0	3
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella rava	0	0	0	1	0	0	0	2	0	0	0	0	0	3
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sinensis	0	3	0	0	0	0	0	0	0	0	0	0	0	3
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Jingyaoa;Jingyaoa shaoxingensis	0	0	1	0	0	0	0	2	0	0	0	0	0	3
Bacteria;Bacteria_none;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter showae	0	3	0	0	0	0	0	0	0	0	0	0	0	3
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium polymorphum	0	3	0	0	0	0	0	0	0	0	0	0	0	3
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella tobetsuensis	0	3	0	0	0	0	0	0	0	0	0	0	0	3
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium vincentii	0	3	0	0	0	0	0	0	0	0	0	0	0	3
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;Granulicatella elegans	0	3	0	0	0	0	0	0	0	0	0	0	0	3
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium transplantifaecale	0	0	0	0	0	0	0	3	0	0	0	0	0	3
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;Haemophilus haemolyticus	0	3	0	0	0	0	0	0	0	0	0	0	0	3
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Bibersteinia;Bibersteinia trehalosi	0	3	0	0	0	0	0	0	0	0	0	0	0	3
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia caecimuris	0	0	0	0	0	0	0	3	0	0	0	0	0	3
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;Olsenella phocaeensis	0	0	0	0	0	0	0	2	0	0	0	0	0	2
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas fragi	0	2	0	0	0	0	0	0	0	0	0	0	0	2
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella;Pasteurella oralis	0	2	0	0	0	0	0	0	0	0	0	0	0	2
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;Kingella kingae	0	2	0	0	0	0	0	0	0	0	0	0	0	2
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;Capnocytophaga gingivalis	0	2	0	0	0	0	0	0	0	0	0	0	0	2
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Ursidibacter;Ursidibacter maritimus	0	2	0	0	0	0	0	0	0	0	0	0	0	2
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;Lautropia mirabilis	0	1	0	0	0	0	0	1	0	0	0	0	0	2
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella;Eikenella corrodens	0	2	0	0	0	0	0	0	0	0	0	0	0	2
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Gordonibacter;Gordonibacter massiliensis (ex Traore et al. 2017)	0	0	0	0	0	0	0	2	0	0	0	0	0	2
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella denticola	0	0	1	0	0	0	0	1	0	0	0	0	0	2
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella massiliensis	0	2	0	0	0	0	0	0	0	0	0	0	0	2
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Hungatella;Hungatella effluvii	0	0	1	0	0	0	0	1	0	0	0	0	0	2
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella stercoris	0	0	1	1	0	0	0	0	0	0	0	0	0	2
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalimonas;Faecalimonas umbilicata	0	0	0	1	0	0	0	1	0	0	0	0	0	2
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster citroniae	0	0	0	1	0	0	0	1	0	0	0	0	0	2
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Thermophilibacter;Thermophilibacter mediterraneus	0	0	1	0	0	0	0	1	0	0	0	0	0	2
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Cuneatibacter;Cuneatibacter caecimuris	0	0	0	0	0	0	0	2	0	0	0	0	0	2
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia argi	0	0	0	0	0	0	0	2	0	0	0	0	0	2
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Anaerocolumna;Anaerocolumna cellulosilytica	0	0	0	0	0	0	0	2	0	0	0	0	0	2
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Anaerocolumna;Anaerocolumna aminovalerica	0	0	0	1	0	0	0	1	0	0	0	0	0	2
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Drancourtella;Drancourtella massiliensis	0	0	0	0	0	0	0	2	0	0	0	0	0	2
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera vaginalis (ex Srinivasan et al. 2021)	0	0	0	0	0	0	0	2	0	0	0	0	0	2
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Acutalibacteraceae;Anaeromassilibacillus;Anaeromassilibacillus senegalensis	0	0	1	1	0	0	0	0	0	0	0	0	0	2
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora saccharolytica	0	0	1	0	0	0	0	1	0	0	0	0	0	2
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus cristatus	0	2	0	0	0	0	0	0	0	0	0	0	0	2
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella loescheii	0	2	0	0	0	0	0	0	0	0	0	0	0	2
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc;Leuconostoc holzapfelii	0	2	0	0	0	0	0	0	0	0	0	0	0	2
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia;Mannheimia granulomatis	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc;Leuconostoc palmae	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoanaerobaculum;Lachnoanaerobaculum gingivalis	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas paraversuta	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Fusicatenibacter;Fusicatenibacter saccharivorans	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;Granulicatella balaenopterae	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium dentalis	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc;Leuconostoc citreum	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Micrococcus;Micrococcus flavus	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;Pantoea agglomerans	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;Pantoea endophytica	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia stercoris	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus shenyangsis	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia liquoris	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia hydrogenotrophica	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurellaceae_Incertae_sedis;[Haemophilus] felis	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Anaerocolumna;Anaerocolumna chitinilytica	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella;Pasteurella stomatis	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus parasuis	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter soli	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;Haemophilus parahaemolyticus	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella;Pasteurella dagmatis	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus peroris	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia;Mannheimia massilioguelmaensis	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium vitabionis	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Murimonas;Murimonas intestini	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium;Cardiobacterium valvarum	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera hexanoica	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Leptotrichia massiliensis	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides kribbi	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium mortiferum	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium massiliense	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium hwasookii	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides zhangwenhongii	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter massiliensis	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter gracilis	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;Capnocytophaga sputigena	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola faecalis	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella viscericola	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides johnsonii	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella nanceiensis	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Leyella;Leyella stercorea	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Marseilla;Marseilla massiliensis	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;Pseudoleptotrichia goodfellowii	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ottowia;Ottowia beijingensis	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter faecis	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ottowia;Ottowia shaoguanensis	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Metaprevotella;Metaprevotella massiliensis	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Parolsenella;Parolsenella catena	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Propionivibrio;Propionivibrio pelophilus	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia faecis	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Sporofaciens;Sporofaciens musculi	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria mucosa	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria macacae	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella provencensis	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;Selenomonas flueggei	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella;Eikenella halliae	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella;Eikenella exigua	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;Selenomonas noxia	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Caecibacter;Caecibacter massiliensis	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera cerevisiae	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium callitrichos	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium aesculapii	0	1	0	0	0	0	0	0	0	0	0	0	0	1
