task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	f8/c39198	2344705	minimap_pipeline:run_common:getParams	COMPLETED	0	2025-03-18 14:40:49.947	1.2s	14ms	75.0%	0	0	77.5 KB	3.4 KB
8	b5/704ab2	2344630	fastcat (4)	COMPLETED	0	2025-03-18 14:40:49.865	1.4s	405ms	34.3%	70 MB	189.1 MB	181.1 KB	24.6 KB
22	bc/a0bf62	2344775	fastcat (18)	COMPLETED	0	2025-03-18 14:40:50.003	1.5s	668ms	206.0%	88.4 MB	511.8 MB	33.1 MB	23.1 MB
14	5e/c027a5	2344667	fastcat (10)	COMPLETED	0	2025-03-18 14:40:49.911	1.6s	701ms	246.2%	88.8 MB	511.8 MB	43.8 MB	30.6 MB
11	2c/ac959e	2344731	fastcat (7)	COMPLETED	0	2025-03-18 14:40:49.985	1.5s	714ms	273.9%	67.9 MB	511.8 MB	46.6 MB	32.7 MB
25	53/360232	2344714	fastcat (21)	COMPLETED	0	2025-03-18 14:40:49.967	1.5s	720ms	244.6%	81.5 MB	511.8 MB	46 MB	32.1 MB
17	c2/c699bf	2344637	fastcat (13)	COMPLETED	0	2025-03-18 14:40:49.884	1.7s	751ms	262.8%	75.2 MB	511.8 MB	50.7 MB	35.4 MB
10	61/e6b105	2344647	fastcat (6)	COMPLETED	0	2025-03-18 14:40:49.897	1.7s	761ms	195.2%	84.6 MB	382 MB	38.9 MB	27.2 MB
9	2b/ad9c1e	2346799	fastcat (5)	COMPLETED	0	2025-03-18 14:40:51.554	627ms	195ms	54.9%	84.8 MB	382 MB	308.2 KB	115.3 KB
5	65/d4c17f	2346457	fastcat (1)	COMPLETED	0	2025-03-18 14:40:51.284	946ms	496ms	232.6%	85 MB	382 MB	34.4 MB	24.1 MB
28	12/ab317d	2346722	fastcat (24)	COMPLETED	0	2025-03-18 14:40:51.513	828ms	364ms	227.8%	83 MB	382 MB	30.5 MB	21.2 MB
18	52/74989d	2346668	fastcat (14)	COMPLETED	0	2025-03-18 14:40:51.475	894ms	433ms	300.0%	87.3 MB	510.9 MB	33.5 MB	23.4 MB
19	f9/9fb5c9	2346885	fastcat (15)	COMPLETED	0	2025-03-18 14:40:51.593	888ms	456ms	240.0%	67.1 MB	189.1 MB	37 MB	25.8 MB
27	d5/27f29a	2346692	fastcat (23)	COMPLETED	0	2025-03-18 14:40:51.496	1s	542ms	230.2%	64 MB	189.1 MB	37.6 MB	26.4 MB
15	03/a0450d	2346752	fastcat (11)	COMPLETED	0	2025-03-18 14:40:51.529	975ms	528ms	186.8%	68.7 MB	189.1 MB	37 MB	25.7 MB
13	a4/5fb807	2348307	fastcat (9)	COMPLETED	0	2025-03-18 14:40:52.243	839ms	384ms	266.1%	88.7 MB	510.9 MB	32.1 MB	22.2 MB
21	fc/a36bb4	2348250	fastcat (17)	COMPLETED	0	2025-03-18 14:40:52.194	921ms	487ms	264.1%	79 MB	382 MB	37.1 MB	25.9 MB
20	41/014085	2348514	fastcat (16)	COMPLETED	0	2025-03-18 14:40:52.387	873ms	438ms	246.2%	71.1 MB	189.1 MB	42.9 MB	29.5 MB
7	8d/05fb16	2348504	fastcat (3)	COMPLETED	0	2025-03-18 14:40:52.366	907ms	467ms	225.5%	77.7 MB	189.1 MB	35.6 MB	24.9 MB
24	20/988db1	2348646	fastcat (20)	COMPLETED	0	2025-03-18 14:40:52.492	887ms	497ms	246.6%	68.9 MB	189.1 MB	42.7 MB	29.2 MB
26	8a/a203c1	2348691	fastcat (22)	COMPLETED	0	2025-03-18 14:40:52.509	875ms	477ms	272.0%	78.6 MB	382 MB	48.1 MB	33.6 MB
6	5d/c61862	2348725	fastcat (2)	COMPLETED	0	2025-03-18 14:40:52.524	867ms	466ms	260.5%	76.7 MB	189.1 MB	42.3 MB	29.5 MB
23	dd/f55a5e	2350032	fastcat (19)	COMPLETED	0	2025-03-18 14:40:53.100	819ms	440ms	230.4%	76.8 MB	382 MB	37.3 MB	26.1 MB
12	9e/464676	2350048	fastcat (8)	COMPLETED	0	2025-03-18 14:40:53.128	863ms	480ms	297.7%	69.5 MB	382 MB	51.1 MB	35.6 MB
16	75/83b4bc	2350223	fastcat (12)	COMPLETED	0	2025-03-18 14:40:53.270	1.1s	670ms	329.3%	79.2 MB	382 MB	51.4 MB	36 MB
2	5f/0527d3	2344813	minimap_pipeline:run_common:getVersions	COMPLETED	0	2025-03-18 14:40:50.022	6.1s	5.4s	111.9%	65.8 MB	4.1 GB	12.3 MB	3.1 KB
29	50/11fd09	2351046	minimap_pipeline:minimap (KUB-45-MGE-S242)	COMPLETED	0	2025-03-18 14:40:56.178	11.8s	11.2s	214.2%	805.2 MB	6.3 GB	522.7 MB	4.2 MB
30	51/b0725e	2352483	minimap_pipeline:minimap (IVY-55-MGE-S248)	COMPLETED	0	2025-03-18 14:41:08.001	19.4s	18.8s	1757.9%	910.1 MB	6.8 GB	600.1 MB	75 MB
