tax	BUD-17-MGE-S232	BUD-18-MGE-S250	CM-NTC-012	GIN-24-MGE-S240	GIN-42-MGE-S241	HAM-20-MGE-S235	HAM-46-MGE-S243	HEN-22-MGE-S238	IRI-18-MGE-S233	IRI-20-MGE-S253	IRI-55-MGE-S247	IVY-18-MGE-S234	IVY-19-MGE-S252	IVY-55-MGE-S248	JAR-18-MGE-S249	JAR-52-MGE-S246	JOA-11-MGE-S231	KUB-22-MGE-S237	KUB-45-MGE-S242	KUB-49-MGE-S245	OPH-20-MGE-S236	WOL-19-MGE-S251	WOL-24-MGE-S239	WOL-48-MGE-S244	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus	234	34	1	44	144	78	196	43	58	39	59	377	231	548	71	25	15	61	0	248	78	95	102	171	2952
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	250	0	0	131	180	28	89	147	96	153	204	94	184	227	80	200	168	81	0	164	22	134	61	91	2784
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Xylanibacter;Xylanibacter rarus	1	0	0	0	0	1	0	0	534	457	449	0	0	0	0	0	60	1	0	0	0	803	28	311	2645
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri	163	269	0	0	869	80	1	225	0	0	0	0	0	0	67	24	304	115	0	0	144	0	0	86	2347
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera indica	296	0	0	111	133	19	70	112	72	104	151	39	120	149	81	273	108	62	0	113	25	97	52	56	2243
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera paucivorans	59	0	0	52	61	20	67	46	176	323	430	10	65	96	78	223	56	56	0	66	26	206	36	38	2190
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellamassilia;Prevotellamassilia timonensis	13	0	0	0	428	66	669	211	0	0	0	0	0	0	129	82	79	165	0	0	195	0	0	0	2037
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola plebeius	1	0	1	30	294	450	668	220	0	1	0	18	11	7	25	6	1	0	0	2	238	0	0	0	1973
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella seckii	175	147	0	39	290	3	133	55	33	91	84	96	76	119	66	66	79	12	0	117	47	47	28	74	1877
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis	4	0	1	60	197	45	33	98	160	80	91	163	91	42	10	0	12	90	0	93	35	203	202	125	1835
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii	89	144	0	0	942	28	20	219	0	0	0	0	0	1	28	6	187	85	0	0	34	0	1	8	1792
