"Taxa"	"hera_1"	"wolverine_1"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"lambchop_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"lambchop_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"goose_20"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"goose_22"	"hamlet_22"	"hera_22"	"iris_22"	"korra_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"goose_24"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"lambchop_25"	"jarjarbinks_29"	"korra_29"	"jarjarbinks_3"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"goose_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"goose_4"	"hamlet_41"	"hera_41"	"goose_42"	"lambchop_42"	"ophelia_43"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"goose_46"	"hamlet_46"	"iris_46"	"lambchop_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"lambchop_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"lambchop_51"	"goose_52"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"lambchop_55"	"ophelia_55"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"korra_6"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"	"hera_7"	"iris_7"	"korra_9"	"ophelia_9"
"Metabolism"	0.749530953620555	0.74984491936369	0.720652166853593	0.72658962598389	0.726776944904793	0.739821638622757	0.737441529658416	0.714145911465213	0.72458202359043	0.720185568811784	0.719450907791955	0.730293878779933	0.741458819862826	0.734345230904479	0.727713322019992	0.757772279866744	0.74823762761527	0.763310713894324	0.735164384190579	0.757294369255833	0.742435902494799	0.75120452634272	0.75232952438896	0.753412230477236	0.742780673742876	0.754107871719436	0.742043960536251	0.7471950154979	0.781018760131105	0.724749745618363	0.746010629736829	0.752750166739587	0.729084938219169	0.725259672054843	0.74043712151264	0.778493954532621	0.737072615589083	0.739384398892805	0.740883363916733	0.724092415463091	0.721592435219256	0.76777423002212	0.727770199646049	0.745320816645232	0.749688057956663	0.7680123138552	0.731988932670308	0.755433080417667	0.761454655382564	0.741036124315063	0.737415859962044	0.743061060911934	0.748045491989986	0.762414868158349	0.749978102829864	0.728697865303188	0.775165726120576	0.744077957616025	0.756595942890519	0.743205465917064	0.755136088418839	0.724311897606252	0.748115883529398	0.750890031628889	0.721782854290891	0.743935281052658	0.722954652023133	0.737803223949389	0.742699414880912	0.770784271558523	0.766697686813356	0.709681796504521	0.775352091114153	0.740316045198056	0.750289404592432	0.767649695058253	0.744165599789452	0.740236948709749	0.690030655186242	0.741677613346294	0.718808222346975	0.760223555391695	0.751356986879449	0.743634660533438	0.764327789055923	0.742781117069428	0.738362855324813	0.748610600230652	0.731268271596028	0.741757723644982	0.743606672369836	0.786440923904529	0.717023683511851	0.733513183402294	0.763924433749311	0.749939514863601	0.742854098828939	0.717248259636209	0.7416270492909	0.775798152710165	0.762538462822857	0.744034889690628	0.772515209304819	0.718525509174284	0.735786192989799	0.786173865935854	0.786063440263784	0.772565051213786	0.727499013482656	0.742651940229111	0.737160478443141	0.751572260653892	0.767272140877455	0.715724561252733	0.737008585861331	0.726955626244373	0.760789107426028	0.72985921627151	0.770660795089574	0.737813816713871	0.73595387528081	0.713223878796162	0.733885775930497	0.724826244110472	0.751572708577981	0.746109500016722	0.765286712146034	0.744673395851602	0.770470073970897	0.757446548488987	0.737523974619941	0.733387919067346
"Environmental Information Processing"	0.120329305518651	0.115553707283482	0.143759049456602	0.134978406133451	0.132863274779955	0.1243732818401	0.118448362076766	0.143571542959177	0.131995969794577	0.142064202023819	0.140844771855567	0.131153041002181	0.124896489354934	0.129003734626674	0.130166766053579	0.107780187540149	0.120049331775983	0.10825603847094	0.126544144995833	0.111323704666145	0.122791458234972	0.11535170595675	0.114387021668777	0.115375039272608	0.11839358943335	0.106468818246933	0.106612441820951	0.10176612785362	0.0980438910440002	0.130166865638227	0.121433062698527	0.115192397796286	0.128953053379139	0.129670693602253	0.121927890345277	0.0976807284257559	0.123779155432031	0.122943251594464	0.122336895806889	0.13029312821608	0.138313239355672	0.101955240133131	0.129736419091089	0.11878103082143	0.116833245298829	0.105907022246961	0.127403507962551	0.11426616193309	0.108755655189652	0.122144033049394	0.124111954453248	0.11897613289511	0.116366767914768	0.104645215338411	0.116576160940129	0.129126587424819	0.101235153877793	0.121217440321396	0.110505512860672	0.120136032911616	0.1134053672157	0.135129839139163	0.117547051024175	0.116083044321722	0.133074293997657	0.120839994221231	0.130415051377753	0.124781787989829	0.120037317077025	0.103911390262549	0.104269469614019	0.14003162880978	0.101612560970633	0.119189439936233	0.103140200609828	0.104972994381729	0.113894813201627	0.118610985816821	0.144971437790973	0.119387018871622	0.133634676071643	0.110817911061996	0.113409151780835	0.112499227245036	0.105509358341648	0.119491708903779	0.123477270815359	0.114369338315969	0.127985750364368	0.121254440186986	0.117151187306871	0.093284323178565	0.135927397952731	0.123533981231348	0.108658142783623	0.118006914630263	0.122324726394395	0.137517494124787	0.119658262056078	0.100585730343791	0.106979800189671	0.120404364312481	0.101003715319835	0.134458964047043	0.123134638303277	0.0931460775876873	0.0937546278604181	0.103775529635355	0.129129161314339	0.125144548706397	0.126959638328032	0.116319796149575	0.102131373139647	0.136725828368372	0.118630562776448	0.12833256747784	0.108990976003945	0.127649343852967	0.103980534145794	0.12322281342981	0.124417958981001	0.133748397998486	0.127933951019532	0.125319634470162	0.112633098955048	0.100499951235832	0.109161108138874	0.117399781824809	0.105195621697068	0.113905259314834	0.12330362880534	0.131015304950402
"Cellular Processes"	0.0503727705677748	0.0517513753615003	0.0543910495575248	0.0582436256931763	0.0576411768539466	0.0541286655525997	0.0599673207846668	0.0641914494202294	0.0610490872422026	0.0617315293874619	0.0613950279720222	0.0575641401487607	0.0538292016031325	0.0572884591816285	0.0596078792752358	0.050074263741978	0.052092873351465	0.0465510152210961	0.0574321008915621	0.0494454790356056	0.0548234021529591	0.0502946816296632	0.0511731176789057	0.0499529966296156	0.0565887368113013	0.0517654071353506	0.0574769970590449	0.0576813429693604	0.0389481847174171	0.0621289802182092	0.051907643406975	0.0510179309991705	0.0597772709054763	0.0619189448852705	0.0555265193752552	0.0407081821659405	0.0567528536327749	0.0559294996094605	0.0547957102938613	0.0623245105225218	0.0625437372257791	0.0458853098585678	0.0603031985964757	0.0537091831584158	0.0503133272129967	0.044404078775922	0.0586919337664651	0.0491398806612406	0.0468374551178631	0.0549419474623776	0.0566800464590548	0.0552739844763151	0.0534170080602808	0.0473010555021233	0.051580582705907	0.0598683469288521	0.0418225231736473	0.0534592745023145	0.0496737139602482	0.0542075825266557	0.04936356669184	0.0608841920226869	0.0509890857620396	0.0510040742484595	0.0626787033613495	0.0538682324866007	0.0592392386613188	0.0558940785153093	0.054353067291627	0.043050145433199	0.0456696008314588	0.0695853692253707	0.0407580501285207	0.0572688154252579	0.0559117080866897	0.0445129789969575	0.0555992626737354	0.0561208975229938	0.0818441152060411	0.0555438096109708	0.0662313435433381	0.0475553509726799	0.0518633880201693	0.0573130198618625	0.0462097171406811	0.0551352568662385	0.0559038912688755	0.0534971863508766	0.0588639004385634	0.0548581023704183	0.0550405257491568	0.0369252575130999	0.0657498052727102	0.0591573681025607	0.0465242687496056	0.0510023457316137	0.054431391060627	0.0648789336512832	0.0556015807718592	0.0412579891593821	0.0473671142941122	0.0536857834024098	0.0415538519472205	0.0644170086395541	0.0577595154379685	0.0367905694218931	0.0371755948398878	0.0428718189592225	0.0607300205958238	0.0529980276653051	0.0555943690262556	0.0512841294648118	0.0454525801318917	0.0660039641422275	0.0590278496449733	0.0613481909567838	0.0469875816072488	0.0598629430202891	0.0429424973817054	0.0559447781809289	0.0581493090797583	0.0695945973490038	0.0564434894148779	0.0651549247061195	0.0517485015320931	0.0583778455124066	0.0448466956088367	0.0555076019362501	0.043070719645787	0.0482547110151872	0.0577028531678136	0.0568651409260958
"Genetic Information Processing"	0.0462867957671749	0.0464502591488598	0.0467798999169274	0.042183899300504	0.0435592118496369	0.0450992143823159	0.0451288031241843	0.0409516266219138	0.0380872282793764	0.0423513789520904	0.0416455663849894	0.0427992958817259	0.0446154043411568	0.0436694797522725	0.0375176255653892	0.0480295951165437	0.0455415457393282	0.0480435820484673	0.0441039198243033	0.0464508371469991	0.0458094396657752	0.0434532182876726	0.04631780131046	0.0471792634631218	0.045582349791087	0.0483968463907252	0.0498035587405031	0.0464299597606316	0.0500671428044899	0.0384235707961174	0.0454392148308691	0.0469512697976048	0.0397465826667332	0.0384314810123293	0.0428010119081258	0.0489011528747438	0.040880606263143	0.0437704309041444	0.0414404688260365	0.0374122555414556	0.0445936824587198	0.0494349005082108	0.0384059280372933	0.044851135169447	0.0470313190896542	0.0483877746037762	0.039477828515858	0.0464976347950129	0.0482745824844659	0.0429884755299146	0.045475117490593	0.0460832569142233	0.0466915318328893	0.0482985157320902	0.0442577767120015	0.0384421282457299	0.049824106296333	0.0453536862541855	0.0486651280096281	0.0424161245182604	0.0460546704547837	0.0425981974232793	0.0475438702395352	0.0442966963213958	0.0370353368488826	0.0458244931581348	0.0429752053604647	0.0448211254080266	0.0456877832609763	0.0492058148851609	0.0496733729145203	0.0388322628048782	0.0495477211774057	0.0461789201598594	0.0471880058024906	0.0513649686620878	0.0468868570888733	0.0461284526761138	0.0353445390439709	0.0428291071183484	0.0416111913877137	0.0481075686630866	0.0469127592046667	0.0458806864746529	0.0511380846510238	0.0456576979275323	0.0443305581990287	0.0472562882185931	0.0392556798084988	0.0420958050794375	0.0467149806068738	0.0517650485353104	0.0412641058100241	0.0406134987735606	0.0478228613594726	0.0453731484294032	0.0455533518287853	0.0402971367468126	0.0440759895473942	0.0490778321022252	0.0479439909511025	0.0465358065458295	0.0527205649145662	0.0365927663334001	0.0404217276713582	0.0523658248650518	0.0513284522212301	0.0484895809276869	0.0386027357561089	0.045336536612625	0.0448115869456008	0.0465319848725324	0.0490738776627381	0.0390604362112019	0.0442933812666173	0.0384094823291263	0.0458924796726036	0.0396270825091619	0.0487805620044967	0.0437134300980076	0.0444578383610474	0.0380773401707467	0.0459955975920057	0.0432479235996272	0.0464531992022558	0.048165807432147	0.049724335789406	0.0438338146836732	0.0490863776542123	0.0476723814661931	0.044367640972316	0.0446146316357743
"Human Diseases"	0.0239903203285432	0.0254607946376651	0.0242757165707857	0.0284434388464118	0.0285249361532896	0.0269342949885361	0.026817254002187	0.0270180528709636	0.034443914615719	0.0239783369115973	0.0270296616994375	0.0286631312745623	0.0247736525429537	0.0265070342064046	0.0353758697925288	0.0253066852570587	0.0242638419757555	0.0239143464702736	0.026173020296368	0.0258524417927756	0.0244788094230419	0.0304491063639481	0.0254645009538866	0.0240730832680506	0.0256305087293431	0.0265151060280257	0.029405059152971	0.0320751558333502	0.0229816888778217	0.0345617660135637	0.0248397961521879	0.0242095339169772	0.0326618089907895	0.0349378167828031	0.0296537061844005	0.0248566155196339	0.0318688082546056	0.028083021702531	0.0311055283625433	0.0361628050592347	0.0233849790482862	0.0247175328221787	0.0340447861040179	0.0276682747957343	0.025563123892466	0.0237473186646054	0.0328831517701708	0.0255087825046166	0.0244294184705643	0.0295485977011287	0.0259539537974352	0.026189439620211	0.0251966234797589	0.0270218875499144	0.0283350639462537	0.0343091080304365	0.0231229561742637	0.026670252782241	0.025217602022116	0.0304418162941789	0.0268839168385549	0.0267183838852223	0.02547369103988	0.028346346691311	0.0356390400838919	0.0253836071129138	0.0342832180816281	0.0269440424933339	0.0271534382822318	0.0241544838676976	0.0239695312672659	0.0324781989755385	0.0239912378323697	0.0260163781981946	0.0304188708991949	0.0228852018805588	0.0267460789850679	0.0268715369222218	0.0389759038195286	0.0304710954123985	0.0305687537938463	0.0236371138332894	0.0257115805600451	0.0289262770734326	0.0236144739576604	0.0257421084066235	0.026912401514549	0.0256139100537658	0.0330423920764757	0.0305202617020438	0.02558711677057	0.0229402841688351	0.0295097361170316	0.032888576543499	0.0236437424890797	0.0263662903622483	0.024303614983972	0.0294818690511508	0.0286621954834171	0.0242633504038422	0.0258103608005846	0.0249268270763625	0.0234346457634268	0.0362668384076488	0.0332254711707059	0.0228624835848597	0.0229026343329689	0.0233150193834766	0.0341125542443434	0.0244743606405998	0.0249853841527924	0.0242509003054004	0.0261970436060647	0.0331340873808769	0.0293525016867329	0.0350875195071367	0.0281781684298127	0.0331603503038657	0.0247301440960314	0.0289496726135588	0.0260284218573284	0.0354991004182795	0.0250395057909187	0.0286831199227142	0.0277333505452336	0.0306716989638697	0.0226021231008038	0.028346434584441	0.023025157033333	0.0233967757144639	0.0267319198594431	0.0245405155470628
"Organismal Systems"	0.00948985419730112	0.0109389442048032	0.0101421176445673	0.00956100404256724	0.0106344554583795	0.00964290461369142	0.0121967303537794	0.0101214166625036	0.00984177647769521	0.00968898391324748	0.00963406429602873	0.00952651291283679	0.0104264322949966	0.00918606132854107	0.00961853729327537	0.0110369884775272	0.00981477954219872	0.00992430389489915	0.0105824298013544	0.00963316810264153	0.00966098802845314	0.00924676141924605	0.0103280339990108	0.0100073868893683	0.0110241414920423	0.0127459504795288	0.0146579826902792	0.0148523980851372	0.00894033242516603	0.00996907171551919	0.0103696531746118	0.00987870075037407	0.00977634583869282	0.0097813916625015	0.0096537506743015	0.0093593664813048	0.0096459608283629	0.00988939729659507	0.00943803279393649	0.00971488519761715	0.00957192669228722	0.0102327866557915	0.00973946852507574	0.00966955940974158	0.010570926549391	0.00954149185353525	0.0095546453146471	0.00915445968837258	0.0102482333548915	0.00934082194212231	0.0103630678376244	0.0104161251822072	0.0102825767223172	0.0103184577191113	0.00927231286584508	0.00955596406697422	0.00882953435738734	0.00922138852383815	0.00934210025681722	0.00959297783222489	0.00915639038028227	0.0103574899233957	0.0103304184049716	0.00937980678822241	0.009789771417328	0.0101483919684616	0.0101326344957015	0.00975574164411189	0.0100689792072277	0.00889389399287028	0.00972033855937997	0.00939074367991127	0.00873833877691745	0.0110304010823991	0.0130518100093651	0.00861416102041407	0.0127073882612451	0.0120311783521006	0.00883334895324428	0.0100913556403658	0.00914581285648324	0.00965850007725303	0.0107461335548349	0.0117461288115775	0.00920057685306405	0.011192110826398	0.011013022877375	0.0106526768301434	0.00958400571606587	0.00951366701613222	0.0118995171966927	0.00864416269966061	0.010525271335652	0.0102933919467369	0.00942655086890882	0.0093117859828711	0.010532816903282	0.0105763067897572	0.0103749228503518	0.00901694528059434	0.00936027094167286	0.0104123289722892	0.00877201275013217	0.00973891339806967	0.00967245442689138	0.00866117860465377	0.00877525048171083	0.00898299988047334	0.00992651460672892	0.00939458614596262	0.0104885431041786	0.0100409285537883	0.0098729845822029	0.00935112264458802	0.0116871187638969	0.00986661348474024	0.00916168686036215	0.00984106404220707	0.00890546728239861	0.0103554889638237	0.0109925964400547	0.00985668526732158	0.0107016802521688	0.0127681531909051	0.00985914118738906	0.0161751968390228	0.00837902521604636	0.0102389711192246	0.00915204999870282	0.00932432400033465	0.0103699825751464	0.00957648787331929
