"ID"	"JarJarBinks_15"	"Kubo_15"	"Buddy_17"	"Iris_17"	"Ivy_17"	"Kubo_17"	"Lambchop_17"	"Padme_17"	"Wolverine_17"	"Buddy_18"	"Ginger_18"	"Hamlet_18"	"Hera_18"	"Iris_18"	"Ivy_18"	"JarJarBinks_18"	"Kubo_18"	"Lambchop_18"	"Wolverine_18"	"Franc_19"	"Ivy_19"	"Ophelia_19"	"Wolverine_19"	"Ginger_20"	"Goose_20"	"Hamlet_20"	"Hera_20"	"Iris_20"	"Korra_20"	"Ophelia_20"	"Buddy_21"	"Hamlet_21"	"JarJarBinks_21"	"Joans_21"	"Korra_21"	"Kubo_21"	"Franc_22"	"Goose_22"	"Grogu_22"	"Hamlet_22"	"Henry_22"	"Hera_22"	"Iris_22"	"Joans_22"	"Kubo_22"	"Marshmallow_22"	"Hamlet_23"	"Iris_23"	"Korra_23"	"Franc_24"	"Ginger_24"	"Henry_24"	"Hera_24"	"Ivy_24"	"Kubo_24"	"Marshmallow_24"	"Ophelia_24"	"Wolverine_24"	"Henry_25"	"Kubo_25"	"Ophelia_43"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Goose_44"	"Iris_44"	"Ivy_44"	"Joans_44"	"Lambchop_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Hamlet_45"	"Henry_45"	"Hera_45"	"Ivy_45"	"JarJarBinks_45"	"Joans_45"	"Korra_45"	"Marshmallow_45"	"Ophelia_45"	"Buddy_46"	"Charles_46"	"Goose_46"	"Hamlet_46"	"Iris_46"	"Ivy_46"	"Joans_46"	"Lambchop_46"	"Marshmallow_46"	"Franc_47"	"Ginger_47"	"Ivy_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Hamlet_48"	"Hera_48"	"Iris_48"	"Ivy_48"	"JarJarBinks_48"	"Joans_48"	"Korra_48"	"Kubo_48"	"Lambchop_48"	"Marshmallow_48"	"Ophelia_48"	"Wolverine_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Iris_49"	"Ivy_49"	"JarJarBinks_49"	"Joans_49"	"Kubo_49"	"Marshmallow_49"	"Ophelia_49"	"Wolverine_49"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"JarJarBinks_50"	"Joans_50"	"Korra_50"	"Kubo_50"	"Lambchop_50"	"Ophelia_50"	"Wolverine_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Lambchop_51"	"Buddy_52"	"Charles_52"	"Ginger_52"	"Goose_52"	"Grogu_52"	"JarJarBinks_52"	"Kubo_52"	"Marshmallow_52"	"Franc_53"	"Hera_53"	"Kubo_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Iris_55"	"Ivy_55"	"Lambchop_55"	"Ophelia_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"
"njc72"	0	0	0	0	0	0	0.96	0.02	0	0	0.02	0	0	0	0	0	0	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0
"njc73"	0	0	0	0	0	0	0.96	0.02	0	0	0.02	0	0	0	0	0	0	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0
"njc74"	0	0	0	0	0	0	0.96	0.02	0	0	0.02	0	0	0	0	0	0	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0
"njc75"	0	0	0	0	0	0	0.96	0.02	0	0	0.02	0	0	0	0	0	0	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0
"njc76"	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.02	0.04	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.01	0	0	0	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.04	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0.02	0	0	0	0	0.02	0	0.02	0	0.02	0	0	0	0.02	0	0	0.02	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0	0.02	0.04	0	0	0
"njc77"	3.18	1.53	2.89	5.29	0.22	0.51	2.36	0.25	0.4	0	0.44	0.62	0.6	7.07	10.62	0.11	1.07	2.38	0.89	0.44	4.94	1.4	5.21	0.8	0.07	0.47	0.67	2.29	0.58	1.45	1.14	0.87	0.07	0.38	0.29	0.98	0.44	0.07	0.16	0.87	0.6	0.07	0.96	0.73	0.38	0.13	1.18	0.31	0.24	1.02	0.13	0.96	0.93	3.64	0.36	0.53	3.11	0.67	1.2	0.73	2.13	1.36	2.6	0.51	0.71	3.45	0.46	0.11	0.36	0.2	0.09	0.53	1.98	3.47	0.11	6.79	1.05	0.98	0	0.31	0.24	2.18	0.69	0.29	0.27	1.18	3.51	1.11	0.11	0.47	0.07	0.56	0.11	1.27	0.2	0.36	5.3	0.56	0.13	2.82	2.71	2.74	1.18	0.13	0.31	0.2	2.33	0.16	0.31	8.45	1.76	1.07	0.4	0.27	0.13	0.49	0.89	0.71	0.24	1.29	0.24	8.26	1.69	2	0.87	0.09	0.18	0.13	0.22	0.22	0.18	0.16	1.71	0.47	1.45	0.6	1.83	1.49	0.11	0.24	0.62	3.11	0.11	0.09	0.24	0.18	0.6	0.51	0.2	2.25	2.51	0.13	8.58	0.56	1.27	1.34	0.84	2.81	0.24	1.69	0.38	0.24
"njc78"	0.02	0	0	0	0	0	0.02	0.71	0.02	0.02	0.07	0	0	0	0.07	0	0.02	0.07	0	0	0.16	0.02	0	0.2	0.02	0	0	0	0	0	0.02	0.02	0	0.11	0.04	0	0	0	0	0	0	0.04	0	0	0.02	0	0.02	0	0	0	0	0.07	0.02	0.27	0.02	0.02	0.02	0	0	0	0	0	0.07	0	0.02	0.02	0	0.02	0.02	0	0.02	0	0.02	0	0.02	0.02	0	0	0	0.02	0	0	0	0.02	0	0.02	0	0.02	0	0.13	0.07	0	0.02	0.04	0	0.02	0.02	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0.02	16.11	0	0	0	0	0	0	0.09	0.02	0.04	0	0	0.02	0.07	0	0	0	0	0	0	0	0.02	0.27	0	0	0.18	0	0	0.11	0	0.02	0	0.07	0	0	0	0	0	0.02	0.02	0	0.13	0.03	0	0.02	0.02	0.02	0.02	0.02	0	0
"njc79"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0.04	0	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"njc80"	1.73	0.98	2.16	4.25	0.96	1.96	0	0.13	2.69	0	0.36	0.36	0.58	5.45	4.13	0.18	2.8	0	1.98	1.49	2.03	0.38	4.58	0.6	0.47	1.07	0.82	2.05	1.67	1.25	0.45	0.76	0.18	0	1.22	2.03	0.96	0.73	0.2	0.31	1.78	0	2.34	1.11	1.53	0.29	0.87	0.98	0.93	2.36	1.16	1.49	1.18	1.8	0.96	0.29	2.94	3	1.65	1.49	1.2	1.67	1.1	1.87	0.18	6.59	0.77	0.4	0.49	1.4	0.4	2.32	0.82	1.71	0.87	2.56	1.2	0.65	0.33	2.85	0.27	1.29	2.16	0.51	0.78	0.8	8.51	0.31	0.36	1.16	0.24	2.22	1.09	1.53	0.98	0.27	2.99	4.76	0.42	2.07	1.96	4.31	2.05	0.09	0.04	1.45	2.04	0.38	0.73	5.38	2.13	0.91	3.18	0.53	2.11	1.71	1.47	0.04	1.09	1.49	0.8	5.83	1.64	0.73	0.58	2.56	0.82	0.51	2.16	0.02	0.76	1.42	2.07	0.24	1.27	0.27	0.89	4.67	1.07	0.27	1.6	1.71	1	0.36	0.47	0.02	2.22	1.6	7.64	0.42	1.42	0.22	1.22	1.81	1.65	0.93	1.09	1.22	0.51	1.56	0.51	0.36
"njc81"	0	0	0	0	0	0	0.02	0.71	0.02	0.02	0.02	0	0	0	0	0	0	0.02	0	0	0.07	0	0	0.04	0	0	0	0	0	0.02	0.02	0	0	0.09	0.02	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0.04	0.02	0.04	0.02	0.02	0	0	0	0	0.02	0	0.65	0	0	0	0.01	0	0.02	0	0.02	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0.02	0	0	0	0.02	0	0.09	0.02	0	0	0.02	0	0	0.02	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0.02	16.11	0	0	0	0	0	0	0.07	0.02	0.02	0	0	0.02	0.02	0	0	0	0	0	0	0	0.02	0.16	0	0	0.09	0	0	0.04	0	0.02	0	0.02	0	0	0	0	0	0.02	0.02	0	0.07	0.02	0	0	0	0.02	0	0.02	0	0
