"ID"	"Ginger_2"	"Padme_5"	"Padme_6"	"Ginger_7"	"Padme_7"	"Charles_9"	"Franc_9"	"Grogu_9"	"Henry_9"	"Ivy_9"	"Buddy_11"	"Joans_11"	"Padme_11"	"Ginger_14"	"Buddy_16"	"Buddy_17"	"Ivy_17"	"Padme_17"	"Buddy_18"	"Ginger_18"	"Ivy_18"	"Franc_19"	"Ivy_19"	"Ginger_20"	"Buddy_21"	"Joans_21"	"Franc_22"	"Grogu_22"	"Henry_22"	"Joans_22"	"Marshmallow_22"	"Franc_24"	"Ginger_24"	"Henry_24"	"Ivy_24"	"Marshmallow_24"	"Henry_25"	"Ginger_29"	"Henry_29"	"Joans_29"	"Ginger_36"	"Grogu_36"	"Henry_36"	"Franc_37"	"Grogu_37"	"Grogu_41"	"Joans_41"	"Marshmallow_41"	"Ginger_42"	"Grogu_42"	"Henry_42"	"Ivy_42"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Ivy_44"	"Joans_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Henry_45"	"Ivy_45"	"Joans_45"	"Marshmallow_45"	"Buddy_46"	"Charles_46"	"Ivy_46"	"Joans_46"	"Marshmallow_46"	"Franc_47"	"Ginger_47"	"Ivy_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Ivy_48"	"Joans_48"	"Marshmallow_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Ivy_49"	"Joans_49"	"Marshmallow_49"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"Joans_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Buddy_52"	"Charles_52"	"Ginger_52"	"Grogu_52"	"Marshmallow_52"	"Franc_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Ivy_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"	"Buddy_57"	"Joans_57"	"Ginger_58"	"Henry_59"	"Joans_60"	"Marshmallow_60"	"Joans_62"	"Henry_66"	"Ivy_67"	"Franc_68"	"Grogu_70"
"fpt19"	23.17	19.74	21.24	23.04	25.74	19.95	26.74	1.91	12.57	11.82	8.63	3.21	5.7	0.6	2.3	4.54	7.69	90.21	2.51	0.67	5.97	6.16	3.15	1.54	1.11	0.29	1.18	0.2	7.65	5.09	0.93	4.43	0.47	9.27	2.92	0.47	17.41	1.64	7.6	0.62	5.18	0.29	2.45	2.33	0.2	0.13	4.28	2.76	17.55	0.58	2.4	6.93	1.4	1.55	1.91	1.33	0.42	0.82	0.51	2.83	2.74	1.31	1.56	0.4	0.27	1.58	0.91	0.42	0.44	0.47	0.78	4.89	0.91	8.54	0.53	17.02	1.53	0.27	1.67	1.76	6.38	52.22	1.29	0.44	1.73	2.6	0.42	2	1.91	10.94	0.4	0.89	0.24	0.44	0.8	7.14	1.18	0.71	1	4	1.33	0.49	7.87	1.49	0.16	1.8	1.09	2.49	2.6	2.62	0.58	0.29	0.8	0.89	0.91	0.69	1.65	28.93	0.38	4	7.47	3.69	4.31
"fpt20"	60.11	52.02	51.91	62.14	59.24	46.5	75.06	3.09	34	22.76	21.1	8.33	12.13	0.69	2.3	7.61	11.92	96.92	7	0.78	6.15	9.07	3.46	1.8	1.14	0.38	1.91	0.2	12.38	15.19	0.93	5.85	0.47	13.84	3.19	0.49	30.11	1.67	11.78	0.62	7.8	0.29	3.13	2.36	0.2	0.13	10.05	2.78	29.11	1.02	3	6.96	1.4	11.91	1.91	2.17	0.47	1.18	0.53	4.19	2.96	1.33	17.27	0.4	0.27	1.58	0.93	0.45	0.44	0.69	0.84	8.79	0.96	20.56	0.53	17.22	1.53	0.27	1.71	2.91	15.91	52.31	1.29	0.47	1.82	3.53	0.53	4.49	29.61	11.07	0.4	0.91	0.24	0.44	0.8	7.32	1.18	0.71	1.07	4.05	1.33	0.49	14.38	1.49	0.16	1.98	1.13	2.51	38.38	2.65	0.58	0.33	0.8	27.49	0.96	0.8	7.4	38.64	0.89	4.22	16.66	8.47	11.87
"fpt21"	23.17	19.74	21.24	23.04	25.74	19.95	26.74	1.91	12.57	11.82	8.63	3.21	5.7	0.6	2.3	4.54	7.69	90.21	2.51	0.67	5.97	6.16	3.15	1.54	1.11	0.29	1.18	0.2	7.65	5.09	0.93	4.43	0.47	9.27	2.92	0.47	17.41	1.64	7.6	0.62	5.18	0.29	2.45	2.33	0.2	0.13	4.28	2.76	17.55	0.58	2.4	6.93	1.4	1.55	1.91	1.33	0.42	0.82	0.51	2.83	2.74	1.31	1.56	0.4	0.27	1.58	0.91	0.42	0.44	0.47	0.78	4.89	0.91	8.54	0.53	17.02	1.53	0.27	1.67	1.76	6.38	52.22	1.29	0.44	1.73	2.6	0.42	2	1.91	10.94	0.4	0.89	0.24	0.44	0.8	7.14	1.18	0.71	1	4	1.33	0.49	7.87	1.49	0.16	1.8	1.09	2.49	2.6	2.62	0.58	0.29	0.8	0.89	0.91	0.69	1.65	28.93	0.38	4	7.47	3.69	4.31
"fpt22"	61.04	59.09	53.91	62.33	61.57	47.52	75.11	3.11	34.04	22.96	23.03	9.73	12.71	0.73	16.64	7.96	12.27	97.39	7.29	3.56	7	9.29	5.83	5.05	2.16	1.71	2.36	0.56	16.16	16.93	2.49	6.14	0.47	17.71	3.22	1.11	34.4	1.67	16.58	1	7.8	1.07	6.16	2.44	1.18	0.56	10.65	31.3	34.05	2.09	3.07	7.02	3.76	11.98	1.91	2.7	3.49	2.65	4.51	4.9	3.92	1.36	17.29	4	1	6.69	2.22	0.47	2.56	1.87	0.93	8.87	0.98	21.97	1.51	19.51	2.51	1.04	2.38	6.7	16.75	53.46	2.05	0.47	4.56	3.56	3.18	5.98	30.41	14.58	1.11	0.93	0.71	0.98	4.44	13.46	2.13	6.43	2.65	12.54	1.33	1.44	18.28	1.96	0.44	6.07	1.17	2.87	39.89	2.69	1.22	2.73	3.22	28.44	1.02	5.74	8.09	39.37	1.76	10.11	16.69	8.8	14.58
"fpt23"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.27	0.02	0	0	0	0
"fpt24"	0.04	0.07	0.13	0.16	0.07	0.04	0.13	0.02	0.1	0.02	0	0	0.13	0	0	0.02	0.04	65.42	0	0.04	0.11	0.04	0.22	0.02	0	0	0	0	0.02	0	0	0	0	0.09	0	0	0.09	0	0.02	0	0.02	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0.09	0.07	0.02	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0.02	0.07	0	0	0	0	0	0	0.04	0	0.02	0.02	0	0.11	0	0.02
"fpt25"	37	32.28	30.73	39.27	33.56	26.04	48.48	1.2	21.53	11	12.47	5.1	6.03	0.09	0.02	3.11	4.31	93.6	4.51	0.04	0.38	2.96	1.23	0.07	0.04	0.04	0.76	0	4.78	10.19	0.02	1.47	0	4.6	0.02	0.02	12.79	0.04	4.2	0	2.6	0	0.69	0.04	0	0	5.83	0.02	11.63	0.47	0.04	0.04	0	0.07	0.02	0.77	0.02	0.4	0.04	1.45	0.2	0	0.78	0	0	0.02	0	0.09	0	0.18	0.09	3.89	0.04	12.07	0	0.07	0.04	0	0.42	1.38	9.59	0.07	0.02	0.07	0.13	0.96	0.02	2.47	27.7	0.09	0.02	0.07	0	0.04	0	0.04	0	0	0.07	0.02	0	0.02	8.7	0	0	0.04	0.01	0.4	35.82	0.02	0	0	0	26.6	0.04	0.38	5.76	10.46	0.53	0.09	9.32	4.78	7.58
"fpt26"	0.04	0.07	0.13	0.16	0.07	0.04	0.13	0.02	0.1	0.02	0	0	0.13	0	0	0.02	0.04	65.42	0	0.04	0.11	0.04	0.22	0.02	0	0	0	0	0.02	0	0	0	0	0.09	0	0	0.09	0	0.02	0	0.02	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0.09	0.07	0.02	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0.02	0.07	0	0	0	0	0	0	0.04	0	0.02	0.02	0	0.11	0	0.02
"fpt27"	0.04	0.07	0.13	0.16	0.07	0.04	0.13	0.02	0.1	0.02	0	0	0.02	0	0	0.02	0.04	0.04	0	0.04	0.11	0.04	0.22	0.02	0	0	0	0	0.02	0	0	0	0	0.09	0	0	0.09	0	0.02	0	0.02	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0.09	0.07	0.02	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.02	0.07	0	0	0	0	0	0	0	0	0.02	0.02	0	0.11	0	0.02
"fpt28"	0	0	0.02	0.03	0	0	0	0	0.01	0	0	0	0	0	0	0.02	0	0.02	0	0.04	0.09	0	0.18	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt29"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.58	0	0	12	0	0.14	0	0	0	0	0	0	15.5	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0
"fpt30"	0	0.02	0.07	0.01	0.02	0.02	0.04	0.02	0	0.09	0.02	0.04	0	0.07	0	0	0	0	0	0	0.09	0	0.13	0.02	0.02	0	0.04	0	0	0.07	0.07	0.04	0.04	0.09	0.09	0.07	0.07	0	0.02	0.02	0.07	0.02	0.07	0.13	0.02	0.02	0.1	0	0.07	0.07	0.02	0.09	0.02	0.02	0	0.1	0	0.07	0	0.02	0	0	0.02	0.02	0.07	0.04	0.02	0.07	0.07	0.11	0	0	0	0.09	0.02	0.04	0.04	0.02	0.22	0.11	0.07	0	0.16	0.04	0.04	0.02	0	0.16	0.02	0.04	0.09	0.02	0.04	0.18	0	0.04	0.11	0.02	0.04	0.04	0	0.04	0.04	0.02	0	0	0.03	0.18	0.04	0.11	0	0	0	0	0.09	0	0.02	0.02	0	0.02	0.02	0.07	0
"fpt31"	89.57	75.86	69.13	73.68	74.17	60.91	82.77	41.33	62.46	62.88	47.78	48.5	46.62	22.96	42.95	56.92	46.2	99.46	73.79	43.32	55.09	47.38	52.72	51.19	56.43	44.97	39.66	92.22	58.37	40.28	56.14	40.05	42.9	51.02	48.05	87.11	55.06	41.16	46.07	61.36	49.03	94.2	51.27	41.6	96.24	94.6	59.96	28.38	58.27	81.04	40.71	44.37	67.42	55.29	31.96	48.79	57.43	66.59	50.91	46.42	45.98	34.01	47.83	50.51	87.42	59.5	49.03	31.32	51.98	71.33	41.84	31.52	38.49	78.75	78.9	54.96	48.09	94.51	41.89	54.09	64.12	75.21	51.09	28.66	42.84	36.58	49.98	66.1	80.67	46.11	47.91	36.93	86.19	42.51	40.58	49.32	49.56	42.35	58.44	53.29	44.98	89.31	61.69	55.33	95.02	57.71	35.87	48.73	72.88	42.65	90.29	37.36	67.49	74.84	39.15	37.13	50.93	74.07	31.97	46.96	49.23	46.74	29.13
"fpt32"	87.46	75.01	68.2	72.2	73.08	60.33	81.91	39.82	60.5	60.1	45.78	46.85	45.64	20.12	29.63	52.67	44.09	96.72	71.32	34.9	47.38	46.09	48.73	50.17	54.12	42.1	36.88	92.11	56.35	39.57	54.74	36.38	41.41	48.11	46.39	87.04	50.92	39.51	42.76	60.09	44.12	93.96	49.44	40.36	96	94.29	55.45	21.37	53.38	80.27	35.7	40.99	66.78	46.23	30.43	46.18	55.23	65.45	48.49	42.41	45.18	32.38	44.3	47.16	87.29	57.61	47.99	29.79	49.51	70.28	40.04	29.45	29.13	77.08	77.05	42.79	45.26	94.2	38.98	50.09	63.54	23.99	48	28.12	41.24	31.36	48.11	65.18	79.6	34.75	45.22	35.64	85.99	40.33	37.67	41.78	46.16	41.26	57.53	48.71	42.29	88.91	57.35	53.62	94.96	56.69	34.37	45.33	71.72	39.69	90.13	35.12	65.73	73.93	37.88	33.75	49.22	73.2	28.77	42.11	44.2	44.12	18.8
