NR_133686.1	txid1280843
NR_113060.1	txid544580
NR_133981.1	txid1329411
NR_181802.1	txid2809027
NR_036853.1	txid1683
NR_040867.1	txid302911
NR_157614.1	txid1769423
NR_137395.1	txid1798157
NR_118793.1	txid1681
NR_159261.1	txid2052941
NR_113172.1	txid1437609
NR_112779.1	txid1150460
NR_159324.1	txid1630173
NR_174313.1	txid2650773
NR_181799.1	txid2809026
NR_180396.1	txid2306975
NR_147762.1	txid1630172
NR_043439.1	txid1691
NR_174314.1	txid2650774
NR_145535.1	txid1931217
NR_181805.1	txid2834437
NR_147760.1	txid1630166
NR_180954.1	txid2675322
NR_181796.1	txid2834431
NR_180966.1	txid2661628
NR_181804.1	txid2834436
NR_181797.1	txid2834432
NR_037117.1	txid28026
NR_029137.1	txid78257
NR_113313.1	txid1437610
NR_164634.1	txid2045439
NR_113173.1	txid1437607
NR_181798.1	txid2834433
NR_180965.1	txid2661627
NR_180397.1	txid2306974
NR_181803.1	txid2809028
NR_025452.1	txid158787
NR_181800.1	txid2834434
NR_113174.1	txid762211
NR_029139.1	txid77635
NR_147761.1	txid1630162
NR_164635.1	txid2562524
NR_043881.1	txid384602
NR_179631.1	txid2014528
NR_026539.1	txid61592
NR_159102.1	txid1547448
NR_179493.1	txid2220000
NR_179615.1	txid1964384
NR_181929.1	txid2930083
NR_180580.1	txid2584469
NR_173693.1	txid1852385
NR_180810.1	txid2652279
NR_116938.1	txid997349
NR_179506.1	txid1805478
NR_074414.1	txid633147
NR_173692.1	txid1871033
NR_116936.1	txid604330
NR_173689.1	txid2292441
NR_163613.1	txid2003188
NR_156812.1	txid1871022
NR_180618.1	txid2779357
NR_181210.1	txid2779519
NR_173691.1	txid1871031
NR_173690.1	txid1852386
NR_134781.1	txid1299998
NR_113316.1	txid74426
NR_180644.1	txid2603815
NR_147379.1	txid1907654
NR_179431.1	txid1720204
NR_113165.1	txid147207
NR_147399.1	txid1871016
NR_179599.1	txid1937461
NR_113164.1	txid147206
NR_113273.1	txid742742
NR_179545.1	txid1870987
NR_074391.1	txid33871
NR_144579.1	txid1232426
NR_179460.1	txid2590867
NR_147403.1	txid1871019
NR_125595.1	txid1034345
NR_121696.1	txid446660
NR_179369.1	txid2707299
NR_042637.1	txid580026
NR_147380.1	txid1871008
NR_179701.1	txid2137581
NR_179525.1	txid1841863
NR_042825.1	txid883106
NR_113188.1	txid572010
NR_028620.1	txid1411
NR_181873.1	txid2880968
NR_026420.1	txid84136
NR_036920.1	txid150240
NR_025903.1	txid1379
NR_179572.1	txid1909670
NR_025904.1	txid29391
NR_133752.1	txid1179782
NR_133753.1	txid1179787
NR_115990.1	txid421768
NR_108459.1	txid558165
NR_025643.1	txid157227
NR_116596.1	txid568603
NR_041326.1	txid150056
NR_025520.1	txid1296
NR_117252.1	txid643214
NR_180106.1	txid2201815
NR_156818.1	txid1955013
NR_113957.1	txid1282
NR_181501.1	txid2781774
NR_175559.1	txid2699836
NR_115607.1	txid342451
NR_028667.1	txid224030
NR_036907.1	txid1288
NR_025863.1	txid46125
NR_025396.1	txid119206
NR_043443.1	txid51665
NR_104708.1	txid1377
NR_113771.1	txid1652
NR_028835.1	txid180295
NR_025862.1	txid46124
NR_026454.1	txid137733
NR_028682.1	txid137732
NR_115763.1	txid1140002
NR_113900.1	txid53345
NR_115765.1	txid1351
NR_114742.1	txid1352
NR_113574.1	txid1354
NR_181755.1	txid2839759
NR_117562.1	txid357441
NR_113906.1	txid53346
NR_113334.1	txid28038
NR_042438.1	txid60519
NR_113821.1	txid1599
NR_041727.1	txid33964
NR_042620.1	txid434464
NR_113255.1	txid935294
NR_113251.1	txid1245
NR_042695.1	txid501487
NR_042058.1	txid1255
NR_104722.1	txid1363
NR_040955.1	txid1358
NR_117426.1	txid1000570
NR_036936.1	txid113107
NR_112704.1	txid76860
NR_042771.1	txid889201
NR_175455.1	txid1968889
NR_114642.1	txid1335
NR_156072.1	txid1888195
NR_178515.1	txid1156431
NR_028736.1	txid1338
NR_165737.1	txid2382163
NR_117425.1	txid684066
NR_028664.1	txid28037
NR_042927.1	txid655813
NR_148589.1	txid1547447
NR_115735.1	txid760570
NR_179215.1	txid1501662
NR_043660.1	txid197614
NR_116212.1	txid888746
NR_108477.1	txid701526
NR_043704.1	txid875093
NR_109720.1	txid1234680
NR_113260.1	txid1305
NR_180625.1	txid2589786
NR_028833.1	txid176090
NR_179540.1	txid1852387
NR_179385.1	txid2819619
NR_179340.1	txid2748301
NR_179383.1	txid2853160
NR_144727.1	txid1673717
NR_145929.1	txid642589
NR_179996.1	txid2764322
NR_151982.1	txid1628085
NR_044644.2	txid39484
NR_152060.1	txid1712515
NR_044490.1	txid501571
NR_029229.1	txid1561
NR_028964.1	txid179628
NR_179173.1	txid2126740
NR_178427.1	txid1347366
NR_147400.1	txid1958780
NR_113021.1	txid29363
NR_121697.2	txid195103
NR_179410.1	txid1650661
NR_180797.1	txid2605778
NR_113325.1	txid1559
NR_179447.1	txid2479838
NR_181369.1	txid2784388
NR_043551.1	txid341220
NR_147406.1	txid1871024
NR_026330.1	txid53442
NR_026106.1	txid29322
NR_113248.1	txid1736
NR_179801.1	txid2041044
NR_104737.1	txid1732
NR_024661.1	txid42322
NR_118779.1	txid35517
NR_041235.1	txid720554
NR_104783.1	txid290052
NR_180309.1	txid2487273
NR_024829.1	txid253314
NR_027558.1	txid169435
NR_144722.1	txid1632013
NR_181757.1	txid2841504
NR_176530.1	txid2093857
NR_144697.1	txid1414721
NR_029356.1	txid292800
NR_173697.1	txid2108523
NR_144736.1	txid1776382
NR_179526.1	txid1841866
NR_118156.1	txid1007096
NR_041340.1	txid351091
NR_025670.1	txid411467
NR_180619.1	txid2779352
NR_147370.1	txid1870988
NR_179331.1	txid2714358
NR_044265.1	txid438033
NR_173688.1	txid2780922
NR_028997.1	txid214851
NR_179330.1	txid2714355
NR_179329.1	txid2714353
NR_114789.1	txid1535
NR_113393.1	txid2741
NR_153710.1	txid1643805
NR_181382.1	txid2763662
NR_044022.2	txid404403
NR_179426.1	txid1702285
NR_179658.1	txid2086584
NR_121686.1	txid384638
NR_074536.1	txid642492
NR_116001.1	txid1294025
NR_117905.1	txid879566
NR_074634.1	txid515619
NR_178281.1	txid105843
NR_113199.1	txid1527
NR_151895.1	txid433286
NR_179183.1	txid1727145
NR_025796.1	txid259063
NR_180914.1	txid2696063
NR_028740.1	txid100134
NR_176499.1	txid1812858
NR_028915.1	txid105841
NR_181215.1	txid2738446
NR_117138.2	txid649756
NR_179135.1	txid2025494
NR_151894.1	txid433293
NR_144735.1	txid1745713
NR_180822.1	txid2606636
NR_171390.1	txid1912897
NR_180026.1	txid2696678
NR_144607.1	txid1796615
NR_104700.1	txid1532
NR_170495.1	txid2509240
NR_113231.1	txid536633
NR_104687.1	txid537007
NR_163637.1	txid2025493
NR_026314.1	txid53443
NR_181402.1	txid2763028
NR_181211.1	txid2779518
NR_114315.1	txid649762
NR_147395.1	txid1917868
NR_179584.1	txid1917888
NR_113270.1	txid1121114
NR_179590.1	txid1936059
NR_178840.1	txid1796616
NR_026312.1	txid180164
NR_117867.1	txid871664
NR_044054.1	txid1121115
NR_104735.1	txid45851
NR_025981.1	txid831
NR_025525.1	txid185008
NR_102893.1	txid43305
NR_178367.1	txid673271
NR_026248.1	txid592026
NR_180620.1	txid2779351
NR_044049.1	txid33043
NR_179548.1	txid1870993
NR_144608.1	txid1796618
NR_181407.1	txid2850323
NR_181406.1	txid2850322
NR_179638.1	txid2040291
NR_144731.1	txid1720294
NR_180800.1	txid2652274
NR_118643.1	txid1432052
NR_043680.1	txid358742
NR_042200.1	txid333367
NR_025567.1	txid208479
NR_043681.1	txid358743
NR_118128.1	txid1531
NR_147396.1	txid1917870
NR_044289.1	txid460384
NR_181358.1	txid2788944
NR_104803.1	txid39482
NR_181263.1	txid2726362
NR_117141.1	txid290055
NR_117126.1	txid1544
NR_156907.1	txid1912855
NR_114326.1	txid1150298
NR_178255.1	txid1408099
NR_173570.1	txid1912090
NR_136763.1	txid1564487
NR_152095.1	txid1679721
NR_025206.1	txid180286
NR_025207.1	txid180311
NR_181885.1	txid2885351
NR_133762.1	txid1096246
NR_036928.1	txid154046
NR_181397.1	txid2763671
NR_119188.1	txid679200
NR_181394.1	txid2763668
NR_156079.1	txid1469948
NR_179627.1	txid2002841
NR_165739.1	txid2490855
NR_104684.1	txid887325
NR_025127.1	txid140626
NR_119085.1	txid29364
NR_028785.1	txid29347
NR_118730.1	txid1512
NR_179587.1	txid1926283
NR_179560.1	txid1871021
NR_179538.1	txid1852382
NR_119068.1	txid36832
NR_028726.1	txid94868
NR_115211.1	txid253257
NR_026100.1	txid1286362
NR_026493.1	txid69825
