"ID"	"buddy_16"	"buddy_17"	"ivy_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"franc_19"	"ivy_19"	"ginger_20"	"buddy_21"	"joans_21"	"franc_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"grogu_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"ophelia_43"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"goose_46"	"hamlet_46"	"iris_46"	"lambchop_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"lambchop_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"lambchop_51"	"goose_52"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"lambchop_55"	"ophelia_55"
"njc1"	0	0	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"njc2"	0	0	0	67.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0.03	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08
"njc3"	0	0.15	0.05	0.08	0	0	0.1	0.25	0	0	0	0	0.05	0	0	0	0	0.4	0	0	0	0.03	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0.53	0	0	0	0.38	0	0	0.25	0	0.03	0.05	0.05	0	0.05	0	0.03	0	0	0.18	0	0	0	0	0	0	0.05	0	0.1	0.23	0	0
"njc4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"njc5"	0	0.15	0.05	0.08	0	0	0.1	0.25	0	0	0	0	0.05	0	0	0	0	0.4	0	0	0	0.03	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0.53	0	0	0	0.38	0	0	0.25	0	0.03	0.05	0.05	0	0.05	0	0.03	0	0	0.18	0	0	0	0	0	0	0.05	0	0.1	0.23	0	0
"njc6"	0	0	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"njc7"	0	0	0.03	0	0	0	0	0.03	0	0	0	0	0	0	0.03	0	0	0.03	0	0.03	0.1	0	0	0.1	0	0.03	0	0	0.05	0	0	0	0.03	0	0	0	0	0.08	0	0	0	0	0.03	0	0.03	0	0	0	0	0	0	0	0	0	0	0.2	0.1	0	0	0	0	0.03	0	0	0	0.5	0
"njc8"	0	0	0.03	0	0	0	0	0.03	0	0	0	0	0	0	0.03	0	0	0.03	0	0.03	0.1	0	0	0.1	0	0.03	0	0	0.05	0	0	0	0.03	0	0	0	0	0.08	0	0	0	0	0.03	0	0.03	0	0	0	0	0	0	0	0	0	0	0.2	0.1	0	0	0	0	0.03	0	0	0	0.5	0
"njc9"	0	0	0.03	0	0	0	0	0.03	0	0	0	0	0	0	0.03	0	0	0.03	0	0.03	0.1	0	0	0.1	0	0.03	0	0	0.05	0	0	0	0.03	0	0	0	0	0.08	0	0	0	0	0.03	0	0.03	0	0	0	0	0	0	0	0	0	0	0.2	0.1	0	0	0	0	0.03	0	0	0	0.5	0
"njc10"	0	0	0.03	1.3	0	0	0.05	0.03	0.13	0	0	0.08	0.18	0.05	0.05	0.05	0	0.05	0.03	0.05	0.05	0.5	0.17	0	0.03	0.15	0.15	0.03	0.1	0.08	0.15	0.1	0.05	0.18	0.13	0	0.13	0.03	0.05	0.03	0.23	0.03	0.05	0.08	0.05	0.15	0.03	0	0.45	0.03	0.08	0.13	0.13	0.03	0.23	0.05	0	0.03	0	0.03	0.07	0.05	0	0.1	0.03	0	0.2
