"ID"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"txid1338"	"k__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	"s__Streptococcus intermedius"
"txid2382163"	"k__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	"s__Streptococcus koreensis"
"txid28037"	"k__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	"s__Streptococcus mitis"
"txid655813"	"k__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	"s__Streptococcus oralis"
"txid1547447"	"k__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	"s__Streptococcus oricebi"
"txid760570"	"k__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	"s__Streptococcus parasanguinis"
"txid197614"	"k__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	"s__Streptococcus pasteurianus"
"txid1305"	"k__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	"s__Streptococcus sanguinis"
"txid2853160"	"k__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	"s__Streptococcus vulneris"
"txid1673717"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Eubacteriales"	"f__Acutalibacteraceae"	"g__Anaeromassilibacillus"	"s__Anaeromassilibacillus senegalensis"
"txid642589"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Eubacteriales"	"f__Acutalibacteraceae"	"g__Caproiciproducens"	"s__Caproiciproducens galactitolivorans"
"txid1628085"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Eubacteriales"	"f__Butyricicoccaceae"	"g__Agathobaculum"	"s__Agathobaculum butyriciproducens"
"txid501571"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Eubacteriales"	"f__Butyricicoccaceae"	"g__Butyricicoccus"	"s__Butyricicoccus pullicaecorum"
"txid179628"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Eubacteriales"	"f__Clostridiaceae"	"g__Clostridium"	"s__Clostridium colicanis"
"txid2126740"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Eubacteriales"	"f__Clostridiaceae"	"g__Clostridium"	"s__Clostridium fessum"
"txid1347366"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Eubacteriales"	"f__Clostridiaceae"	"g__Clostridium"	"s__Clostridium massiliamazoniense"
"txid1958780"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Eubacteriales"	"f__Clostridiaceae"	"g__Clostridium"	"s__Clostridium merdae"
"txid1650661"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Eubacteriales"	"f__Clostridiaceae"	"g__Clostridium"	"s__Clostridium phoceensis"
"txid2605778"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Eubacteriales"	"f__Clostridiaceae"	"g__Clostridium"	"s__Clostridium porci"
"txid2479838"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Eubacteriales"	"f__Clostridiaceae"	"g__Clostridium"	"s__Clostridium transplantifaecale"
"txid2784388"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Eubacteriales"	"f__Clostridiaceae"	"g__Clostridium"	"s__Clostridium vitabionis"
"txid1871024"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Eubacteriales"	"f__Clostridiaceae"	"g__Mordavella"	"s__Mordavella massiliensis"
"txid53442"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Eubacteriales"	"f__Eubacteriaceae"	"g__Eubacterium"	"s__Eubacterium callanderi"
