"ID"	"hera_1"	"buddy_11"	"hera_11"	"jarjarbinks_11"	"padme_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"jarjarbinks_15"	"buddy_16"	"buddy_17"	"iris_17"	"lambchop_17"	"padme_17"	"buddy_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"lambchop_18"	"franc_19"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"goose_20"	"hera_20"	"iris_20"	"buddy_21"	"jarjarbinks_21"	"franc_22"	"goose_22"	"grogu_22"	"hera_22"	"iris_22"	"iris_23"	"franc_24"	"goose_24"	"grogu_24"	"hera_24"	"lambchop_25"	"jarjarbinks_29"	"jarjarbinks_3"	"jarjarbinks_32"	"grogu_36"	"franc_37"	"goose_37"	"grogu_37"	"hera_37"	"lambchop_37"	"goose_4"	"grogu_41"	"hera_41"	"goose_42"	"grogu_42"	"lambchop_42"	"buddy_44"	"franc_44"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"buddy_45"	"franc_45"	"grogu_45"	"hera_45"	"jarjarbinks_45"	"buddy_46"	"goose_46"	"iris_46"	"lambchop_46"	"franc_47"	"buddy_48"	"franc_48"	"grogu_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"lambchop_48"	"franc_49"	"iris_49"	"jarjarbinks_49"	"padme_5"	"buddy_50"	"franc_50"	"grogu_50"	"jarjarbinks_50"	"lambchop_50"	"franc_51"	"lambchop_51"	"buddy_52"	"goose_52"	"grogu_52"	"jarjarbinks_52"	"franc_53"	"hera_53"	"iris_55"	"lambchop_55"	"buddy_56"	"franc_56"	"grogu_56"	"buddy_57"	"goose_58"	"goose_59"	"iris_59"	"padme_6"	"iris_60"	"hera_67"	"franc_68"	"jarjarbinks_68"	"hera_7"	"iris_7"	"padme_7"	"grogu_70"	"franc_9"	"grogu_9"
"g__Megamonas"	1470	877	1748	699	1437	1818	822	593	1051	74	601	924	848	0	966	705	769	622	1058	797	78	261	13	721	393	1569	794	491	745	721	61	560	1712	944	734	772	580	656	1382	1050	904	932	31	814	554	11	590	365	0	50	1380	607	134	542	411	376	818	1099	43	839	828	567	1233	410	378	346	198	738	1177	743	375	439	36	473	965	439	871	392	948	373	101	289	1243	233	405	1209	725	1299	862	849	111	479	739	893	1017	665	578	712	103	547	674	584	404	69	177	1747	999	661	1367	1330	101	200	352	544
"g__Phascolarctobacterium"	809	591	290	691	300	605	455	835	574	64	780	877	0	2	138	1015	752	752	0	728	278	63	203	611	1357	521	639	650	609	432	416	1043	465	568	608	962	458	964	1023	653	737	1302	234	711	1027	157	809	767	0	263	688	792	366	1052	863	454	477	463	81	1214	756	549	314	559	189	537	913	654	575	464	406	663	114	1032	667	663	678	596	609	693	581	847	706	521	760	816	588	498	640	642	420	1119	633	1309	790	415	262	713	305	833	724	908	954	398	713	549	457	606	695	1548	257	51	95	801
"g__Anaerobiospirillum"	0	73	0	25	0	0	0	0	0	9	107	0	0	1	2415	0	0	912	0	3	0	2	2329	118	1	0	408	303	6	117	3188	1157	0	1	5	119	842	0	2	490	75	606	3423	74	310	3546	0	415	0	3417	0	302	2495	14	1311	0	101	0	835	36	751	56	800	0	0	1211	210	0	39	51	2438	85	3516	1	0	166	252	135	0	117	0	780	71	2652	145	41	39	24	1131	340	2943	39	13	1	0	14	792	0	3139	1404	394	413	0	0	0	1	346	248	0	0	0	1	0	42
"g__Megasphaera"	310	471	140	66	34	154	202	106	156	169	636	578	311	1	0	633	540	366	1508	604	64	84	9	983	426	617	262	1274	614	561	40	7	697	880	484	408	490	473	323	416	758	1186	32	385	442	36	274	573	0	51	211	729	187	341	267	141	1411	419	60	220	247	771	713	261	54	173	364	415	199	1475	161	819	75	366	664	406	1198	901	1189	627	316	189	472	251	1314	411	637	1020	385	868	109	961	904	341	719	268	232	447	53	269	920	730	590	262	318	911	755	554	707	1730	82	32	247	882
"g__Segatella"	330	559	5	25	83	17	31	16	8	1383	328	33	0	2	0	17	56	314	0	555	984	112	13	200	11	36	506	284	718	375	22	563	36	99	586	386	531	22	734	136	210	513	7	640	480	14	42	366	1	9	27	320	322	1356	205	0	68	48	1035	1062	605	497	78	56	12	635	709	63	1304	265	178	460	18	22	47	242	270	351	42	272	214	131	127	24	214	952	348	777	167	393	47	235	254	9	32	2077	51	0	9	217	200	330	55	447	69	4	290	304	71	85	192	2246	82	471
"g__Phocaeicola"	260	63	277	394	146	442	231	662	342	135	161	185	0	1	21	708	321	211	0	93	850	611	789	132	660	127	138	245	151	115	132	66	233	114	296	118	24	905	150	152	110	279	110	176	66	43	925	66	2	49	495	56	30	126	223	814	17	272	86	52	91	264	51	1250	162	219	259	331	132	166	35	259	54	690	166	111	44	201	107	144	68	51	238	31	100	66	246	34	94	81	96	93	128	270	126	128	55	681	143	81	49	64	287	115	427	71	59	165	278	158	119	244	8	508
"g__Oribacterium"	212	72	181	69	39	177	88	166	190	36	100	226	0	2	7	256	152	260	0	252	79	33	12	460	427	222	81	214	370	374	37	155	129	256	197	297	199	258	1	378	593	712	49	440	342	66	312	400	0	48	254	294	189	107	115	125	370	197	32	178	98	325	105	201	60	90	257	230	43	227	59	305	60	402	267	331	168	498	274	746	89	104	335	118	280	55	277	49	111	249	82	407	280	289	287	42	82	289	73	114	98	295	404	61	206	139	273	315	293	1063	61	9	97	142
"g__Shigella"	2	499	174	264	223	142	0	53	91	0	122	0	1194	247	179	4	0	52	491	115	2	2	6	0	27	0	0	67	29	407	0	0	0	0	57	55	293	2	57	188	11	792	0	1	97	0	3	169	3488	0	27	34	18	3	0	0	64	0	18	2	1	55	7	5	32	0	1	113	4	3	0	0	0	22	0	671	4	0	1	110	1285	1107	0	0	53	3	0	0	2	1	0	17	0	27	0	10	1428	0	0	1	205	44	0	1220	0	0	191	151	0	0	1340	301	1930	48
"g__Escherichia"	4	317	167	167	122	5	0	0	1	0	62	0	1552	154	100	0	0	22	666	219	0	1	9	2	0	0	0	32	28	256	1	0	0	0	109	35	174	0	110	92	5	380	0	1	67	0	0	91	1873	0	82	19	10	7	0	0	35	0	6	3	0	78	7	14	16	0	0	5	6	0	0	0	0	62	0	393	5	0	0	53	724	43	0	0	30	13	0	1	1	0	0	9	0	21	0	40	95	0	0	1	154	36	0	721	0	1	120	60	0	0	853	160	1066	46
"g__Parabacteroides"	12	10	13	49	49	15	153	105	60	95	6	105	0	1	0	37	153	72	0	60	42	384	38	40	58	60	6	101	43	52	8	0	114	56	95	74	57	54	1	86	51	204	10	65	46	13	85	59	0	8	37	40	29	50	63	29	13	291	197	20	36	120	132	78	26	137	73	406	47	104	19	237	22	68	175	92	28	160	97	137	40	43	119	26	131	11	220	12	87	31	24	170	362	22	64	46	28	85	27	54	16	40	184	84	492	15	38	104	16	129	91	20	8	18
"g__Bacteroides"	30	19	33	139	62	36	1169	233	122	81	118	233	1	6	0	108	268	41	0	26	121	519	46	18	94	108	44	41	38	21	9	18	59	27	64	16	11	75	0	27	21	77	16	42	17	8	106	15	0	5	71	14	8	16	48	163	7	170	59	11	21	70	16	247	43	59	55	187	27	30	5	73	11	191	126	25	9	54	33	44	52	14	50	7	30	7	59	6	19	17	24	17	21	42	70	19	15	264	18	15	12	19	94	92	409	19	17	47	25	68	164	38	2	61
"g__Sutterella"	49	71	18	23	37	66	51	31	24	247	133	17	11	0	94	24	26	51	99	39	289	52	154	105	19	52	76	45	91	54	3	127	21	24	133	70	43	43	44	51	70	139	8	42	79	8	44	86	2	7	63	98	20	96	20	340	31	80	133	45	75	149	18	37	12	63	198	65	181	63	63	93	7	20	45	94	62	108	53	67	25	35	96	4	97	95	122	76	29	88	9	50	61	21	51	104	38	87	2	58	104	80	77	24	54	10	82	99	74	138	37	373	24	57
"g__Xylanibacter"	0	4	0	0	0	0	209	0	0	1	0	266	0	0	0	0	369	0	0	101	2	48	0	77	0	219	7	0	80	43	0	87	232	617	109	42	0	0	0	0	0	0	0	37	33	0	1	37	0	0	0	53	0	0	37	0	11	244	0	0	120	122	0	0	0	69	67	254	0	94	12	133	0	0	257	0	27	132	263	0	1	8	318	0	0	0	303	0	66	44	0	0	392	0	231	0	16	0	0	22	25	29	412	0	339	0	36	0	0	425	0	1	0	1
"g__Prevotellamassilia"	111	75	15	23	23	45	0	108	70	567	8	0	0	0	0	69	0	82	0	0	516	0	180	89	45	0	31	76	0	44	0	0	0	0	0	65	69	125	0	65	60	153	23	0	70	15	136	71	0	11	134	66	33	0	80	0	16	0	570	0	139	0	31	172	20	162	176	0	0	0	20	0	20	108	0	97	62	0	0	50	275	21	0	7	65	0	0	0	52	84	26	53	0	46	0	1	36	0	25	92	40	43	0	76	0	18	0	79	103	0	94	107	1	0
"g__Fusobacterium"	26	30	332	790	904	149	191	13	27	0	581	10	0	1	2	0	23	3	0	19	14	53	0	2	0	96	816	0	11	6	0	0	52	15	18	13	0	8	1	0	0	0	0	24	12	0	27	3	1	0	52	0	0	149	61	435	1	114	0	94	0	2	0	62	5	15	57	71	115	4	29	0	0	2	47	7	1	0	16	1	5	37	0	0	0	21	6	11	16	0	0	0	0	37	48	22	9	1	0	35	1	8	19	17	11	3	3	54	25	140	79	0	0	71
"g__Enterobacter"	0	0	1	7	15	2	0	0	0	0	0	0	0	3381	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	1	0	0	0	0	0	0	0	0	11	2521	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
