"Taxa"	"Hera_1"	"Wolverine_1"	"JarJarBinks_3"	"Goose_4"	"Korra_6"	"Hera_7"	"Iris_7"	"Korra_9"	"Hamlet_11"	"Hera_11"	"JarJarBinks_11"	"Hera_14"	"Iris_14"	"JarJarBinks_14"	"Kubo_14"	"Wolverine_14"	"JarJarBinks_15"	"Kubo_15"	"Iris_17"	"Kubo_17"	"Lambchop_17"	"Wolverine_17"	"Hamlet_18"	"Hera_18"	"Iris_18"	"JarJarBinks_18"	"Kubo_18"	"Lambchop_18"	"Wolverine_18"	"Ophelia_19"	"Wolverine_19"	"Goose_20"	"Hamlet_20"	"Hera_20"	"Iris_20"	"Korra_20"	"Ophelia_20"	"Hamlet_21"	"JarJarBinks_21"	"Korra_21"	"Kubo_21"	"Goose_22"	"Hamlet_22"	"Hera_22"	"Iris_22"	"Kubo_22"	"Hamlet_23"	"Iris_23"	"Korra_23"	"Hera_24"	"Kubo_24"	"Ophelia_24"	"Wolverine_24"	"Kubo_25"	"JarJarBinks_29"	"Korra_29"	"Kubo_30"	"Hamlet_31"	"JarJarBinks_32"	"Goose_37"	"Hera_37"	"Kubo_37"	"Lambchop_37"	"Ophelia_37"	"Wolverine_37"	"Hamlet_41"	"Hera_41"	"Goose_42"	"Lambchop_42"	"Ophelia_43"	"Goose_44"	"Iris_44"	"Lambchop_44"	"Hamlet_45"	"Hera_45"	"JarJarBinks_45"	"Korra_45"	"Ophelia_45"	"Goose_46"	"Hamlet_46"	"Iris_46"	"Lambchop_46"	"Hamlet_48"	"Hera_48"	"Iris_48"	"JarJarBinks_48"	"Korra_48"	"Kubo_48"	"Lambchop_48"	"Ophelia_48"	"Wolverine_48"	"Iris_49"	"JarJarBinks_49"	"Kubo_49"	"Ophelia_49"	"Wolverine_49"	"JarJarBinks_50"	"Korra_50"	"Kubo_50"	"Lambchop_50"	"Ophelia_50"	"Wolverine_50"	"Lambchop_51"	"Goose_52"	"JarJarBinks_52"	"Kubo_52"	"Hera_53"	"Kubo_53"	"Iris_55"	"Lambchop_55"	"Ophelia_55"	"Ophelia_57"	"Wolverine_57"	"Goose_58"	"Wolverine_58"	"Goose_59"	"Hamlet_59"	"Iris_59"	"Ophelia_59"	"Iris_60"	"Wolverine_60"	"Hera_67"	"JarJarBinks_68"
"Metabolism|Global and overview maps"	0.385103775283538	0.381452730303821	0.401762214187756	0.359662365190456	0.374547422661631	0.397832852365145	0.388732135272932	0.378660913345912	0.352304895259583	0.365976035106033	0.36155576107782	0.376396447488608	0.370297056318218	0.365467791372666	0.360508675998145	0.367420719997242	0.367813096559168	0.369924229967615	0.377480272215563	0.376987907097478	0.362319732243631	0.390126763754842	0.384301845918247	0.393517201694472	0.375621211269867	0.389285067006066	0.382525852167183	0.380397974823751	0.386802420490133	0.387559950941597	0.376924255099302	0.403271984901772	0.361654176879613	0.381611091027925	0.384473865768004	0.36630995951934	0.362290702966523	0.375679333411763	0.400834379537838	0.371425927044148	0.377597643907806	0.37389748865851	0.35991197842475	0.371123529794499	0.394356324167936	0.381492688664403	0.381102492043571	0.39523444482806	0.367418326511685	0.391325855764936	0.376565061910026	0.380059588135369	0.383020767971582	0.385458816090454	0.38234321009736	0.364210198795385	0.382127681019837	0.391304467616817	0.376254307039722	0.386526313477923	0.371864147539472	0.38045829410845	0.382299145001941	0.359037914544257	0.37971078606212	0.37753444003423	0.379962171428449	0.397997781547766	0.390842573858744	0.357044433064946	0.40049256123795	0.377497777223603	0.396488691507226	0.379892803127027	0.378335417281014	0.341348113720356	0.375982832068144	0.36476309240757	0.389556925446934	0.385578020667062	0.377874663990149	0.394589563538861	0.380619832406981	0.376494778700334	0.383706163257026	0.366618305858955	0.375622026596195	0.378537691059236	0.40849875949689	0.364751339687976	0.368444560285179	0.393647861632012	0.383856556493623	0.380554949189842	0.363723775744495	0.377229615019092	0.400029613731375	0.392982841095587	0.381973308731644	0.401148375145038	0.356745451579912	0.368989623687104	0.408338926373447	0.407324763893156	0.398852259896121	0.363822893401968	0.380015550434223	0.376322932368945	0.384487103849299	0.393807386989325	0.357908620310862	0.37566969957073	0.362308621044119	0.388249151786295	0.365675295830723	0.397212436125802	0.374570072647613	0.375940115239122	0.355118893249766	0.368315587085312	0.38268919995181	0.397982069134858	0.37919437982776
"Metabolism|Carbohydrate metabolism"	0.117838256588308	0.115584371986688	0.116887722029456	0.121664904276718	0.120710494740885	0.116756758247137	0.116737766537109	0.115916475241891	0.140162673979726	0.124723933462113	0.128452398764296	0.122725103732494	0.120533516493666	0.114313777132486	0.124701001023897	0.119947320948604	0.115678048655079	0.122046862489346	0.117661694534812	0.118457353043195	0.123364477028407	0.116574560502535	0.115127031511233	0.115963472419685	0.114795623481786	0.117346524143194	0.118893535484772	0.120068866133938	0.112732943837798	0.116763847093632	0.118528805372151	0.113630782352841	0.121064456944547	0.117593150357994	0.117613646990537	0.122539867183399	0.120579596355909	0.119199915481906	0.114583267672383	0.121160040433413	0.118378554757154	0.120260810828436	0.121893023811552	0.119190510843493	0.116130008635031	0.119284071016986	0.121416692546396	0.113872765275602	0.122348598577333	0.116639964781675	0.121414565806606	0.116699284285393	0.115263854532468	0.118010651781064	0.120224930744233	0.123361989234062	0.118658737164559	0.119006413446951	0.120432505283779	0.119066498988443	0.11313914005841	0.123890733329481	0.118533327412111	0.122788774553204	0.116427233558586	0.119689852387397	0.119686719452493	0.116491537390259	0.120223400583076	0.114333320107501	0.116017664905899	0.119251891246145	0.121976672989333	0.117846375540337	0.117299677683867	0.110162694258904	0.120054682884801	0.115292899470698	0.117694804061682	0.116708301049045	0.118699142443129	0.122157830476918	0.116078700456019	0.117663340059637	0.116703707572129	0.121767182729606	0.119819088912758	0.120518553901451	0.115187848428734	0.112850042094273	0.119188539145342	0.115274710785508	0.117926173181379	0.118595624495368	0.116092166709655	0.117901847508059	0.115157243068603	0.118230948632155	0.118088361036226	0.11972962946639	0.122240511024156	0.12068833699699	0.115915425850832	0.114864314746598	0.114637976118338	0.122050909276941	0.120031656819006	0.119350972147905	0.116507996724847	0.118332309099339	0.11989130468273	0.115082522230467	0.120701495085357	0.118113578654864	0.119783874385764	0.116489116867848	0.118806775004239	0.115447836325175	0.116167799538671	0.116492424991898	0.118135824858238	0.118585010884088	0.114522144040466
"Environmental Information Processing|Membrane transport"	0.0801815821462328	0.0685807227708625	0.0686556889965711	0.0905529745082896	0.0784438634384372	0.0704207148601145	0.0731103880687961	0.0710173046824228	0.0998291937521659	0.089506964934038	0.0849146643335602	0.0815703052419721	0.059813832153699	0.0822355543920342	0.0862004004107041	0.0891865922691183	0.0839807992793995	0.0835961654755441	0.0761741054640953	0.0815115809535275	0.085945802293266	0.0629420008686094	0.0768916673835524	0.0692948216178529	0.0713822536057192	0.0714237629624271	0.0783575826482364	0.0773739774059751	0.0670276081916917	0.0743037601669279	0.0658079330876617	0.0663052795979975	0.0828962236222416	0.0765216555566146	0.0700826381115575	0.0835352510787294	0.0822344408483639	0.0784726309203176	0.0642594852938093	0.0807740853560264	0.075770119238516	0.0803298631811259	0.0842017389221517	0.0918034689316541	0.060311124205514	0.0750033987824275	0.0737837797976537	0.0673879072706987	0.0835617227709364	0.0682511477000212	0.0806182633608556	0.0721051811237104	0.0678784047054859	0.0697787136453513	0.0777279182907577	0.085001923130072	0.0776975343610602	0.0721679385932406	0.0784385154883568	0.0753232223281114	0.0754152910720362	0.0753889902091258	0.076064611914314	0.0859474927892543	0.0712397362048459	0.0796231490924794	0.0758782261432987	0.0700561317928199	0.0643955847786086	0.0866008944858008	0.0698080534854192	0.0663280027820725	0.0708434413990308	0.0624233286716339	0.0662585178275179	0.0915138126254298	0.074919394331328	0.0843281778053324	0.0702620662153723	0.0694415883656992	0.0590791511104962	0.0686576060520733	0.0693026537337506	0.0741525264592259	0.0657704589818011	0.0837749491321381	0.0785960467151221	0.0667579470265695	0.063863882151995	0.0761295361190007	0.0757955498009853	0.0695119492132995	0.0776776211786935	0.0761020189628658	0.0799367606029626	0.0723001935601613	0.0676656222845376	0.0693980945364708	0.0741917982522074	0.0702388532515893	0.0868700989150781	0.0796980893258012	0.0644949642957421	0.0641958950639081	0.0697747911220548	0.0823920138277327	0.0835590458700104	0.0792527291237969	0.0714994610827271	0.0645006034982753	0.0875607796043234	0.0620049766219918	0.0817508801478012	0.0731384384592415	0.0810178509449055	0.0698442835920963	0.0754634375172634	0.0710627920000388	0.0829390824463049	0.0606111914445602	0.0717524164113208	0.075156096073876	0.0736557639988918
"Metabolism|Amino acid metabolism"	0.0673327100560861	0.0672196041295245	0.071423253826977	0.0557520514079827	0.0608132068379631	0.0710282044210249	0.0688547928181667	0.0637034158482046	0.0544313781799403	0.0585702622458323	0.0564615041064919	0.061907619392659	0.060468792570807	0.0607196732835473	0.0555599131209469	0.060601907557264	0.0616303131429105	0.0592221937530656	0.0653815199595244	0.0623634404137225	0.0565069301424334	0.0666386833873019	0.067528155255498	0.0692698756783696	0.0644431389188531	0.0669263577656604	0.0642148710681231	0.0636810332704814	0.0686223052462267	0.0667377234209521	0.0636496128612308	0.0746382327322643	0.0591711079961248	0.0656439887303047	0.0669618356742802	0.0577383469383518	0.0593952762820876	0.0633630959856523	0.0728230644433215	0.0602429095676436	0.0624548131477977	0.0619122821789101	0.058377633141587	0.0595290882654167	0.069707110638759	0.0633114327630434	0.0640947929976859	0.0721452029793425	0.0585480549043045	0.068430202594075	0.0611912301218896	0.0628284503857051	0.0649524200757815	0.0644613882153836	0.0637305271374564	0.0570604641886169	0.0639216524897658	0.0659573174414272	0.0618618044756245	0.0658304646503699	0.0627534823878818	0.0621418138304252	0.0651153444858039	0.05596402855443	0.0658822762939102	0.0618836962830129	0.0625243516401622	0.0705930423143545	0.0684840994657778	0.0612676605750234	0.0720109078438265	0.0626680612049875	0.0674273986353702	0.0615779445903767	0.0617416161122532	0.0615884293779617	0.061676256709162	0.0623053980367967	0.0687639456402698	0.0653788154255704	0.0620145242492099	0.066026820398355	0.0639641332174687	0.0625530469613629	0.0652484858333695	0.05877288817335	0.0622072422638822	0.0613650125589228	0.0744737843131468	0.0615429437731689	0.06136672260372	0.0705484883451138	0.0655238772696445	0.0639871384467064	0.0596750534299401	0.0632529545488692	0.0723203035814025	0.0674692186857874	0.0640582711277072	0.0685287073844726	0.0558613397617324	0.0615133383652993	0.0739935649042014	0.0746647397725426	0.0726086802672108	0.057438882845931	0.0643927906424473	0.0629325729185251	0.0671385032266825	0.0679174923009395	0.0589087958534557	0.0623088886149442	0.0597932016349622	0.0669793139902298	0.0610560572292534	0.0706179128400883	0.061959044050933	0.0642562242508758	0.0601585153323146	0.0592355484287372	0.06584364258411	0.0690740467721565	0.0665715046680217
"Environmental Information Processing|Signal transduction"	0.0398493431659659	0.0468985905249693	0.0328413274279509	0.0431475245268887	0.0495280083188943	0.0347917628659498	0.0406374513359546	0.0524043019590764	0.0438603293977641	0.0453618456872956	0.0479323137699966	0.0427696396335142	0.0587533764097667	0.0610432253975586	0.0457685997899724	0.0528019522046464	0.0563955789993861	0.0476015800205684	0.0482737573324011	0.0473879279388692	0.0442216815187818	0.0443343837136313	0.0435342959108996	0.0389850177707519	0.0549243223967022	0.039640710090005	0.0445176763098445	0.037955254354367	0.0472717681744393	0.0416955085846136	0.0526300962628175	0.0320751067756713	0.0473324767892607	0.0448573426583498	0.0448167653798757	0.0454121018352509	0.0473159592408746	0.0433223261318037	0.0335627214071861	0.0431030793111257	0.0471911469218881	0.0417531940685406	0.0461007450787169	0.0481294065762805	0.0413206146327202	0.0435685476922264	0.0428057539176885	0.0380997294448469	0.0438644628665371	0.0407384706998789	0.0415353880240552	0.0514522885080442	0.0510673288245643	0.0463941029360304	0.0389231354166958	0.0440979102740811	0.042962602034567	0.038002115495031	0.0416847893816862	0.0383082597113983	0.0596272464318174	0.041872138364367	0.0401660246888655	0.0471092717765175	0.0492297689891002	0.045253312831774	0.0440606648352158	0.0341238773286536	0.0398418162771075	0.0532403136676095	0.0320179677770948	0.0526713416467971	0.0341821268080347	0.0513605087349125	0.052022767792464	0.0534611653320194	0.0445213402057364	0.0494614683330571	0.0405280205258079	0.043810377540776	0.0534874268534741	0.0366001982675633	0.0499624892663074	0.0491998719536588	0.048678637080737	0.0442209692324388	0.0428147236355207	0.0501178589236765	0.0291789224451449	0.0598714079588766	0.0476347018499769	0.0389247667827894	0.0404255969551366	0.0462007941292912	0.0574646361578607	0.0475330574612091	0.0330790325970115	0.0376268195654019	0.0459710035170778	0.0310111269326906	0.0475774739585168	0.0434628914258759	0.0285423574774833	0.029904048726923	0.0341086388979144	0.0468792997234273	0.0417892921151811	0.047517577410763	0.0448593573336215	0.0377099741664881	0.049107480065544	0.0567125193846633	0.046584312410824	0.0360433679629808	0.0466377443979162	0.0340456660898273	0.0478634339869766	0.0531772305058018	0.0509953187950796	0.064490653898899	0.0409259467201322	0.0338575494886494	0.0441515203610035
"Cellular Processes|Cellular community - prokaryotes"	0.0384881727973559	0.0386478207644991	0.033603064968013	0.0422050124225085	0.0421468030923722	0.0340801089862843	0.0373518654902093	0.0429345062900885	0.0429343515029931	0.0433834946554174	0.0427701727011672	0.0410739489975804	0.0429493981870248	0.0474668965913544	0.0430967004078279	0.0461881579750815	0.0457315889477443	0.0429314266140664	0.0389597627836842	0.0434018628643936	0.0424984931581854	0.0372476569576584	0.0394778562676983	0.0357941195298218	0.0420320913650105	0.0376527368017996	0.0418610237251435	0.037353753470424	0.0382906992622372	0.038203492021304	0.0415871002560308	0.0311307136757356	0.0441862418446602	0.0383474380036755	0.0388986476422323	0.0428035593354277	0.0441617276915618	0.0409113065138404	0.0315820646272627	0.0409825222664464	0.0414860863848918	0.0397933458850665	0.0441184846295929	0.0485425867437197	0.0348159473165883	0.0401816458047521	0.0379051008546154	0.0341565036020635	0.0420466530520659	0.0354210035904868	0.0406567576299482	0.0424866157939707	0.0413969450320547	0.0404433675144754	0.0386483383001577	0.0424668560991231	0.040685453637401	0.0385696966814406	0.0395529290514012	0.0376353271162136	0.0451696159706022	0.0388619862960007	0.0380182697548595	0.0439031259204999	0.0405757456506197	0.0423220057611282	0.0410981909270342	0.0339570111478151	0.0360572219534005	0.0504275979059356	0.0324056010144231	0.0421980887205098	0.0365872028951014	0.0401293864052601	0.0407696903349337	0.0582087111778616	0.0403923566435272	0.0490811546508717	0.036758311684846	0.0383488349991253	0.0411524811808335	0.037245884683857	0.0406216579885269	0.0408057591136746	0.039762929374995	0.0420551224748848	0.0401966700898176	0.0404525146440107	0.0300640491586072	0.0479343729473917	0.0423110802850316	0.0358360651193522	0.0383937980790269	0.0407457342377334	0.0466916399120977	0.0409894557173577	0.0324013573235687	0.0364356818340126	0.0403183951520038	0.0341884401100448	0.0448951399219759	0.0417274426956858	0.0302339572810487	0.030240798942011	0.0337991799107614	0.0431124480559417	0.040415632764046	0.041328612880962	0.0389341228744965	0.0347073965172806	0.0470711130849229	0.0422749462634812	0.0435843727951252	0.0354816920854158	0.042930526169183	0.0336530816903286	0.0411284289428874	0.0421580934102429	0.0491067619768873	0.0454585116283701	0.0389544026024628	0.0362630437484556	0.0411658066142778
"Metabolism|Energy metabolism"	0.035432253815986	0.0362750324845561	0.0358771849901414	0.0366436852030196	0.035594831653665	0.0359957040654066	0.0366061474887075	0.035912270640398	0.0361781492500723	0.0365168175119465	0.036829139035083	0.0359441364644615	0.0365346041623306	0.0362250224778546	0.0379650327773835	0.0358619671207363	0.0363676409205238	0.0370489348002267	0.0359633907451595	0.0362373042813987	0.0381247475152991	0.0356533682074088	0.0360423820208551	0.0358829177399495	0.0360994941219058	0.0361920898887753	0.035324760309224	0.0372585571900811	0.0362813236736134	0.035887223436352	0.0365274061483079	0.0365023582270683	0.0373422960417978	0.0358119441516627	0.0366745666227774	0.0373791485822145	0.037456893717209	0.0366634392352016	0.0366687351022769	0.0373982567781964	0.0364556543226712	0.037486587495311	0.0377389805741274	0.0351920960281362	0.0364672862570698	0.0362407661208712	0.0360151444685389	0.0366774591019862	0.0376036844076613	0.0358616825868523	0.0367954422435427	0.0356207250502831	0.0357327736777001	0.0355227869462838	0.036764254036922	0.0378632622996006	0.0360941612004026	0.035301729312458	0.0372198504474644	0.0364945945188483	0.0359347300124407	0.0359150522067804	0.0369937859856173	0.0380768904007897	0.0365934851468727	0.0358112014367574	0.0357254964958288	0.0362143187656768	0.0370086484275844	0.036130155762192	0.0363462169922902	0.0360824280114345	0.0358106981721491	0.0355919524734711	0.0355784303217929	0.0353827428373688	0.0368113177011792	0.0355037786104267	0.036576973853222	0.0357254212030379	0.0360846533431081	0.0356907244942767	0.035802485160381	0.0360359357585899	0.036093043610223	0.0377391172517663	0.037176509474047	0.035750418342012	0.036128924227787	0.035933168598897	0.0371232287349679	0.036305935403571	0.036606869037246	0.0356582772281647	0.0363354703508823	0.0364063978724161	0.0364925690457164	0.035987978956206	0.0355785594789885	0.0352084494292816	0.0379865597004666	0.0373038560827888	0.0358978131196164	0.0361466662182008	0.036452636966577	0.0376960457769714	0.0358490576844383	0.0358917968056527	0.0364298849962005	0.0362519179734802	0.0364809939109053	0.0358996584947803	0.0375693552661816	0.0368951426477347	0.0372925062049214	0.0364475800096146	0.0364577858339682	0.0360410048945061	0.0363804589870136	0.0355907769879885	0.0361713493630706	0.0353739194642446	0.0359842337502005
"Metabolism|Metabolism of cofactors and vitamins"	0.0360037261193281	0.0348079011682915	0.0382837875945689	0.0338876969132084	0.0347795011277571	0.0372562845406376	0.0356005175698318	0.0339673873110343	0.0332197684299789	0.0344239659281747	0.0343783615045675	0.0361999651662386	0.0331616811363668	0.0306755129984348	0.0347246926455259	0.0319326667221509	0.0314416301073081	0.0347609017311284	0.0332864276381928	0.034682770609358	0.0348990101872842	0.0368199970130824	0.0345034681520165	0.0365264823820365	0.0323680192828817	0.0371338354917986	0.0357740165742565	0.0368334623249655	0.0344950393575065	0.0355466549220883	0.0338159181488495	0.0377540282045224	0.0342211519892624	0.034364728688285	0.0349188902346192	0.0350706305693781	0.0343857087731835	0.0353326397068463	0.0375395917758165	0.035369623841661	0.0352110414878558	0.0355732677114333	0.0345205641904919	0.0334409152797191	0.0370843202039108	0.036272389221961	0.0359223049084707	0.0359410645378938	0.0351726900356899	0.0364565700378041	0.0363653174309741	0.0348977999246468	0.0347637067421544	0.0362695852611226	0.0367285218836431	0.0352350524884948	0.0362735755009124	0.0389248707414599	0.0359464284114412	0.0371606000985292	0.0316827287939142	0.0370174305923202	0.0361257602791868	0.0343708309999267	0.0338484506813728	0.0359675136850531	0.0364864793998041	0.0381394584392521	0.037705264005201	0.033137790035558	0.0380805838608755	0.0345808544670626	0.0400877757687536	0.0355241805694257	0.0351137321652468	0.0338530274682754	0.0356368214793922	0.0349057621837023	0.0362276713376431	0.0362530164729553	0.0354888250862258	0.0399973237651863	0.0344723223989565	0.034247860881574	0.0350601952924426	0.0349134097562914	0.0354629705926558	0.0356546400072702	0.0398056318340023	0.0321660353253217	0.0347165984116193	0.0360142557826947	0.0358102881850229	0.0348034113837408	0.0321447198259719	0.0353272778063861	0.0375536750846615	0.0380574906363338	0.0352331871587092	0.040542504126728	0.0342742356117114	0.0354292971092275	0.0399313381857672	0.0390006088947284	0.0365741240641852	0.0346194430391381	0.0350657279954307	0.0338315523543307	0.034705123901524	0.0385123004565364	0.0348204029895652	0.034346821744459	0.0344220223681681	0.0374220893931177	0.0342632423468164	0.0381280891233713	0.0348871215599766	0.0327854204255046	0.0343098216895483	0.0322263430290562	0.0370176302559281	0.0386430179496077	0.036262630176733
"Metabolism|Nucleotide metabolism"	0.025760797125742	0.0252710762573912	0.0269550893506291	0.0273273195762546	0.0255835370529127	0.0266365673310197	0.0261850718973803	0.0250543587842158	0.0249863975757223	0.0253693791718072	0.0251744283692063	0.0260983597415236	0.0244794602743803	0.0238990156765489	0.0252333695730409	0.0245412970093121	0.0242839980772924	0.0253161601860635	0.0248252236876949	0.0254933275939146	0.0253499366280408	0.0262461869593007	0.0255978321259821	0.0262463117369647	0.0245104020580982	0.0263416334550574	0.0258275565299487	0.0264104865902611	0.0255109738107971	0.0261520621790695	0.024932222686351	0.0270799809038621	0.0252100825685989	0.0253735449596569	0.0257684937012556	0.0254536147421993	0.0252959286236423	0.0257929137686992	0.0267129836566913	0.0256495012287496	0.0255291909151676	0.025757693632297	0.0253081299007819	0.0259701856357406	0.0263206246423231	0.0260403651501952	0.0259375464613499	0.0263147551833144	0.0254785151096789	0.0261822601817282	0.0261094196250033	0.0254658384720599	0.0254825437340752	0.0259312449425132	0.0263132534360144	0.0254595995747795	0.0261475685781558	0.0270277632882182	0.0259056795967049	0.0265381415001035	0.0241976588855377	0.0263700946447484	0.0260780281075895	0.0250582419456712	0.0253100725442744	0.025958741784143	0.0261135315889693	0.0270925763792309	0.026661422959985	0.0238153755877854	0.0271597440613734	0.0252895091633118	0.0277914204076411	0.0257247783767217	0.0255658257205092	0.0227684079584659	0.0257086669478843	0.024694256742386	0.026271234729314	0.0260904844435563	0.0254090161022749	0.0276521090893235	0.0254157452410048	0.0252583190836743	0.0257301518542022	0.0253963672424901	0.0256882553429639	0.0256293198041089	0.02773674532622	0.023935501307596	0.0253877890209192	0.0262481108010133	0.026077131403324	0.0255907455316646	0.0241930405809598	0.0257006057189484	0.0268729299523018	0.0267328901919596	0.0259940712006435	0.028416481378781	0.0248673514030874	0.0257436141186384	0.0279279788248679	0.0274506546570003	0.0265116208976906	0.0251580688086213	0.025865146794659	0.0253083876330423	0.0256906716387349	0.027035407866426	0.0242077340112471	0.0247263217304623	0.0253088340654099	0.0266656930119101	0.025307115389281	0.0270477316947177	0.0254278579328393	0.0248281639537605	0.0238950364296787	0.0240302158719374	0.026328588578688	0.0272858656362229	0.025208464314717
"Metabolism|Lipid metabolism"	0.0198057559336676	0.0218584664615915	0.0188433342274105	0.0217514294556069	0.0213640969896585	0.0191250694678116	0.0192843502474841	0.0217458523005258	0.021345917997454	0.0208401429864996	0.0222322804655156	0.0203776571899622	0.0241320486800848	0.0230006752351814	0.0219639286225403	0.0205937313131727	0.0221621394549125	0.0209291293650129	0.0209761974808992	0.0202382219889595	0.0217732766714638	0.0209191023110846	0.0201970868303455	0.0201969542001413	0.0223997499135653	0.0201339517188605	0.0198031947748315	0.020286964054097	0.0212192654428417	0.020099399731806	0.0222303720262666	0.018224328540072	0.0220158122142769	0.0211171424435522	0.0204824677383093	0.0213630039037928	0.0220255957690977	0.0208322367434767	0.0195814706354865	0.0210912388928364	0.0211091641600238	0.020643572320778	0.0219790491483782	0.0192951782534816	0.0203827243892529	0.0205509027396165	0.0212484530413191	0.0192592496181128	0.0212860849696799	0.0204213132264966	0.0203230397298668	0.0216721822340177	0.021416604810268	0.0208813764587917	0.0200351189239834	0.0215260529172869	0.020092105919615	0.0194235666690828	0.0208418726660837	0.0194456682057276	0.0233767241432297	0.0207563484842531	0.0199721619050228	0.0221515734022698	0.0213659089152479	0.0206491859825802	0.0209253902371135	0.0184940964695944	0.0199350166680262	0.02188962126844	0.0183050600591062	0.0217618925386793	0.0182688742541487	0.0234297300558218	0.0232412130378891	0.0218792029350949	0.0211851216480648	0.0209026778048017	0.0195856456891781	0.0211342463911712	0.0227689785104897	0.0189397280603757	0.0223122750689197	0.0221714790714622	0.0212854579298332	0.0214152180760288	0.0208470164407326	0.0226008584604061	0.0178878710043802	0.0235094258449472	0.0221308328099374	0.0193426764869204	0.0198413119069672	0.0207559258411729	0.0230081233058926	0.0216921113320445	0.0190369104871129	0.0194726653917124	0.0207492238978509	0.0180400258141705	0.0222223809789563	0.0213254776168456	0.0179117062118142	0.0181571935574877	0.0189426419973362	0.0219712021365886	0.0196372927412696	0.0211374703084775	0.0203681684675142	0.0198261122366342	0.021883081937785	0.0238773997186434	0.0220121135314183	0.0196733798994255	0.0217382747778529	0.018644580969272	0.0219857524426351	0.0219173193570436	0.0225918486210668	0.0244305043338811	0.0205650536385006	0.0180521742754477	0.0215129578459253
