"Taxa"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"joans_36"	"franc_37"	"grogu_37"	"ginger_41"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"grogu_42"	"henry_42"	"ivy_42"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera paucivorans"	0.01875	0.005	0.003	0.01275	0.00075	0.0215	0.01725	0.011	0.0015	0.0155	0.0015	0.07825	0.00025	0.0075	0.00475	0.045	0.00375	0.00575	0.0025	0.0355	0.00325	0.024	0.0065	0.04125	0.01375	0.02775	0.01975	0.00075	0.04975	0.0315
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides distasonis"	0.00975	0.02425	0.00125	0.0425	0.00175	0.0135	0.00125	0.00875	0.00225	0.0065	0.00125	0	0.019	0.023	0.004	0.04025	0.03075	0.0325	0.005	0.00225	0.007	0.005	0.01025	0.03125	0.02675	0.094	0.00825	0.036	0.00075	0.0035
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera indica"	0.0385	0.011	0.01275	0.02175	0.0015	0.02175	0.027	0.0165	0.001	0.022	0.00225	0.01775	0	0.01525	0.0075	0.03675	0.00475	0.0055	0.00375	0.0275	0.0035	0.024	0.00775	0.012	0.011	0.009	0.01775	0	0.045	0.02825
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella seckii"	0.01025	0.02225	0.00975	0.0355	0.00175	0.011	0.03	0.0085	0.00175	0.0235	0.00125	0.034375	0.008	0.03375	0.00425	0.03525	0.02475	0.0155	0.004	0.023	0.00175	0.017	0.007	0.0155	0.0085	0.0115	0.0215	5e-04	0.002	0.02075
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera massiliensis"	0.04925	0.0155	0.01175	0.0295	0.0015	0.01375	0.0115	0.0195	0.00125	0.0345	0.00225	0.016375	5e-04	0.021	0.00925	0.022	0.01175	0.00825	0.0055	0.02075	0.00925	0.0125	0.01225	0.0215	0.00925	0.0075	0.00975	0.00075	0.02225	0.01275
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia fergusonii"	0.00025	0.04225	0	0.0245	0	0.00575	0	0.00025	0	0.084	0	0.036625	0	0.10925	0.00225	0	0.00025	0.00375	0.003	0.02725	0.00075	0.0075	0.014	0	0.03525	0	0.00125	0.0015	0	0.00825
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides merdae"	0.016	0.01375	0.00225	0.015	0.00075	0.009	0.002	0.00725	0.001	0.007	0.00075	5e-04	0.0265	0.01525	0.00325	0.019	0.0025	0.044	0.003	0.00175	0.00325	0.005	0.00625	0.01475	0.02275	0.02725	0.00675	0.00975	0.003	0.0225
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia|s__Blautia glucerasea"	0.00675	0.0205	0.01	0.022	0.00075	0.013	0.00325	0.00325	0	0.0085	0.00125	0.0045	0.0015	0.0135	0.00575	0.02575	0.00175	0.02625	0.01425	0.001	0.01175	0.003	0.02575	0.005	0.005	0.005	0.005	0.0015	0.0125	0.01
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus|s__Duodenibacillus massiliensis"	0.00425	0.0065	0.001	0.005	5e-04	0.00475	0.004	0.002	0.00025	0.008	0.0015	0.005375	0.04625	0.006	0.003	0.00675	0.0025	0.00425	0.00325	0.004	0.00375	0.00525	0.0025	0.011	0.005	0.00925	0.02575	0.07925	0.00125	0.004
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Wansuia|s__Wansuia hejianensis"	0.00875	0.0115	0.0025	0.00725	0.00325	0.01325	0.00625	0.0265	0.00325	0.00775	0.00475	0.023375	0.00075	0.00525	0.00525	0.00625	0.015	0.015	0.01175	0.001	0.009	0.008	0.01225	0.01225	0.00625	0.0115	0.005	0.0025	0.0055	0.01125
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Xylanibacter|s__Xylanibacter rarus"	0	0	0.005	0	0	0	0.00675	0.009	0	0	0	0.00175	0	0	0	0	0	0	0.007	0.0055	0.00625	0.0065	0	0.101	0	0.073	0.013	0	0	0
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera stantonii"	0.0205	0.00625	0.003	0.015	0.00125	0.009	0.00675	0.00825	0.00125	0.015	0.00175	0.002	0.00125	0.00825	0.0045	0.01475	0.004	0.0035	0.0015	0.00825	0.00225	0.005	0.006	0.004	0.00325	0.0025	0.00625	0.00175	0.018	0.0095
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola dorei"	0.00025	0.0015	0	0.00075	0.0015	0.00225	0	0.0015	5e-04	0.00075	5e-04	0.000875	0.002	0.00175	5e-04	5e-04	0.118	0.004	0.00625	0.00175	0.00425	0.00025	0.0015	0.002	0.0035	0.0065	0.0065	0.0125	0	0.001
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides mediterraneensis"	0.00225	0.00425	5e-04	0.0025	0.00075	0.005	0.00075	0.0065	5e-04	0.00175	5e-04	0.00225	0.02275	0.008	0.001	0.0015	0.00875	0.01775	0.00275	0.00225	0.002	0.004	0.007	0.00625	0.0125	0.0115	0.01	0.02225	0.00225	0.0065
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas|s__Succinatimonas hippei"	0.0085	0.0045	0.00575	0.0025	0.00075	0.01175	0.00925	0.00525	0.00075	0.0095	0.00075	0.002	0.00025	0.006	0.001	0.002	0.00925	0.0095	0.01375	0.00775	0.006	0.00825	0.00525	0.0075	0.00525	0.0065	0.00875	0.00375	0.00325	0.0055
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia marmotae"	0	0.01675	0	0.0105	0	0.00275	0	0	0	0.03325	0	0.002375	0	0.0465	0.00025	0	0	0.00175	5e-04	0.0065	0	0.00125	0.0195	0	0.012	0	0	5e-04	0.00025	0.00625
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium varium"	0.00025	0.003	0.00875	0.0075	0	0.0165	0	0.005	0	0.01475	0	0.014125	0	0.00575	0	0.01375	0.01675	0.00025	0.00625	0.00025	0.0045	0.002	0	0.0045	0	0.00225	0.01775	0.00025	0	0.0135
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola massiliensis"	0.00125	0.00075	0	0.01325	0.00025	5e-04	0	0.01	0.00025	0	0.00025	0	0.00025	0.00025	0	0.0265	0.0475	0.004	0.011	0.00025	0.00625	0.00025	0.001	0.00425	0.0025	0.009	0.0065	0.003	0	0.00025
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides uniformis"	0	0.001	0.00075	5e-04	0.00175	0.0025	0	0	5e-04	0	0.00025	0	0.00025	0.00125	0	0.00175	0.0065	0.01575	0.00175	0.00025	0.00225	0	0.01025	0.0035	0.00575	0.0335	0.00125	0.02825	0.00075	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium porci"	0.00025	0	0.0015	5e-04	0.001	0.001	0.001	0.01675	0.002	0	0.00375	0.002125	0.00075	0.00025	0.0035	0.00025	0.00075	0.005	0.00475	0.00025	0.009	0.002	0.00725	0.01525	0.0025	0.0145	0.0025	0.00225	0.00975	0.004
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella faecalis"	0.002	0.004	0.002	0.00825	0.00025	0.0025	0.0025	0.002	0.00025	0.0075	5e-04	0.005375	0.01575	0.0085	0.00075	0.00775	0.006	0.003	0.00175	0.003	0.00125	0.00275	0.00125	0.00375	0.0015	0.002	0.00325	0.00625	5e-04	0.004
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster bolteae"	0.0035	0.0025	0.002	0.00225	0.00025	0.005	0.00175	0.0075	0.00075	0.00175	0.00125	0.002625	0.00075	0.00275	0.002	0.00175	0.00125	0.00325	0.00325	5e-04	0.00525	0.0025	0.00425	0.0115	0.00325	0.018	0.00275	5e-04	0.00925	0.004
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella intestinalis"	0.00025	0.009	5e-04	0.00225	0	0.00175	0	0.00775	0	0.00025	0	0	0.00175	0.0025	0.00025	0.00425	0.00175	0.01	0.00125	5e-04	0.00325	0	0.0075	0.00025	0.00675	0.00075	0.0165	0.00325	0.0115	0.004
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella|s__Allisonella histaminiformans"	0	0	0.004	0	5e-04	0	0.0045	0.00375	5e-04	0	5e-04	0.008375	0	0	0.0085	0	0.00025	5e-04	0	0.02625	0	0.0145	0.002	0	0.00025	0	0	0.00025	0.0135	0.00925
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides humanifaecis"	0	0.001	0.00025	0	0.001	0.00175	0	5e-04	0.00075	5e-04	5e-04	0	0	5e-04	0.00025	0	0.06325	0.0035	0.00325	0	0.00275	0	0.00375	0.00075	0.0015	0.0025	0.002	0.004	5e-04	0.00175
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas rupellensis"	0.00225	0.00075	0.0035	0.0025	0	0.00525	0.00875	0.002	0.00025	0.00075	0	0.002875	5e-04	0.001	5e-04	0.00825	0.0055	0.00225	0.001	0.00625	0.00125	0.003	0.00275	0.00075	0.00225	0.00125	0.00975	0.0015	0.0155	0.00425
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium asaccharolyticum"	0.00275	0.00175	0.0015	0.006	0.001	0.0075	0.002	0.00525	0.002	0.00375	0.00075	0.0095	5e-04	0.0015	0.00275	0.0035	0.0015	0.00125	0.00125	0.003	0.00175	0.00575	0.00175	0.003	0.003	0.007	0.00275	5e-04	0.0035	0.00775
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides salyersiae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0.04425	0.01	0	0	0	0	0.00975	0	0.00525	0	0	0.0205	5e-04	0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella tanakaei"	0	0.0175	0.00025	0.00775	0	0.001	0.00025	0.002	0	0	0	0.000625	0.00175	0.00425	5e-04	0.00875	0.00125	0.003	0	0.00075	0.00025	0.00075	0.00525	0.001	0.001	0.00075	0.0045	0.00325	0.0075	0.00975
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinivibrio|s__Succinivibrio dextrinosolvens"	0	0	0.001	0	0.0025	0	0.008	0	0.0075	0	0.00225	5e-04	0	0	0.00225	0	0	0	0	0.02875	0	0.025	0	0	0	0	0	0	0	5e-04
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Segatella|s__Segatella baroniae"	0	0.00425	0.00025	0	0.001	0.0065	0.0015	0	5e-04	0.0015	5e-04	0.00125	0.002	0.0075	0.001	0	0	0.01125	0	0.00175	0	0.0035	0.0055	0	0.0205	0.00125	0	0.00075	5e-04	0.004
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor|s__Flavonifractor plautii"	0	0	0.00025	0	0	0	0	0.01175	0	0	0	0	0.00025	0	0	0	0.00325	0.0075	0.004	0	0.00425	0	0.00975	0.00625	0.00525	0.00975	0.001	0.004	0.00325	0.00175
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera vaginalis (ex Bordigoni et al. 2020)"	0.00175	0.00075	0.00025	0.0015	0	0.00675	0.00425	0.00075	5e-04	0.0025	0.00025	0.002125	0	0.00125	5e-04	0.008	0.00075	0	0	0.0085	0	0.00475	5e-04	0.00025	0.0035	0.0015	0.0025	0	0.00975	0.00725
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella sonnei"	0	0.00025	0	0.00025	0	0	0	0	0	0.00025	0	0.010875	0	0.001	0	0	0	0.00025	0.025	0.001	0.012	5e-04	0.00875	0	0.00175	0	0.00225	0.00025	0	0.0055
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter asburiae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.067	0	0.00275	0	0	0
