"","Shannon","Simpson","InvSimpson","Pielou","Coverage"
"buddy_16",4.12299890709884,0.95846731224868,24.0774208013596,0.728064220395171,1
"buddy_17",4.12769249986999,0.960241202637216,25.1516662054786,0.72241608776139,1
"ivy_17",4.14765138692663,0.96064585465714,25.4102837525203,0.730637884149448,1
"padme_17",4.15682823743178,0.963280299984778,27.2333379517116,0.725437321315657,1
"buddy_18",4.15230649870604,0.961670588837702,26.0896259471795,0.733690175250195,1
"ginger_18",4.11240330625876,0.959004003645573,24.3926258397184,0.729362295817531,1
"ivy_18",4.18341047776237,0.960877343559438,25.5606364951031,0.732167677446972,1
"franc_19",4.14078414145138,0.960280581395045,25.1766021538705,0.726396830025702,1
"ivy_19",4.14563282960037,0.960187297559802,25.1176116844135,0.72555594927418,1
"ginger_20",4.0954114371955,0.95842930792286,24.0554089920937,0.723637124574975,1
"buddy_21",4.08205075356897,0.959729266863724,24.831929347201,0.730112727466232,1
"joans_21",4.04923525020774,0.958370747212758,24.0215697627524,0.715919574434601,1
"franc_22",4.09426936668393,0.958581821205894,24.1439877154209,0.728936482454278,1
"grogu_22",4.11141972856249,0.958690215236083,24.2073398763738,0.734876108811012,1
"henry_22",4.14998850467265,0.960705317614676,25.4487360450963,0.728439600737227,1
"joans_22",4.13945784509217,0.960330214374519,25.2081019403766,0.728755643538178,1
"marshmallow_22",4.06287637656063,0.957451552467382,23.5026201422127,0.732686450026118,1
"franc_24",4.13824075094765,0.959761414363161,24.8517681268717,0.72468148850452,1
"ginger_24",4.09067636984723,0.958346764644295,24.0077389297691,0.730201643456907,1
"henry_24",4.14185525851194,0.960374511991685,25.2362822582817,0.725735979571824,1
"ivy_24",4.10436837175647,0.959499817137917,24.691246540919,0.723889694953047,1
"marshmallow_24",4.07623849595064,0.9585280488058,24.1126826976943,0.730051256511006,1
"henry_25",4.15692647026066,0.961257629426971,25.8115336054362,0.729657408660589,1
"ophelia_43",4.13779103643477,0.961381167514654,25.8941023237675,0.728462200227186,1
"goose_44",4.08133342883638,0.958172621163992,23.9077854703899,0.714715977705044,1
"iris_44",4.11690839655249,0.959518827031523,24.7028415105141,0.727884433756938,1
"jarjarbinks_44",4.16388683702585,0.959702166625386,24.8152299083645,0.731310629920404,1
"lambchop_44",4.05404339868693,0.95747800955304,23.5172434189634,0.71676967263842,1
"hamlet_45",4.13350788122972,0.959305722060119,24.5734793839404,0.734974220240635,1
"hera_45",4.12741015302071,0.959370913972574,24.6129090702399,0.722784853122615,1
"jarjarbinks_45",4.15967701988532,0.963182225322235,27.1607941748828,0.727594343973908,1
"korra_45",4.14591375589388,0.960466288319819,25.2948675320389,0.72602517172171,1
"ophelia_45",4.1217955946283,0.96070293801039,25.4471950158616,0.720554360600401,1
"goose_46",4.09510045342764,0.958847049302666,24.2995941495099,0.731959197816398,1
"hamlet_46",4.11893652650123,0.95915796610728,24.484578868592,0.726901935419429,1
"iris_46",4.14814708786536,0.959923002833659,24.9519692268724,0.732056958676927,1
"lambchop_46",4.06595284597273,0.95764188003219,23.6082243678416,0.722038702060258,1
"hamlet_48",4.1166197895105,0.959262850983496,24.5476186758885,0.731036222576417,1
"hera_48",4.1251658862953,0.959626273235409,24.7685829408505,0.722391841055639,1
"iris_48",4.11474725447212,0.959251061861123,24.5405167759684,0.729778010746944,1
"jarjarbinks_48",4.14878328314545,0.961221730939163,25.7876389075322,0.732617382321173,1
"korra_48",4.13847543647395,0.960503666196948,25.3188056640015,0.729462299534579,1
"kubo_48",4.11979247053324,0.959214357656795,24.5184320400092,0.731599632575127,1
"lambchop_48",4.06362457919049,0.957335959251088,23.4389425484858,0.719356188905765,1
"ophelia_48",4.1222086375493,0.960225155401056,25.1415187182544,0.725283853890471,1
"wolverine_48",4.16422882908745,0.961252786495675,25.8083074770881,0.734447316558178,1
"iris_49",4.09275300062779,0.958745027150603,24.2395020753142,0.723613671575407,1
"jarjarbinks_49",4.10902910019937,0.959368241742995,24.6112903526046,0.724711710178096,1
"kubo_49",4.09889288500123,0.959011850220814,24.3972954472762,0.730233268743047,1
"ophelia_49",4.12755286687784,0.96035988719087,25.2269715985691,0.726224146724795,1
"wolverine_49",4.13601209514187,0.960048478341878,25.0303357293203,0.724291210194509,1
"jarjarbinks_50",4.09292309549002,0.958429726140956,24.0556510017419,0.716330853193465,1
"korra_50",4.10242526398701,0.958687177423861,24.2055598635751,0.724431201379058,1
"kubo_50",4.10215388248356,0.959056444906778,24.4238683651961,0.723940166929089,1
"lambchop_50",4.05559702129365,0.957162356743692,23.3439546152609,0.715287865192365,1
"ophelia_50",4.15987934849014,0.96205860989422,26.3564407422081,0.725150688036844,1
"wolverine_50",4.15682332219446,0.961234309468133,25.7960063726447,0.733141203256403,1
"lambchop_51",4.06087264122439,0.957216977374575,23.3737575943437,0.71886903179545,1
"goose_52",4.06908465986161,0.957558521841836,23.5618560756384,0.727309128885072,1
"jarjarbinks_52",4.08410523710605,0.958403634888174,24.0405621335335,0.714787578650515,1
"kubo_52",4.15696110924278,0.961453132560237,25.9424452988997,0.727959764934317,1
"hera_53",4.08700708387942,0.958975753268645,24.3758284350338,0.720827675112968,1
"kubo_53",4.10359969653406,0.959308761899906,24.5753151462275,0.723314978414752,1
"iris_55",4.10467533852109,0.959212221530043,24.5171479671681,0.727991688931146,1
"lambchop_55",4.11495581398796,0.958765487349584,24.2515295009776,0.736985499124621,1
"ophelia_55",4.14902496181995,0.96174938551377,26.1433708564341,0.723258549995639,1
