"","Shannon","Simpson","InvSimpson","Pielou","Coverage"
"hera_1",4.08806397398619,0.958795567878656,24.2692338788964,0.720576597078761,1
"wolverine_1",4.1289582583094,0.959690198919188,24.8078624351242,0.725176063371618,1
"hamlet_11",4.0645886136202,0.959912342883635,24.9453340986538,0.716005794014899,1
"hera_11",4.11163026162336,0.960154638627044,25.0970242342617,0.725170478441367,1
"jarjarbinks_11",4.12875502601859,0.960588221464814,25.3731254251117,0.722185590425429,1
"hera_14",4.10624260837611,0.959507089134114,24.6956807652586,0.718661993507421,1
"iris_14",4.14092834144423,0.960018463632292,25.0115450992944,0.734421402038822,1
"jarjarbinks_14",4.08682654336519,0.959292683145885,24.5656082807856,0.722120220112159,1
"kubo_14",4.15310465702507,0.961581688469193,26.0292542840704,0.726863645604938,1
"wolverine_14",4.07334398693577,0.959025519904589,24.4054347406348,0.721076750433488,1
"jarjarbinks_15",4.09065927881817,0.959487345112085,24.6836452157151,0.72191162155154,1
"kubo_15",4.11500149229626,0.96003485806072,25.0218052902033,0.719779876400475,1
"iris_17",4.11217356269509,0.959537306339243,24.7141232955002,0.7274978211457,1
"kubo_17",4.09235320031401,0.959295788171924,24.5674822110239,0.715818326244494,1
"wolverine_17",4.11576924420115,0.958853601083709,24.3034633974754,0.729959267476781,1
"hamlet_18",4.09574404405231,0.959045504721312,24.4173440105944,0.717656371447824,1
"hera_18",4.09763346022095,0.95856083960057,24.1317630560335,0.72010098713662,1
"iris_18",4.11415800780984,0.95964042603397,24.7772684826081,0.723004942101421,1
"jarjarbinks_18",4.11007743388463,0.959035268589941,24.4112426855667,0.721010107541492,1
"kubo_18",4.08427410685707,0.958770797767291,24.2546531547158,0.715646608772292,1
"wolverine_18",4.11055575038182,0.959274081641352,24.5543879745966,0.726313043079348,1
"ophelia_19",4.09526990801278,0.958750473724003,24.2427026509127,0.721410519226044,1
"wolverine_19",4.12524578282155,0.959736935555098,24.8366589524862,0.731639995131595,1
"hera_2",4.14083173372748,0.959198030928962,24.5086210976476,0.739154570998057,1
"jarjarbinks_2",4.15486621351576,0.959663021199984,24.7911477197593,0.726752856645033,1
"hamlet_20",4.1609816255017,0.961629391579478,26.0616143752667,0.740335382638364,1
"hera_20",4.10729652515154,0.959198941222585,24.5091678982001,0.726635008783215,1
"iris_20",4.10576276312846,0.959242951265762,24.5356332476533,0.735339030612581,1
"korra_20",4.14536953158075,0.961023872400183,25.6567304547899,0.726775530097791,1
"ophelia_20",4.15992729076101,0.961657627082262,26.0808062700099,0.732359309672611,1
"hamlet_21",4.13529171420802,0.960327667579548,25.2064836874695,0.729788267248464,1
"jarjarbinks_21",4.10382623654547,0.958553856872408,24.1276974053173,0.723794078269318,1
"korra_21",4.14596201055763,0.960873822634937,25.5583363196868,0.726455564765589,1
"kubo_21",4.12157814181412,0.959812292531735,24.883230793637,0.72604489914064,1
"hamlet_22",4.16262055477982,0.961931676606225,26.26855902363,0.726860698633658,1
"hera_22",4.04819014429322,0.958194537405016,23.920318970947,0.723094860291219,1
"iris_22",4.11277135247239,0.958822385222424,24.2850394662626,0.728056312363559,1
"kubo_22",4.11751332530077,0.95956005890434,24.7280281055433,0.726650771629831,1
"hamlet_23",4.11576264032907,0.959433224095258,24.650714228515,0.731350344520603,1
"iris_23",4.09734101207152,0.958815175428153,24.2807881397069,0.727612665057017,1
"korra_23",4.14616014177967,0.961119957966127,25.7201368025472,0.725648237835309,1
"hera_24",4.10532205454831,0.958746694602114,24.2404818318208,0.73233446454182,1
"kubo_24",4.12473797045375,0.960072734070705,25.045541604848,0.721482942865431,1
"ophelia_24",4.09768518414109,0.958994866751714,24.3871905974551,0.728138071373073,1
"wolverine_24",4.10481354312546,0.959170831867577,24.4922942528893,0.730813748993753,1
"kubo_25",4.09933237680143,0.9588212775359,24.2843862111509,0.72936654782156,1
"jarjarbinks_29",4.12072077446132,0.959731189953471,24.833115228499,0.722877214976144,1
"korra_29",4.14991711149939,0.961416916445743,25.9180943532874,0.734631976804735,1
"jarjarbinks_3",4.07233225088484,0.957795647175197,23.6942384628228,0.717803667992843,1
"kubo_30",4.10082808066656,0.959254275814151,24.5424524899548,0.721522042187641,1
"hamlet_31",4.08568307197761,0.958326065301547,23.9958143438069,0.72236368238047,1
"jarjarbinks_32",4.13999951612193,0.960443635840793,25.2803820890915,0.724570024018275,1
"hera_37",4.09019972613525,0.959214976972091,24.5188043492265,0.724060608827745,1
"kubo_37",4.10686070466814,0.959161383566001,24.4866277880925,0.723889775227927,1
"ophelia_37",4.15700330767432,0.961815107925518,26.1883678510715,0.732728087561781,1
"wolverine_37",4.10993943303004,0.959548010801816,24.7206631817473,0.727554996669247,1
"hamlet_41",4.10284495780403,0.959304292199182,24.5726159843301,0.716831301486982,1
"hera_41",4.11244905324976,0.95935506518769,24.6033116947485,0.724874797289679,1
"ophelia_43",4.13778451990639,0.961381448335669,25.8942906169013,0.72802435952155,1
"iris_44",4.11715936409984,0.959517162552675,24.7018258367186,0.727928805735496,1
"jarjarbinks_44",4.16388683702585,0.959702166625386,24.8152299083645,0.731310629920404,1
"hamlet_45",4.13350788122972,0.959305722060119,24.5734793839405,0.734974220240635,1
"hera_45",4.12729203672986,0.959365318660479,24.6095199232534,0.723184211495424,1
"jarjarbinks_45",4.15980149754056,0.963183759532055,27.1619260220413,0.727616117115781,1
"korra_45",4.14570942979453,0.960460950886237,25.2914529411866,0.725989390492262,1
"ophelia_45",4.12177336696891,0.960703638994673,25.447648953155,0.72055047485776,1
"hamlet_46",4.11876637297198,0.959149866349023,24.4797240700356,0.726871907054356,1
"iris_46",4.14814708786536,0.959923002833659,24.9519692268724,0.732056958676927,1
"hamlet_48",4.1166197895105,0.959262850983496,24.5476186758885,0.731036222576417,1
"hera_48",4.1251658862953,0.959626273235409,24.7685829408505,0.722391841055639,1
"iris_48",4.11477159927019,0.959249537823308,24.5395989783884,0.729782328460088,1
"jarjarbinks_48",4.14878328314545,0.961221730939163,25.7876389075322,0.732617382321173,1
"korra_48",4.13845488185515,0.960502470353216,25.3180391012485,0.729458676504861,1
"kubo_48",4.11994382722978,0.959215813499809,24.5193072563874,0.731161962979513,1
"ophelia_48",4.12204367429054,0.960230213993695,25.1447166409559,0.725689861562824,1
"wolverine_48",4.16427828864507,0.961251015940778,25.8071282197142,0.729241136604076,1
"iris_49",4.09275300062779,0.958745027150603,24.2395020753142,0.723613671575407,1
"jarjarbinks_49",4.10899077451083,0.959367136707901,24.6106210337985,0.724265228862839,1
"kubo_49",4.09888845611739,0.959012682263074,24.3977907122007,0.730232479720641,1
"ophelia_49",4.1272170734893,0.960356793060106,25.2250026471414,0.726600643603241,1
"wolverine_49",4.13613949012403,0.960050320548555,25.0314899576457,0.724313519381155,1
"jarjarbinks_50",4.09292309549002,0.958429726140956,24.0556510017419,0.716330853193465,1
"korra_50",4.10242526398701,0.958687177423861,24.2055598635751,0.724431201379058,1
"kubo_50",4.10204703667726,0.959052666776666,24.4216148227728,0.723921310988267,1
