"ID"	"Ginger_2"	"Padme_5"	"Padme_6"	"Ginger_7"	"Padme_7"	"Charles_9"	"Franc_9"	"Grogu_9"	"Henry_9"	"Ivy_9"	"Buddy_11"	"Joans_11"	"Padme_11"	"Ginger_14"	"Buddy_17"	"Ivy_17"	"Padme_17"	"Buddy_18"	"Ginger_18"	"Ivy_18"	"Franc_19"	"Ivy_19"	"Ginger_20"	"Buddy_21"	"Joans_21"	"Franc_22"	"Grogu_22"	"Henry_22"	"Joans_22"	"Marshmallow_22"	"Franc_24"	"Ginger_24"	"Henry_24"	"Ivy_24"	"Marshmallow_24"	"Henry_25"	"Ginger_29"	"Henry_29"	"Joans_29"	"Ginger_36"	"Grogu_36"	"Henry_36"	"Franc_37"	"Grogu_37"	"Grogu_41"	"Joans_41"	"Ginger_42"	"Grogu_42"	"Henry_42"	"Ivy_42"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Ivy_44"	"Joans_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Henry_45"	"Ivy_45"	"Joans_45"	"Marshmallow_45"	"Buddy_46"	"Charles_46"	"Ivy_46"	"Joans_46"	"Marshmallow_46"	"Franc_47"	"Ginger_47"	"Ivy_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Ivy_48"	"Joans_48"	"Marshmallow_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Ivy_49"	"Joans_49"	"Marshmallow_49"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"Joans_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Buddy_52"	"Charles_52"	"Ginger_52"	"Grogu_52"	"Marshmallow_52"	"Franc_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Ivy_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"	"Buddy_57"	"Joans_57"	"Ginger_58"	"Henry_59"	"Joans_60"	"Marshmallow_60"	"Joans_62"	"Henry_66"	"Ivy_67"	"Franc_68"
"txid1337051"	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"txid796944"	1	12	7	25	3	2	12	8	5	21	2	7	5	19	6	13	0	0	4	3	8	9	13	3	4	43	1	10	8	11	11	5	16	49	18	5	12	8	7	27	4	34	24	9	4	86	7	12	16	7	3	12	7	86	14	15	9	40	13	12	16	7	12	13	11	13	10	9	12	9	5	18	6	2	34	4	11	22	24	2	53	26	9	5	5	16	11	10	20	13	8	22	8	21	21	7	3	16	13	4	11	10	3	4	55	18	8	40	2	5	4	3	28	5	6	19	11	10	11	24
"txid796943"	13	48	27	95	34	22	53	75	19	108	37	107	22	93	59	166	1	3	55	37	143	99	81	38	13	199	20	147	53	112	104	125	112	183	101	57	234	136	99	217	24	193	242	34	27	524	106	115	126	51	62	62	60	504	80	81	56	182	62	115	63	60	106	44	48	63	80	91	109	75	32	120	34	42	144	32	138	151	142	9	261	113	112	52	62	136	64	38	180	128	68	135	65	104	136	47	73	167	267	43	101	159	30	87	296	172	46	135	46	101	71	58	217	32	90	106	58	184	61	156
"txid237576"	12	40	35	99	33	12	45	78	5	106	42	77	16	132	48	137	1	4	34	69	133	165	65	50	12	173	20	90	117	80	106	65	73	198	84	35	105	68	69	218	26	130	229	31	23	359	64	86	105	66	64	67	68	382	77	69	46	142	44	72	57	52	112	44	47	94	88	62	134	52	42	114	26	41	165	32	179	111	111	8	246	89	86	80	41	85	41	33	177	103	57	160	68	87	154	44	48	143	147	45	107	145	22	57	285	185	38	151	34	87	53	34	149	41	94	89	44	104	70	127
"txid2606632"	0	5	0	4	1	0	3	2	0	8	3	1	1	5	1	2	0	0	0	0	2	0	6	1	0	8	1	2	1	4	7	4	1	7	7	1	3	1	1	4	1	7	4	2	1	20	5	2	6	0	1	4	2	28	6	5	1	12	4	2	3	2	1	3	4	1	2	2	1	2	0	3	3	1	6	1	4	4	6	0	14	5	5	1	3	2	4	3	2	2	1	7	1	6	8	4	1	1	1	1	2	1	0	1	19	3	3	9	0	1	1	1	12	2	1	8	4	1	2	6
"txid2763669"	0	1	1	2	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	3	0	1	1	0	2	1	0	3	2	0	0	0	0	0	0	2	0	1	0	4	0	0	1	0	0	0	0	4	1	0	0	1	2	0	1	0	0	1	2	0	0	0	1	0	0	1	1	0	2	0	0	0	3	0	2	1	0	0	0	2	0	0	0	0	1	1	0	1	1	1	0	0	0	0	1	1	0	0	5	0	1	3	0	0	0	0	3	0	0	1	0	0	0	2
"txid301302"	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	3	1	0	0	0	0	0	0
"txid622312"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
"txid2605790"	0	1	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"txid1653434"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
