"ID"	"hera_1"	"wolverine_1"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"hera_2"	"jarjarbinks_2"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"hamlet_22"	"hera_22"	"iris_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"jarjarbinks_29"	"korra_29"	"jarjarbinks_3"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"hera_37"	"kubo_37"	"ophelia_37"	"wolverine_37"	"hamlet_41"	"hera_41"	"ophelia_43"	"iris_44"	"jarjarbinks_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"hamlet_46"	"iris_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"ophelia_50"	"wolverine_50"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"ophelia_55"	"ophelia_57"	"wolverine_57"	"wolverine_58"	"hamlet_59"	"iris_59"	"ophelia_59"	"korra_6"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"	"hera_7"	"iris_7"	"korra_9"
"njc1"	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09	0	0	0	0	0	0.16	0	0	0.02	0	0	0	0	0	0
"njc2"	0	0.07	0	0	0	0	0.98	0	0	0.31	0	0	0.31	0	0	0	0	0.33	0	0	0.02	0	0.6	0	0.16	0	0	0.42	0.02	0	0	0	0	0	0	0	0.24	0.02	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0.01	0	0.16	0	0.04	0	0	0	0.69	0	0	0	0	0	0	0	0.51	0	0	0.38	0	0	0.27	0	0.04	0.04	0	0.04	0	0	0	0	0.18	0	0	0	0.04	0	0.09	0.22	0	0	0.07	0.02	0	0.07	0.02	0	1.09	0.02	0	0	0	0	0.08	0
"njc3"	0	0.07	0	0	0	0	0.98	0	0	0.31	0	0	0.31	0	0	0	0	0.33	0	0	0.02	0	0.6	0	0.16	0	0	0.42	0.02	0	0	0	0	0	0	0	0.24	0.02	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0.01	0	0.16	0	0.04	0	0	0	0.69	0	0	0	0	0	0	0	0.51	0	0	0.38	0	0	0.27	0	0.04	0.04	0	0.04	0	0	0	0	0.18	0	0	0	0.04	0	0.09	0.22	0	0	0.07	0.02	0	0.07	0.02	0	1.09	0.02	0	0	0	0	0.08	0
"njc4"	0	0	0	0.02	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0
"njc5"	0	0	0	0.02	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0
"njc6"	0	0	0	0.02	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0
"njc7"	0	0.02	0	0.09	0	0.16	0.04	0	0.02	0.11	0	0	0.04	0.04	0.04	0.04	0.02	0.02	0	0.04	0.02	0	0	0.02	0.07	0	0.04	0.04	0.36	0.04	0	0.04	0	0	0.02	0.04	0.09	0.02	0	0	0.09	0	0.13	0.04	0.04	0	0.02	0	0.07	0.13	0.11	0.13	0.04	0.18	0.16	0.02	0.22	0.07	0.02	0.13	0.02	0.07	0.13	0.09	0.04	0.18	0	0.13	0.04	0.02	0.2	0.02	0.02	0.11	0.13	0.02	0	0.47	0.04	0.09	0.16	0.11	0.02	0.2	0	0.02	0.07	0.04	0	0.09	0.04	0.18	0.04	0.02	0	0.02	0.04	0.13	0.33	0.16	0.13	0.04	0.04	0.18	0.04	0.29	0.02
"njc8"	37.51	42	27.56	47.84	24.79	46.62	52.49	22.32	27.38	44.27	30.53	43.24	31.22	42.42	55.56	20.7	19.29	29.23	18.07	38.63	45.28	22.81	40.33	4.16	24.52	12.51	12.02	43.53	22.14	19.5	26.74	15.76	24.58	27.88	13	14.16	46.9	31.16	22.97	25.58	28.72	18.45	33.67	33.36	65.85	13.52	30.53	41.53	24.36	15.65	38.53	18.65	18.32	45.76	21.87	40.7	29.89	38.74	29.17	38.37	6.34	14.63	17.03	11.26	21.92	34.98	18.45	32.63	17.96	17.94	31.87	19.8	26.28	23.13	18.65	34.42	27.49	14.7	24.56	17.43	31.38	14.47	20.87	20.36	18.43	41.15	16.8	22.87	23.72	19.05	28.75	24.9	27.4	26.83	46.93	26.16	16.18	15.76	18.17	25.52	41.3	12.3	44.57	20.78	35.26	19.84	22.94
"njc9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0
"njc10"	0	0.27	0.02	0	0.24	0.02	0.02	0.09	0.09	0.13	0.22	0.24	0.02	0.07	0.04	0.07	0	0	0	0.13	0.24	0.2	0	0	0.04	0.02	0	0	0	0.09	0.02	0	0	0.38	0	0	0	0.11	0.04	0	0	0	0	0.2	0.11	0.11	0	0	0	0.2	0.09	0	0	0.24	0.07	0.13	0.03	0.02	0.22	0	0.02	0	0.02	0.11	0	0.18	0	0	0.04	0.02	0	0	0	0.11	0.11	0.04	0	0	0.29	0.09	0.13	0	0	0.18	0.18	0.09	0	0	0	0.22	0	0.04	0	0.07	0.07	0.02	0	0.18	0.12	0	0.53	0	0.02	0	0	0.01	0
