"ID"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"franc_37"	"grogu_37"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"grogu_42"	"henry_42"	"ivy_42"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"
"fpt1"	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0.02	0	0
"fpt2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.13	0	0.02	0	0	0
"fpt3"	0	0.02	0	0.02	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0.47	0	0.02	0.02	0	0.13	0	0.02	0	0	0.04
"fpt4"	0	0.02	0	0.02	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0.47	0	0.02	0.02	0	0.13	0	0.02	0	0	0.04
"fpt5"	0.04	0.02	0	0.04	0	0.11	0.07	0.02	0	0.18	0.02	0.02	0.02	0.09	0	0.02	0.02	0.04	0	0.07	0.04	0.07	0.09	0.16	0.11	0.02	0.02	0.13
"fpt6"	0.04	0.07	0.58	0.04	0	0.2	1.29	0.04	0	0.4	0.04	0.09	0.02	0.11	5.14	0.44	0.82	0.67	0.64	0.82	0.18	10.62	0.33	11.32	1.63	0.2	0.07	0.27
"fpt7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.04	0	0	0	0	0
"fpt8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.04	0	0	0	0	0
"fpt9"	39.51	42.79	60.1	44.14	93.96	49.46	40.31	95.98	94.29	55.45	21.4	53.42	80.27	35.63	40.96	37	61.12	57.7	42.82	58.98	43.58	60.58	64.86	59.88	38.91	22.44	28.65	47.29
"fpt10"	1.64	3.29	1.27	4.91	0.24	1.82	1.24	0.24	0.31	4.52	7.01	4.89	0.78	4.98	3.38	2.29	0.91	3.65	0.69	2.56	1.07	3.04	1.58	2.27	5.08	8.87	0.4	6.27
"fpt11"	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.58	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0
"fpt12"	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.58	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0
"fpt13"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.04	0	0	0	0	0
"fpt14"	0.02	3.6	0	2.22	0	0.58	0.02	0	0	3.94	0.02	10.12	0.38	0	0	0.78	2.53	4.58	1	0.98	1.69	0	7.39	0	0.2	0.16	0	3.2
"fpt15"	0	0.02	0	0.04	0	0	0	0	0	0	0	0.07	0	0.58	0	0	0	0.47	0	0.02	0.07	0	0	0	0	0	0	0.04
"fpt16"	0.04	8.42	0	5.09	0	1.27	0.04	0	0	9.55	0.02	22.54	0.67	0.62	0.04	1.67	42.41	8.52	20.13	1.87	4.18	0	12.65	0.04	4.79	0.33	0.02	4.71
"fpt17"	1.64	7.6	0.62	5.18	0.29	2.45	2.31	0.2	0.13	4.27	2.78	17.52	0.58	2.38	6.94	8.64	1.51	4.36	1.27	1.42	6.53	3.22	28.62	12.19	3.85	5.16	0.78	4.25
"fpt18"	1.67	11.78	0.62	7.8	0.29	3.14	2.33	0.2	0.13	10.04	2.8	29.06	1.02	2.96	6.96	9.93	43.63	9.66	21.31	2.53	9.31	3.22	37.57	12.23	8.13	5.36	0.8	8.05
"fpt19"	1.64	7.6	0.62	5.18	0.29	2.45	2.31	0.2	0.13	4.27	2.78	17.52	0.58	2.38	6.94	8.64	1.51	4.36	1.27	1.42	6.53	3.22	28.62	12.19	3.85	5.16	0.78	4.25
"fpt20"	1.67	16.56	1	7.8	1.07	6.16	2.44	1.18	0.56	10.64	31.3	33.99	2.09	3	7	18.91	43.79	11.06	21.36	4.09	13.87	4.29	45.41	15.59	8.84	18.48	1.27	10.14
"fpt21"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0.04	0	0.49	0.04	0.2	0	0	0
"fpt22"	0	0.02	0	0.02	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0.47	0	0.02	0.02	0	0.13	0	0.02	0	0	0.04
"fpt23"	0.04	4.18	0	2.6	0	0.69	0.04	0	0	5.83	0.02	11.63	0.47	0.02	0	1.36	42.12	5.63	20.02	1.18	2.78	0.02	28.4	0.16	5.99	0.22	0	3.94
"fpt24"	0	0.02	0	0.02	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0.47	0	0.02	0.02	0	0.13	0	0.02	0	0	0.04
"fpt25"	0	0.02	0	0.02	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0.47	0	0.02	0	0	0	0	0	0	0	0.04
"fpt26"	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.58	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0
"fpt27"	0	0.02	0.02	0.07	0.02	0.07	0.13	0.02	0.02	0.1	0	0.07	0.07	0.02	0.09	0.09	0.02	0.02	0.02	0.04	0.07	0.07	0.07	0.11	0.07	0.02	0	0.11
"fpt28"	41.16	46.05	61.37	49.03	94.2	51.28	41.56	96.22	94.6	59.96	28.41	58.25	81.04	40.61	44.34	39.29	62.04	60.7	43.51	61.52	44.62	63.62	66.37	62.15	43.99	31.32	29.05	53.51
"fpt29"	39.51	42.77	60.1	44.12	93.96	49.46	40.31	95.98	94.29	55.45	21.4	53.36	80.27	35.63	40.96	37	61.12	57.05	42.82	58.96	43.56	60.58	64.79	59.88	38.91	22.44	28.65	47.24
