"ID"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"jarjarbinks_3"	"goose_4"	"padme_5"	"korra_6"	"padme_6"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"	"ophelia_9"
"o__Enterobacterales"	7	0	817	16	342	437	325	359	4	148	0	56	2133	0	2397	1	5	17	16	5363	2010	15	1943	4931	0	0	2193	1703	2998	94	2670	676	50	0
"o__Selenomonadales"	1470	1575	877	1020	1748	699	1083	1437	2328	1818	822	593	422	1328	174	78	261	13	904	0	101	1044	70	879	1367	1330	101	1040	352	544	1263	357	623	1196
"o__Bacteroidales"	755	522	738	603	347	649	672	379	328	560	1912	1159	318	611	199	2543	1832	1080	458	5	686	1364	853	665	504	1114	712	216	103	1074	1522	997	1503	671
"o__Acidaminococcales"	809	606	591	283	290	691	374	300	284	605	455	835	463	582	113	278	63	203	737	0	581	1912	398	330	695	1548	257	406	95	801	701	411	381	921
"o__Lachnospirales"	402	427	220	345	603	438	261	399	437	363	245	837	181	837	47	115	99	15	848	0	190	1051	332	265	436	1648	485	344	143	290	60	358	585	718
"o__Veillonellales"	335	425	496	71	154	70	373	36	319	167	206	109	83	320	56	70	85	9	803	17	350	391	282	759	738	1791	86	31	265	905	329	352	440	215
"o__Aeromonadales"	41	76	76	20	30	66	778	22	35	38	23	32	139	23	890	19	10	2371	106	1	14	1670	3	25	43	65	9	11	4	71	63	696	4	55
"o__Fusobacteriales"	26	103	30	1501	334	790	27	906	123	149	191	13	183	56	27	14	53	0	0	6	5	193	19	0	25	140	79	68	0	71	1100	0	2	15
"o__Burkholderiales"	62	67	79	30	25	41	65	37	113	84	63	44	30	18	79	750	463	255	87	1	32	67	31	101	122	174	41	22	28	59	147	110	205	43
"o__Eubacteriales"	57	95	55	90	101	105	21	64	20	53	62	270	41	180	6	31	24	7	35	20	16	204	50	5	61	178	24	122	8	68	9	22	142	148
"o__Bifidobacteriales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	625	23	0	849	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"o__Lactobacillales"	0	3	2	4	0	1	4	21	0	0	0	3	2	3	0	0	0	0	0	1434	10	24	5	5	2	1	9	11	2	0	5	0	0	1
"o__Coriobacteriales"	12	62	16	16	23	7	13	4	9	12	10	45	3	30	3	18	441	6	6	0	3	13	2	10	4	3	2	2	0	21	118	21	64	13
"o__Pasteurellales"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	191	1	28	3	17	1	1	0	1	0	0	5	0	0	1
"o__Bacillales"	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	54	1	4	1	1	0	0	0	0	0	0	4	0	0	1
"o__Pseudomonadales"	24	35	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"o__Anaeroplasmatales"	0	3	0	0	0	3	0	0	0	0	8	0	2	3	0	0	28	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	0	0
"o__Neisseriales"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	41	0	0	3	3	1	3	0	0	1	0	1	0	0	0
"o__Peptostreptococcales"	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0
"o__Mycobacteriales"	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
"o__Campylobacterales"	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"o__Tissierellales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0
"o__Eggerthellales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
