"ID"	"Hera_2"	"JarJarBinks_2"	"Lambchop_2"	"Goose_4"	"Buddy_16"	"Marshmallow_41"	"JarJarBinks_44"	"Hamlet_67"	"Grogu_70"
"njc62"	0.08	0.03	0	0	0	0	0	0.03	0.02
"njc63"	0.38	9.92	0.5	73.9	0.3	0.27	0.73	1.28	11
"njc64"	0.07	5.07	0.1	10.37	0.02	0.03	0.07	2.82	0.07
"njc65"	1.4	17.22	1.15	0.23	2.33	4.6	4.97	7.77	0.53
"njc66"	0	0	0	0.58	0	0	0	0	0.02
"njc67"	0	1.75	0	0	0	0	0	0	0
"njc68"	0.02	0.35	0	0	0.02	0	0	0	0.07
"njc69"	2.5	15.38	1.18	1.98	3.48	4.95	5.48	6.18	5.32
"njc70"	0	0.03	0	10.43	0	0	0	0	0
"njc71"	0	0.03	0	10.43	0	0	0	0	0
"njc72"	0	0.03	0	10.43	0	0	0	0	0
"njc73"	0	0.03	0	10.43	0	0	0	0	0
"njc74"	0	0.02	0	0	0	0	0	0.02	0
"njc75"	1.03	14.68	0.28	0.82	0.3	0.28	0.33	5.95	0.25
"njc76"	0	0	0	0.63	0	0	0	0	0
"njc77"	0.43	12.55	0.78	0	0.08	1.92	2.37	6.4	0.43
"njc78"	0	0	0	0.73	0	0	0	0	0
"njc79"	0	0	0	0.07	0	0	0	0	0
"njc80"	0.02	0.35	0	0.07	0.02	0	0	0	0.07
"njc81"	0	0	0	0	0	0	0	0	0.02
"njc82"	3.08	21.63	1.47	0	4.03	5.12	5.98	9.37	4.63
"njc83"	0.03	0.05	0	0	0	0.02	0.02	0.05	0.02
"njc84"	0	0.2	0	0	0	0	0	0.03	0.07
"njc85"	0.03	0.05	0	0	0	0.02	0.02	0.05	0.02
"njc86"	0.02	2.22	0	0	0.03	0.02	0.03	0.03	0.07
"njc87"	0	0	0	0.08	0	0	0	0	0
"njc88"	0.07	0.03	0.07	0.72	0.03	0	0.08	0	0.03
"njc89"	0.07	0.03	0.07	0.07	0.03	0	0.08	0	0.03
"njc90"	0.37	7.72	0.68	0.07	0.07	1.9	2.3	3.58	0.43
"njc91"	0.02	0.37	0	0	0.02	0	0	0	0.07
"njc92"	0	0	0	0.07	0	0	0	0	0.02
"njc93"	0	0	0	0.07	0	0	0	0	0
"njc94"	0	0	0	0	0	0	0	0	0.02
"njc95"	0.05	0.02	0	0.25	0.03	0	0	0.02	0
"njc96"	2.23	18.57	0.63	29.2	2.15	0.82	1.37	5.4	8.47
"njc97"	0	0.15	0	0.07	0	0	0	0	0.07
"njc98"	0	0	0	0.75	0	0	0	0	0.02
"njc99"	0.37	7.72	0.68	0	0.07	1.9	2.3	3.58	0.43
"njc100"	0	0	0	0.65	0	0	0	0	0
"njc101"	0	0.15	0	0.07	0	0	0	0	0.07
"njc102"	1.75	16.05	1.22	0	2.57	4.72	5.13	8.03	1.57
"njc103"	0	0.03	0	0.58	0	0	0.02	0.02	0
"njc104"	0	0	0	0.07	0	0	0	0	0
"njc105"	0	0	0	0	0	0	0	0	0.02
"njc106"	0	0	0	0.07	0	0	0	0	0
"njc107"	0	0.15	0	0.07	0	0	0	0	0.07
"njc108"	0	0.15	0	0.07	0	0	0	0	0.07
"njc109"	3.35	23.8	1.43	11.67	4.25	5.23	6.13	9.63	5.63
"njc110"	0	0.03	0	0	0	0.02	0	0	0
"njc111"	0	0.02	0	0	0	0	0	0	0
"njc112"	0	0	0	0.58	0	0	0	0	0
"njc113"	0	0.22	0	10.43	0	0	0.02	0.02	0.07
"njc114"	3.33	23.5	1.42	0.77	4.23	5.23	6.13	9.43	5.65
"njc115"	1.6	11.77	0.95	0	2.35	4.58	4.87	6.73	0.57
"njc116"	1.33	4.58	0.38	0.15	2.97	2.88	3.03	1.42	0.72
"njc117"	0	0.03	0	0	0	0	0	0	0
"njc118"	0.02	0.35	0	0.58	0.02	0	0	0	0.08
"njc119"	0	0.15	0	0	0	0	0	0	0.08
"njc120"	0	0.03	0	0.07	0	0	0	0	0
"njc121"	1.47	17.4	1.22	1.17	2.35	4.62	5.03	7.95	0.67
"njc122"	0.13	0.48	0.02	0.58	0.03	0.02	0.02	0.13	0.13
"njc123"	0	1.75	0	0	0	0	0	0	0
"njc124"	0.02	0.35	0	0	0.02	0	0	0	0.07
"njc125"	0	0.15	0	0	0	0	0	0	0.07
"njc126"	0.92	7.9	0.27	0	0.05	0.07	0.2	5.48	0.22
