"ID"	"buddy_11"	"joans_11"	"padme_11"	"ginger_14"	"buddy_16"	"buddy_17"	"ivy_17"	"lambchop_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"lambchop_18"	"franc_19"	"ivy_19"	"ginger_2"	"lambchop_2"	"ginger_20"	"goose_20"	"buddy_21"	"joans_21"	"franc_22"	"goose_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"goose_24"	"grogu_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"lambchop_25"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"joans_36"	"franc_37"	"goose_37"	"grogu_37"	"lambchop_37"	"goose_4"	"ginger_41"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"goose_42"	"grogu_42"	"henry_42"	"ivy_42"	"lambchop_42"	"buddy_44"	"franc_44"	"ginger_44"	"goose_44"	"ivy_44"	"joans_44"	"lambchop_44"	"marshmallow_44"	"buddy_45"	"franc_45"	"grogu_45"	"henry_45"	"ivy_45"	"joans_45"	"marshmallow_45"	"buddy_46"	"charles_46"	"goose_46"	"ivy_46"	"joans_46"	"lambchop_46"	"marshmallow_46"	"franc_47"	"ginger_47"	"ivy_47"	"marshmallow_47"	"buddy_48"	"charles_48"	"franc_48"	"grogu_48"	"henry_48"	"ivy_48"	"joans_48"	"lambchop_48"	"marshmallow_48"	"charles_49"	"franc_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"marshmallow_49"	"padme_5"	"buddy_50"	"charles_50"	"franc_50"	"ginger_50"	"grogu_50"	"ivy_50"	"joans_50"	"lambchop_50"	"charles_51"	"franc_51"	"joans_51"	"lambchop_51"	"buddy_52"	"charles_52"	"ginger_52"	"goose_52"	"grogu_52"	"marshmallow_52"	"franc_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"lambchop_55"	"buddy_56"	"franc_56"	"grogu_56"	"joans_56"	"buddy_57"	"joans_57"	"ginger_58"	"goose_58"	"goose_59"	"henry_59"	"padme_6"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"ginger_7"	"padme_7"	"grogu_70"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"
"f__Selenomonadaceae"	877	1083	1437	2328	74	601	508	848	1	966	1099	440	1058	797	618	174	13	561	721	794	1638	745	721	61	411	1173	881	734	764	772	580	759	1263	113	751	1382	1280	1024	975	838	31	712	891	814	554	11	365	0	535	50	903	23	406	607	134	1054	397	542	411	376	1354	818	1674	600	839	547	828	567	1233	1239	530	553	117	346	658	198	1467	709	1177	524	743	1577	1225	292	375	945	439	36	698	828	404	871	572	618	392	1608	1183	1527	551	643	101	289	877	1243	1491	233	1304	583	1209	573	725	343	1299	862	293	1126	849	111	452	739	64	157	2800	312	665	578	712	103	1345	547	492	1094	674	584	994	69	1099	282	1216	291	1036	999	878	101	200	1040	352	544	1263	357
"f__Acidaminococcaceae"	591	374	300	284	64	780	520	0	2	138	947	637	0	728	917	113	203	1474	611	639	486	609	432	416	1148	491	715	608	1217	962	458	756	1732	804	377	1023	757	631	947	545	234	1162	443	711	1027	157	767	0	948	263	1725	55	436	792	366	502	448	1052	863	454	320	477	1649	893	1214	500	756	549	314	339	471	713	298	537	939	913	333	991	575	330	464	177	453	397	406	876	663	114	781	810	926	678	526	167	596	354	955	658	1001	389	581	847	394	706	659	521	607	790	816	735	588	717	498	640	1194	771	642	420	717	633	210	613	1257	699	415	262	713	305	828	833	207	793	724	908	768	398	1174	486	581	492	421	457	330	257	51	406	95	801	701	411
"f__Succinivibrionaceae"	76	778	22	35	10	142	19	0	0	2432	59	85	0	11	81	890	2371	59	259	430	971	28	219	3201	29	14	1003	23	23	343	852	32	156	2418	10	2	34	18	1129	10	3436	47	1556	95	417	3579	604	1	38	3429	484	1	24	562	2508	8	37	60	1340	98	2	220	285	889	158	1650	860	80	809	5	41	762	2871	1257	708	383	24	645	108	2057	71	4	20	1477	2505	75	97	3530	18	31	289	383	764	8	150	3	20	25	494	1529	14	798	19	84	4	2664	57	365	146	41	51	454	65	1175	28	10	422	2955	458	16	3489	37	44	22	56	863	48	3145	344	1466	1458	18	540	546	20	3	224	586	129	18	47	378	25	9	2	12	4	71	63	696
"f__Veillonellaceae"	496	373	37	319	176	652	515	339	2	1	527	204	1587	627	465	56	9	415	1023	274	1	641	583	45	477	332	583	499	453	414	498	649	1176	106	301	456	911	284	214	537	34	450	412	401	459	38	633	17	598	53	1518	23	369	809	222	805	205	401	274	145	1410	1507	1623	248	248	569	265	809	875	1691	448	212	210	176	204	383	1252	285	213	513	1519	1402	455	296	167	95	844	79	986	378	832	1270	853	27	940	1463	863	359	484	549	350	198	1529	498	1096	265	970	157	451	829	701	229	1093	411	237	911	978	117	414	935	67	1401	1770	806	289	240	455	57	347	284	283	1013	1038	797	1010	281	420	338	1014	264	641	815	759	86	35	32	265	905	329	352
"f__Prevotellaceae"	642	606	113	142	1954	338	1128	0	2	1	532	6	0	665	2	63	197	636	379	548	474	822	466	23	507	96	407	714	1006	506	602	481	2	12	451	734	343	487	230	470	32	281	302	682	613	32	495	1	171	21	477	2675	544	473	356	340	4	1356	339	1	230	102	714	854	1062	214	886	660	111	212	2	1225	87	920	1107	986	3	809	1304	182	363	59	4	173	215	455	650	40	220	27	494	383	109	83	524	164	216	20	1062	121	510	166	361	474	203	30	263	1466	952	793	700	1592	777	302	1139	366	537	76	458	670	20	637	527	24	2078	123	18	36	646	335	147	393	277	420	555	529	310	367	732	811	3	342	525	287	2354	111	83	473	784	179
"f__Enterobacteriaceae"	817	325	359	3	0	184	466	2746	3876	280	0	1	1157	333	0	2397	17	5	2	0	1	57	663	1	415	547	0	166	0	90	467	458	3	0	1118	167	2	403	0	243	0	61	0	2	164	0	260	5361	871	0	780	1	1088	53	28	0	1	10	0	2	0	101	126	0	5	24	1	133	14	0	41	0	0	0	3	1	2	0	10	10	3	321	0	787	0	473	0	0	9	1	73	9	610	2039	0	0	13	105	1	165	2010	1150	399	0	1	0	0	0	15	177	0	0	1	3	15	3	1	0	531	0	0	9	0	1	50	1522	0	0	0	1	1090	0	366	80	12	1942	285	1515	30	7	614	311	4930	2193	462	1703	2998	94	2670	676
"f__Lachnospiraceae"	220	259	397	436	43	213	453	0	7	46	148	271	0	494	558	47	15	273	643	138	175	648	625	89	346	424	245	510	269	549	341	289	1256	315	169	3	418	359	245	589	75	539	198	731	495	96	579	1	332	89	1372	48	266	454	257	403	282	125	234	358	183	587	1305	220	222	239	140	517	236	211	418	148	283	171	214	379	380	234	73	227	404	174	161	345	121	453	533	85	731	616	445	237	413	231	768	263	283	297	135	416	190	199	179	446	324	186	413	176	132	339	437	132	82	252	545	468	311	131	351	385	67	283	848	629	84	228	725	128	245	200	173	463	135	410	102	337	300	288	128	400	374	434	265	485	17	342	145	290	60	359
"f__Bacteroidaceae"	82	47	209	139	221	279	174	0	8	21	148	1391	0	119	653	119	835	319	153	184	62	190	138	141	351	667	29	362	118	135	35	202	1091	183	373	150	76	315	102	209	126	418	23	218	84	51	82	2	197	54	159	202	424	70	38	258	2170	142	272	977	227	24	203	158	63	106	115	333	66	127	1127	205	55	284	39	314	217	180	160	45	196	104	971	52	41	359	333	65	160	975	165	53	56	67	255	48	233	652	103	58	120	65	86	288	71	37	160	250	72	151	307	396	38	114	226	117	99	120	188	150	53	279	273	1115	148	71	946	159	100	97	72	81	63	84	306	207	39	27	21	745	300	76	32	283	284	74	9	569	698	731
"f__Sutterellaceae"	79	65	37	113	522	160	82	13	0	95	242	86	102	51	63	79	255	40	127	90	112	111	64	5	79	28	55	148	60	85	60	112	131	3	161	50	66	131	51	195	10	73	146	50	99	9	113	0	156	13	362	280	193	119	32	199	134	96	26	356	63	44	208	88	45	44	97	160	32	64	140	135	6	75	40	240	63	98	183	39	72	81	373	65	73	18	112	12	33	108	148	75	22	9	124	22	64	208	74	36	32	42	60	109	52	8	88	117	96	127	136	44	77	36	168	107	107	16	166	69	4	38	122	132	104	45	118	7	89	70	37	51	120	101	135	29	68	35	127	121	86	103	99	41	412	22	28	59	147	110
"f__Tannerellaceae"	10	13	49	47	95	6	43	0	1	0	39	115	0	60	53	17	38	73	40	6	0	44	52	8	142	48	47	95	61	74	57	148	77	10	143	1	103	152	14	230	10	91	13	65	46	13	59	0	54	7	4	187	154	40	29	240	133	50	63	29	152	13	91	30	20	75	36	120	132	86	51	31	18	137	41	73	17	30	48	23	104	72	67	72	19	80	237	22	118	69	31	28	48	31	160	38	143	49	59	42	40	43	22	119	68	26	102	58	11	34	220	70	12	87	22	91	31	24	133	362	10	56	227	61	46	28	85	27	23	54	22	68	16	40	30	84	25	42	3	317	37	38	101	91	20	26	8	18	20	63
