"ID"	"hera_1"	"buddy_11"	"hera_11"	"jarjarbinks_11"	"padme_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"jarjarbinks_15"	"buddy_16"	"buddy_17"	"iris_17"	"lambchop_17"	"padme_17"	"buddy_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"lambchop_18"	"franc_19"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"goose_20"	"hera_20"	"iris_20"	"buddy_21"	"jarjarbinks_21"	"franc_22"	"goose_22"	"grogu_22"	"hera_22"	"iris_22"	"iris_23"	"franc_24"	"goose_24"	"grogu_24"	"hera_24"	"lambchop_25"	"jarjarbinks_29"	"jarjarbinks_3"	"jarjarbinks_32"	"grogu_36"	"franc_37"	"goose_37"	"grogu_37"	"hera_37"	"lambchop_37"	"goose_4"	"grogu_41"	"hera_41"	"goose_42"	"grogu_42"	"lambchop_42"	"buddy_44"	"franc_44"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"buddy_45"	"franc_45"	"grogu_45"	"hera_45"	"jarjarbinks_45"	"buddy_46"	"goose_46"	"iris_46"	"lambchop_46"	"franc_47"	"buddy_48"	"franc_48"	"grogu_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"lambchop_48"	"franc_49"	"iris_49"	"jarjarbinks_49"	"padme_5"	"buddy_50"	"franc_50"	"grogu_50"	"jarjarbinks_50"	"lambchop_50"	"franc_51"	"lambchop_51"	"buddy_52"	"goose_52"	"grogu_52"	"jarjarbinks_52"	"franc_53"	"hera_53"	"iris_55"	"lambchop_55"	"buddy_56"	"franc_56"	"grogu_56"	"buddy_57"	"goose_58"	"goose_59"	"iris_59"	"padme_6"	"iris_60"	"hera_67"	"franc_68"	"jarjarbinks_68"	"hera_7"	"iris_7"	"padme_7"	"grogu_70"	"franc_9"	"grogu_9"
"njc75"	0	0.05	0	0	0.05	0	0	0	0	0	0	0	0.95	0.03	0	0	0	0	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.36	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0.23	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0.05	0.03	0	0	0	0	0	0	0	0	0	0.05	0	0	0
"njc76"	0	0.05	0	0	0.05	0	0	0	0	0	0	0	0.95	0.03	0	0	0	0	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.36	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0.23	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0.05	0.03	0	0	0	0	0	0	0	0	0	0.05	0	0	0
"njc77"	0	0.05	0	0	0.05	0	0	0	0	0	0	0	0.95	0.03	0	0	0	0	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.36	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0.23	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0.05	0.03	0	0	0	0	0	0	0	0	0	0.05	0	0	0
"njc78"	0	0	0.03	0	0	0	0.03	0.03	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0.01	0	0	0.03	0	0	0	0	0	0.03	0	0	0	0.03	0	0	0.03	0	0	0.03	0	0	0	0	0	0	0	0	0	0.03	0	0.03	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0.05	0	0	0	0	0	0	0	0.05	0	0	0	0.03	0.01	0	0	0	0.05
"njc79"	0.38	0.48	1	3.05	2.13	0.63	28.11	5.36	3.17	0.28	2.93	5.28	2.48	0.23	0	0.6	7.01	0.13	2.38	0.48	1.05	14.8	0.3	0.07	0.68	2.3	1.13	0.05	0.45	0.08	0.15	0.05	0.98	0.35	0.95	0.1	0.2	0.88	1.83	0.05	0.17	0.59	0.22	1.35	0.22	0.12	1.9	0.22	1.75	0.05	1.35	0.28	0.07	0.38	1.35	2.65	0.78	3.5	0.38	0.4	0.08	0.58	1.98	6.75	1.03	0.73	0.28	3.53	0.48	0.55	0.35	0.55	0.1	2.7	2.68	0.12	0.15	0.38	0.5	0.7	1.65	1.95	0.08	0.07	0.23	0.48	1.48	0.2	0.65	0.1	0.2	0.2	0.17	2.25	1.2	0.85	0.33	1.7	0.38	0.3	0.7	0.15	1.23	3.16	8.53	1.38	0.38	0.8	0.38	0.85	4.4	0.28	0.2	1.15
"njc80"	0	0.03	0	0	0.5	0	0	0.05	0.03	0	0	0	0.03	0.73	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0.03	0	0	0	0.03	0	0	0	0	0	0	1.68	0	0	0	0	0	0	0.08	0.03	0	0	0.03	0.03	0	0.03	0.03	0	0	0	0	0.13	0	0.03	0	0	0	0	0	0	0	0	0	0.08	0.05	0	0	0	0.25	0	0.13	0	0.05	0	0	0	0.03	0	0.03	0	0.03	0	0	0.15	0	0	0.08	0	0.03	0	0	0.05	0	0	0	0	0
"njc81"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.03	0	0	0.03	0.03	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0.03	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.05	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"njc82"	0.12	0.38	0.4	1.3	1.78	0.43	9.38	3.68	1.75	0.1	2.15	4.28	0	0.13	0	0.58	5.43	0.18	0	1.53	0.4	12.65	0.8	0.48	0.85	2.08	0.45	0.18	0.98	0.73	0.2	0	2.38	0.98	2.35	0.8	0.68	1.15	0.03	0.1	0.1	0.26	0.35	1.12	0.7	0.28	2.13	0.92	0	0.15	0.98	0.52	0.4	1.2	1.68	1.11	0.18	6.61	2.38	0.5	0.4	2.3	0.82	2.55	0.65	2.18	0.78	8.53	1.13	2.25	0.25	4.73	0.42	1.95	4.28	0.07	0.4	3.18	1.7	0.05	1.83	0.75	2.58	0.5	0.03	0.25	4.68	0.28	1.6	0.35	0.45	0.03	7.65	0.43	1.63	1.1	0.55	1.55	0.5	0.72	0.25	0.52	3.65	3.58	14.28	0.15	0.42	0.48	0.15	1.26	4.85	0.45	0.13	0.4
"njc83"	0	0.03	0	0	0.53	0	0	0.03	0	0	0	0	0.03	0.73	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0.03	0	0	0	0.01	0	0	0	0	0	0	2.24	0	0	0	0	0	0	0.66	0	0	0	0.03	0.03	0	0.03	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0.05	0.03	0	0	0	0.15	0	0.05	0	0.03	0	0	0	0.03	0	0	0	0.03	0	0	0.03	0	0	0.03	0	0	0	0	0.03	0	0.2	0	0	0
"njc84"	0	0.05	0	0	0.05	0	0	0	0	0	0	0	0.95	0.03	0	0	0	0	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0.23	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0.05	0.03	0	0	0	0	0	0	0	0	0	0.05	0	0	0
