Extract_ID	Sample_ID	Extract_Type	Extract_Date	Extracted_By	Extract_Conc_ng_uL	Extract_Kit	Extract_Box	Extract_Notes
DNA1-HAM-1-DRS	HAM-1-DRS	DNA	2023-05-16	SA/AMR	0.245	Quick-DNA Fecal/Soil Microbe	DNA Extracts 1	low
DNA1-HAM-1-MGE	HAM-1-MGE	DNA	2023-05-16	SA/AMR	0	Quick-DNA Fecal/Soil Microbe	DNA Extracts 1	
DNA1-FRA-17-DRS	FRA-17-DRS	DNA	2023-05-16	SA/AMR	0.0669	Quick-DNA Fecal/Soil Microbe	DNA Extracts 1	low
DNA1-FRA-17-MGE	FRA-17-MGE	DNA	2023-05-16	SA/AMR	0	Quick-DNA Fecal/Soil Microbe	DNA Extracts 1	
DNA1-HER-29-DRS	HER-29-DRS	DNA	2023-05-16	SA/AMR	0.0532	Quick-DNA Fecal/Soil Microbe	DNA Extracts 1	
DNA1-HER-29-MGE	HER-29-MGE	DNA	2023-05-16	SA/AMR	0.00197	Quick-DNA Fecal/Soil Microbe	DNA Extracts 1	
DNA1-IVY-43-DRS	IVY-43-DRS	DNA	2023-05-16	SA/AMR	0.0512	Quick-DNA Fecal/Soil Microbe	DNA Extracts 1	
DNA1-IVY-43-MGE	IVY-43-MGE	DNA	2023-05-16	SA/AMR	0	Quick-DNA Fecal/Soil Microbe	DNA Extracts 1	
DNA1-JAR-57-DRS	JAR-57-DRS	DNA	2023-05-16	SA/AMR	0.159	Quick-DNA Fecal/Soil Microbe	DNA Extracts 1	
DNA1-JAR-57-MGE	JAR-57-MGE	DNA	2023-05-16	SA/AMR	0.00233	Quick-DNA Fecal/Soil Microbe	DNA Extracts 1	
DNA2-HAM-1-DRS	HAM-1-DRS	DNA	2023-05-29	SA	0.257	Quick-DNA Fecal/Soil Microbe	DNA Extracts 1	
DNA2-HAM-1-MGE	HAM-1-MGE	DNA	2023-05-29	SA	0.422	Quick-DNA Fecal/Soil Microbe	DNA Extracts 1	
DNA2-FRA-17-DRS	FRA-17-DRS	DNA	2023-05-29	SA	0.189	Quick-DNA Fecal/Soil Microbe	DNA Extracts 1	
DNA2-FRA-17-MGE	FRA-17-MGE	DNA	2023-05-29	SA	0.0965	Quick-DNA Fecal/Soil Microbe	DNA Extracts 1	
DNA2-HER-29-DRS	HER-29-DRS	DNA	2023-05-29	SA	0.24	Quick-DNA Fecal/Soil Microbe	DNA Extracts 1	
DNA2-HER-29-MGE	HER-29-MGE	DNA	2023-05-29	SA	0.459	Quick-DNA Fecal/Soil Microbe	DNA Extracts 1	
DNA2-IVY-43-DRS	IVY-43-DRS	DNA	2023-05-29	SA	0.244	Quick-DNA Fecal/Soil Microbe	DNA Extracts 1	
DNA2-IVY-43-MGE	IVY-43-MGE	DNA	2023-05-29	SA	0.167	Quick-DNA Fecal/Soil Microbe	DNA Extracts 1	
DNA2-JAR-57-DRS	JAR-57-DRS	DNA	2023-05-29	SA	0.6	Quick-DNA Fecal/Soil Microbe	DNA Extracts 1	low
DNA2-JAR-57-MGE	JAR-57-MGE	DNA	2023-05-29	SA	0.187	Quick-DNA Fecal/Soil Microbe	DNA Extracts 1	
DNA3-HAM-1-DRS	HAM-1-DRS	DNA	2023-06-02	SA	3.45	Quick-DNA Fecal/Soil Microbe	DNA Extracts 1	
DNA3-HAM-1-MGE	HAM-1-MGE	DNA	2023-06-02	SA	0.0431	Quick-DNA Fecal/Soil Microbe	DNA Extracts 1	
DNA3-FRA-17-DRS	FRA-17-DRS	DNA	2023-06-02	SA	2.31	Quick-DNA Fecal/Soil Microbe	DNA Extracts 1	
DNA3-FRA-17-MGE	FRA-17-MGE	DNA	2023-06-02	SA	0.0304	Quick-DNA Fecal/Soil Microbe	DNA Extracts 1	
DNA3-HER-29-DRS	HER-29-DRS	DNA	2023-06-02	SA	1.82	Quick-DNA Fecal/Soil Microbe	DNA Extracts 1	
DNA3-HER-29-MGE	HER-29-MGE	DNA	2023-06-02	SA	0.107	Quick-DNA Fecal/Soil Microbe	DNA Extracts 1	
DNA3-IVY-43-DRS	IVY-43-DRS	DNA	2023-06-02	SA	2.17	Quick-DNA Fecal/Soil Microbe	DNA Extracts 1	
DNA3-IVY-43-MGE	IVY-43-MGE	DNA	2023-06-02	SA	0.108	Quick-DNA Fecal/Soil Microbe	DNA Extracts 1	
