Date	Cage	Leftover_Gel_Zupreem	Leftover_Apple	Leftover_Sweet_Potato	Leftover_Eggs	Diet_Notes
2023-03-18	F5	20	0	8	0	
2023-03-18	F6	13	0	2	0	
2023-03-19	B1	0	0	0	0	
2023-03-19	B2	4	0	0	0	
2023-03-19	B3	5	0	4	0	
2023-03-19	B4	2	0	0	0	
2023-03-19	F1	0	0	0	0	
2023-03-19	F2	0	0	2	0	
2023-03-19	F3	10	0	3	0	
2023-03-19	F4	0	0	0	0	
2023-03-19	F5	10	0	3	0	
2023-03-19	F6	0	0	0	0	
2023-03-20	B1	1	0	0	0	
2023-03-20	B2	12	0	0	0	
2023-03-20	B3	0	0	0	0	
2023-03-20	B4	0	0	0	0	
2023-03-20	F1	0	0	0	0	
2023-03-20	F2	0	0	3	0	
2023-03-20	F3	7	0	1	0	
2023-03-20	F4	0	0	0	0	
2023-03-20	F5	3	0	0	0	
2023-03-20	F6	8	0	0	0	
2023-03-21	B1	0	0	3	0	
2023-03-21	B2	12	0	0	0	
2023-03-21	B3	12	1	4	0	
2023-03-21	B4	0	0	2	0	
2023-03-21	F1	0	0	2	0	
2023-03-21	F2	0	0	3	0	
2023-03-21	F3	14	0	2	0	
2023-03-21	F4	0	0	1	0	
2023-03-21	F5	6	0	6	0	
2023-03-21	F6	20	0	1	0	
2023-03-22	B1	1	0	4	0	
2023-03-22	B2	11	1	0	0	
2023-03-22	B3	0	1	4	0	
2023-03-22	B4	0	0	1	0	
2023-03-22	F1	0	0	2	0	
2023-03-22	F2	5	1	4	0	
2023-03-22	F3	13	0	4	0	
2023-03-22	F4	0	0	3	0	
2023-03-22	F5	15	0	8	0	
2023-03-22	F6	5	0	4	0	
2023-03-23	B1	0	0	3	0	
2023-03-23	B2	3	0	0	0	
2023-03-23	B3	9	0	2	0	
2023-03-23	B4	4	0	0	0	
2023-03-23	F1	0	0	0	0	
2023-03-23	F2	0	0	0	0	
2023-03-23	F3	12	0	2	0	
2023-03-23	F4	0	0	0	0	
2023-03-23	F5	19	0	1	0	
2023-03-23	F6	4	0	2	0	
2023-03-24	B1	0	0	0	0	
2023-03-24	B2	8	0	0	0	
2023-03-24	B3	7	0	2	0	
2023-03-24	B4	12	0	3	0	
2023-03-24	F1	0	0	0	0	
2023-03-24	F2	2	0	3	0	
2023-03-24	F3	15	0	1	0	
2023-03-24	F4	0	0	0	0	
2023-03-24	F5	11	0	2	0	
2023-03-24	F6	9	0	1	0	
2023-03-25	B1	2	0	4	0	
2023-03-25	B2	10	0	0	0	
2023-03-25	B3	11	0	3	0	
2023-03-25	B4	5	0	1	0	
2023-03-25	F1	3	0	2	0	
2023-03-25	F2	0	0	2	0	
2023-03-25	F3	4	0	1	0	
2023-03-25	F4	0	0	0	0	
2023-03-25	F5	13	0	6	0	
2023-03-25	F6	0	0	1	0	
2023-03-26	B1	1	0	0	0	
2023-03-26	B2	4	0	0	0	
2023-03-26	B3	5	0	2	0	
2023-03-26	B4	8	0	0	0	
2023-03-26	F1	0	0	0	0	
2023-03-26	F2	0	0	0	0	
2023-03-26	F3	13	0	2	0	
2023-03-26	F4	0	0	0	0	
2023-03-26	F5	10	0	2	0	
2023-03-26	F6	8	0	3	0	
2023-03-27	B1	0	0	0	0	
2023-03-27	B2	2	0	0	0	
2023-03-27	B3	5	0	0	0	
2023-03-27	B4	4	0	0	0	
2023-03-27	F1	0	0	0	0	
2023-03-27	F2	0	0	4	0	
2023-03-27	F3	17	0	2	0	
2023-03-27	F4	0	0	0	0	
2023-03-27	F5	7	0	3	0	
2023-03-27	F6	8	0	1	0	
2023-03-28	B1	6	0	3	0	
2023-03-28	B2	11	0	0	0	
2023-03-28	B3	19	0	4	0	
2023-03-28	B4	8	0	4	0	
2023-03-28	F1	2	0	0	0	
2023-03-28	F2	0	0	1	0	
2023-03-28	F3	20	0	4	0	
2023-03-28	F4	7	0	0	0	
2023-03-28	F5	0	0	2	0	
2023-03-28	F6	11	0	4	0	
2023-03-29	B1	7	0	2	0	
2023-03-29	B2	3	0	0	0	
2023-03-29	B3	9	0	3	0	
2023-03-29	B4	13	0	2	0	
2023-03-29	F1	0	0	0	0	
2023-03-29	F2	0	0	2	0	
2023-03-29	*F3	9	0	0	0	
2023-03-29	F4	4	0	0	0	
2023-03-29	F5	15	0	4	0	
2023-03-29	F6	6	0	3	0	
2023-03-30	B1	10	0	2	0	
2023-03-30	B2	7	0	0	0	
2023-03-30	B3	10	0	4	0	
2023-03-30	B4	4	0	4	0	
2023-03-30	F1	0	0	0	0	
2023-03-30	F2	0	0	0	0	
2023-03-30	*F3	14	0	2	0	
2023-03-30	F4	5	0	0	0	
2023-03-30	F5	4	0	1	0	
2023-03-30	F6	8	0	2	0	
2023-03-31	B1	2	0	0	0	
2023-03-31	B2	3	0	0	0	
2023-03-31	B3	1	0	1	0	
2023-03-31	B4	13	0	2	0	
2023-03-31	F1	0	0	0	0	
2023-03-31	F2	0	0	0	0	
2023-03-31	*F3	7	0	0	0	
2023-03-31	F4	4	0	0	0	
2023-03-31	F5	5	0	3	0	
2023-03-31	F6	3	0	3	0	
2023-04-01	B1	9	0	0	0	
2023-04-01	B2	10	0	0	0	
2023-04-01	B3	10	0	0	0	
2023-04-01	B4	6	0	0	0	
2023-04-01	F1	0	0	0	0	
2023-04-01	F2	2	0	0	0	
2023-04-01	F3	19	0	0	0	
2023-04-01	F4	8	0	0	0	
2023-04-01	F5	20	0	0	1	
2023-04-01	F6	10	0	0	0	
2023-04-02	B1	9	0	0	0	
2023-04-02	B2	4	0	0	0	
2023-04-02	B3	7	0	0	0	
2023-04-02	B4	10	0	0	0	
2023-04-02	F1	0	0	0	0	
2023-04-02	F2	2	0	0	0	
2023-04-02	F3	13	0	0	0	
2023-04-02	F4	12	0	0	0	
2023-04-02	F5	14	0	0	0	
2023-04-02	F6	10	0	0	0	
2023-04-03	B1	14	0	2	0	
2023-04-03	B2	12	0	0	0	
2023-04-03	B3	9	0	2	0	
2023-04-03	B4	14	0	3	0	
2023-04-03	F1	0	0	0	0	
2023-04-03	F2	9	0	0	0	
2023-04-03	F3	14	0	0	0	
2023-04-03	F4	13	0	0	0	
2023-04-03	F5	4	0	0	0	
2023-04-03	F6	8	0	0	0	
2023-04-04	B1	15	0	1	0	
2023-04-04	B2	28	0	0	0	
2023-04-04	B3	11	0	4	0	
2023-04-04	B4	20	0	0	0	
2023-04-04	F1	0	0	0	0	
2023-04-04	F2	18	0	4	0	
2023-04-04	F3	23	0	2	0	
2023-04-04	F4	21	0	0	0	
2023-04-04	F5	2	0	2	0	
2023-04-04	F6	30	0	4	0	
2023-04-05	B1	6	0	4	0	
2023-04-05	B2	7	0	0	0	
2023-04-05	B3	5	0	3	0	
2023-04-05	B4	5	0	4	0	
2023-04-05	F1	0	0	0	0	
2023-04-05	F2	2	0	4	0	
2023-04-05	F3	18	0	1	0	
2023-04-05	F4	10	0	2	0	
2023-04-05	F5	7	0	2	0	
2023-04-05	F6	12	0	3	0	
2023-04-06	B1	?	NA	NA	NA	
2023-04-06	B2	?	NA	NA	NA	
2023-04-06	B3	?	NA	NA	NA	
2023-04-06	B4	?	NA	NA	NA	
2023-04-06	F1	?	NA	NA	NA	
2023-04-06	F2	?	NA	NA	NA	
2023-04-06	F3	?	NA	NA	NA	
2023-04-06	F4	?	NA	NA	NA	
2023-04-06	F5	?	NA	NA	NA	
2023-04-06	F6	?	NA	NA	NA	
2023-04-07	B1	9	0	3	0	
2023-04-07	B2	9	0	0	0	
2023-04-07	B3	11	0	4	0	
2023-04-07	B4	0	0	4	0	
2023-04-07	F1	0	0	0	0	
2023-04-07	F2	0	0	0	0	
2023-04-07	F3	14	0	2	0	
2023-04-07	F4	0	0	0	0	
2023-04-07	F5	3	0	2	0	
2023-04-07	F6	5	0	3	0	
2023-04-08	B1	12	0	0	0	
2023-04-08	B2	13	0	0	0	
2023-04-08	B3	15	0	0	0	
2023-04-08	B4	4	0	0	0	
2023-04-08	F1	0	0	0	0	
2023-04-08	F2	0	0	0	0	
2023-04-08	F3	15	0	0	0	
2023-04-08	F4	6	0	0	0	
2023-04-08	F5	10	0	0	1	
2023-04-08	F6	16	0	0	0	
2023-04-09	B1	3	0	0	0	
2023-04-09	B2	1	0	0	0	
2023-04-09	B3	9	0	0	0	
2023-04-09	B4	5	0	0	0	
2023-04-09	F1	0	0	0	0	
2023-04-09	F2	0	0	0	0	
2023-04-09	F3	15	0	0	0	
2023-04-09	F4	8	0	0	0	
2023-04-09	F5	9	0	0	0	
2023-04-09	F6	12	0	0	0	
2023-04-10	B1	8	0	1	0	
2023-04-10	B2	7	0	0	0	
2023-04-10	B3	2	0	4	0	
2023-04-10	B4	1	0	2	0	
2023-04-10	F1	0	0	0	0	
2023-04-10	F2	0	0	2	0	
2023-04-10	F3	11	0	1	0	
2023-04-10	F4	14	0	1	0	
2023-04-10	F5	2	0	4	0	
2023-04-10	F6	13	0	3	0	
2023-04-11	B1	10	0	3	0	
2023-04-11	B2	9	0	0	0	
2023-04-11	B3	8	0	3	0	
2023-04-11	B4	6	0	3	0	
2023-04-11	F1	0	0	0	0	
2023-04-11	F2	0	0	2	0	
2023-04-11	F3	20	0	3	0	
2023-04-11	F4	2	0	0	0	
2023-04-11	F5	19	0	4	0	
2023-04-11	F6	11	0	4	0	
2023-04-12	B1	8	0	2	0	
2023-04-12	B2	5	0	0	0	
2023-04-12	B3	12	0	4	0	
2023-04-12	B4	6	0	3	0	
2023-04-12	F1	0	0	1	0	
2023-04-12	F2	0	0	2	0	
2023-04-12	F3	13	0	0	0	
2023-04-12	F4	2	0	1	0	
2023-04-12	F5	4	0	2	0	
2023-04-12	F6	12	0	3	0	
2023-04-13	B1	6	0	1	0	
2023-04-13	B2	0	0	0	0	
2023-04-13	B3	8	0	3	0	
2023-04-13	B4	2	0	4	0	
2023-04-13	F1	0	0	0	0	
2023-04-13	F2	0	0	4	0	
2023-04-13	F3	7	0	0	0	
2023-04-13	F4	0	0	1	0	
2023-04-13	F5	14	0	1	0	
2023-04-13	F6	9	0	2	0	
2023-04-14	B1	2	0	2	0	
2023-04-14	B2	9	0	0	0	
2023-04-14	B3	11	0	2	0	
2023-04-14	B4	4	0	3	0	
2023-04-14	F1	0	0	0	0	
