ExtractID	ExtractDate	ExtractedBy	ExtractType	ExtractKit	SampleID	ExtractConcentration	ExtractBox	ExtractNotes
DNA1-JAR-70-MGE	7/21/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	JAR-70-MGE	9.5	DNA Extracts 5	
DNA1-IVY-3-DRS	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	IVY-3-DRS	2.53	DNA Extracts 5	
DNA1-IVY-3-MGE	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	IVY-3-MGE	1.8	DNA Extracts 5	
DNA1-JAR-16-DRS	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	JAR-16-DRS	5.8	DNA Extracts 5	
DNA1-JAR-16-MGE	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	JAR-16-MGE	5.2	DNA Extracts 5	
DNA1-KUB-36-MGE	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	KUB-36-MGE	0.736	DNA Extracts 5	
DNA1-WOL-41-DRS	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	WOL-41-DRS	7.9	DNA Extracts 5	
DNA1-WOL-41-MGE	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	WOL-41-MGE	7.8	DNA Extracts 5	
DNA1-BUD-43-DRS	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	BUD-43-DRS	4.96	DNA Extracts 5	
DNA1-BUD-43-MGE	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	BUD-43-MGE	8.7	DNA Extracts 5	
DNA1-FRA-57-DRS	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	FRA-57-DRS	0.506	DNA Extracts 5	
DNA1-FRA-57-MGE	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	FRA-57-MGE	0.537	DNA Extracts 5	
DNA1-IRI-66-DRS	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	IRI-66-DRS	13	DNA Extracts 5	
DNA1-IRI-66-MGE	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	IRI-66-MGE	3.72	DNA Extracts 5	
DNA1-OPH-70-DRS	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	OPH-70-DRS	13	DNA Extracts 5	
DNA1-OPH-70-MGE	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	OPH-70-MGE	9	DNA Extracts 5	
DNA1-LAM-3-DRS	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	LAM-3-DRS	35	DNA Extracts 5	
DNA1-LAM-3-MGE	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	LAM-3-MGE	9.7	DNA Extracts 5	
DNA1-OPH-16-DRS	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	OPH-16-DRS	34	DNA Extracts 5	
DNA1-OPH-16-MGE	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	OPH-16-MGE	8.1	DNA Extracts 5	
DNA1-KOR-36-MGE	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	KOR-36-MGE	5.3	DNA Extracts 5	
DNA1-IRI-41-DRS	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	IRI-41-DRS	32	DNA Extracts 5	
DNA1-IRI-41-MGE	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	IRI-41-MGE	15	DNA Extracts 5	
DNA1-HEN-43-DRS	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	HEN-43-DRS	0.665	DNA Extracts 5	
DNA1-HEN-43-MGE	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	HEN-43-MGE	6.1	DNA Extracts 5	
DNA1-IVY-57-DRS	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	IVY-57-DRS	11	DNA Extracts 5	
DNA1-IVY-57-MGE	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	IVY-57-MGE	1.35	DNA Extracts 5	
DNA1-CHA-66-DRS	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	CHA-66-DRS	21	DNA Extracts 5	
DNA1-CHA-66-MGE	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	CHA-66-MGE	18	DNA Extracts 5	
DNA1-KUB-70-DRS	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	KUB-70-DRS	18	DNA Extracts 5	
DNA1-KUB-70-MGE	7/25/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	KUB-70-MGE	8.2	DNA Extracts 5	
DNA1-GOO-2-DRS	7/28/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	GOO-2-DRS	9.3	DNA Extracts 5	
DNA1-GOO-2-MGE	7/28/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	GOO-2-MGE	6.1	DNA Extracts 5	
DNA1-KUB-16-DRS	7/28/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	KUB-16-DRS	40	DNA Extracts 5	
DNA1-KUB-16-MGE	7/28/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	KUB-16-MGE	11	DNA Extracts 5	
DNA1-WOL-36-MGE	7/28/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	WOL-36-MGE	0.124	DNA Extracts 5	
DNA1-LAM-41-DRS	7/28/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	LAM-41-DRS	30	DNA Extracts 5	
DNA1-LAM-41-MGE	7/28/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	LAM-41-MGE	2.59	DNA Extracts 5	
DNA1-GIN-43-DRS	7/28/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	GIN-43-DRS	11	DNA Extracts 5	
DNA1-GIN-43-MGE	7/28/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	GIN-43-MGE	9.9	DNA Extracts 5	
DNA1-CHA-57-DRS	7/28/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	CHA-57-DRS	47	DNA Extracts 5	
DNA1-CHA-57-MGE	7/28/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	CHA-57-MGE	5.6	DNA Extracts 5	
DNA1-IVY-66-DRS	7/28/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	IVY-66-DRS	31	DNA Extracts 5	
DNA1-IVY-66-MGE	7/28/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	IVY-66-MGE	0.619	DNA Extracts 5	
DNA1-KOR-70-DRS	7/28/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	KOR-70-DRS	36	DNA Extracts 5	
DNA1-KOR-70-MGE	7/28/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	KOR-70-MGE	9.8	DNA Extracts 5	
DNA1-HAM-4-DRS	8/3/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	HAM-4-DRS	88	DNA Extracts 5	
DNA1-HAM-4-MGE	8/3/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	HAM-4-MGE	13	DNA Extracts 5	
DNA1-KOR-16-DRS	8/3/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	KOR-16-DRS	2.86	DNA Extracts 5	
DNA1-KOR-16-MGE	8/3/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	KOR-16-MGE	2.61	DNA Extracts 5	
DNA1-IRI-36-MGE	8/3/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	IRI-36-MGE	3.81	DNA Extracts 5	
DNA1-GOO-41-DRS	8/3/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	GOO-41-DRS	78	DNA Extracts 5	
DNA1-GOO-41-MGE	8/3/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	GOO-41-MGE	65	DNA Extracts 5	
DNA1-HER-44-DRS	8/3/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	HER-44-DRS	52	DNA Extracts 5	
DNA1-HER-44-MGE	8/3/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	HER-44-MGE	9.9	DNA Extracts 5	
DNA1-MAR-57-DRS	8/3/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	MAR-57-DRS	75	DNA Extracts 5	
DNA1-MAR-57-MGE	8/3/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	MAR-57-MGE	12	DNA Extracts 5	
DNA1-JOA-66-DRS	8/3/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	JOA-66-DRS	52	DNA Extracts 5	
DNA1-JOA-66-MGE	8/3/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	JOA-66-MGE	10	DNA Extracts 5	
DNA1-LAM-70-DRS	8/3/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	LAM-70-DRS	5.7	DNA Extracts 5	
DNA1-LAM-70-MGE	8/3/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	LAM-70-MGE	19	DNA Extracts 5	
DNA1-HER-2-DRS	8/4/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	HER-2-DRS	28	DNA Extracts 5	
DNA1-HER-2-MGE	8/4/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	HER-2-MGE	6	DNA Extracts 5	
DNA1-IRI-16-DRS	8/4/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	IRI-16-DRS	84	DNA Extracts 5	
DNA1-IRI-16-MGE	8/4/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	IRI-16-MGE	6.4	DNA Extracts 5	
DNA1-GOO-36-MGE	8/4/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	GOO-36-MGE	3.38	DNA Extracts 5	
DNA1-FRA-41-DRS	8/4/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	FRA-41-DRS	28	DNA Extracts 5	
DNA1-FRA-41-MGE	8/4/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	FRA-41-MGE	7.2	DNA Extracts 5	
DNA1-HAM-44-DRS	8/4/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	HAM-44-DRS	17	DNA Extracts 5	
DNA1-HAM-44-MGE	8/4/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	HAM-44-MGE	2.42	DNA Extracts 5	
DNA1-JAR-58-DRS	8/4/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	JAR-58-DRS	8.7	DNA Extracts 5	
DNA1-JAR-58-MGE	8/4/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	JAR-58-MGE	5.6	DNA Extracts 5	
DNA1-GIN-66-DRS	8/4/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	GIN-66-DRS	29	DNA Extracts 5	
DNA1-GIN-66-MGE	8/4/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	GIN-66-MGE	8.5	DNA Extracts 6	
DNA1-WOL-70-DRS	8/4/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	WOL-70-DRS	22	DNA Extracts 6	
DNA1-WOL-70-MGE	8/4/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	WOL-70-MGE	9	DNA Extracts 6	
DNA1-JAR-2-DRS	8/8/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	JAR-2-DRS	5.6	DNA Extracts 6	
DNA1-JAR-2-MGE	8/8/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	JAR-2-MGE	5.2	DNA Extracts 6	
DNA1-BUD-16-DRS	8/8/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	BUD-16-DRS	27	DNA Extracts 6	
DNA1-BUD-16-MGE	8/8/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	BUD-16-MGE	0.39	DNA Extracts 6	
DNA1-LAM-36-MGE	8/8/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	LAM-36-MGE	2.84	DNA Extracts 6	
DNA1-IVY-41-DRS	8/8/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	IVY-41-DRS	15	DNA Extracts 6	
DNA1-IVY-41-MGE	8/8/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	IVY-41-MGE	8.1	DNA Extracts 6	
DNA1-OPH-44-DRS	8/8/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	OPH-44-DRS	28	DNA Extracts 6	
DNA1-OPH-44-MGE	8/8/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	OPH-44-MGE	5.8	DNA Extracts 6	
DNA1-HAM-58-DRS	8/8/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	HAM-58-DRS	14	DNA Extracts 6	
DNA1-HAM-58-MGE	8/8/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	HAM-58-MGE	8.8	DNA Extracts 6	
DNA1-HEN-67-DRS	8/8/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	HEN-67-DRS	18	DNA Extracts 6	
DNA1-HEN-67-MGE	8/8/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	HEN-67-MGE	10	DNA Extracts 6	
DNA1-CHA-70-DRS	8/8/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	CHA-70-DRS	44	DNA Extracts 6	
DNA1-CHA-70-MGE	8/8/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	CHA-70-MGE	9.9	DNA Extracts 6	
DNA1-OPH-2-DRS	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	OPH-2-DRS	31	DNA Extracts 6	
DNA1-OPH-2-MGE	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	OPH-2-MGE	3.51	DNA Extracts 6	
DNA1-HAM-17-DRS	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	HAM-17-DRS	50	DNA Extracts 6	
DNA1-HAM-17-MGE	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	HAM-17-MGE	9.5	DNA Extracts 6	
DNA1-FRA-36-MGE	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	FRA-36-MGE	1.1	DNA Extracts 6	
DNA1-CHA-41-DRS	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	CHA-41-DRS	58	DNA Extracts 6	
DNA1-CHA-41-MGE	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	CHA-41-MGE	1.08	DNA Extracts 6	
DNA1-WOL-44-DRS	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	WOL-44-DRS	106	DNA Extracts 6	
DNA1-WOL-44-MGE	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	WOL-44-MGE	7	DNA Extracts 6	
DNA1-HER-58-DRS	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	HER-58-DRS	58	DNA Extracts 6	
DNA1-HER-58-MGE	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	HER-58-MGE	24	DNA Extracts 6	
DNA1-LAM-67-DRS	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	LAM-67-DRS	3.39	DNA Extracts 6	
DNA1-LAM-67-MGE	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	LAM-67-MGE	13	DNA Extracts 6	
DNA1-GOO-70-DRS	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	GOO-70-DRS	81	DNA Extracts 6	
DNA1-GOO-70-MGE	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	GOO-70-MGE	38	DNA Extracts 6	
DNA1-WOL-2-DRS	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	WOL-2-DRS	8.8	DNA Extracts 6	
DNA1-WOL-2-MGE	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	WOL-2-MGE	2.18	DNA Extracts 6	
DNA1-HER-17-DRS	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	HER-17-DRS	48	DNA Extracts 6	
DNA1-HER-17-MGE	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	HER-17-MGE	15	DNA Extracts 6	
DNA1-IVY-36-MGE	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	IVY-36-MGE	3.36	DNA Extracts 6	
DNA1-GRO-41-DRS	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	GRO-41-DRS	107	DNA Extracts 6	
DNA1-GRO-41-MGE	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	GRO-41-MGE	13	DNA Extracts 6	
DNA1-KOR-44-DRS	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	KOR-44-DRS	29	DNA Extracts 6	
DNA1-KOR-44-MGE	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	KOR-44-MGE	11	DNA Extracts 6	
DNA1-OPH-58-DRS	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	OPH-58-DRS	73	DNA Extracts 6	
DNA1-OPH-58-MGE	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	OPH-58-MGE	14	DNA Extracts 6	
DNA1-JAR-67-DRS	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	JAR-67-DRS	23	DNA Extracts 6	
DNA1-JAR-67-MGE	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	JAR-67-MGE	2.2	DNA Extracts 6	
DNA1-BUD-69-DRS	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	BUD-69-DRS	2.98	DNA Extracts 6	
DNA1-BUD-69-MGE	8/18/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	BUD-69-MGE	12	DNA Extracts 6	
DNA1-IRI-2-DRS	8/29/23	SA/GC	DNA	Quick-DNA Fecal/Soil Microbe	IRI-2-DRS	11	DNA Extracts 6	
DNA1-IRI-2-MGE	8/29/23	SA/GC	DNA	Quick-DNA Fecal/Soil Microbe	IRI-2-MGE	15	DNA Extracts 6	
DNA1-WOL-16-DRS	8/29/23	SA/GC	DNA	Quick-DNA Fecal/Soil Microbe	WOL-16-DRS	11	DNA Extracts 6	
DNA1-WOL-16-MGE	8/29/23	SA/GC	DNA	Quick-DNA Fecal/Soil Microbe	WOL-16-MGE	1.78	DNA Extracts 6	
DNA1-CHA-36-MGE	8/29/23	SA/GC	DNA	Quick-DNA Fecal/Soil Microbe	CHA-36-MGE	7.2	DNA Extracts 6	
DNA1-MAR-41-DRS	8/29/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	MAR-41-DRS	21	DNA Extracts 6	
DNA1-MAR-41-MGE	8/29/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	MAR-41-MGE	6.7	DNA Extracts 6	
DNA1-JAR-44-DRS	8/29/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	JAR-44-DRS	56	DNA Extracts 6	
DNA1-JAR-44-MGE	8/29/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	JAR-44-MGE	18	DNA Extracts 6	
DNA1-KUB-58-DRS	8/29/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	KUB-58-DRS	33	DNA Extracts 6	
DNA1-KUB-58-MGE	8/29/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	KUB-58-MGE	4.85	DNA Extracts 6	
DNA1-HAM-67-DRS	8/29/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	HAM-67-DRS	28	DNA Extracts 6	
DNA1-HAM-67-MGE	8/29/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	HAM-67-MGE	19	DNA Extracts 6	
DNA1-MAR-70-DRS	8/29/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	MAR-70-DRS	30	DNA Extracts 6	
DNA1-MAR-70-MGE	8/29/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	MAR-70-MGE	12	DNA Extracts 6	
DNA1-HAM-3-DRS	8/30/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	HAM-3-DRS	1.39	DNA Extracts 6	
DNA1-HAM-3-MGE	8/30/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	HAM-3-MGE	20	DNA Extracts 6	
DNA1-JAR-17-DRS	8/30/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	JAR-17-DRS	51	DNA Extracts 6	
DNA1-JAR-17-MGE	8/30/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	JAR-17-MGE	12	DNA Extracts 6	
DNA1-GRO-36-MGE	8/30/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	GRO-36-MGE	23	DNA Extracts 6	
DNA1-BUD-41-DRS	9/15/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	BUD-41-DRS	3.32	DNA Extracts 6	
DNA1-BUD-41-MGE	9/15/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	BUD-41-MGE	1.3	DNA Extracts 6	
DNA1-KUB-44-DRS	9/15/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	KUB-44-DRS	16	DNA Extracts 6	
DNA1-KUB-44-MGE	9/15/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	KUB-44-MGE	5.1	DNA Extracts 6	
DNA1-KOR-58-DRS	9/15/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	KOR-58-DRS	7	DNA Extracts 6	
DNA1-KOR-58-MGE	9/15/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	KOR-58-MGE	14	DNA Extracts 6	
DNA1-FRA-67-DRS	9/15/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	FRA-67-DRS	6.6	DNA Extracts 7	
DNA1-FRA-67-MGE	9/15/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	FRA-67-MGE	11	DNA Extracts 7	
DNA1-GRO-70-DRS	9/15/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	GRO-70-DRS	21	DNA Extracts 7	
DNA1-GRO-70-MGE	9/15/23	SA	DNA	Quick-DNA Fecal/Soil Microbe	GRO-70-MGE	0.539	DNA Extracts 7	
DNA1-LAM-2-DRS	9/22/23	SA/MB	DNA	Quick-DNA Fecal/Soil Microbe	LAM-2-DRS	6.3	DNA Extracts 7	
DNA1-LAM-2-MGE	9/22/23	SA/MB	DNA	Quick-DNA Fecal/Soil Microbe	LAM-2-MGE	3.22	DNA Extracts 7	
DNA1-JAR-3-DRS	9/22/23	SA/MB	DNA	Quick-DNA Fecal/Soil Microbe	JAR-3-DRS	9.4	DNA Extracts 7	
DNA1-JAR-3-MGE	9/22/23	SA/MB	DNA	Quick-DNA Fecal/Soil Microbe	JAR-3-MGE	7.4	DNA Extracts 7	
DNA1-GOO-4-DRS	9/22/23	SA/MB	DNA	Quick-DNA Fecal/Soil Microbe	GOO-4-DRS	8.9	DNA Extracts 7	
DNA1-GOO-4-MGE	9/22/23	SA/MB	DNA	Quick-DNA Fecal/Soil Microbe	GOO-4-MGE	5.6	DNA Extracts 7	
DNA1-MAR-37-MGE	9/22/23	SA/MB	DNA	Quick-DNA Fecal/Soil Microbe	MAR-37-MGE	19	DNA Extracts 7	
DNA1-IVY-2-DRS	10/4/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	IVY-2-DRS	18	DNA Extracts 7	
DNA1-IVY-2-MGE	10/4/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	IVY-2-MGE	1.24	DNA Extracts 7	
DNA1-JOA-3-DRS	10/4/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	JOA-3-DRS	50	DNA Extracts 7	
DNA1-JOA-3-MGE	10/4/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	JOA-3-MGE	9.6	DNA Extracts 7	
DNA1-PAD-6-DRS	10/4/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	PAD-6-DRS	34	DNA Extracts 7	
DNA1-PAD-6-MGE	10/4/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	PAD-6-MGE	11	DNA Extracts 7	
DNA1-IRI-11-DRS	10/4/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	IRI-11-DRS	52	DNA Extracts 7	
DNA1-IRI-11-MGE	10/4/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	IRI-11-MGE	7.1	DNA Extracts 7	
DNA1-OPH-17-DRS	10/4/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	OPH-17-DRS	29	DNA Extracts 7	
DNA1-OPH-17-MGE	10/4/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	OPH-17-MGE	26	DNA Extracts 7	
DNA1-LAM-18-DRS	10/4/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	LAM-18-DRS	34	DNA Extracts 7	
DNA1-LAM-18-MGE	10/4/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	LAM-18-MGE	4.46	DNA Extracts 7	
DNA1-HER-19-DRS	10/4/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	HER-19-DRS	47	DNA Extracts 7	
DNA1-HER-19-MGE	10/4/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	HER-19-MGE	11	DNA Extracts 7	
DNA1-MAR-36-MGE	10/4/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	MAR-36-MGE	17	DNA Extracts 7	
DNA1-KOR-20-DRS	10/11/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	KOR-20-DRS	10	DNA Extracts 7	
DNA1-KUB-20-MGE	10/11/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	KUB-20-MGE	3.66	DNA Extracts 7	
DNA1-IRI-29-DRS	10/11/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	IRI-29-DRS	47	DNA Extracts 7	
DNA1-IRI-29-MGE	10/11/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	IRI-29-MGE	16	DNA Extracts 7	
DNA1-KUB-30-DRS	10/11/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	KUB-30-DRS	22	DNA Extracts 7	
DNA1-KUB-30-MGE	10/11/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	KUB-30-MGE	1.53	DNA Extracts 7	
DNA1-HAM-31-DRS	10/11/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	HAM-31-DRS	32	DNA Extracts 7	
DNA1-HAM-31-MGE	10/11/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	HAM-31-MGE	13	DNA Extracts 7	
DNA1-JAR-32-DRS	10/11/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	JAR-32-DRS	5.7	DNA Extracts 7	
DNA1-JAR-32-MGE	10/11/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	JAR-32-MGE	5.6	DNA Extracts 7	
DNA1-BUD-36-MGE	10/11/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	BUD-36-MGE	27	DNA Extracts 7	
DNA1-FRA-44-DRS	10/11/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	FRA-44-DRS	9.5	DNA Extracts 7	
DNA1-FRA-44-MGE	10/11/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	FRA-44-MGE	1.47	DNA Extracts 7	
DNA1-IVY-45-DRS	10/11/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	IVY-45-DRS	44	DNA Extracts 7	
DNA1-IVY-45-MGE	10/11/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	IVY-45-MGE	15	DNA Extracts 7	
DNA1-LAM-46-MGE	10/18/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	LAM-46-MGE	15	DNA Extracts 7	
DNA1-CHA-46-MGE	10/18/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	CHA-46-MGE	15	DNA Extracts 7	
DNA1-GRO-47-MGE	10/18/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	GRO-47-MGE	22	DNA Extracts 7	
DNA1-GIN-47-MGE	10/18/23	SA/SK	DNA	Quick-DNA Fecal/Soil Microbe	GIN-47-MGE	2.13	DNA Extracts 7	
