Study_Date	Study_Day	Sample_Time	Subject	Bristol
2020-03-10	1	08:00:00	Hamlet	1
2020-03-11	2	08:00:00	Hamlet	1
2020-03-12	3	08:00:00	Hamlet	1
2023-03-13	4	08:00:00	Hamlet	1
2023-03-14	5	08:30:00	Hamlet	1
2023-03-15	6	08:00:00	Hamlet	2
2023-03-16	7	08:00:00	Hamlet	1
2013-03-18	9	07:30:00	Hamlet	2
2023-03-20	11	07:30:00	Hamlet	2
2023-03-23	14	07:30:00	Hamlet	1
2023-03-24	15	07:30:00	Hamlet	1
2023-03-25	16	07:30:00	Hamlet	2
2023-03-26	17	07:30:00	Hamlet	3
2023-03-27	18	08:00:00	Hamlet	2
2023-03-29	20	07:30:00	Hamlet	1
2023-03-30	21	08:00:00	Hamlet	2
2023-03-31	22	08:00:00	Hamlet	2
2023-04-01	23	08:00:00	Hamlet	5
2023-04-02	24	08:00:00	Hamlet	2
2023-04-03	25	08:00:00	Hamlet	2
2023-04-05	27	08:00:00	Hamlet	1
2023-04-06	28	07:30:00	Hamlet	2
2023-04-07	29	08:00:00	Hamlet	1
2023-04-08	30	07:30:00	Hamlet	1
2023-04-09	31	07:00:00	Hamlet	2
2023-04-10	32	08:00:00	Hamlet	2
2023-04-11	33	08:00:00	Hamlet	2
2023-04-12	34	08:00:00	Hamlet	3
2023-04-13	35	07:30:00	Hamlet	2
2023-04-14	36	07:30:00	Hamlet	3
2023-04-15	37	07:30:00	Hamlet	2
2023-04-16	38	07:30:00	Hamlet	2
2023-04-17	39	08:00:00	Hamlet	2
2023-04-19	41	07:30:00	Hamlet	2
2023-04-21	43	07:00:00	Hamlet	2
2023-04-22	44	07:30:00	Hamlet	2
2023-04-23	45	07:30:00	Hamlet	2
2023-04-24	46	07:30:00	Hamlet	2
2023-04-26	48	07:30:00	Hamlet	2
2023-04-27	49	07:30:00	Hamlet	2
2023-04-28	50	07:30:00	Hamlet	2
2023-04-30	52	07:30:00	Hamlet	2
2023-05-01	53	07:30:00	Hamlet	2
2023-05-03	55	07:30:00	Hamlet	1
2023-05-04	56	07:30:00	Hamlet	2
2023-05-05	57	07:30:00	Hamlet	2
2023-05-06	58	07:30:00	Hamlet	2
2023-05-07	59	07:30:00	Hamlet	2
2023-05-08	60	07:30:00	Hamlet	2
2023-05-09	61	07:30:00	Hamlet	2
2023-05-10	62	07:30:00	Hamlet	2
2023-05-11	63	08:30:00	Hamlet	2
2023-05-12	64	08:00:00	Hamlet	2
2023-05-13	65	08:00:00	Hamlet	2
2023-05-14	66	07:30:00	Hamlet	1
2023-05-15	67	07:30:00	Hamlet	2
2023-05-16	68	07:30:00	Hamlet	2
2023-05-17	69	07:30:00	Hamlet	2
2023-05-18	70	08:00:00	Hamlet	2
2020-03-10	1	08:00:00	Hera	1
2020-03-11	2	08:00:00	Hera	2
2023-03-13	4	08:00:00	Hera	1
2023-03-16	7	08:00:00	Hera	2
2023-03-18	9	07:30:00	Hera	2
2023-03-20	11	07:30:00	Hera	2
2023-03-23	14	07:30:00	Hera	1
2023-03-24	15	07:30:00	Hera	1
2023-03-25	16	07:30:00	Hera	2
2023-03-26	17	07:30:00	Hera	2
2023-03-27	18	08:00:00	Hera	3
2023-03-28	19	08:00:00	Hera	2
2023-03-29	20	07:30:00	Hera	2
2023-03-30	21	08:00:00	Hera	2
2023-03-31	22	08:00:00	Hera	2
2023-04-01	23	08:00:00	Hera	2
2023-04-02	24	08:00:00	Hera	3
2023-04-03	25	08:00:00	Hera	3
2023-04-05	27	08:00:00	Hera	1
2023-04-06	28	07:30:00	Hera	2
2023-04-07	29	08:00:00	Hera	3
2023-04-08	30	07:30:00	Hera	1
2023-04-09	31	07:00:00	Hera	2
2023-04-10	32	08:00:00	Hera	2
2023-04-11	33	08:00:00	Hera	2
2023-04-12	34	08:00:00	Hera	2
2023-04-13	35	07:30:00	Hera	1
2023-04-14	36	07:30:00	Hera	2
2023-04-15	37	07:30:00	Hera	2
2023-04-16	38	07:30:00	Hera	2
2023-04-17	39	08:00:00	Hera	3
2023-04-19	41	07:30:00	Hera	2
2023-04-21	43	07:00:00	Hera	2
2023-04-22	44	07:30:00	Hera	2
2023-04-23	45	07:30:00	Hera	2
2023-04-24	46	07:30:00	Hera	2
2023-04-26	48	07:30:00	Hera	2
2023-04-27	49	07:30:00	Hera	2
2023-04-28	50	07:30:00	Hera	3
2023-04-30	52	07:30:00	Hera	2
2023-05-01	53	07:30:00	Hera	3
2023-05-03	55	07:30:00	Hera	2
2023-05-04	56	07:30:00	Hera	2
2023-05-05	57	07:30:00	Hera	2
2023-05-06	58	07:30:00	Hera	2
2023-05-07	59	07:30:00	Hera	2
2023-05-08	60	07:30:00	Hera	2
2023-05-09	61	07:30:00	Hera	2
2023-05-10	62	07:30:00	Hera	2
2023-05-11	63	08:30:00	Hera	3
2023-05-12	64	08:00:00	Hera	3
2023-05-13	65	08:00:00	Hera	2
2023-05-14	66	07:30:00	Hera	2
2023-05-15	67	07:30:00	Hera	2
2023-05-16	68	07:30:00	Hera	2
2023-05-17	69	07:30:00	Hera	2
2023-05-18	70	08:00:00	Hera	2
2020-03-10	1	08:00:00	Iris	2
2020-03-11	2	08:00:00	Iris	1
2020-03-12	3	08:00:00	Iris	2
2023-03-13	4	08:00:00	Iris	2
2023-03-16	7	08:00:00	Iris	2
2023-03-18	9	07:30:00	Iris	2
2023-03-20	11	07:30:00	Iris	1
2023-03-23	14	07:30:00	Iris	2
2023-03-24	15	07:30:00	Iris	2
2023-03-25	16	07:30:00	Iris	2
2023-03-26	17	07:30:00	Iris	3
2023-03-27	18	08:00:00	Iris	2
2023-03-28	19	08:00:00	Iris	3
2023-03-29	20	07:30:00	Iris	2
2023-03-30	21	08:00:00	Iris	3
2023-03-31	22	08:00:00	Iris	3
2023-04-01	23	08:00:00	Iris	3
2023-04-02	24	08:00:00	Iris	3
2023-04-03	25	08:00:00	Iris	3
2023-04-05	27	08:00:00	Iris	3
2023-04-06	28	07:30:00	Iris	3
2023-04-07	29	08:00:00	Iris	3
2023-04-08	30	07:30:00	Iris	3
2023-04-09	31	07:00:00	Iris	2
2023-04-10	32	08:00:00	Iris	2
2023-04-12	34	08:00:00	Iris	2
2023-04-13	35	07:30:00	Iris	2
2023-04-14	36	07:30:00	Iris	3
2023-04-15	37	07:30:00	Iris	3
2023-04-16	38	07:30:00	Iris	3
2023-04-17	39	08:00:00	Iris	2
2023-04-19	41	07:30:00	Iris	2
2023-04-19	41	07:30:00	Iris	2
2023-04-21	43	07:00:00	Iris	2
2023-04-22	44	07:30:00	Iris	2
2023-04-23	45	07:30:00	Iris	2
2023-04-24	46	07:30:00	Iris	3
2023-04-26	48	07:30:00	Iris	3
2023-04-27	49	07:30:00	Iris	3
2023-04-28	50	07:30:00	Iris	3
2023-04-30	52	07:30:00	Iris	2
2023-05-01	53	07:30:00	Iris	3
2023-05-03	55	07:30:00	Iris	3
2023-05-04	56	07:30:00	Iris	3
2023-05-05	57	07:30:00	Iris	3
2023-05-06	58	07:30:00	Iris	3
2023-05-07	59	07:30:00	Iris	3
2023-05-08	60	07:30:00	Iris	3
2023-05-09	61	07:30:00	Iris	3
2023-05-10	62	07:30:00	Iris	2
2023-05-11	63	08:30:00	Iris	2
2023-05-12	64	08:00:00	Iris	3
2023-05-13	65	08:00:00	Iris	3
2023-05-14	66	07:30:00	Iris	2
2023-05-15	67	07:30:00	Iris	3
2023-05-16	68	07:30:00	Iris	2
2023-05-17	69	07:30:00	Iris	3
2023-05-18	70	08:00:00	Iris	3
2020-03-10	1	08:00:00	JarJarBinks	3
2020-03-11	2	08:00:00	JarJarBinks	3
2020-03-12	3	08:00:00	JarJarBinks	1
2023-03-13	4	08:00:00	JarJarBinks	2
2023-03-16	7	08:00:00	JarJarBinks	3
2023-03-18	9	07:30:00	JarJarBinks	1
2023-03-20	11	07:30:00	JarJarBinks	1
2023-03-23	14	07:30:00	JarJarBinks	1
2023-03-24	15	07:30:00	JarJarBinks	1
2023-03-25	16	07:30:00	JarJarBinks	2
2023-03-26	17	07:30:00	JarJarBinks	1
2023-03-27	18	08:00:00	JarJarBinks	3
2023-03-29	20	07:30:00	JarJarBinks	1
2023-03-30	21	08:00:00	JarJarBinks	2
2023-03-31	22	08:00:00	JarJarBinks	2
2023-04-01	23	08:00:00	JarJarBinks	2
2023-04-02	24	08:00:00	JarJarBinks	3
2023-04-03	25	08:00:00	JarJarBinks	2
2023-04-05	27	08:00:00	JarJarBinks	3
2023-04-06	28	07:30:00	JarJarBinks	3
2023-04-07	29	08:00:00	JarJarBinks	3
2023-04-08	30	07:30:00	JarJarBinks	3
2023-04-09	31	07:00:00	JarJarBinks	2
2023-04-10	32	08:00:00	JarJarBinks	2
2023-04-11	33	08:00:00	JarJarBinks	2
2023-04-12	34	08:00:00	JarJarBinks	3
2023-04-13	35	07:30:00	JarJarBinks	2
2023-04-14	36	07:30:00	JarJarBinks	2
2023-04-15	37	07:30:00	JarJarBinks	2
2023-04-16	38	07:30:00	JarJarBinks	2
2023-04-17	39	08:00:00	JarJarBinks	2
2023-04-19	41	07:30:00	JarJarBinks	2
2023-04-21	43	07:00:00	JarJarBinks	2
2023-04-22	44	07:30:00	JarJarBinks	2
2023-04-23	45	07:30:00	JarJarBinks	1
2023-04-24	46	07:30:00	JarJarBinks	2
2023-04-26	48	07:30:00	JarJarBinks	2
2023-04-27	49	07:30:00	JarJarBinks	3
2023-04-28	50	07:30:00	JarJarBinks	3
2023-04-30	52	07:30:00	JarJarBinks	2
2023-05-01	53	07:30:00	JarJarBinks	3
2023-05-03	55	07:30:00	JarJarBinks	2
2023-05-04	56	07:30:00	JarJarBinks	2
2023-05-05	57	07:30:00	JarJarBinks	2
2023-05-06	58	07:30:00	JarJarBinks	3
2023-05-07	59	07:30:00	JarJarBinks	3
2023-05-08	60	07:30:00	JarJarBinks	2
2023-05-09	61	07:30:00	JarJarBinks	3
2023-05-10	62	07:30:00	JarJarBinks	2
2023-05-11	63	08:30:00	JarJarBinks	3
2023-05-12	64	08:00:00	JarJarBinks	2
2023-05-13	65	08:00:00	JarJarBinks	3
2023-05-14	66	07:30:00	JarJarBinks	3
2023-05-15	67	07:30:00	JarJarBinks	2
2023-05-16	68	07:30:00	JarJarBinks	2
2023-05-17	69	07:30:00	JarJarBinks	2
2023-05-18	70	08:00:00	JarJarBinks	3
2020-03-12	3	08:00:00	Korra	2
2023-03-13	4	08:00:00	Korra	2
2023-03-15	6	08:00:00	Korra	4
2023-03-18	9	07:30:00	Korra	2
2023-03-20	11	07:30:00	Korra	1
2023-03-23	14	07:30:00	Korra	1
2023-03-24	15	07:30:00	Korra	3
2023-03-25	16	07:30:00	Korra	3
2023-03-26	17	07:30:00	Korra	2
2023-03-27	18	08:00:00	Korra	3
2023-03-29	20	07:30:00	Korra	3
2023-03-30	21	08:00:00	Korra	2
2023-03-31	22	08:00:00	Korra	3
2023-04-01	23	08:00:00	Korra	3
2023-04-02	24	08:00:00	Korra	1
2023-04-03	25	08:00:00	Korra	2
2023-04-05	27	08:00:00	Korra	2
2023-04-06	28	07:30:00	Korra	3
2023-04-07	29	08:00:00	Korra	3
2023-04-08	30	07:30:00	Korra	3
2023-04-09	31	07:00:00	Korra	3
2023-04-10	32	08:00:00	Korra	3
2023-04-11	33	08:00:00	Korra	2
2023-04-12	34	08:00:00	Korra	2
2023-04-13	35	07:30:00	Korra	2
2023-04-14	36	07:30:00	Korra	3
2023-04-15	37	07:30:00	Korra	2
2023-04-16	38	07:30:00	Korra	2
2023-04-17	39	08:00:00	Korra	2
2023-04-19	41	07:30:00	Korra	3
2023-04-21	43	07:00:00	Korra	3
2023-04-22	44	07:30:00	Korra	3
2023-04-23	45	07:30:00	Korra	3
2023-04-24	46	07:30:00	Korra	3
2023-04-26	48	07:30:00	Korra	3
2023-04-27	49	07:30:00	Korra	3
2023-04-28	50	07:30:00	Korra	3
2023-04-30	52	07:30:00	Korra	3
2023-05-01	53	07:30:00	Korra	3
2023-05-03	55	07:30:00	Korra	3
2023-05-04	56	07:30:00	Korra	3
2023-05-05	57	07:30:00	Korra	3
2023-05-06	58	07:30:00	Korra	3
2023-05-07	59	07:30:00	Korra	3
2023-05-08	60	07:30:00	Korra	3
2023-05-09	61	07:30:00	Korra	3
2023-05-10	62	07:30:00	Korra	3
2023-05-11	63	08:30:00	Korra	3
2023-05-12	64	08:00:00	Korra	3
2023-05-13	65	08:00:00	Korra	3
2023-05-14	66	07:30:00	Korra	3
2023-05-15	67	07:30:00	Korra	3
2023-05-16	68	07:30:00	Korra	3
2023-05-17	69	07:30:00	Korra	3
2023-05-18	70	08:00:00	Korra	3
2020-03-12	3	08:00:00	Kubo	1
2020-03-12	3	08:00:00	Kubo	1
2023-03-13	4	08:00:00	Kubo	1
2023-03-18	9	07:30:00	Kubo	1
2023-03-20	11	07:30:00	Kubo	1
2023-03-23	14	07:30:00	Kubo	2
2023-03-24	15	07:30:00	Kubo	2
2023-03-25	16	07:30:00	Kubo	3
2023-03-26	17	07:30:00	Kubo	1
2023-03-27	18	08:00:00	Kubo	2
2023-03-29	20	07:30:00	Kubo	2
2023-03-30	21	08:00:00	Kubo	2
2023-03-31	22	08:00:00	Kubo	2
2023-04-02	24	08:00:00	Kubo	3
2023-04-03	25	08:00:00	Kubo	2
2023-04-05	27	08:00:00	Kubo	3
2023-04-06	28	07:30:00	Kubo	1
2023-04-07	29	08:00:00	Kubo	2
2023-04-08	30	07:30:00	Kubo	2
2023-04-09	31	07:00:00	Kubo	2
2023-04-10	32	08:00:00	Kubo	2
2023-04-11	33	08:00:00	Kubo	3
2023-04-12	34	08:00:00	Kubo	2
2023-04-13	35	07:30:00	Kubo	2
2023-04-14	36	07:30:00	Kubo	2
2023-04-15	37	07:30:00	Kubo	2
2023-04-16	38	07:30:00	Kubo	2
2023-04-17	39	08:00:00	Kubo	2
2023-04-19	41	07:30:00	Kubo	2
2023-04-21	43	07:00:00	Kubo	2
2023-04-22	44	07:30:00	Kubo	3
2023-04-23	45	07:30:00	Kubo	1
2023-04-24	46	07:30:00	Kubo	2
2023-04-26	48	07:30:00	Kubo	2
2023-04-27	49	07:30:00	Kubo	2
2023-04-28	50	07:30:00	Kubo	2
2023-04-30	52	07:30:00	Kubo	2
2023-05-01	53	07:30:00	Kubo	2
2023-05-03	55	07:30:00	Kubo	2
2023-05-04	56	07:30:00	Kubo	2
2023-05-05	57	07:30:00	Kubo	2
2023-05-06	58	07:30:00	Kubo	2
2023-05-06	58	07:30:00	Kubo	2
2023-05-07	59	07:30:00	Kubo	2
2023-05-08	60	07:30:00	Kubo	2
2023-05-09	61	07:30:00	Kubo	3
2023-05-10	62	07:30:00	Kubo	2
2023-05-11	63	08:30:00	Kubo	2
2023-05-12	64	08:00:00	Kubo	3
2023-05-13	65	08:00:00	Kubo	2
2023-05-14	66	07:30:00	Kubo	2
2023-05-15	67	07:30:00	Kubo	2
2023-05-16	68	07:30:00	Kubo	2
2023-05-17	69	07:30:00	Kubo	2
2023-05-18	70	08:00:00	Kubo	2
2020-03-11	2	08:00:00	Ophelia	1
2020-03-12	3	08:00:00	Ophelia	1
2023-03-13	4	08:00:00	Ophelia	1
2023-03-15	6	08:00:00	Ophelia	1
2023-03-16	7	08:00:00	Ophelia	1
2023-03-18	9	07:30:00	Ophelia	1
2023-03-20	11	07:30:00	Ophelia	2
2023-03-23	14	07:30:00	Ophelia	2
2023-03-24	15	07:30:00	Ophelia	1
2023-03-25	16	07:30:00	Ophelia	1
2023-03-26	17	07:30:00	Ophelia	2
2023-03-27	18	08:00:00	Ophelia	2
2023-03-28	19	08:00:00	Ophelia	2
2023-03-29	20	07:30:00	Ophelia	1
2023-03-30	21	08:00:00	Ophelia	1
2023-03-31	22	08:00:00	Ophelia	1
2023-04-02	24	08:00:00	Ophelia	1
2023-04-03	25	08:00:00	Ophelia	1
2023-04-05	27	08:00:00	Ophelia	3
2023-04-06	28	07:30:00	Ophelia	2
2023-04-07	29	08:00:00	Ophelia	1
2023-04-08	30	07:30:00	Ophelia	1
2023-04-09	31	07:00:00	Ophelia	1
2023-04-10	32	08:00:00	Ophelia	1
2023-04-11	33	08:00:00	Ophelia	2
2023-04-12	34	08:00:00	Ophelia	1
2023-04-13	35	07:30:00	Ophelia	1
2023-04-14	36	07:30:00	Ophelia	1
2023-04-15	37	07:30:00	Ophelia	1
2023-04-16	38	07:30:00	Ophelia	1
2023-04-17	39	08:00:00	Ophelia	1
2023-04-19	41	07:30:00	Ophelia	1
2023-04-21	43	07:00:00	Ophelia	2
2023-04-22	44	07:30:00	Ophelia	2
2023-04-23	45	07:30:00	Ophelia	2
2023-04-24	46	07:30:00	Ophelia	1
2023-04-26	48	07:30:00	Ophelia	1
