Date	Cage	Gel-Zupreem	Apple	Sweet_Potato	Eggs	Diet_Notes
3/17/23	F1	0	0	0	0	
3/17/23	F2	9	0	2	0	
3/17/23	F3	7	0	1	0	
3/17/23	F4	0	0	1	0	
3/17/23	F5	0	0	0	0	
3/17/23	F6	13	0	0	0	
3/18/23	B1	0	0	2	0	
3/18/23	B2	7	0	0	0	
3/18/23	B3	6	0	3	0	
3/18/23	B4	0	0	3	0	
3/18/23	F1	0	0	1	0	
3/18/23	F2	7	0	4	0	
3/18/23	F3	14	0	4	0	
3/18/23	F4	1	0	0	0	
3/18/23	F5	20	0	8	0	
3/18/23	F6	13	0	2	0	
3/19/23	B1	0	0	0	0	
3/19/23	B2	4	0	0	0	
3/19/23	B3	5	0	4	0	
3/19/23	B4	2	0	0	0	
3/19/23	F1	0	0	0	0	
3/19/23	F2	0	0	2	0	
3/19/23	F3	10	0	3	0	
3/19/23	F4	0	0	0	0	
3/19/23	F5	10	0	3	0	
3/19/23	F6	0	0	0	0	
3/20/23	B1	1	0	0	0	
3/20/23	B2	12	0	0	0	
3/20/23	B3	0	0	0	0	
3/20/23	B4	0	0	0	0	
3/20/23	F1	0	0	0	0	
3/20/23	F2	0	0	3	0	
3/20/23	F3	7	0	1	0	
3/20/23	F4	0	0	0	0	
3/20/23	F5	3	0	0	0	
3/20/23	F6	8	0	0	0	
3/21/23	B1	0	0	3	0	
3/21/23	B2	12	0	0	0	
3/21/23	B3	12	1	4	0	
3/21/23	B4	0	0	2	0	
3/21/23	F1	0	0	2	0	
3/21/23	F2	0	0	3	0	
3/21/23	F3	14	0	2	0	
3/21/23	F4	0	0	1	0	
3/21/23	F5	6	0	6	0	
3/21/23	F6	20	0	1	0	
3/22/23	B1	1	0	4	0	
3/22/23	B2	11	1	0	0	
3/22/23	B3	0	1	4	0	
3/22/23	B4	0	0	1	0	
3/22/23	F1	0	0	2	0	
3/22/23	F2	5	1	4	0	
3/22/23	F3	13	0	4	0	
3/22/23	F4	0	0	3	0	
3/22/23	F5	15	0	8	0	
3/22/23	F6	5	0	4	0	
3/23/23	B1	0	0	3	0	
3/23/23	B2	3	0	0	0	
3/23/23	B3	9	0	2	0	
3/23/23	B4	4	0	0	0	
3/23/23	F1	0	0	0	0	
3/23/23	F2	0	0	0	0	
3/23/23	F3	12	0	2	0	
3/23/23	F4	0	0	0	0	
3/23/23	F5	19	0	1	0	
3/23/23	F6	4	0	2	0	
3/24/23	B1	0	0	0	0	
3/24/23	B2	8	0	0	0	
3/24/23	B3	7	0	2	0	
3/24/23	B4	12	0	3	0	
3/24/23	F1	0	0	0	0	
3/24/23	F2	2	0	3	0	
3/24/23	F3	15	0	1	0	
3/24/23	F4	0	0	0	0	
3/24/23	F5	11	0	2	0	
3/24/23	F6	9	0	1	0	
3/25/23	B1	2	0	4	0	
3/25/23	B2	10	0	0	0	
3/25/23	B3	11	0	3	0	
3/25/23	B4	5	0	1	0	
3/25/23	F1	3	0	2	0	
3/25/23	F2	0	0	2	0	
3/25/23	F3	4	0	1	0	
3/25/23	F4	0	0	0	0	
3/25/23	F5	13	0	6	0	
3/25/23	F6	0	0	1	0	
3/26/23	B1	1	0	0	0	
3/26/23	B2	4	0	0	0	
3/26/23	B3	5	0	2	0	
3/26/23	B4	8	0	0	0	
3/26/23	F1	0	0	0	0	
3/26/23	F2	0	0	0	0	
3/26/23	F3	13	0	2	0	
3/26/23	F4	0	0	0	0	
3/26/23	F5	10	0	2	0	
3/26/23	F6	8	0	3	0	
3/27/23	B1	0	0	0	0	
3/27/23	B2	2	0	0	0	
3/27/23	B3	5	0	0	0	
3/27/23	B4	4	0	0	0	
3/27/23	F1	0	0	0	0	
3/27/23	F2	0	0	4	0	
3/27/23	F3	17	0	2	0	
3/27/23	F4	0	0	0	0	
3/27/23	F5	7	0	3	0	
3/27/23	F6	8	0	1	0	
3/28/23	B1	6	0	3	0	
3/28/23	B2	11	0	0	0	
3/28/23	B3	19	0	4	0	
3/28/23	B4	8	0	4	0	
3/28/23	F1	2	0	0	0	
3/28/23	F2	0	0	1	0	
3/28/23	F3	20	0	4	0	
3/28/23	F4	7	0	0	0	
3/28/23	F5	0	0	2	0	
3/28/23	F6	11	0	4	0	
3/29/23	B1	7	0	2	0	
3/29/23	B2	3	0	0	0	
3/29/23	B3	9	0	3	0	
3/29/23	B4	13	0	2	0	
3/29/23	F1	0	0	0	0	
3/29/23	F2	0	0	2	0	
3/29/23	*F3	9	0	0	0	
3/29/23	F4	4	0	0	0	
3/29/23	F5	15	0	4	0	
3/29/23	F6	6	0	3	0	
3/30/23	B1	10	0	2	0	
3/30/23	B2	7	0	0	0	
3/30/23	B3	10	0	4	0	
3/30/23	B4	4	0	4	0	
3/30/23	F1	0	0	0	0	
3/30/23	F2	0	0	0	0	
3/30/23	*F3	14	0	2	0	
3/30/23	F4	5	0	0	0	
3/30/23	F5	4	0	1	0	
3/30/23	F6	8	0	2	0	
3/31/23	B1	2	0	0	0	
3/31/23	B2	3	0	0	0	
3/31/23	B3	1	0	1	0	
3/31/23	B4	13	0	2	0	
3/31/23	F1	0	0	0	0	
3/31/23	F2	0	0	0	0	
3/31/23	*F3	7	0	0	0	
3/31/23	F4	4	0	0	0	
3/31/23	F5	5	0	3	0	
3/31/23	F6	3	0	3	0	
4/1/23	B1	9	0	0	0	
4/1/23	B2	10	0	0	0	
4/1/23	B3	10	0	0	0	
4/1/23	B4	6	0	0	0	
4/1/23	F1	0	0	0	0	
4/1/23	F2	2	0	0	0	
4/1/23	F3	19	0	0	0	
4/1/23	F4	8	0	0	0	
4/1/23	F5	20	0	0	1	
4/1/23	F6	10	0	0	0	
4/2/23	B1	9	0	0	0	
4/2/23	B2	4	0	0	0	
4/2/23	B3	7	0	0	0	
4/2/23	B4	10	0	0	0	
4/2/23	F1	0	0	0	0	
4/2/23	F2	2	0	0	0	
4/2/23	F3	13	0	0	0	
4/2/23	F4	12	0	0	0	
4/2/23	F5	14	0	0	0	
4/2/23	F6	10	0	0	0	
4/3/23	B1	14	0	2	0	
4/3/23	B2	12	0	0	0	
4/3/23	B3	9	0	2	0	
4/3/23	B4	14	0	3	0	
4/3/23	F1	0	0	0	0	
4/3/23	F2	9	0	0	0	
4/3/23	F3	14	0	0	0	
4/3/23	F4	13	0	0	0	
4/3/23	F5	4	0	0	0	
4/3/23	F6	8	0	0	0	
4/4/23	B1	15	0	1	0	
4/4/23	B2	28	0	0	0	
4/4/23	B3	11	0	4	0	
4/4/23	B4	20	0	0	0	
4/4/23	F1	0	0	0	0	
4/4/23	F2	18	0	4	0	
4/4/23	F3	23	0	2	0	
4/4/23	F4	21	0	0	0	
4/4/23	F5	2	0	2	0	
4/4/23	F6	30	0	4	0	
4/5/23	B1	6	0	4	0	
4/5/23	B2	7	0	0	0	
4/5/23	B3	5	0	3	0	
4/5/23	B4	5	0	4	0	
4/5/23	F1	0	0	0	0	
4/5/23	F2	2	0	4	0	
4/5/23	F3	18	0	1	0	
4/5/23	F4	10	0	2	0	
4/5/23	F5	7	0	2	0	
4/5/23	F6	12	0	3	0	
4/6/23	B1	?				
4/6/23	B2	?				
4/6/23	B3	?				
4/6/23	B4	?				
4/6/23	F1	?				
4/6/23	F2	?				
4/6/23	F3	?				
4/6/23	F4	?				
4/6/23	F5	?				
4/6/23	F6	?				
4/7/23	B1	9	0	3	0	
4/7/23	B2	9	0	0	0	
4/7/23	B3	11	0	4	0	
4/7/23	B4	0	0	4	0	
4/7/23	F1	0	0	0	0	
4/7/23	F2	0	0	0	0	
4/7/23	F3	14	0	2	0	
4/7/23	F4	0	0	0	0	
4/7/23	F5	3	0	2	0	
4/7/23	F6	5	0	3	0	
4/8/23	B1	12	0	0	0	
4/8/23	B2	13	0	0	0	
4/8/23	B3	15	0	0	0	
4/8/23	B4	4	0	0	0	
4/8/23	F1	0	0	0	0	
4/8/23	F2	0	0	0	0	
4/8/23	F3	15	0	0	0	
4/8/23	F4	6	0	0	0	
4/8/23	F5	10	0	0	1	
4/8/23	F6	16	0	0	0	
4/9/23	B1	3	0	0	0	
4/9/23	B2	1	0	0	0	
4/9/23	B3	9	0	0	0	
4/9/23	B4	5	0	0	0	
4/9/23	F1	0	0	0	0	
4/9/23	F2	0	0	0	0	
4/9/23	F3	15	0	0	0	
4/9/23	F4	8	0	0	0	
4/9/23	F5	9	0	0	0	
4/9/23	F6	12	0	0	0	
4/10/23	B1	8	0	1	0	
4/10/23	B2	7	0	0	0	
4/10/23	B3	2	0	4	0	
4/10/23	B4	1	0	2	0	
4/10/23	F1	0	0	0	0	
4/10/23	F2	0	0	2	0	
4/10/23	F3	11	0	1	0	
4/10/23	F4	14	0	1	0	
4/10/23	F5	2	0	4	0	
4/10/23	F6	13	0	3	0	
4/11/23	B1	10	0	3	0	
4/11/23	B2	9	0	0	0	
4/11/23	B3	8	0	3	0	
4/11/23	B4	6	0	3	0	
4/11/23	F1	0	0	0	0	
4/11/23	F2	0	0	2	0	
4/11/23	F3	20	0	3	0	
4/11/23	F4	2	0	0	0	
4/11/23	F5	19	0	4	0	
4/11/23	F6	11	0	4	0	
4/12/23	B1	8	0	2	0	
4/12/23	B2	5	0	0	0	
4/12/23	B3	12	0	4	0	
4/12/23	B4	6	0	3	0	
4/12/23	F1	0	0	1	0	
4/12/23	F2	0	0	2	0	
4/12/23	F3	13	0	0	0	
4/12/23	F4	2	0	1	0	
4/12/23	F5	4	0	2	0	
4/12/23	F6	12	0	3	0	
4/13/23	B1	6	0	1	0	
4/13/23	B2	0	0	0	0	
4/13/23	B3	8	0	3	0	
4/13/23	B4	2	0	4	0	
4/13/23	F1	0	0	0	0	
4/13/23	F2	0	0	4	0	
