"","buddy_16","buddy_17","ivy_17","padme_17","buddy_18","ginger_18","ivy_18","franc_19","ivy_19","ginger_20","buddy_21","joans_21","franc_22","grogu_22","henry_22","joans_22","marshmallow_22","franc_24","ginger_24","grogu_24","henry_24","ivy_24","marshmallow_24","henry_25","ophelia_43","goose_44","iris_44","jarjarbinks_44","lambchop_44","hamlet_45","hera_45","jarjarbinks_45","korra_45","ophelia_45","goose_46","hamlet_46","iris_46","lambchop_46","hamlet_48","hera_48","iris_48","jarjarbinks_48","korra_48","kubo_48","lambchop_48","ophelia_48","wolverine_48","iris_49","jarjarbinks_49","kubo_49","ophelia_49","wolverine_49","jarjarbinks_50","korra_50","kubo_50","lambchop_50","ophelia_50","wolverine_50","lambchop_51","goose_52","jarjarbinks_52","kubo_52","hera_53","kubo_53","iris_55","lambchop_55","ophelia_55"
"buddy_16",0,7.25314592847455,6.64406173934493,11.0630021632577,8.70829407373931,7.89813407467957,8.10806749357425,7.50009146555637,6.99294581980468,5.50493937974122,7.46541443852299,9.79531725311827,6.51311238573427,3.59128268992056,6.17619533362125,9.0793105792366,7.03587901496184,6.95873075915485,6.69672901710394,6.60913629794627,7.73231165979542,6.71457361726169,2.62592346305225,8.61846034737101,7.93817972497816,7.04888999722466,9.35072676321299,3.2001906659582,6.85783267828587,5.41202182157295,6.26280784187547,4.29573828464036,7.13912962662283,8.42363233198584,2.5854507763569,6.0067613019497,9.13444825695573,8.13394209281452,5.90685409651819,5.84584529870313,8.24784239027543,6.88707556011544,7.70386919466131,6.76114279430349,7.00660446875552,6.91420957360635,9.42509712819153,7.54136131387455,4.85473754558925,7.0601604545386,6.89479609242221,8.37842400577924,4.66425250849674,6.48885275146333,6.15390476019757,8.21795681691824,7.84721584955979,10.3582966264834,8.69213135395206,6.98081701804141,5.36864358524772,7.48219258390469,7.48169903017382,6.23230306670973,7.67432070909003,6.26118292647187,7.7025193709335
"buddy_17",7.25314592847455,0,4.37189653643688,13.5163631260971,5.12043426676473,5.08039516446132,4.73959844180936,4.00050918655587,2.96363038964264,4.01103893143058,3.23463067140873,6.25246296057688,4.28376544458717,8.90448465450321,4.24798971341117,4.6155286228893,5.09664079438048,3.98513161828843,4.73201171092557,4.38868316097075,4.45433004488002,2.74452512741778,7.25153965574496,5.19198445428946,3.33085904356892,4.55909851500548,5.72206982843902,7.11257979637556,4.58626408417608,3.55845585236713,3.97867534801121,4.05744604634176,5.33530661340725,4.45603636278816,5.49791935246604,3.93284874712054,6.10132168612381,4.91008249604455,3.79472677848786,3.4460809131106,4.69512215506941,4.89498427798784,4.96806744212077,3.50397887040302,5.07495972605326,4.33090893681274,5.51984845956938,4.5599609373071,4.50791868843678,4.17183446176633,4.78937895313822,4.54371054396369,4.73174082230503,4.68621795901099,4.18031902343128,5.40384948737371,7.16292408595859,6.13238042946258,5.73244926308993,4.95150293094681,5.05783525396273,5.38483686632975,4.04495017627585,3.43170862336764,3.94545373229749,4.55066711565899,3.87998107103398
"ivy_17",6.64406173934493,4.37189653643688,0,12.442433182765,4.15762414996663,4.85679592817321,6.41318467017814,1.94249693492348,4.63804997685522,3.72299173404206,5.24331300556713,6.51358488267798,3.22809054218658,8.20177889901155,2.42904211900471,4.06192327634246,4.7460660973287,3.05021529134966,4.30813737881164,1.90882706180151,2.92703886220649,4.38790442373369,6.64573273868616,3.21650588913819,3.98372931001553,3.45636501961035,6.62187670326027,6.31510473083615,4.5491487124342,3.73337450606704,4.39650113786876,3.55709137619616,3.67432373880951,4.92694132489878,5.01513745398896,3.39480931340627,6.77261234376214,4.95635186852849,4.26762983499564,3.36733266282762,5.53911908690352,2.65983296557222,2.99896692433363,4.37028309646521,4.53400458842379,5.59427878482485,5.47318231413184,4.62028401487536,3.78319059091859,4.19640990924538,5.67196266874284,4.60202353046913,4.11270512199025,3.55087885528225,3.97136270187411,4.9732666672312,5.44871903129201,5.92025435530098,5.52435484942913,4.50581711580531,4.84797148980848,3.11523255722781,3.72987963104033,3.3769854407447,4.59488825112702,3.53745591326655,3.22550108968665
"padme_17",11.0630021632577,13.5163631260971,12.442433182765,0,13.8670110142864,14.7107073854508,14.5984396234327,13.5184879124316,13.7671925320319,13.1729877106234,14.163409840186,15.8080210677825,13.5252072215492,10.2579286303084,12.8751315682439,14.7180513106781,14.2509849898296,13.6247252447755,13.9839080501916,12.853569030986,13.9790412633732,13.6126404247724,10.5313907386747,14.0910716160911,14.3568899341326,13.5066494234462,16.1062362832455,11.9198250442244,13.8734602590843,12.9748704827683,13.3497756112547,11.9207898253971,13.8315686264814,15.1596296409364,11.6209185635142,13.3405827903007,15.7936325348997,14.853191535539,13.5109924588735,13.06925512322,15.2572966531639,12.6082934649739,13.8624036873729,14.0775857480985,14.0339140559594,13.9931649594663,15.364166596849,14.6706678672557,12.6991769320163,14.215421674459,13.6938191746256,14.8776489180465,12.8561987146542,13.7835677718594,13.709358434034,14.4950019304801,11.2993461609041,15.6073208344496,15.1229854334582,14.0151137301959,13.5760846787331,13.01122981956,13.9677568786045,13.3241400400471,14.6188582057434,12.893181820934,12.8496395544298
"buddy_18",8.70829407373931,5.12043426676473,4.15762414996663,13.8670110142864,0,4.20090559919046,8.25751630267049,3.98307632921936,5.88144388219094,4.89088776445565,4.90864679107731,4.15278296715276,4.34511668644633,9.96715392003398,5.50910336617594,4.43986508749559,4.48707048518629,5.21072711306396,4.54098607925602,4.40503654615441,5.07271257428266,5.75587538910358,8.51929712812054,5.48817330596303,3.87818278815194,3.8469212525626,7.94549041942457,8.91462116524066,4.76042281217036,5.83195139662206,6.81160615840133,5.08864459823303,6.2738971476645,5.14677371134567,7.08676998881587,4.34849133921742,8.50448837201804,5.06517214304775,5.95998939083422,5.55717528803133,6.76792872084474,5.06001708630576,5.20161507130422,5.63008214852959,4.51414922547043,7.68797562983717,5.63135028844472,4.84428823209551,5.90617374282037,4.82154279983583,7.98818732666809,5.15329537781199,5.80274973108642,4.8265962028253,5.85072731721444,4.51097789721957,7.93812515098145,4.49295499893222,4.44593377874903,4.1644889566363,5.89822450805866,6.23656060976028,3.73152702763697,4.95849502130049,4.73853700091863,4.41754036053882,4.93632003613806
"ginger_18",7.89813407467957,5.08039516446132,4.85679592817321,14.7107073854508,4.20090559919046,0,7.29658833882938,3.98270488546558,4.78997532954043,2.71524887671521,3.32845462394173,3.12809608445616,2.3451213689188,10.0313215537988,5.0342843739614,4.04910611038486,1.20152361039633,4.17154258254066,1.96442100691156,4.21786144744375,4.25530342279563,4.36470432730413,8.29032621958049,5.49591481467462,2.84550476944636,2.37146234634701,6.10175575009459,7.89931532209216,2.06550384654851,4.53882742080638,5.58903750556415,4.37835137700235,5.23050095805816,2.56099730967988,6.0004707865731,2.44415088041433,6.94974882534823,1.85679576572122,4.26386860643121,4.52690490171758,4.84134550996834,5.68758073752253,4.6676358860405,3.5601298342216,1.48789907467906,6.47681411990551,5.08968395887093,2.22379796946094,4.65805574631046,2.26115492929244,7.21363833318382,3.68774012597618,4.11439072641236,2.70854174289629,3.72379788789314,1.88034710527095,9.55944096023816,4.79812706811162,1.32143594280714,1.27233107729683,3.6271919381736,6.57844189498101,2.15700934175703,3.37916153674742,2.80682144479886,3.50745978703882,4.73669415536233
"ivy_18",8.10806749357425,4.73959844180936,6.41318467017814,14.5984396234327,8.25751630267049,7.29658833882938,0,5.88249446578878,3.01956644213991,5.92190767784941,6.35916874814256,8.94777107628917,6.21408130321388,9.89311395628443,5.42276159741811,6.8437759946509,7.13145031456806,5.00484590157178,6.44734078321731,6.47530535178087,5.8459194716229,3.96529672597707,8.35002583114539,6.45535309162052,5.57789366920552,7.02939525149302,4.66916961569426,6.95754223303647,6.82260789989652,4.26987859292173,3.70172123461655,5.97547950563429,5.88825498542223,5.91108649328512,6.58397133071938,5.78343205887633,4.58039194782132,6.70737204732833,4.17319933202337,4.2203096683703,4.12810080102485,6.96529458173163,6.35576112437308,4.31976403323683,7.23451573045615,3.54888441871311,6.77457134913361,5.96718532892033,6.03690854066733,5.54278629713351,3.97200872813947,5.96149713993612,6.40250622527475,6.13259627589125,4.89162176756186,7.71552867668224,8.33867721213921,8.67704433085373,8.01071979351485,7.14562622933865,6.60520261169462,6.2027972404659,6.32742177329092,4.98960394076524,5.17392464696322,6.47865563584513,5.53748541906553
"franc_19",7.50009146555637,4.00050918655587,1.94249693492348,13.5184879124316,3.98307632921936,3.98270488546558,5.88249446578878,0,4.08203562389656,3.45429799408731,4.74626853002773,5.71712640299007,2.75317745762935,9.34423628335873,2.69418055236742,3.34057246146608,4.09366287660495,1.75135724896681,3.625729142675,2.44929950149434,2.29821425477717,3.95074787589557,7.69284230598757,2.9453661280816,2.99199063523022,3.25979210434227,5.10778884671739,6.90683693878785,4.1090493615748,3.65758115665748,4.30537433237091,4.06667196914379,3.39257048414185,3.82450696225477,5.64690978814749,3.01421139954472,5.56771081023521,4.00950872973835,3.88570189743909,3.26265136013666,4.13073355041181,3.45861018400039,2.65752539722034,3.38938001178675,4.03688387595962,5.33521856863384,4.53234955380761,3.48068319033499,4.09540253933217,3.19087848861275,5.68062374509878,3.57736030926809,4.26461031774036,2.95758086716966,3.2384188173696,4.35222650255945,6.75445503384652,5.21625497353719,4.67519840218207,3.93970550899194,4.59599174373729,3.57534572537698,3.06179419646516,2.83267228909952,3.23165994043848,3.47511249102697,3.00705646639382
"ivy_19",6.99294581980468,2.96363038964264,4.63804997685522,13.7671925320319,5.88144388219094,4.78997532954043,3.01956644213991,4.08203562389656,0,3.56924316793473,3.85239455513192,6.37510612097325,3.88837987185464,8.85068025000846,4.06163818380261,5.03710599976647,4.64999941300211,3.48140326757547,4.06523901519122,4.6433692234232,4.29022702572668,1.71016070236246,7.11711024804114,5.25277800589894,3.13918710963518,4.61664019166713,4.70292362312138,6.38609114171626,4.34905312330953,2.53388848504013,2.80839869087961,3.77301668518341,4.822779149995,3.75383725165654,5.08064439015831,3.3622359872576,5.12002589051993,4.41300237092489,2.35116805819983,2.49031434969577,3.49950242104352,5.55551338827293,4.92820774941551,2.33777128840491,4.76152776950847,3.28481064263566,5.53128868447116,3.8046209480376,4.37462667095321,3.12065874126972,4.0517872697327,4.28940322768365,4.54758120432262,4.05936203809713,3.12527846330825,5.22298413988774,7.77806667595611,6.77964069351219,5.51831359087795,4.5943257364501,4.66459368487993,5.45539415741519,3.90084661147961,2.72686321926331,3.16746544713993,4.2355126621089,3.9696179720823
"ginger_20",5.50493937974122,4.01103893143058,3.72299173404206,13.1729877106234,4.89088776445565,2.71524887671521,5.92190767784941,3.45429799408731,3.56924316793473,0,3.2173591059139,5.19321811069222,1.74313262794538,7.84887570741116,3.28089134836907,4.49139935840293,2.26342158036278,3.16300773895841,1.87947171829091,3.2011330550722,3.54539621959238,3.04732232430141,6.08002374976969,4.9311282891115,3.15077368955188,2.58160216384366,5.71016153188209,5.46857991061082,2.26731742906578,2.46170317863182,3.80429225259227,2.34826621921877,3.97116743620133,3.40293900066925,3.51677932857199,1.20291253443854,6.14185558789954,2.99043721662523,2.65216050263771,2.81546697684966,4.3510618253578,4.55424409703381,3.95674548921248,2.55772488101281,2.3270131129105,4.89162854146944,5.24068480173457,2.49928069977795,2.65908278926344,2.05484804694826,5.50656485629604,3.75442659311326,2.15961001708243,1.88485894156348,2.18078242045748,3.46790875189411,7.92924630468403,5.90998067619437,3.76275835511667,2.22134950768875,2.2209754840435,5.24338771832134,2.51079171744579,1.86719100842618,2.93505969834005,2.65764703634245,4.01224198262568
"buddy_21",7.46541443852299,3.23463067140873,5.24331300556713,14.163409840186,4.90864679107731,3.32845462394173,6.35916874814256,4.74626853002773,3.85239455513192,3.2173591059139,0,4.28733169476481,3.49867492530046,9.19027970877939,5.31916878705208,4.82546006802216,3.50677386399482,4.77262853369339,3.54808137476632,4.91136667003935,5.13737057734264,3.14395100637148,7.48181612806299,6.28273496435771,3.49209394330998,3.56363992489804,6.55641198613182,7.7739133856258,2.65969787329642,4.31903414061615,5.22436969099285,4.1177355401136,6.16718374053278,3.83387626094434,5.47599801243983,3.41856739629765,7.33463790713562,3.231118787084,4.33374726071295,4.50775659919602,5.32707517396681,6.10995475675781,5.75728665777963,3.50940446109926,3.37679449266079,5.99334564067816,6.1404512716342,3.72625594360136,4.85380212264595,3.51754910343872,6.79315249530107,4.74280457638618,4.57258192128574,4.26700277562095,4.33929706098772,3.62023195646818,9.16851039822275,5.91586348433431,3.74431021435325,3.30659011984192,4.50477839278614,6.99374073479812,3.29806802694999,3.54909749417855,3.66321956551633,4.08814485260925,5.08432509638039
"joans_21",9.79531725311827,6.25246296057688,6.51358488267798,15.8080210677825,4.15278296715276,3.12809608445616,8.94777107628917,5.71712640299007,6.37510612097325,5.19321811069222,4.28733169476481,0,4.71652127463003,11.5161025005254,7.12810657662773,5.43506563716462,3.76555287001986,6.19558077853264,4.36893488053984,6.20931920655183,6.29533923994132,6.01125289659929,9.90389720930759,7.17829357040377,4.37185696377255,4.44275394900722,7.8074392124775,10.0153460393114,4.09767555462533,6.71972532999472,7.67052119514536,6.26595013107109,7.42499367477035,4.37727515028994,8.03735895976464,4.85573450773875,8.81250722638545,3.89073374969741,6.42233244998949,6.59889505503315,6.7249710183072,7.42404463126974,6.67750970743846,5.54520538166097,3.95550676437146,8.32760679490681,6.53679320639156,4.4798881670336,6.89302890956083,4.5784332184904,9.07942739653991,5.50403867918555,6.43862314734506,5.23984421119273,6.11535779059653,3.48674523106849,10.9080667576919,5.31680782127767,2.87078305906671,3.71857530065688,5.96067394718877,8.40818559677604,4.24881339787889,5.59026596176399,4.71323426305485,5.36920587466209,6.45708704388006
"franc_22",6.51311238573427,4.28376544458717,3.22809054218658,13.5252072215492,4.34511668644633,2.3451213689188,6.21408130321388,2.75317745762935,3.88837987185464,1.74313262794538,3.49867492530046,4.71652127463003,0,8.52693505907414,3.36539598210301,3.71176626783188,2.12055007419207,2.72126423387147,1.71871908100928,2.58890112686053,3.26744002253347,3.24233489999035,6.72570590809087,4.48844371361235,2.92602148682016,1.62813856709164,5.56263103809135,6.25949123648612,1.74542991120389,3.13716339429245,4.19789888155375,2.86805298623126,3.86461845758022,2.9337580713812,4.41216962551581,1.49111175610332,6.07629886691733,2.26139859354885,3.1313376330694,3.08012319550366,4.21049699745635,4.41891375666067,3.56386499938379,2.58414318719583,1.73091269567452,5.35384182791321,4.95671672877203,2.34961513973017,3.22031622743911,1.98598926138432,5.92010505197457,3.44904511476261,2.99604225310976,1.55261702279531,2.27962712819281,2.69352028958645,7.95824018127591,5.30405015501415,3.06398926423588,1.90150904742946,3.24104365479191,4.98174531074969,2.22705343024121,1.98830846699259,2.76964762060418,2.58771458706477,3.67450443052955
"grogu_22",3.59128268992056,8.90448465450321,8.20177889901155,10.2579286303084,9.96715392003398,10.0313215537988,9.89311395628443,9.34423628335873,8.85068025000846,7.84887570741116,9.19027970877939,11.5161025005254,8.52693505907414,0,8.40422511427984,11.0585710266019,9.24301482820535,9.03699442123038,8.80663939129223,8.5677656532886,10.0571595344399,8.61777512168885,1.98485175711498,10.747886085726,10.025221959044,8.84845657272883,11.7487095702916,5.66420942328865,8.74781334523407,7.58645486662779,8.35161501333027,6.05482536369476,9.643391099505,10.7766929242252,4.74085899677904,8.17077880682249,11.5611247335762,10.2594368930178,8.21413507599899,7.9864109297379,10.6105505628309,8.9133581132026,10.0523767051235,8.97484368219966,9.0084425325846,9.11819145348848,11.6672512902333,9.82221469019469,7.56077795891509,9.31880007996059,9.01707656276175,10.7540130895276,7.49381099037578,8.85227258156645,8.59940770159412,10.1157221401243,8.48560172064992,12.2568577239319,10.61647603459,8.98691051708358,8.32010311131626,9.41818271448549,9.40377715674121,8.3249735756312,9.81104095995452,7.99088810872275,9.73863985641321
