task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
22	87/35228b	3504705	fastcat (18)	COMPLETED	0	2025-04-10 21:19:45.841	1s	353ms	227.4%	3.7 MB	14.1 MB	52.1 MB	37 MB
5	0f/35133c	3504854	fastcat (1)	COMPLETED	0	2025-04-10 21:19:45.889	998ms	360ms	191.9%	3.6 MB	14.1 MB	47.8 MB	33.6 MB
28	7f/2ed62c	3504731	fastcat (24)	COMPLETED	0	2025-04-10 21:19:45.858	1s	353ms	163.6%	3.7 MB	14.1 MB	40.2 MB	28.2 MB
11	7c/6ba00a	3504819	fastcat (7)	COMPLETED	0	2025-04-10 21:19:45.882	1s	364ms	211.0%	3.9 MB	14.1 MB	50.1 MB	35.5 MB
9	bb/71c1d0	3504713	fastcat (5)	COMPLETED	0	2025-04-10 21:19:45.851	1.1s	388ms	240.3%	3.8 MB	14 MB	64.4 MB	45.2 MB
18	f1/68f3d9	3504785	fastcat (14)	COMPLETED	0	2025-04-10 21:19:45.876	1s	391ms	206.8%	3.8 MB	14.1 MB	53.1 MB	37.6 MB
15	43/c16302	3504916	fastcat (11)	COMPLETED	0	2025-04-10 21:19:45.895	1s	413ms	211.2%	3.7 MB	14.1 MB	60.2 MB	42.3 MB
24	a4/8b0f38	3504760	fastcat (20)	COMPLETED	0	2025-04-10 21:19:45.869	1.1s	450ms	255.4%	3.7 MB	14 MB	76.8 MB	54.3 MB
3	f8/3711f8	3506920	minimap_pipeline:run_common:getParams	COMPLETED	0	2025-04-10 21:19:46.982	326ms	5ms	99.1%	0	0	84.4 KB	3.4 KB
23	6f/3690ae	3506803	fastcat (19)	COMPLETED	0	2025-04-10 21:19:46.951	506ms	251ms	273.8%	86.8 MB	511.3 MB	45 MB	31.9 MB
13	e7/87811e	3506659	fastcat (9)	COMPLETED	0	2025-04-10 21:19:46.900	568ms	283ms	318.5%	86.7 MB	510.9 MB	62.3 MB	43.6 MB
20	64/6df2ce	3506634	fastcat (16)	COMPLETED	0	2025-04-10 21:19:46.892	593ms	307ms	339.6%	86.4 MB	510.9 MB	67.5 MB	47.8 MB
14	62/d1543b	3506836	fastcat (10)	COMPLETED	0	2025-04-10 21:19:46.962	530ms	266ms	290.7%	90.4 MB	512.3 MB	52 MB	36.6 MB
12	e4/32cfc0	3506785	fastcat (8)	COMPLETED	0	2025-04-10 21:19:46.943	576ms	318ms	304.2%	89.8 MB	511.4 MB	65.8 MB	46.2 MB
26	5e/9bd85e	3506879	fastcat (22)	COMPLETED	0	2025-04-10 21:19:46.975	578ms	297ms	305.9%	89.9 MB	511.8 MB	59.2 MB	42 MB
19	f7/0625d8	3506972	fastcat (15)	COMPLETED	0	2025-04-10 21:19:46.989	594ms	285ms	287.7%	92.9 MB	512.3 MB	57.4 MB	40.5 MB
17	56/612c2e	3508745	fastcat (13)	COMPLETED	0	2025-04-10 21:19:47.524	352ms	78ms	54.1%	84.8 MB	382 MB	437.9 KB	203.8 KB
27	6d/b329d2	3508518	fastcat (23)	COMPLETED	0	2025-04-10 21:19:47.464	518ms	262ms	328.6%	86.1 MB	510.9 MB	56.4 MB	39.9 MB
8	b3/8326ca	3508543	fastcat (4)	COMPLETED	0	2025-04-10 21:19:47.473	542ms	276ms	337.1%	86.3 MB	510.9 MB	60.1 MB	42.6 MB
21	34/f353a4	3508605	fastcat (17)	COMPLETED	0	2025-04-10 21:19:47.490	529ms	262ms	331.4%	88.1 MB	510.9 MB	57.2 MB	40.6 MB
7	2f/1ef5e9	3508713	fastcat (3)	COMPLETED	0	2025-04-10 21:19:47.498	553ms	241ms	294.8%	86.1 MB	510.9 MB	50.4 MB	35.3 MB
6	f7/78defe	3508932	fastcat (2)	COMPLETED	0	2025-04-10 21:19:47.589	501ms	216ms	266.1%	87.6 MB	511.8 MB	40.8 MB	28.6 MB
16	f2/f1f841	3508866	fastcat (12)	COMPLETED	0	2025-04-10 21:19:47.559	590ms	303ms	345.2%	88.3 MB	511.4 MB	72.6 MB	51.1 MB
10	58/eea4fe	3510128	fastcat (6)	COMPLETED	0	2025-04-10 21:19:47.882	492ms	253ms	332.0%	86.2 MB	510.9 MB	56.8 MB	40.2 MB
25	78/633639	3510375	fastcat (21)	COMPLETED	0	2025-04-10 21:19:47.988	454ms	195ms	303.2%	87.8 MB	510.9 MB	41.3 MB	29.1 MB
4	5b/76f945	3506876	minimap_pipeline:run_common:getVersions	COMPLETED	0	2025-04-10 21:19:46.956	4.6s	3.6s	152.4%	50.9 MB	4 GB	12.3 MB	3.1 KB
32	bd/3ae726	3511144	minimap_pipeline:minimap (GIN-20-MGE-S255)	COMPLETED	0	2025-04-10 21:19:51.605	14.3s	14s	1878.9%	894.3 MB	6.8 GB	632 MB	103.6 MB
30	6b/9b4d92	3512321	minimap_pipeline:minimap (IRI-49-MGE-S269)	COMPLETED	0	2025-04-10 21:20:05.880	10.4s	10.2s	2157.2%	757.7 MB	6.7 GB	620 MB	93.2 MB
34	3f/67cb98	3513126	minimap_pipeline:minimap (HEN-25-MGE-S264)	COMPLETED	0	2025-04-10 21:20:16.333	17.9s	17.6s	2551.2%	941 MB	6.9 GB	649.7 MB	120 MB
35	86/b71529	3514232	minimap_pipeline:minimap (MAR-47-MGE-S267)	COMPLETED	0	2025-04-10 21:20:34.265	19.4s	19.1s	2585.9%	948.1 MB	6.9 GB	663.5 MB	132.7 MB
31	c3/4803ec	3515342	minimap_pipeline:minimap (FRA-24-MGE-S262)	COMPLETED	0	2025-04-10 21:20:53.683	13.3s	13s	2316.1%	931.2 MB	6.9 GB	640.9 MB	111.8 MB
