"ID"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"joans_36"	"franc_37"	"grogu_37"	"ginger_41"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"grogu_42"	"henry_42"	"ivy_42"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"
"njc42"	27.48	26.46	20.37	21.3	0.75	14.39	13.68	17.27	0.48	12.93	1	7.74	4.96	13.44	3.15	21.47	12.58	22.05	25.12	12.72	45.33	10.61	18.27	14.22	9.63	16.23	33.64	6.21	26.52	12.12
"njc43"	34.63	31.08	24.97	27.45	1.2	20.99	22.73	23.25	0.72	16.03	1.5	12.37	5.41	15.94	4.25	33.16	18.64	26.58	26.48	18.33	46.95	15.78	24.2	15.62	12.54	22.91	41.83	9.73	45.41	19.95
"njc44"	0	0	0	0	0	0.03	0.03	0.25	0	0	0	0.04	0	0	0	0	4	0	0.07	0.03	0	0.03	0	0.07	0.03	1.08	0.03	0.18	0	0.03
"njc45"	0.03	0.95	0.1	0.25	0	0.28	0.03	1.05	0.03	0.08	0	0	0.2	0.33	0.03	0.45	4.5	1.43	0.28	0.05	0.38	0.03	0.85	0.42	0.83	2.53	1.75	0.48	1.23	0.55
"njc46"	27.51	30.06	20.37	23.5	0.75	15.04	13.7	17.32	0.48	21.71	1	12.86	4.98	23.64	3.52	21.5	12.58	22.85	67.25	16.78	65.33	11.61	20.82	14.22	17.26	16.28	37.5	6.41	26.57	15.9
"njc47"	0	0.03	0	0.03	0	0	0	0	0	0.08	0	0	0	0.05	0	0	0	0	0	0.45	0	0.03	0	0	0	0	0	0	0	0.03
"njc48"	34.61	30.18	24.89	27.2	1.2	20.82	22.73	22.45	0.72	16.01	1.5	12.37	5.23	15.69	4.22	32.73	18.41	25.55	26.35	18.26	46.62	15.78	23.4	15.57	11.84	22.73	40.13	9.36	44.26	19.55
"njc49"	0	0.08	0	0	0	0.08	0	0.28	0	0.18	0.03	0.09	0	0	0	0	4.28	0	0.15	0.03	0.07	0	0.03	0.07	0.2	1.08	0.55	0	0.03	0
"njc50"	0.98	2.58	0.35	4.32	0.22	1.78	0.18	1.25	0.28	0.88	0.15	0.3	1.93	2.35	0.42	4.2	7.46	3.67	0.82	0.3	0.88	0.55	1.27	3.78	3.19	12.8	1.68	3.98	0.15	0.53
"njc51"	0	0.05	0.03	0.03	0	0	0.03	0.25	0	0.1	0	0.09	0	0.08	0	0	4.08	0.05	0.07	0.48	0	0.05	0.03	0.17	0.03	1.53	0.4	0	0	0.15
"njc52"	0	0	0	0.03	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"njc53"	0.05	5.38	0.05	2.88	0	0.93	0.03	1.23	0.03	8.73	0.03	3.9	0.2	11.28	0.28	0.55	4.58	1.4	0.68	3.51	0.6	0.78	2.17	0.1	4.54	1.3	2.83	0.73	1.25	1.35
"njc54"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0
"njc55"	0	0.03	0	0.03	0	0	0	0	0	0.08	0	0	0	0.05	0	0	0	0	0	0.45	0	0.03	0	0	0	0	0	0	0	0.03
"njc56"	0	0.03	0	0.03	0	0	0	0	0	0.08	0	0	0	0.05	0	0	0	0	0	0.45	0	0.03	0	0	0	0	0	0	0	0.03
"njc57"	0	0.03	0.03	0.07	0	0.05	0.03	0.12	0.03	0	0.03	0.1	0	0.05	0.07	0.03	0.1	0.07	0.03	0	0.03	0.03	0.07	0.07	0.03	0.15	0.08	0.03	0	0.08
"njc58"	0.08	9.53	0.28	5.53	0.05	1.88	0.08	1.32	0.07	18.58	0	9.81	0.25	22.89	0.75	0.73	4.38	2.72	42.9	8.64	20.65	1.93	5	0.68	13.04	3.55	6.58	1.25	1.23	5.28
"njc59"	0	0.15	0.1	0.07	0.17	0.35	0.08	0.3	0.07	0	0.03	0.14	0.03	0.18	0	0.23	4.73	1.65	0.28	0.05	0.22	0.05	1.05	0.58	0.68	5	0.28	2.83	0.1	0.18
"njc60"	2.58	4	0.68	5.92	0.48	2.85	0.4	1.95	0.42	1.43	0.22	0.26	4.61	4.03	0.75	6.28	8.16	9.72	1.23	0.5	1.35	1.08	2.92	5.7	5.89	19.33	2.03	7.78	0.5	2.9
"njc61"	0	0.03	0	0.03	0	0	0	0	0	0.08	0	0	0	0.05	0	0	0	0	0	0.45	0	0.03	0	0	0	0	0	0	0	0.03
"njc62"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0.07	0	0.05	0	0	0.2	0	0.65	0.03	0	0	0
"njc63"	0	0.03	0.03	0	0	0	0.03	0.25	0	0	0	0	0	0.03	0	0	4.08	0.05	0.07	0	0	0.03	0.03	0.17	0.03	1.53	0.05	0	0	0.13
"njc64"	27.48	26.46	20.37	21.25	0.75	14.36	13.68	17.27	0.48	12.93	1	7.74	4.96	13.41	3.15	21.47	12.56	22.02	25.12	12.55	45.3	10.61	18.27	14.22	9.56	16.23	33.49	6.21	26.52	12.12
"njc65"	0	0	0	0	0	0	0	0	0	0.03	0	0.09	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0.35	0	0	0
"njc66"	0	0	0	0	0	0	0	0	0	0.03	0	0.09	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0.35	0	0	0
"njc67"	0	0	0	0	0	0	0	0	0	0.03	0	0.09	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0.35	0	0	0
