"","ivy_17","korra_20","ophelia_20","kubo_21","franc_22","grogu_22","hamlet_23","franc_24","hera_24","ivy_24","kubo_24","ophelia_24","henry_25","kubo_25","ginger_44","iris_44","henry_45","korra_45","hamlet_46","joans_46","ginger_47","marshmallow_47","charles_48","grogu_48","hera_48","kubo_48","kubo_49","franc_50","kubo_52","kubo_53","marshmallow_53","ginger_55","ophelia_55","buddy_56"
"ivy_17",0,0.208669453641926,0.252023555360278,0.241749848812292,0.133400144547387,0.494649122059752,0.257043124960245,0.106892270794189,0.187471314977899,0.26311532522328,0.201154832267525,0.216151523875628,0.197125613487849,0.324047640769184,0.31583251514229,0.179437675630343,0.345383862022884,0.101453556594304,0.158099919467702,0.149113489723412,0.345496832640209,0.341375977620254,0.196846721805589,0.538566554534764,0.202932433541661,0.164568029963065,0.192625295617343,0.207585392848077,0.160520139200543,0.245940909848832,0.536660418372554,0.27763774475198,0.232174300250997,0.374726586835604
"korra_20",0.208669453641926,0,0.132181830515763,0.201727742039845,0.226161802182755,0.430407167376345,0.258597739890015,0.221564621561975,0.270828555717767,0.265906543174111,0.137541659424015,0.267569403636611,0.138605987322598,0.238765511501709,0.305668371942224,0.266963551278915,0.340218727630352,0.251469819014506,0.268124166871216,0.203598554392264,0.340035056499576,0.239045531906614,0.196174463084803,0.477169953134625,0.222785520947207,0.262663255565444,0.248906872238418,0.234739645818603,0.136692465548656,0.220557336981178,0.475459486920253,0.241403867370387,0.10903772505917,0.269459228559129
"ophelia_20",0.252023555360278,0.132181830515763,0,0.226219093292382,0.298154116335044,0.370932339766847,0.263565541641052,0.263547278900767,0.282697974448681,0.270104768958046,0.206094192369309,0.267213348170395,0.116296129545713,0.189436903387424,0.334941739720946,0.294276275820724,0.369837951344248,0.275862599502772,0.279399087658269,0.2442475789798,0.3551428896345,0.215680300351944,0.206140040655102,0.417710055292238,0.274440736156543,0.290369512068239,0.28339799014994,0.288017115654352,0.119854755348699,0.275243177458964,0.415470924066008,0.308762218131445,0.0859104527931923,0.179164535896328
"kubo_21",0.241749848812292,0.201727742039845,0.226219093292382,0,0.200112184980446,0.472883502438254,0.124665367763162,0.18340238480809,0.177861462292215,0.161019279232941,0.119349316280839,0.195478254631234,0.247783367011081,0.282607599901558,0.182260585218239,0.193025419125231,0.218280185080663,0.284730600097569,0.245035178765325,0.178731345174531,0.210265073840814,0.333171351561943,0.137519852389933,0.520167660965956,0.178142532908009,0.188014998033097,0.130107447945028,0.139338739693716,0.269189195595269,0.117958822734488,0.518587239232592,0.128863592603898,0.175878572554579,0.352504337943746
"franc_22",0.133400144547387,0.226161802182755,0.298154116335044,0.200112184980446,0,0.538538547553962,0.170689191724512,0.0716291603932536,0.137199916172834,0.169402092541772,0.169282479688034,0.151245630977657,0.236296094676953,0.35477900531119,0.232271027443982,0.11897784141006,0.261763714777032,0.195850738285479,0.176295941639197,0.120556395773043,0.307649182066722,0.40705332394602,0.189534097811108,0.58516361490876,0.116417756304592,0.118910163948947,0.102276087436154,0.116046229058107,0.208755730479938,0.148569740705821,0.583378281588958,0.1736004853336,0.266589989793207,0.434271921485266
"grogu_22",0.494649122059752,0.430407167376345,0.370932339766847,0.472883502438254,0.538538547553962,0,0.520391726830864,0.517179322284103,0.533742444067358,0.520188236531919,0.468660265940091,0.538101723280116,0.398834746896019,0.196939215023223,0.531274766791856,0.534143889484408,0.531190211491985,0.502619778817462,0.520675775214304,0.430912960578992,0.495205827577037,0.199143638574474,0.474916713182594,0.0574148657814725,0.534737135798921,0.524128649857186,0.526132912998221,0.523682348135155,0.405979297722768,0.530027062769647,0.0499761830310291,0.533496700715059,0.399042513514984,0.227078391438176
"hamlet_23",0.257043124960245,0.258597739890015,0.263565541641052,0.124665367763162,0.170689191724512,0.520391726830864,0,0.18320534314551,0.119517706185427,0.104380509081867,0.195421331329958,0.16903269970201,0.261955230773135,0.334585559319843,0.19870394867366,0.159457599515816,0.227900706479578,0.297465213372668,0.194791194557384,0.190665167344766,0.265845002321342,0.401171534484691,0.159362696829936,0.567802514585943,0.125653895082107,0.139043999730765,0.0997954387487241,0.113344986700488,0.28703327986814,0.0927824177189688,0.566193850153519,0.151273736767113,0.232542059998809,0.42373432733004
"franc_24",0.106892270794189,0.221564621561975,0.263547278900767,0.18340238480809,0.0716291603932536,0.517179322284103,0.18320534314551,0,0.124214195254873,0.178275783892091,0.185375763595983,0.130370490946211,0.201437240559645,0.331854211960586,0.253506305428124,0.0994181070451791,0.286016635578789,0.15816147868727,0.139341433073439,0.119539294817287,0.308572236281294,0.381560531658219,0.162666080045614,0.563187866161599,0.134170091341479,0.0939332136864014,0.108178148519883,0.138038314194049,0.18595791106854,0.167541301188305,0.56130669085369,0.207113790413831,0.232443141296063,0.407761831350631
"hera_24",0.187471314977899,0.270828555717767,0.282697974448681,0.177861462292215,0.137199916172834,0.533742444067358,0.119517706185427,0.124214195254873,0,0.149568949864339,0.218609678947558,0.0936444155742994,0.242382992363017,0.349869356565148,0.239943978863008,0.115759089588122,0.278606030143843,0.230282390633701,0.112591678542531,0.1707658589935,0.326714647303856,0.418389159011554,0.173559671833081,0.580543508213469,0.080992636673578,0.0999174255648009,0.121781758335337,0.151383525492808,0.259591227256388,0.139256510564973,0.578972296207295,0.188807364849737,0.24604490251369,0.440263355121824
"ivy_24",0.26311532522328,0.265906543174111,0.270104768958046,0.161019279232941,0.169402092541772,0.520188236531919,0.104380509081867,0.178275783892091,0.149568949864339,0,0.195277584983225,0.165476226686179,0.263498552950541,0.337383015771947,0.198273755903858,0.144323230279069,0.240217843554974,0.3077971215609,0.210746136734813,0.218263341016157,0.277396521091252,0.409600458626682,0.175735332528615,0.568248833183394,0.172545543020811,0.151854828843191,0.136118717163824,0.148518097721339,0.304539643179743,0.12288209658218,0.564950017402091,0.157970813398202,0.228544593618551,0.42322462459572
