"","ivy_17","korra_20","ophelia_20","kubo_21","franc_22","grogu_22","hamlet_23","franc_24","hera_24","ivy_24","kubo_24","ophelia_24","henry_25","kubo_25","ginger_44","iris_44","henry_45","korra_45","hamlet_46","joans_46","ginger_47","marshmallow_47","charles_48","grogu_48","hera_48","kubo_48","kubo_49","franc_50","kubo_52","kubo_53","marshmallow_53","ginger_55","ophelia_55","buddy_56"
"ivy_17",0,2.66741416993464,4.82455140103024,3.61030209212416,3.245141250262,8.14234605245904,3.93039984528898,3.06244271521825,3.74372952742487,4.90620782543561,3.54759841851205,5.36442801109306,3.1708815672581,4.02269822938036,5.84255054916813,6.50331851095112,5.48405448440548,3.70367031137746,3.42821702314959,4.37156900887086,4.77571715938683,2.11543307551031,5.40140814251923,8.49005546251362,3.35999955548328,4.36649204948616,4.17184961302877,5.63385770874393,3.08588952871762,3.35666902154737,7.91656861509277,5.81978176539883,3.18176270792551,4.17045499444135
"korra_20",2.66741416993464,0,3.74410605689366,3.58187198877253,4.25330107521962,8.88305718451153,5.08411983643653,3.77631015515467,4.85556429488713,5.39392730070259,3.20140806260676,5.48844697847675,2.55818672517272,4.65485268233916,6.18083675149472,6.38121488886671,6.242031054217,2.80406457459263,4.61499901660087,5.66441277461431,5.1041376162449,1.85282785859377,5.99777188144022,9.07499876235225,3.93244294670758,4.9798071972792,5.03527953161195,6.06896610146406,1.47606013410994,3.9572824457502,8.70435103708101,5.92284530461491,3.21261372610729,3.40174611886849
"ophelia_20",4.82455140103024,3.74410605689366,0,4.14234157967312,5.09347928611315,9.84893185966956,5.14261013720047,5.00957842298728,5.12193528146028,5.70734102734164,3.95336460197965,5.19116056090658,4.13886816307001,5.30183237250815,6.20300831976128,6.69592859625586,6.10431665959497,4.27171267819288,4.93899921675743,5.82838169490788,5.51985883914024,4.19375899710733,6.14588219304526,10.0814086641536,4.61124774950247,5.42611331585923,5.25213343701867,6.30354063777787,3.8292768595282,4.39444785874669,9.6152417884232,6.23139660248518,3.8030970468702,2.82172006351821
"kubo_21",3.61030209212416,3.58187198877253,4.14234157967312,0,2.78904494049072,10.0856267405299,3.32568595112712,2.71577045775742,3.10188913208533,3.94351162612313,2.37889607035693,2.88916503117099,2.73312624185226,3.68066621737835,3.07882856898457,4.61095350338367,3.39340244704996,2.37859239614624,3.10693602540548,4.01827082983088,2.90223978458563,4.3259524572396,4.52694243006308,10.333363050746,3.55191354079858,3.32375959357153,2.48104224215482,3.13047958324512,3.83677729111621,2.63497447265636,9.82678624026073,3.04725707241568,3.08618583863811,4.74152585322147
"franc_22",3.245141250262,4.25330107521962,5.09347928611315,2.78904494049072,0,8.45804276801245,2.18328322699083,2.73631109283208,1.68605628836154,3.59792971473127,3.48087029220337,3.93751531509167,4.47344807756852,2.54250392069708,3.58487125274541,5.44778889674268,2.94116198225203,3.90604326672196,1.53940051834769,1.84290717428662,3.61385466065819,4.42658606876676,4.78688150360019,8.84134553825452,3.10694090967625,2.62718951383354,1.98389529017716,3.2772484734036,4.98686151444483,1.96709245836981,8.20097577456799,3.53007957271779,3.66338018044497,4.90361534098567
"grogu_22",8.14234605245904,8.88305718451153,9.84893185966956,10.0856267405299,8.45804276801245,0,9.02997553266281,8.91251803617678,8.21349428470432,9.69415924395596,10.7711724126315,10.9615510124437,10.6407699649674,7.07431823871746,11.4304622542454,11.5093262911238,10.7224806077691,9.60582342231696,8.11938042953033,8.22925179303979,11.8111418606132,7.64535697357503,10.1062682732828,0.916792184327524,7.89417872648436,8.84338962594786,9.23266293416577,10.9916025192437,9.3085000373051,8.23991409838708,0.489557266356483,11.473570041997,9.61143231626929,9.27868111386328
"hamlet_23",3.93039984528898,5.08411983643653,5.14261013720047,3.32568595112712,2.18328322699083,9.02997553266281,0,3.32032049616523,2.01309335452939,2.67966715625207,4.13044101038792,3.64122136002986,4.79995018122918,3.21096581955227,3.91374944787921,5.33486096697784,3.13570565967663,4.67007723565728,1.96569041901738,2.48702717759497,4.05008700419223,5.135586424,4.32783866063215,9.44256415291094,3.12656623444301,2.43745308142548,1.95664775777128,3.75414428026512,5.54796315150717,2.23297576268621,8.75848915756257,4.11082137811091,3.74642828693881,5.43414645951896
"franc_24",3.06244271521825,3.77631015515467,5.00957842298728,2.71577045775742,2.73631109283208,8.91251803617678,3.32032049616523,0,2.93636705314356,3.42036931027401,3.831804404454,3.71742574303099,3.72173730092678,3.19005798978218,4.37301692287642,3.75849718946275,4.32620608069246,3.17505901539804,2.89494589512839,3.94981430710335,4.35268761480086,4.04469425782246,3.23803080545314,9.16800608558525,2.7076509502996,2.29890731848661,2.67748494048974,4.19382405068329,3.91859143246692,2.30704765605911,8.66639792671781,4.28726681243128,3.37287911235358,5.37445903737168
"hera_24",3.74372952742487,4.85556429488713,5.12193528146028,3.10188913208533,1.68605628836154,8.21349428470432,2.01309335452939,2.93636705314356,0,3.41777830323512,4.34181526221346,3.43415103007631,4.91562378208449,1.8941226491725,3.60850489042617,5.18609473985522,2.91571460483329,4.07438306768665,0.818889713362004,1.69829320254772,4.45076227369215,4.77484250257655,4.28296926375598,8.55330385453365,2.54695180042432,2.33200637964711,1.40517732284232,3.26595537741522,5.28251443850397,1.93374434822359,7.90500158280842,3.80639559944414,3.9024325166686,5.5341941674782
"ivy_24",4.90620782543561,5.39392730070259,5.70734102734164,3.94351162612313,3.59792971473127,9.69415924395596,2.67966715625207,3.42036931027401,3.41777830323512,0,4.92492851115047,3.2870097236522,5.02507635037953,3.93543006090277,4.56022893823996,4.08971105589176,4.50238819698449,4.76974071430891,3.38497168281997,4.43336865067791,4.9690550391618,5.79341002785577,3.12626456699499,9.98725953551282,3.09397433135109,1.9804432890492,2.94087303737357,4.62108517824438,5.66590830861226,2.74825378197639,9.4516427234355,4.37141556266625,3.89008857816583,6.46673723324204
