"Taxa"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"jarjarbinks_3"	"goose_4"	"padme_5"	"korra_6"	"padme_6"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"
"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"	0.0445105455132778	0.0453251587475367	0.0603399894997918	0.0398604148235525	0.0453385651185728	0.0417705611298398	0.0462510574383233	0.0477900882228468	0.0299072349817229	0.0462960985713981	0.0202256610891815	0.0348637631409569	0.0903863745262883	0.0319309647759507	0.110378556567321	0.0312537564611131	0.02242471805604	0.0339066339066339	0.0350254978909152	0.0767832167832168	0.0963377086371739	0.0264841176950924	0.0822878758858456	0.0889754458319013	0.0433214034179926	0.0375067991890422	0.0728822830412886	0.0634070801771845	0.104351376574895	0.0384947405441698	0.0739387123980883	0.0478625534660326	0.037830920579061
"Acetate -- Production"	0.0504865606955866	0.0484021527433649	0.0531708818364502	0.0451522002686851	0.0512886487413697	0.04943049211067	0.052276297843689	0.0467266393931831	0.0515380371060073	0.049787524824361	0.0458483250078597	0.0478867195880712	0.0596985668859172	0.0481029442131919	0.0667135021211057	0.050006010337781	0.0355627252645041	0.0425061425061425	0.0511216973410841	0.05	0.0546642899584076	0.0494297612890933	0.0520254740471174	0.0589414595028067	0.0506662067181234	0.0490530583988528	0.0520021879774412	0.0521709902404475	0.0597099082283403	0.0517952489049461	0.0527932848708783	0.0500370379220531	0.0458689914420539
"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Production"	0.049827045506548	0.0471690502806172	0.0524105219327625	0.0429896130279498	0.0506775590720014	0.0425684706070096	0.0516720473732369	0.0436665111282324	0.0505034829988275	0.0490721561425612	0.0241467845041394	0.0390688693413431	0.0565840484383848	0.0391148884372521	0.0656326839417439	0.0264454862363265	0.0270608068829206	0.0152334152334152	0.048120711002917	0.0497377622377622	0.0505860746502458	0.0394403767113966	0.0443401647194024	0.0562874708824989	0.0495163353599816	0.0430203233941552	0.0456268743987778	0.0502262823667815	0.0591071706330689	0.0476708124180708	0.0523916623157556	0.0397381060479342	0.0336919139406542
"Succinate -- Production"	0.0438241113369315	0.0460511910386871	0.0491518366312435	0.0410236246272814	0.0414683305459068	0.0394566236460474	0.0416069609654196	0.0387182186146951	0.0283898889578592	0.0407439834290717	0.0442589164075872	0.041643424157906	0.0488957616413294	0.039908271837063	0.0644437839444459	0.0390671955763914	0.033658876874782	0.0393120393120393	0.0344169062559023	0.0468181818181818	0.0529357748609086	0.0299681537330902	0.0495594713656388	0.0489746820941689	0.0423008925876418	0.0376304208079909	0.0512854367467039	0.0489178060814136	0.0518937626380463	0.0388784090545768	0.0468894333105747	0.0425338717771034	0.0367111893145645
"D-Glucose (Glucose) -- Consumption"	0.0502846682907789	0.0492434282553329	0.0443905353295798	0.0436121760214948	0.0483082464942751	0.0391973030659672	0.0489442881066243	0.043850986945623	0.0514776881164218	0.0492856990326507	0.0289848744192545	0.0449259815490238	0.0258962407980137	0.0421145297844823	0.0286957226620552	0.0411107104219257	0.0432653179862807	0.0361179361179361	0.0507859226459046	0.0207167832167832	0.0273051369308054	0.0461090394403767	0.0279400497988891	0.0358002062091878	0.050378738878588	0.0484349503041092	0.0255767018126261	0.0382339171458411	0.0335199875563851	0.0480225085526105	0.0399815253624644	0.03734856268967	0.046368871470847
"D-Mannose (Mannose) -- Consumption"	0.0502173708225097	0.0490705634241066	0.0442819124861958	0.0436121760214948	0.0482224795231356	0.0391574075921087	0.0487889094142223	0.0428852017839897	0.0514000965583833	0.0492643447436418	0.028880078247808	0.0447972538081957	0.0257437818530296	0.0418645596722131	0.0285335999351509	0.0406298833994471	0.0420299965120335	0.0361179361179361	0.0505550775429687	0.0109440559440559	0.0267649759628369	0.0458096300933613	0.02765274851561	0.0352655897964639	0.0500912710390525	0.0469267665529348	0.0256144255616123	0.0375976855575429	0.0331311245916939	0.046679668766186	0.0397606329571469	0.0367511768501039	0.0461889146604815
"Formate -- Production"	0.000363406328653916	0.00197065907597986	0.0349041403407137	0.00127789246043448	0.00824435010077619	0.0217230855159482	0.0136042677347513	0.00993999110175469	0.000284502379474447	0.00427085780178949	0.0181297376602508	0.00581420296073804	0.108594328527247	0.00718392366130137	0.153692345105245	0.00432744320230797	0.0144605278455993	0.013022113022113	0.00107028184088477	0.125891608391608	0.128855398908875	0.00277634121777947	0.110371576326374	0.109825485928132	0.000287467839535452	0.00163180537012313	0.100307448554237	0.0485936881024693	0.135849276714886	0.00808901109441443	0.0635969316036789	0.0431312576166695	0.00399904023034472
"Sucrose -- Consumption"	0.0507557505686636	0.0480909960471575	0.0412223690642142	0.0969232281529539	0.0534113812770702	0.0725898146855239	0.0476322013707854	0.0469436697665838	0.0513483688530243	0.0517627965576886	0.0277011213190345	0.0431667024243725	0.0338458857864704	0.040755996565628	0.0130238590613094	0.041711744200024	0.0330339495407511	0.0343980343980344	0.0504081761138276	0.00442307692307692	0.0118295251985092	0.0490214758158905	0.0125694311434591	0.0234276549432925	0.0507955672459144	0.0464075557533501	0.0152969802138937	0.0330840425915033	0.0177127080416861	0.0469674201489913	0.0375918711594843	0.032402207938063	0.0447292649764057
"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"	0.0500693163923173	0.0478605096055225	0.0441551858355812	0.0434647268914447	0.0480080620952871	0.0389778779597455	0.0487198522175992	0.0432975594934511	0.0513483688530243	0.0492002818766149	0.0288102141335103	0.0433597940356147	0.0256131027573289	0.0416037212941931	0.0284795590261828	0.0400288496213487	0.0334990117428206	0.0353808353808354	0.0505131057060712	0.00842657342657343	0.026575919624048	0.0453741255886116	0.0272936219115112	0.0352083094665292	0.0500050306871919	0.0468278692577758	0.0249919837033404	0.0375616724487714	0.0331311245916939	0.0459762764971065	0.039178280252219	0.0366555951157734	0.0447292649764057
"D-Xylose (Xylose) -- Consumption"	0.0500693163923173	0.0478605096055225	0.0441189782211199	0.0434647268914447	0.0480080620952871	0.0389778779597455	0.0486680593201319	0.0427658350786193	0.0513483688530243	0.0492002818766149	0.0288102141335103	0.043316884788672	0.0256131027573289	0.0416037212941931	0.0284795590261828	0.0400288496213487	0.0334990117428206	0.0353808353808354	0.0505131057060712	0.00699300699300699	0.026575919624048	0.0453741255886116	0.0272936219115112	0.0352083094665292	0.0499619105112615	0.0468278692577758	0.0249919837033404	0.0374896462312282	0.0331311245916939	0.0459762764971065	0.039178280252219	0.0366555951157734	0.0446692793729505
"Trehalose -- Consumption"	0.0499750999367404	0.0476876447742962	0.0437025906548147	0.0426619482945051	0.0478579698957931	0.037561588637769	0.0487198522175992	0.0425705077425586	0.0513483688530243	0.0490294475645433	0.0245572361756384	0.0381034112851319	0.024829028183125	0.040299529404093	0.0284795590261828	0.0384661617982931	0.0278891989303569	0.0326781326781327	0.0504501479507251	0.0108741258741259	0.0252795333009237	0.0436321075696127	0.0244684926259337	0.0351892160232176	0.0499619105112615	0.0465064530485091	0.0220118075334327	0.0371175107739217	0.0331311245916939	0.0461041660005755	0.0389975501024138	0.0304427823842864	0.0446692793729505
"Raffinose -- Consumption"	0.0501231543669327	0.0479642285042582	0.0410956424135996	0.0439070742815951	0.0476649942107294	0.04097265165267	0.0474077654817603	0.0431998958254208	0.0513483688530243	0.049360439044182	0.0439095958360988	0.0446899806908389	0.0262882780851157	0.0466248600710785	0.012780674970953	0.042432984733742	0.0350395302871759	0.0383292383292383	0.0505131057060712	0.0107167832167832	0.0128558310376492	0.0462723536296579	0.0145087148055928	0.023446748386604	0.050120017823006	0.0469514908767245	0.015806250825207	0.0335402086359435	0.0177127080416861	0.0461041660005755	0.0327523193702558	0.0378742622284881	0.044849236183316
"D-Fructose (Fructose) -- Consumption"	0.0501635328478943	0.0484252013875284	0.0409327081485236	0.0446279366951735	0.0480723873236417	0.0417306656559813	0.0472523867893583	0.0426247653359088	0.0510035174839644	0.0494565333447223	0.0446257030076501	0.0458485303582922	0.0259398004965806	0.047505189596896	0.0124834499716285	0.0408702969106864	0.0410708057202651	0.0321867321867322	0.0480367673291222	0.0134965034965035	0.0128558310376492	0.0449658401154087	0.0140059375598544	0.0226639172108298	0.0499619105112615	0.0456658260396578	0.0162777976875342	0.0335642173751245	0.017537719707575	0.047191226780062	0.0327924816257681	0.0371812946545915	0.0408901863552747
