"","Ivy_17","Ophelia_20","Franc_22","Grogu_22","Hamlet_23","Franc_24","Hera_24","Ivy_24","Kubo_24","Ophelia_24","Henry_25","Kubo_25","Ginger_44","Iris_44","Korra_45","Hamlet_46","Joans_46","Ginger_47","Marshmallow_47","Charles_48","Grogu_48","Hera_48","Kubo_48","Kubo_49","Franc_50","Kubo_52","Kubo_53","Marshmallow_53","Ginger_55","Ophelia_55","Buddy_56"
"Hamlet_46",19.2823430953754,16.5169676138946,19.7918412717262,20.5090060009312,13.7585980039,19.8873348733731,10.4574421584762,19.2056191779813,17.4497117863572,15.2695477401823,17.7281153011269,16.7713167682257,17.9629285031161,21.6386066286685,16.2632231908735,0,18.5003664417182,20.5931874759009,19.7834954604409,23.5735775181484,18.1124109451378,11.0664179636191,18.5877926675766,16.6422745910447,20.0730513673865,18.0331119132901,18.407688796013,18.7370934461678,18.3493578706728,18.2541827460004,20.6675555036115
"Joans_46",15.4964431019936,22.0508672339227,15.3784388070384,16.222681723898,19.9432156897007,17.5115075888624,17.9167179094283,22.4921060138309,18.0365888482562,21.3106307101706,20.0210436221517,14.2724283662551,16.4632704930969,19.4501337128714,17.1315186215942,18.5003664417182,0,18.9514565872119,15.9499962583434,24.2116767730524,13.5325910587466,20.4058711609489,19.5730271700259,17.6790705387975,12.0258893633089,19.3617407141956,20.3179941974345,14.6436786259381,16.7713521181081,24.7292793932532,15.0306275227115
"Ginger_47",15.380726729472,20.8175381901051,15.9891824414542,20.2970983736592,21.2419047136221,17.3625983342484,19.8364571297579,21.3147794402683,13.8910242395665,23.1468472524398,14.9140202230709,20.5238114958905,11.8550155926025,22.2832587116687,14.987424738861,20.5931874759009,18.9514565872119,0,15.0021358359821,26.5819546838625,19.5779146792502,21.3075132698621,20.1316192851383,19.1193074922852,17.0480449351131,15.9621509686418,20.3786096212797,19.8112969295597,13.7855928110057,22.3256737028182,17.5485827622314
"Marshmallow_47",15.2733890467412,19.3571503147559,17.660880542602,16.5522398836181,19.7553464655647,18.061513475973,19.6426433347938,22.9311785668998,15.0622563234785,22.345119432652,15.3406546846751,14.8697573291534,18.299911897425,24.0457014454864,12.6972060642627,19.7834954604409,15.9499962583434,15.0021358359821,0,24.479436075439,14.1930035386558,18.887825204722,21.311724176222,19.3348889878056,18.4729404935361,12.9493453805818,20.5126216827789,15.3378533272611,18.9419512060422,21.2211538736019,13.8949296279915
"Charles_48",25.0672346783722,24.054187890033,25.5358697598416,23.2522652939275,21.4229329884554,23.6768852971298,21.0086788932203,21.7348437251946,25.549328792148,22.8142637704572,24.7062480397784,21.1935297384203,25.0568257852905,24.0076350990991,25.4438150341253,23.5735775181484,24.2116767730524,26.5819546838625,24.479436075439,0,22.608536681467,22.0844160786768,21.6543405888294,21.322268106147,26.7593544175182,23.4164805302688,23.0233518333257,22.014818958709,25.4664782030658,25.1988053177959,25.7568324267401
"Grogu_48",18.0742905103416,19.8563160234906,18.7001796297805,8.71870465607311,17.8586587779106,19.4343647605389,16.9448109460116,21.5551726538817,19.5708732263083,19.7452825599947,20.2168184612585,11.8537223264363,17.4462643301174,21.9201328741295,17.9932338455078,18.1124109451378,13.5325910587466,19.5779146792502,14.1930035386558,22.608536681467,0,18.718357075713,19.6106833108157,18.1217340582385,16.5065277794952,19.6012479900489,20.5329013669193,5.40298922803291,18.3254368929546,22.7182943971123,16.0566709563245
"Hera_48",19.0039557041461,14.4083414482418,19.0487802942716,20.2429323173654,11.9583935570855,18.1027390680715,11.3511475211005,17.7546816367508,17.3649225547752,14.3965111817249,18.9506020071904,16.8637690429441,20.3262087360878,21.5893698287313,17.9380456799536,11.0664179636191,20.4058711609489,21.3075132698621,18.887825204722,22.0844160786768,18.718357075713,0,17.268961886657,15.9264767827829,21.1675128114845,16.5990867608729,17.266469414407,18.8905944931906,19.9714617367956,17.2541260245634,20.9904771935134
"Kubo_48",18.5312457476789,20.6682763865304,16.4039849861476,19.4576058757491,17.7113641964198,16.0959152326022,17.164055312895,13.7859074456064,19.0787293559087,18.6671141742254,21.1758375644869,17.3650232218147,16.7089618500075,18.8419550687964,21.0136621312082,18.5877926675766,19.5730271700259,20.1316192851383,21.311724176222,21.6543405888294,19.6106833108157,17.268961886657,0,9.26029839694774,19.133126363437,19.2843437132942,11.1475372968636,19.7161126193321,16.2395316239524,21.4468188908181,22.3480721666343
"Kubo_49",16.5186037633929,19.0567550712032,15.5560903586507,18.8658044841408,16.5711214933373,14.5684675228275,15.133160483657,14.4901172111387,18.0063578297534,17.1588621178447,19.6498641879943,16.0312353940847,14.92016209867,18.5063872443344,18.6195450248565,16.6422745910447,17.6790705387975,19.1193074922852,19.3348889878056,21.322268106147,18.1217340582385,15.9264767827829,9.26029839694774,0,17.2002584383608,17.6516932438274,9.06295137374569,18.5960143749728,14.8112002266038,20.9967057337125,21.152298766254
"Franc_50",13.2204342319036,22.1199681504711,13.0470812075407,17.6214087619119,21.195969954835,15.0367556075073,18.8088169328224,21.9190526371167,18.2597549044725,21.0845017175728,21.2531974043002,18.2072961045416,14.5180324255829,16.8679118658942,18.3292835546264,20.0730513673865,12.0258893633089,17.0480449351131,18.4729404935361,26.7593544175182,16.5065277794952,21.1675128114845,19.133126363437,17.2002584383608,0,19.9676765182825,19.3635540994886,17.107201194405,15.1024600495997,25.196115819472,17.7173040608731
"Kubo_52",15.0113016028252,15.5723983454754,17.4971281230619,21.6004370468258,18.82371507072,16.6382522443064,18.1873997873649,23.0000124978421,12.6736938453419,19.3531292605752,13.6009363696575,17.2855862169212,19.0995195527692,23.1741244423839,11.3598820219245,18.0331119132901,19.3617407141956,15.9621509686418,12.9493453805818,23.4164805302688,19.6012479900489,16.5990867608729,19.2843437132942,17.6516932438274,19.9676765182825,0,18.0936035630566,20.0604763731391,19.4527922268093,18.6133702477109,16.8959071639522
"Kubo_53",17.5033850023139,19.4320863201986,16.7363924528305,20.7503169267055,18.4738692255671,16.5720462492627,16.7469013372742,15.3577253629752,18.3904684079116,18.3378064529013,20.4242317337509,18.490692405007,16.9254600333639,19.6451567541757,19.7541441484731,18.407688796013,20.3179941974345,20.3786096212797,20.5126216827789,23.0233518333257,20.5329013669193,17.266469414407,11.1475372968636,9.06295137374569,19.3635540994886,18.0936035630566,0,20.6353901426956,16.4447029571341,21.1432291654296,21.0515675992926
"Marshmallow_53",18.0186013043827,19.9768220069053,18.9860545429212,7.84522677190442,17.8592193077431,19.6581215636976,17.268906005027,21.1475534414519,20.1384751371433,19.9009023678987,20.3773611124194,13.0279197047478,18.0922421107118,21.8075911439617,19.3182152813357,18.7370934461678,14.6436786259381,19.8112969295597,15.3378533272611,22.014818958709,5.40298922803291,18.8905944931906,19.7161126193321,18.5960143749728,17.107201194405,20.0604763731391,20.6353901426956,0,18.9819300195715,22.3551179855204,16.3170737739912
"Ginger_55",17.1389733982044,21.7123101111843,14.9421094038807,19.1840255797095,20.8356299012426,17.7051763539456,16.365505954408,18.2832268508736,16.0539547763309,20.3158829445807,18.1605308060734,19.5739378364542,8.93149380456525,19.4595735496414,17.4078261154731,18.3493578706728,16.7713521181081,13.7855928110057,18.9419512060422,25.4664782030658,18.3254368929546,19.9714617367956,16.2395316239524,14.8112002266038,15.1024600495997,19.4527922268093,16.4447029571341,18.9819300195715,0,23.102540331691,20.1695861542698
"Ophelia_55",21.9470338770765,16.6497149095812,22.5773010905586,23.0138123297689,18.9064444544746,22.1406352280461,18.3874298479398,21.5038684630727,19.577482824027,18.0098716195675,19.1277010887538,21.3554096180484,23.4065674156249,24.8050862367771,20.5376310795042,18.2541827460004,24.7292793932532,22.3256737028182,21.2211538736019,25.1988053177959,22.7182943971123,17.2541260245634,21.4468188908181,20.9967057337125,25.196115819472,18.6133702477109,21.1432291654296,22.3551179855204,23.102540331691,0,22.5004592889964
"Buddy_56",16.1280637523659,18.2464585779008,17.1537405859405,17.5421079002004,21.0515307869768,18.924431075781,20.6439195340508,23.5813703213124,16.1709815915394,22.13758981423,17.7716796141262,17.2307164908095,19.4700824591881,22.6741615863702,16.9349451141998,20.6675555036115,15.0306275227115,17.5485827622314,13.8949296279915,25.7568324267401,16.0566709563245,20.9904771935134,22.3480721666343,21.152298766254,17.7173040608731,16.8959071639522,21.0515675992926,16.3170737739912,20.1695861542698,22.5004592889964,0
