"","Ivy_17","Ophelia_20","Franc_22","Grogu_22","Hamlet_23","Franc_24","Hera_24","Ivy_24","Kubo_24","Ophelia_24","Henry_25","Kubo_25","Ginger_44","Iris_44","Korra_45","Hamlet_46","Joans_46","Ginger_47","Marshmallow_47","Charles_48","Grogu_48","Hera_48","Kubo_48","Kubo_49","Franc_50","Kubo_52","Kubo_53","Marshmallow_53","Ginger_55","Ophelia_55","Buddy_56"
"Ivy_17",0,20.1014269299661,9.72919098815798,18.8553825139462,19.8382472321735,10.00593204723,18.870489156856,21.6645286506037,14.4919774348006,21.4165586672845,17.531146680491,18.842917727191,16.1359379780268,17.9068115229604,15.1393755801345,19.2823430953754,15.4964431019936,15.380726729472,15.2733890467412,25.0672346783722,18.0742905103416,19.0039557041461,18.5312457476789,16.5186037633929,13.2204342319036,15.0113016028252,17.5033850023139,18.0186013043827,17.1389733982044,21.9470338770765,16.1280637523659
"Ophelia_20",20.1014269299661,0,20.5269731707335,21.0343272275963,16.4576243117407,20.0642768142923,15.5791744648781,21.8495316809978,16.9182046201447,12.5023015841883,18.276626292621,18.0559419333477,21.7507283430399,23.2801668534927,18.5032528819419,16.5169676138946,22.0508672339227,20.8175381901051,19.3571503147559,24.054187890033,19.8563160234906,14.4083414482418,20.6682763865304,19.0567550712032,22.1199681504711,15.5723983454754,19.4320863201986,19.9768220069053,21.7123101111843,16.6497149095812,18.2464585779008
"Franc_22",9.72919098815798,20.5269731707335,0,19.1260011190129,20.377094646992,10.3926569894666,19.0888312521628,19.7884731977115,14.7060625278164,20.8937306486725,20.0044632722381,19.4504385324254,15.5534431124812,16.8929076312687,17.4991607476706,19.7918412717262,15.3784388070384,15.9891824414542,17.660880542602,25.5358697598416,18.7001796297805,19.0487802942716,16.4039849861476,15.5560903586507,13.0470812075407,17.4971281230619,16.7363924528305,18.9860545429212,14.9421094038807,22.5773010905586,17.1537405859405
"Grogu_22",18.8553825139462,21.0343272275963,19.1260011190129,0,19.3855597440518,19.4114099531421,18.6778691698007,21.0675677655944,20.9183919726187,20.9871534277215,21.4175860930535,15.0097923842776,18.5056011001201,22.401139228073,21.1003401484838,20.5090060009312,16.222681723898,20.2970983736592,16.5522398836181,23.2522652939275,8.71870465607311,20.2429323173654,19.4576058757491,18.8658044841408,17.6214087619119,21.6004370468258,20.7503169267055,7.84522677190442,19.1840255797095,23.0138123297689,17.5421079002004
"Hamlet_23",19.8382472321735,16.4576243117407,20.377094646992,19.3855597440518,0,19.6666212085457,11.5749351741031,18.6891022611851,19.1109252472128,17.7734868453312,19.2685039734107,16.8248711390942,20.5047705986254,22.8547075578547,19.4588140340447,13.7585980039,19.9432156897007,21.2419047136221,19.7553464655647,21.4229329884554,17.8586587779106,11.9583935570855,17.7113641964198,16.5711214933373,21.195969954835,18.82371507072,18.4738692255671,17.8592193077431,20.8356299012426,18.9064444544746,21.0515307869768
"Franc_24",10.00593204723,20.0642768142923,10.3926569894666,19.4114099531421,19.6666212085457,0,19.0881642341633,19.1655629267234,16.4471565777834,20.3412839513977,19.6617410752298,19.1757943548053,17.0144775379492,16.5248952637033,18.0004844063806,19.8873348733731,17.5115075888624,17.3625983342484,18.061513475973,23.6768852971298,19.4343647605389,18.1027390680715,16.0959152326022,14.5684675228275,15.0367556075073,16.6382522443064,16.5720462492627,19.6581215636976,17.7051763539456,22.1406352280461,18.924431075781
"Hera_24",18.870489156856,15.5791744648781,19.0888312521628,18.6778691698007,11.5749351741031,19.0881642341633,0,17.2201647160505,17.8016879233836,13.1282372652245,17.2936605042009,16.1663388279482,16.3828753776339,20.1899545559065,17.2690561000115,10.4574421584762,17.9167179094283,19.8364571297579,19.6426433347938,21.0086788932203,16.9448109460116,11.3511475211005,17.164055312895,15.133160483657,18.8088169328224,18.1873997873649,16.7469013372742,17.268906005027,16.365505954408,18.3874298479398,20.6439195340508
"Ivy_24",21.6645286506037,21.8495316809978,19.7884731977115,21.0675677655944,18.6891022611851,19.1655629267234,17.2201647160505,0,22.4390586634422,19.2787175660632,22.0328900597915,20.3637978453086,18.2393020652626,18.6938688336425,23.6322742425955,19.2056191779813,22.4921060138309,21.3147794402683,22.9311785668998,21.7348437251946,21.5551726538817,17.7546816367508,13.7859074456064,14.4901172111387,21.9190526371167,23.0000124978421,15.3577253629752,21.1475534414519,18.2832268508736,21.5038684630727,23.5813703213124
"Kubo_24",14.4919774348006,16.9182046201447,14.7060625278164,20.9183919726187,19.1109252472128,16.4471565777834,17.8016879233836,22.4390586634422,0,19.7395362771178,15.5053230272655,18.7511622150233,15.9758816468154,22.581963482869,12.1794906149565,17.4497117863572,18.0365888482562,13.8910242395665,15.0622563234785,25.549328792148,19.5708732263083,17.3649225547752,19.0787293559087,18.0063578297534,18.2597549044725,12.6736938453419,18.3904684079116,20.1384751371433,16.0539547763309,19.577482824027,16.1709815915394
"Ophelia_24",21.4165586672845,12.5023015841883,20.8937306486725,20.9871534277215,17.7734868453312,20.3412839513977,13.1282372652245,19.2787175660632,19.7395362771178,0,21.1209800310449,17.0075772412577,20.4441561392022,20.5359050472211,20.1716677176881,15.2695477401823,21.3106307101706,23.1468472524398,22.345119432652,22.8142637704572,19.7452825599947,14.3965111817249,18.6671141742254,17.1588621178447,21.0845017175728,19.3531292605752,18.3378064529013,19.9009023678987,20.3158829445807,18.0098716195675,22.13758981423
"Henry_25",17.531146680491,18.276626292621,20.0044632722381,21.4175860930535,19.2685039734107,19.6617410752298,17.2936605042009,22.0328900597915,15.5053230272655,21.1209800310449,0,19.632818206423,17.1387465445239,24.3647037534814,12.3853193112408,17.7281153011269,20.0210436221517,14.9140202230709,15.3406546846751,24.7062480397784,20.2168184612585,18.9506020071904,21.1758375644869,19.6498641879943,21.2531974043002,13.6009363696575,20.4242317337509,20.3773611124194,18.1605308060734,19.1277010887538,17.7716796141262
"Kubo_25",18.842917727191,18.0559419333477,19.4504385324254,15.0097923842776,16.8248711390942,19.1757943548053,16.1663388279482,20.3637978453086,18.7511622150233,17.0075772412577,19.632818206423,0,18.887680405814,21.9775944260841,17.1774672988562,16.7713167682257,14.2724283662551,20.5238114958905,14.8697573291534,21.1935297384203,11.8537223264363,16.8637690429441,17.3650232218147,16.0312353940847,18.2072961045416,17.2855862169212,18.490692405007,13.0279197047478,19.5739378364542,21.3554096180484,17.2307164908095
"Ginger_44",16.1359379780268,21.7507283430399,15.5534431124812,18.5056011001201,20.5047705986254,17.0144775379492,16.3828753776339,18.2393020652626,15.9758816468154,20.4441561392022,17.1387465445239,18.887680405814,0,19.1987069310576,16.2228726498134,17.9629285031161,16.4632704930969,11.8550155926025,18.299911897425,25.0568257852905,17.4462643301174,20.3262087360878,16.7089618500075,14.92016209867,14.5180324255829,19.0995195527692,16.9254600333639,18.0922421107118,8.93149380456525,23.4065674156249,19.4700824591881
"Iris_44",17.9068115229604,23.2801668534927,16.8929076312687,22.401139228073,22.8547075578547,16.5248952637033,20.1899545559065,18.6938688336425,22.581963482869,20.5359050472211,24.3647037534814,21.9775944260841,19.1987069310576,0,23.3912520325343,21.6386066286685,19.4501337128714,22.2832587116687,24.0457014454864,24.0076350990991,21.9201328741295,21.5893698287313,18.8419550687964,18.5063872443344,16.8679118658942,23.1741244423839,19.6451567541757,21.8075911439617,19.4595735496414,24.8050862367771,22.6741615863702
"Korra_45",15.1393755801345,18.5032528819419,17.4991607476706,21.1003401484838,19.4588140340447,18.0004844063806,17.2690561000115,23.6322742425955,12.1794906149565,20.1716677176881,12.3853193112408,17.1774672988562,16.2228726498134,23.3912520325343,0,16.2632231908735,17.1315186215942,14.987424738861,12.6972060642627,25.4438150341253,17.9932338455078,17.9380456799536,21.0136621312082,18.6195450248565,18.3292835546264,11.3598820219245,19.7541441484731,19.3182152813357,17.4078261154731,20.5376310795042,16.9349451141998
