"ID"	"wolverine_1"	"hamlet_11"	"joans_11"	"ginger_14"	"kubo_14"	"wolverine_14"	"kubo_15"	"ivy_17"	"kubo_17"	"wolverine_17"	"ginger_18"	"hamlet_18"	"ivy_18"	"kubo_18"	"wolverine_18"	"ivy_19"	"ophelia_19"	"wolverine_19"	"ginger_2"	"ginger_20"	"hamlet_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"joans_21"	"korra_21"	"kubo_21"	"hamlet_22"	"henry_22"	"joans_22"	"korra_22"	"kubo_22"	"marshmallow_22"	"hamlet_23"	"korra_23"	"ginger_24"	"henry_24"	"ivy_24"	"kubo_24"	"marshmallow_24"	"ophelia_24"	"wolverine_24"	"henry_25"	"kubo_25"	"ginger_29"	"henry_29"	"joans_29"	"korra_29"	"kubo_30"	"hamlet_31"	"ginger_36"	"henry_36"	"joans_36"	"kubo_37"	"ophelia_37"	"wolverine_37"	"ginger_41"	"hamlet_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"henry_42"	"ivy_42"	"ophelia_43"	"ginger_44"	"ivy_44"	"joans_44"	"marshmallow_44"	"hamlet_45"	"henry_45"	"ivy_45"	"joans_45"	"korra_45"	"marshmallow_45"	"ophelia_45"	"charles_46"	"hamlet_46"	"ivy_46"	"joans_46"	"marshmallow_46"	"ginger_47"	"ivy_47"	"marshmallow_47"	"charles_48"	"hamlet_48"	"henry_48"	"ivy_48"	"joans_48"	"korra_48"	"kubo_48"	"marshmallow_48"	"ophelia_48"	"wolverine_48"	"charles_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"kubo_49"	"marshmallow_49"	"ophelia_49"	"wolverine_49"	"charles_50"	"ginger_50"	"ivy_50"	"joans_50"	"korra_50"	"kubo_50"	"ophelia_50"	"wolverine_50"	"charles_51"	"joans_51"	"charles_52"	"ginger_52"	"kubo_52"	"marshmallow_52"	"kubo_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"ophelia_55"	"joans_56"	"joans_57"	"ophelia_57"	"wolverine_57"	"ginger_58"	"wolverine_58"	"hamlet_59"	"henry_59"	"ophelia_59"	"korra_6"	"joans_60"	"marshmallow_60"	"wolverine_60"	"joans_62"	"henry_66"	"hamlet_67"	"ivy_67"	"ginger_7"	"charles_9"	"henry_9"	"ivy_9"	"korra_9"	"ophelia_9"
"c__Negativicutes"	2606	1374	1830	2931	968	2228	2249	1543	2257	2805	2573	2592	1281	2524	2888	2000	2346	2210	343	2449	1609	1436	1338	2445	2125	1968	2322	621	2036	1995	1407	2221	2179	2404	1768	2434	2164	4171	2082	1023	1832	3066	1429	1126	2948	1939	2136	1791	1405	2427	1920	2324	1746	2667	661	2671	2081	4020	4146	101	1211	2361	1050	1917	3083	4947	1741	1616	1159	3269	1448	1478	1292	625	1972	1801	1688	3053	1985	1367	3156	2133	985	1916	1917	2465	2016	2163	1924	2078	1951	1428	1858	812	3426	3001	2544	2036	2356	1581	1338	2188	2800	3246	2881	1530	2361	2384	346	2349	2137	1289	1724	2807	1195	1583	2306	341	2171	5827	1817	1510	2519	982	1272	1481	2900	2480	1778	2772	994	3347	2693	1106	2518	2809	1047	269	2098	1967	1477	2291	1120	1445	2332
"c__Bacteroidia"	522	603	668	328	318	609	337	1356	449	772	719	738	1533	743	460	723	1056	1181	199	1043	775	675	698	578	535	633	603	257	1023	819	524	484	491	797	432	1193	840	1195	573	216	1215	470	978	627	525	977	351	179	168	760	918	821	338	559	463	445	433	1173	638	3112	1142	866	2323	553	614	1026	1045	400	2125	436	1197	1464	1741	162	668	1196	1560	240	1019	252	245	1051	307	907	1218	508	1102	689	874	1257	215	1657	788	186	260	600	729	1234	983	224	1712	745	472	350	538	1784	1161	849	280	244	981	2064	1408	589	1044	801	720	83	1000	1047	1242	625	774	243	1890	303	551	229	1037	896	1182	1364	376	440	497	758	1922	3084	348	665	211	1522	996	1501	671
"c__Gammaproteobacteria"	111	36	1104	39	2272	24	506	486	357	24	153	61	335	127	29	269	40	26	3294	66	1174	960	1434	426	976	864	452	2819	445	562	1571	921	1003	84	1304	23	490	160	648	2418	51	16	1128	2027	36	422	1130	1839	2035	178	254	108	1556	113	2561	45	910	599	1264	2	1112	31	41	549	2	418	889	1674	25	6	706	762	389	2871	546	711	74	25	645	2070	327	21	2265	548	24	27	59	385	596	85	1374	222	822	2048	4	32	131	495	48	1697	280	314	418	7	57	365	85	64	3190	1064	219	454	43	14	1223	1000	97	3490	46	44	38	1151	345	2548	130	1754	18	829	269	35	1366	1712	509	2115	292	161	98	40	767	4971	1714	2736	1372	54	56
"c__Clostridia"	522	435	282	457	222	1019	679	502	847	363	210	552	345	477	567	662	413	398	53	291	405	779	453	466	199	454	570	234	355	494	416	321	264	452	405	270	299	1533	635	332	784	383	178	173	421	367	274	160	271	511	596	563	208	396	268	584	343	1894	1464	55	270	403	331	856	184	1364	228	252	292	213	465	160	394	325	670	238	430	465	249	232	174	203	366	550	766	742	680	537	470	395	427	535	369	274	264	291	350	143	450	425	568	502	235	328	425	185	301	520	148	183	453	142	627	468	448	378	678	80	314	859	733	572	258	184	530	385	473	388	724	114	341	1256	349	300	267	130	403	149	452	271	483	71	380	726	867
"c__Betaproteobacteria"	67	30	65	112	30	18	30	82	67	25	242	43	86	73	37	63	97	34	79	40	24	134	51	34	113	47	20	19	79	29	73	39	55	49	81	60	112	131	43	3	44	42	161	36	66	131	51	29	16	97	195	73	146	53	16	36	156	188	361	280	193	200	133	78	63	208	88	44	166	64	140	135	142	5	90	40	182	64	98	42	81	375	65	18	48	33	108	152	82	61	22	56	95	9	22	64	208	75	117	37	77	171	60	52	88	116	87	100	7	114	127	44	168	107	78	166	36	4	38	122	133	50	89	37	91	36	51	27	43	135	60	66	68	35	206	127	121	344	86	102	22	148	110	205	43
"c__Fusobacteriia"	103	1501	27	123	183	56	185	4	1	0	23	5	344	2	3	194	0	121	27	56	5	0	0	10	39	0	3	3	39	86	0	2	0	202	0	14	34	597	0	0	1	1	28	7	1	19	49	0	13	5	30	95	0	180	12	90	69	97	113	0	25	55	91	27	1	1	0	0	37	0	2	0	0	0	21	4	4	20	0	0	0	167	0	42	7	7	15	47	0	112	0	27	21	14	0	6	22	0	17	0	3	37	4	0	0	0	0	14	2	28	23	0	19	1	2	0	57	0	28	0	2	25	1	2	7	30	0	18	80	32	1	192	0	0	80	1	129	18	129	0	68	1100	0	2	15
"c__Coriobacteriia"	62	17	13	9	3	28	11	20	21	11	56	8	23	47	13	23	40	27	3	27	6	7	5	39	2	30	22	47	21	12	6	6	5	1	7	4	49	86	13	5	46	19	91	3	2	139	5	2	79	19	70	13	1	21	10	125	3	19	5	26	41	77	24	5	53	24	6	12	193	9	31	1	37	12	14	8	59	128	3	20	11	45	10	8	17	196	3	5	47	6	8	62	45	2	21	5	11	3	19	31	18	38	6	14	4	16	3	44	8	16	35	3	3	11	8	47	94	2	384	86	19	61	3	3	66	11	3	24	69	2	37	13	2	1	112	9	249	40	108	10	1	118	21	64	13
"c__Bacilli"	4	4	5	0	2	3	1	0	1	0	20	0	10	1	3	39	6	0	0	22	1	0	6	0	8	4	2	0	0	0	0	4	2	7	1	1	12	101	4	3	2	1	4	0	1	6	1	0	9	3	16	0	5	5	0	3	2	2	2	0	3	3	2	2	0	1	1	1	0	1	0	0	4	0	3	0	1	1	1	13	3	4	1	1	1	20	4	12	3	1	0	1	1	642	1	1	2	10	3	3	0	0	3	2	2	3	0	17	5	1	16	1	3	1	1	13	2	0	14	8	8	2	8	0	2	0	1	5	0	12	2	28	1	0	26	4	30	0	0	6	9	9	0	2	2
"c__Actinomycetes"	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	403	0	1	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	31	0	0	0	0	0	0	0
"c__Mollicutes"	3	0	0	0	2	3	2	1	0	0	0	0	26	3	0	11	0	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	3	6	1	0	0	0	2	0	0	1	11	0	1	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	7	0	0	0	0	3	0	5	0	0	0	0	0	5	0	0	0	10	0	0	0	0	0	0	0	9	0	0	0	1	1	0	0	12	0	0	0	0	0	6	12	0	0	0	0	0	5	6	0	0	0	0	0	0
