"ID"	"Hera_1"	"Wolverine_1"	"Hamlet_11"	"Hera_11"	"JarJarBinks_11"	"Hera_14"	"Iris_14"	"Kubo_14"	"Wolverine_14"	"JarJarBinks_15"	"Kubo_15"	"Iris_17"	"Kubo_17"	"Lambchop_17"	"Wolverine_17"	"Hamlet_18"	"Hera_18"	"Iris_18"	"JarJarBinks_18"	"Kubo_18"	"Lambchop_18"	"Wolverine_18"	"Ophelia_19"	"Wolverine_19"	"Hera_2"	"JarJarBinks_2"	"Lambchop_2"	"Goose_20"	"Hera_20"	"Iris_20"	"Ophelia_20"	"Hamlet_21"	"JarJarBinks_21"	"Korra_21"	"Goose_22"	"Hamlet_22"	"Hera_22"	"Iris_22"	"Kubo_22"	"Hamlet_23"	"Iris_23"	"Korra_23"	"Hera_24"	"Kubo_24"	"Ophelia_24"	"Wolverine_24"	"Kubo_25"	"JarJarBinks_29"	"Korra_29"	"JarJarBinks_3"	"Kubo_30"	"Hamlet_31"	"JarJarBinks_32"	"Goose_37"	"Hera_37"	"Kubo_37"	"Lambchop_37"	"Ophelia_37"	"Wolverine_37"	"Goose_4"	"Hamlet_41"	"Hera_41"	"Goose_42"	"Lambchop_42"	"Ophelia_43"	"Goose_44"	"Iris_44"	"JarJarBinks_44"	"Lambchop_44"	"Hamlet_45"	"Hera_45"	"JarJarBinks_45"	"Korra_45"	"Ophelia_45"	"Hamlet_46"	"Iris_46"	"Lambchop_46"	"Hamlet_48"	"Hera_48"	"Korra_48"	"Kubo_48"	"Lambchop_48"	"Ophelia_48"	"Wolverine_48"	"Iris_49"	"JarJarBinks_49"	"Kubo_49"	"Ophelia_49"	"Wolverine_49"	"JarJarBinks_50"	"Korra_50"	"Lambchop_50"	"Ophelia_50"	"Wolverine_50"	"Lambchop_51"	"Goose_52"	"JarJarBinks_52"	"Kubo_52"	"Kubo_53"	"Iris_55"	"Lambchop_55"	"Ophelia_55"	"Ophelia_57"	"Wolverine_57"	"Goose_58"	"Wolverine_58"	"Goose_59"	"Hamlet_59"	"Iris_59"	"Ophelia_59"	"Korra_6"	"Iris_60"	"Wolverine_60"	"Hamlet_67"	"Hera_67"	"JarJarBinks_68"	"Hera_7"	"Iris_7"	"Korra_9"
"f__Selenomonadaceae"	2021	2166	1402	2403	960	2499	1131	580	1826	1443	2080	1271	2081	1165	2835	1075	970	1059	856	1833	1454	2304	1069	1735	108	359	18	990	540	2159	821	1380	677	894	991	461	770	2354	1454	1121	1299	954	901	1474	1467	3359	578	1445	1570	1244	731	1934	1283	760	811	2347	502	300	2058	0	2788	1897	834	747	1388	1125	1511	59	1154	573	563	519	681	1703	886	1015	1617	690	651	947	1031	1197	470	1628	1305	511	1178	306	1474	557	961	1662	129	2160	1787	1167	660	500	875	1400	915	997	863	1384	928	2491	804	1125	555	285	1436	243	2102	97	2401	909	1879	1828	856
"f__Acidaminococcaceae"	1112	834	388	398	950	831	625	636	801	789	684	1205	423	0	409	1823	1395	1034	1034	1054	0	854	1691	680	382	86	279	840	1866	716	840	1424	894	977	594	247	1434	640	1149	1541	781	786	1326	618	838	474	732	898	536	1014	819	779	1790	1413	1112	967	1054	517	1139	0	2190	946	1090	1447	1025	656	637	111	1669	728	769	259	436	785	864	899	791	1357	1419	696	1421	932	1270	450	838	953	1437	1314	988	1045	1662	1123	304	523	685	883	1539	798	1530	1086	571	951	598	317	995	525	1248	899	1312	705	2629	980	615	215	755	834	955	2129	524
"f__Veillonellaceae"	462	585	98	213	96	230	284	114	439	217	327	805	596	463	611	666	885	752	520	582	2179	817	467	622	97	118	12	1408	609	857	177	556	1778	839	805	145	13	980	452	642	1234	690	663	773	215	384	234	596	356	1104	378	623	1677	630	385	354	871	92	475	24	547	299	1111	551	222	2073	600	86	339	294	385	76	659	221	575	589	291	592	529	1003	402	1751	219	480	1682	928	625	219	546	1991	625	618	40	546	1500	1340	1412	342	762	1011	400	128	292	338	1428	392	1095	421	825	377	535	455	740	59	1338	817	1014	2464	607
"f__Lachnospiraceae"	556	586	474	836	597	501	338	252	1152	1599	783	742	917	0	425	648	654	477	520	490	0	617	454	464	152	137	20	882	965	598	492	541	429	586	855	294	388	330	332	509	552	530	649	841	937	407	181	692	208	1164	298	621	1503	679	765	440	795	301	671	1	2273	609	629	174	984	810	654	66	305	304	526	539	507	778	477	555	106	868	957	588	454	323	505	401	584	1550	441	576	566	603	392	181	133	212	114	429	818	548	758	836	115	641	591	458	185	447	563	856	864	381	1436	707	290	160	535	711	600	2260	801
"f__Bacteroidaceae"	397	506	764	424	731	659	1923	299	596	638	296	575	285	1	855	771	1123	812	349	397	0	464	890	660	1345	1554	1149	212	1038	323	570	497	394	239	191	218	119	403	216	872	194	185	1347	224	1116	374	319	246	111	179	89	654	491	115	1417	399	112	482	313	2	1233	777	94	194	595	32	605	209	86	2029	2060	283	341	672	1314	711	217	1233	1211	136	870	74	1781	569	190	257	515	1774	615	179	80	96	296	247	56	137	151	191	541	270	202	622	1467	303	84	212	116	1015	524	675	948	1151	442	3216	127	289	420	313	479
"f__Enterobacteriaceae"	8	0	21	469	602	203	0	2931	0	126	608	1	292	3775	0	9	6	0	100	22	1591	0	7	0	2	10	23	2	38	0	1933	499	135	1173	913	3857	0	0	247	59	0	1770	3	872	20	2	10	385	2515	21	155	140	1610	226	4	94	359	3505	18	7373	470	217	74	14	685	139	1	34	7	11	40	3540	531	668	63	164	14	9	119	815	1	11	252	1112	2	223	1	324	370	117	97	22	4365	1441	2	1	37	1654	62	0	68	1507	102	2336	503	1105	111	336	0	1819	24	7	338	21	1	292	0	1	69
"f__Prevotellaceae"	614	124	38	31	70	90	403	88	115	115	108	486	164	1	4	198	126	708	546	316	0	5	358	707	2069	326	272	519	90	400	210	226	499	498	638	97	924	424	234	168	1115	292	219	446	220	29	353	276	93	373	91	251	933	842	252	335	683	66	172	1	299	230	649	1864	95	138	586	2211	1461	784	336	45	1707	137	754	611	1793	285	181	843	705	528	310	311	495	450	698	360	226	392	1348	1310	33	35	1069	738	397	997	335	423	2857	116	583	56	379	44	580	291	712	634	552	823	147	740	33	531	242	1013	1186
"f__Succinivibrionaceae"	56	104	27	42	90	52	31	191	32	45	86	50	196	1	32	62	41	33	1282	130	0	35	48	35	26	12	3260	355	85	32	35	87	426	14	302	11	1640	22	1021	41	6	21	40	19	51	20	2779	692	15	146	2641	86	908	575	33	62	830	19	44	1	355	107	774	82	69	302	35	1182	217	22	27	21	6	72	36	40	150	22	33	4	116	527	51	18	15	198	67	60	60	202	21	203	8	22	88	581	73	28	74	27	79	60	52	77	744	34	752	30	41	29	2299	35	48	22	19	373	59	89	6
"f__Sutterellaceae"	86	92	41	33	57	116	86	41	25	40	42	42	92	18	35	60	108	54	97	99	140	50	133	45	1032	636	353	174	55	84	69	47	70	65	87	25	187	32	54	68	37	113	65	58	58	58	49	89	40	119	21	134	269	137	94	73	156	21	49	2	259	119	163	132	108	60	127	831	62	229	84	27	194	124	250	112	252	67	66	112	83	102	75	129	106	127	161	102	235	175	119	133	10	157	105	148	92	107	50	108	144	69	125	49	166	37	139	57	166	82	91	124	278	474	22	157	168	239	281
"f__Tannerellaceae"	16	72	24	18	68	20	209	38	102	82	52	144	153	0	194	29	51	209	100	258	0	142	137	201	60	529	53	54	80	82	139	57	140	118	72	32	1	156	164	45	78	111	75	106	226	231	124	118	41	71	44	120	282	62	117	28	80	70	117	0	78	50	55	68	56	17	400	272	29	102	107	35	325	94	67	559	66	121	93	217	110	37	144	199	134	189	111	169	171	181	140	16	54	50	17	43	233	200	89	88	63	82	422	45	21	56	54	91	253	272	277	676	84	253	20	143	22	179	363
"f__Fusobacteriaceae"	35	143	2065	455	1086	204	263	252	76	37	254	15	1	0	0	8	0	32	4	4	0	5	0	167	20	73	0	2	0	131	0	12	0	0	8	4	1	72	3	279	20	0	12	0	1	1	8	0	0	0	17	8	0	16	38	248	4	19	124	1	134	73	0	205	36	1	157	0	130	50	84	7	0	29	6	99	158	9	3	0	155	2	36	29	22	1	23	4	51	0	0	29	3	38	15	0	0	3	78	66	30	33	10	40	2	25	10	110	26	1	265	14	108	24	4	74	35	192	2
"f__Clostridiaceae"	46	42	71	84	42	36	44	30	134	145	75	55	196	52	58	63	60	69	37	122	112	84	83	53	33	20	9	38	70	40	58	52	24	28	26	7	4	13	58	58	76	26	34	22	61	62	39	23	8	39	49	41	50	20	159	38	26	27	51	27	178	71	16	0	107	13	46	3	4	69	57	50	30	84	92	35	2	127	114	40	55	5	116	55	73	54	136	149	54	28	19	1	34	28	1	8	59	53	117	88	2	75	49	31	11	54	18	58	100	36	197	99	42	27	73	23	57	109	151
"f__Coriobacteriaceae"	16	76	22	30	9	15	13	2	38	40	10	3	20	0	10	10	24	105	5	56	0	14	48	33	26	526	6	9	11	4	4	49	0	34	0	63	7	12	6	2	9	6	121	14	57	18	3	12	3	9	106	25	73	13	73	24	16	13	166	0	19	19	5	17	6	98	33	18	26	257	358	9	45	17	73	8	6	20	13	61	6	8	83	61	17	10	22	24	50	10	4	8	9	21	13	14	17	9	117	6	44	81	85	15	15	29	5	90	20	47	14	13	151	44	118	92	6	3	84
"f__Oscillospiraceae"	7	35	33	29	46	17	22	9	50	87	30	12	32	0	7	19	12	73	8	12	0	62	15	13	4	9	0	1	23	11	29	13	9	1	0	11	0	1	16	25	3	1	11	3	52	49	14	2	0	5	16	19	15	0	197	18	1	26	44	0	87	32	0	2	51	2	15	1	0	19	60	42	2	47	15	12	2	45	39	14	20	0	100	34	5	7	23	55	55	2	1	4	36	6	1	0	0	12	39	11	1	54	43	24	0	27	0	55	34	40	56	54	14	23	18	10	6	10	34
"f__Bifidobacteriaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	108	852	31	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1166	0	0	0	0	0	2	1	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0
"f__Muribaculaceae"	4	3	2	1	4	0	39	6	18	5	2	60	11	0	4	6	10	34	5	39	0	9	38	39	14	37	3	1	9	14	19	7	11	11	6	0	0	25	20	4	34	2	5	5	24	4	26	8	0	7	2	11	32	5	10	1	3	11	6	0	4	3	3	0	8	1	35	47	0	5	9	5	15	11	5	58	0	9	7	4	13	2	14	2	11	26	15	19	7	8	24	0	0	0	0	0	4	16	10	13	0	17	54	6	0	1	1	9	34	25	35	67	7	11	0	16	2	21	19
